Freq.	V(vo)
1.00000000000000e+002	(-6.24305217541237e-003dB,1.73680930363038e+002°)
1.02329299228075e+002	(-6.51629891050880e-003dB,1.73533739550821e+002°)
1.04712854805090e+002	(-6.80242631075939e-003dB,1.73383120168967e+002°)
1.07151930523761e+002	(-7.10204170731311e-003dB,1.73228992351886e+002°)
1.09647819614318e+002	(-7.41578108140325e-003dB,1.73071274373398e+002°)
1.12201845430196e+002	(-7.74431041721088e-003dB,1.72909882603373e+002°)
1.14815362149688e+002	(-8.08832711875847e-003dB,1.72744731463364e+002°)
1.17489755493953e+002	(-8.44856149394567e-003dB,1.72575733381196e+002°)
1.20226443461741e+002	(-8.82577830857104e-003dB,1.72402798744509e+002°)
1.23026877081238e+002	(-9.22077841438937e-003dB,1.72225835853201e+002°)
1.25892541179417e+002	(-9.63440045371357e-003dB,1.72044750870779e+002°)
1.28824955169313e+002	(-1.00675226452757e-002dB,1.71859447774556e+002°)
1.31825673855641e+002	(-1.05210646542712e-002dB,1.71669828304705e+002°)
1.34896288259165e+002	(-1.09959895513494e-002dB,1.71475791912107e+002°)
1.38038426460288e+002	(-1.14933058642920e-002dB,1.71277235704993e+002°)
1.41253754462275e+002	(-1.20140697269661e-002dB,1.71074054394336e+002°)
1.44543977074593e+002	(-1.25593871302908e-002dB,1.70866140237968e+002°)
1.47910838816821e+002	(-1.31304162799619e-002dB,1.70653382983395e+002°)
1.51356124843621e+002	(-1.37283700660664e-002dB,1.70435669809272e+002°)
1.54881661891248e+002	(-1.43545186498270e-002dB,1.70212885265517e+002°)
1.58489319246111e+002	(-1.50101921734713e-002dB,1.69984911212023e+002°)
1.62181009735893e+002	(-1.56967835984954e-002dB,1.69751626755935e+002°)
1.65958690743756e+002	(-1.64157516790969e-002dB,1.69512908187473e+002°)
1.69824365246174e+002	(-1.71686240767976e-002dB,1.69268628914240e+002°)
1.73780082874937e+002	(-1.79570006232672e-002dB,1.69018659394011e+002°)
1.77827941003892e+002	(-1.87825567385252e-002dB,1.68762867065936e+002°)
1.81970085860998e+002	(-1.96470470115450e-002dB,1.68501116280148e+002°)
1.86208713666287e+002	(-2.05523089518095e-002dB,1.68233268225715e+002°)
1.90546071796324e+002	(-2.15002669193057e-002dB,1.67959180856915e+002°)
1.94984459975804e+002	(-2.24929362420493e-002dB,1.67678708817783e+002°)
1.99526231496888e+002	(-2.35324275298959e-002dB,1.67391703364893e+002°)
2.04173794466953e+002	(-2.46209511945589e-002dB,1.67098012288333e+002°)
2.08929613085404e+002	(-2.57608221849917e-002dB,1.66797479830836e+002°)
2.13796208950223e+002	(-2.69544649495557e-002dB,1.66489946605011e+002°)
2.18776162394955e+002	(-2.82044186351755e-002dB,1.66175249508640e+002°)
2.23872113856834e+002	(-2.95133425353479e-002dB,1.65853221637994e+002°)
2.29086765276777e+002	(-3.08840217991101e-002dB,1.65523692199112e+002°)
2.34422881531992e+002	(-3.23193734136046e-002dB,1.65186486417010e+002°)
2.39883291901949e+002	(-3.38224524732870e-002dB,1.64841425442755e+002°)
2.45470891568503e+002	(-3.53964587505036e-002dB,1.64488326258367e+002°)
2.51188643150958e+002	(-3.70447435814509e-002dB,1.64127001579484e+002°)
2.57039578276886e+002	(-3.87708170831283e-002dB,1.63757259755756e+002°)
2.63026799189538e+002	(-4.05783557180044e-002dB,1.63378904668889e+002°)
2.69153480392691e+002	(-4.24712102227376e-002dB,1.62991735628304e+002°)
2.75422870333816e+002	(-4.44534139196447e-002dB,1.62595547264349e+002°)
2.81838293126445e+002	(-4.65291914290902e-002dB,1.62190129418994e+002°)
2.88403150312660e+002	(-4.87029678033015e-002dB,1.61775267033969e+002°)
2.95120922666638e+002	(-5.09793781018982e-002dB,1.61350740036263e+002°)
3.01995172040201e+002	(-5.33632774317159e-002dB,1.60916323220943e+002°)
3.09029543251358e+002	(-5.58597514733424e-002dB,1.60471786131203e+002°)
3.16227766016837e+002	(-5.84741275193541e-002dB,1.60016892935605e+002°)
3.23593656929628e+002	(-6.12119860494698e-002dB,1.59551402302422e+002°)
3.31131121482590e+002	(-6.40791728696782e-002dB,1.59075067271021e+002°)
3.38844156139202e+002	(-6.70818118437612e-002dB,1.58587635120220e+002°)
3.46736850452531e+002	(-7.02263182472810e-002dB,1.58088847233545e+002°)
3.54813389233575e+002	(-7.35194127752889e-002dB,1.57578438961297e+002°)
3.63078054770101e+002	(-7.69681362372447e-002dB,1.57056139479379e+002°)
3.71535229097172e+002	(-8.05798649741965e-002dB,1.56521671644781e+002°)
3.80189396320560e+002	(-8.43623270350043e-002dB,1.55974751847654e+002°)
3.89045144994280e+002	(-8.83236191510364e-002dB,1.55415089859888e+002°)
3.98107170553496e+002	(-9.24722245500848e-002dB,1.54842388680109e+002°)
4.07380277804112e+002	(-9.68170316533670e-002dB,1.54256344375006e+002°)
4.16869383470335e+002	(-1.01367353701571e-001dB,1.53656645916906e+002°)
4.26579518801592e+002	(-1.06132949358086e-001dB,1.53042975017494e+002°)
