Freq.	V(vo)
1.00000000000000e+002	(-3.66672956732742e-004dB,1.79319017356721e+002°)
1.02329299228075e+002	(-3.67838323883391e-004dB,1.79303155297005e+002°)
1.04712854805090e+002	(-3.69058598031069e-004dB,1.79286923767014e+002°)
1.07151930523761e+002	(-3.70336365404011e-004dB,1.79270314161003e+002°)
1.09647819614318e+002	(-3.71674333999096e-004dB,1.79253317672800e+002°)
1.12201845430196e+002	(-3.73075339224649e-004dB,1.79235925291136e+002°)
1.14815362149688e+002	(-3.74542350022549e-004dB,1.79218127794868e+002°)
1.17489755493953e+002	(-3.76078475044387e-004dB,1.79199915748094e+002°)
1.20226443461741e+002	(-3.77686969219171e-004dB,1.79181279495153e+002°)
1.23026877081238e+002	(-3.79371240691405e-004dB,1.79162209155508e+002°)
1.25892541179417e+002	(-3.81134857935671e-004dB,1.79142694618507e+002°)
1.28824955169313e+002	(-3.82981557419025e-004dB,1.79122725538032e+002°)
1.31825673855641e+002	(-3.84915251290444e-004dB,1.79102291327012e+002°)
1.34896288259165e+002	(-3.86940035884246e-004dB,1.79081381151815e+002°)
1.38038426460288e+002	(-3.89060200117493e-004dB,1.79059983926507e+002°)
1.41253754462275e+002	(-3.91280234732239e-004dB,1.79038088306979e+002°)
1.44543977074593e+002	(-3.93604841665155e-004dB,1.79015682684940e+002°)
1.47910838816821e+002	(-3.96038943972693e-004dB,1.78992755181760e+002°)
1.51356124843621e+002	(-3.98587696225987e-004dB,1.78969293642185e+002°)
1.54881661891248e+002	(-4.01256495379357e-004dB,1.78945285627892e+002°)
1.58489319246111e+002	(-4.04050992097944e-004dB,1.78920718410904e+002°)
1.62181009735893e+002	(-4.06977102697830e-004dB,1.78895578966846e+002°)
1.65958690743756e+002	(-4.10041021601264e-004dB,1.78869853968046e+002°)
1.69824365246174e+002	(-4.13249234345550e-004dB,1.78843529776480e+002°)
1.73780082874937e+002	(-4.16608531244977e-004dB,1.78816592436542e+002°)
1.77827941003892e+002	(-4.20126021604513e-004dB,1.78789027667662e+002°)
1.81970085860998e+002	(-4.23809148821867e-004dB,1.78760820856735e+002°)
1.86208713666287e+002	(-4.27665705861024e-004dB,1.78731957050390e+002°)
1.90546071796324e+002	(-4.31703851662387e-004dB,1.78702420947068e+002°)
1.94984459975804e+002	(-4.35932128329476e-004dB,1.78672196888920e+002°)
1.99526231496888e+002	(-4.40359478964896e-004dB,1.78641268853522e+002°)
2.04173794466953e+002	(-4.44995266508559e-004dB,1.78609620445388e+002°)
2.08929613085404e+002	(-4.49849293304318e-004dB,1.78577234887294e+002°)
2.13796208950223e+002	(-4.54931821570542e-004dB,1.78544095011393e+002°)
2.18776162394955e+002	(-4.60253595055302e-004dB,1.78510183250137e+002°)
2.23872113856834e+002	(-4.65825861326519e-004dB,1.78475481626972e+002°)
2.29086765276777e+002	(-4.71660395403022e-004dB,1.78439971746828e+002°)
2.34422881531992e+002	(-4.77769524324417e-004dB,1.78403634786386e+002°)
2.39883291901949e+002	(-4.84166152846909e-004dB,1.78366451484118e+002°)
2.45470891568503e+002	(-4.90863790419416e-004dB,1.78328402130100e+002°)
2.51188643150958e+002	(-4.97876579266453e-004dB,1.78289466555580e+002°)
2.57039578276886e+002	(-5.05219323938521e-004dB,1.78249624122318e+002°)
2.63026799189538e+002	(-5.12907522065820e-004dB,1.78208853711664e+002°)
2.69153480392691e+002	(-5.20957396517887e-004dB,1.78167133713397e+002°)
2.75422870333816e+002	(-5.29385929205515e-004dB,1.78124442014296e+002°)
2.81838293126445e+002	(-5.38210896219311e-004dB,1.78080755986449e+002°)
2.88403150312660e+002	(-5.47450904755384e-004dB,1.78036052475294e+002°)
2.95120922666638e+002	(-5.57125431547607e-004dB,1.77990307787383e+002°)
3.01995172040201e+002	(-5.67254863208724e-004dB,1.77943497677857e+002°)
3.09029543251358e+002	(-5.77860538334816e-004dB,1.77895597337642e+002°)
3.16227766016837e+002	(-5.88964791433994e-004dB,1.77846581380340e+002°)
3.23593656929628e+002	(-6.00590999009312e-004dB,1.77796423828822e+002°)
3.31131121482590e+002	(-6.12763627691904e-004dB,1.77745098101511e+002°)
3.38844156139202e+002	(-6.25508284344469e-004dB,1.77692576998345e+002°)
3.46736850452531e+002	(-6.38851768666696e-004dB,1.77638832686423e+002°)
3.54813389233575e+002	(-6.52822128124416e-004dB,1.77583836685312e+002°)
3.63078054770101e+002	(-6.67448715102430e-004dB,1.77527559852024e+002°)
3.71535229097172e+002	(-6.82762246948628e-004dB,1.77469972365639e+002°)
3.80189396320560e+002	(-6.98794868441938e-004dB,1.77411043711578e+002°)
3.89045144994280e+002	(-7.15580217138665e-004dB,1.77350742665514e+002°)
3.98107170553496e+002	(-7.33153491565706e-004dB,1.77289037276914e+002°)
4.07380277804112e+002	(-7.51551522531058e-004dB,1.77225894852201e+002°)
4.16869383470335e+002	(-7.70812847407354e-004dB,1.77161281937528e+002°)
4.26579518801592e+002	(-7.90977787708087e-004dB,1.77095164301158e+002°)
4.36515832240165e+002	(-8.12088530205805e-004dB,1.77027506915444e+002°)
4.46683592150962e+002	(-8.34189211411523e-004dB,1.76958273938390e+002°)
4.57088189614874e+002	(-8.57326005697489e-004dB,1.76887428694789e+002°)
4.67735141287197e+002	(-8.81547217388985e-004dB,1.76814933656937e+002°)
4.78630092322637e+002	(-9.06903376594345e-004dB,1.76740750424898e+002°)
4.89778819368445e+002	(-9.33447339323679e-004dB,1.76664839706324e+002°)
5.01187233627271e+002	(-9.61234391627074e-004dB,1.76587161295805e+002°)
5.12861383991364e+002	(-9.90322358412823e-004dB,1.76507674053763e+002°)
5.24807460249771e+002	(-1.02077171658114e-003dB,1.76426335884850e+002°)
5.37031796370251e+002	(-1.05264571291804e-003dB,1.76343103715865e+002°)
5.49540873857623e+002	(-1.08601048712480e-003dB,1.76257933473161e+002°)
5.62341325190348e+002	(-1.12093519944018e-003dB,1.76170780059545e+002°)
5.75439937337155e+002	(-1.15749216391497e-003dB,1.76081597330650e+002°)
5.88843655355587e+002	(-1.19575698680392e-003dB,1.75990338070770e+002°)
6.02559586074356e+002	(-1.23580871060534e-003dB,1.75896953968156e+002°)
6.16595001861481e+002	(-1.27772996383211e-003dB,1.75801395589744e+002°)
6.30957344480192e+002	(-1.32160711659305e-003dB,1.75703612355316e+002°)
6.45654229034654e+002	(-1.36753044232067e-003dB,1.75603552511081e+002°)
6.60693448007594e+002	(-1.41559428564167e-003dB,1.75501163102655e+002°)
6.76082975391980e+002	(-1.46589723667137e-003dB,1.75396389947443e+002°)
6.91830970918935e+002	(-1.51854231182848e-003dB,1.75289177606387e+002°)
7.07945784384136e+002	(-1.57363714127133e-003dB,1.75179469355096e+002°)
7.24435960074988e+002	(-1.63129416325219e-003dB,1.75067207154320e+002°)
7.41310241300916e+002	(-1.69163082527908e-003dB,1.74952331619763e+002°)
7.58577575029182e+002	(-1.75476979246805e-003dB,1.74834781991234e+002°)
7.76247116628690e+002	(-1.82083916298097e-003dB,1.74714496101099e+002°)
7.94328234724279e+002	(-1.88997269068147e-003dB,1.74591410342038e+002°)
8.12830516164097e+002	(-1.96231001522801e-003dB,1.74465459634085e+002°)
8.31763771102669e+002	(-2.03799689938830e-003dB,1.74336577390943e+002°)
8.51138038202374e+002	(-2.11718547374276e-003dB,1.74204695485546e+002°)
8.70963589956078e+002	(-2.20003448883989e-003dB,1.74069744214870e+002°)
8.91250938133743e+002	(-2.28670957448130e-003dB,1.73931652263970e+002°)
9.12010839355907e+002	(-2.37738350646631e-003dB,1.73790346669219e+002°)
9.33254300796988e+002	(-2.47223648011526e-003dB,1.73645752780752e+002°)
9.54992586021433e+002	(-2.57145639099910e-003dB,1.73497794224087e+002°)
9.77237220955808e+002	(-2.67523912206311e-003dB,1.73346392860905e+002°)
9.99999999999997e+002	(-2.78378883726242e-003dB,1.73191468748986e+002°)
1.02329299228075e+003	(-2.89731828111429e-003dB,1.73032940101266e+002°)
1.04712854805090e+003	(-3.01604908374506e-003dB,1.72870723244017e+002°)
1.07151930523760e+003	(-3.14021207098885e-003dB,1.72704732574119e+002°)
1.09647819614318e+003	(-3.27004757866090e-003dB,1.72534880515418e+002°)
1.12201845430196e+003	(-3.40580577053065e-003dB,1.72361077474142e+002°)
1.14815362149688e+003	(-3.54774695885933e-003dB,1.72183231793367e+002°)
1.17489755493953e+003	(-3.69614192660747e-003dB,1.72001249706501e+002°)
1.20226443461741e+003	(-3.85127225019789e-003dB,1.71815035289795e+002°)
1.23026877081238e+003	(-4.01343062120134e-003dB,1.71624490413824e+002°)
1.25892541179416e+003	(-4.18292116583696e-003dB,1.71429514693954e+002°)
1.28824955169313e+003	(-4.36005976011594e-003dB,1.71230005439757e+002°)
1.31825673855640e+003	(-4.54517433894918e-003dB,1.71025857603354e+002°)
1.34896288259165e+003	(-4.73860519682296e-003dB,1.70816963726676e+002°)
1.38038426460288e+003	(-4.94070527765185e-003dB,1.70603213887612e+002°)
1.41253754462275e+003	(-5.15184045084851e-003dB,1.70384495645028e+002°)
1.44543977074592e+003	(-5.37238977061762e-003dB,1.70160693982631e+002°)
1.47910838816820e+003	(-5.60274571482612e-003dB,1.69931691251659e+002°)
1.51356124843620e+003	(-5.84331439950202e-003dB,1.69697367112369e+002°)
1.54881661891248e+003	(-6.09451576471725e-003dB,1.69457598474302e+002°)
1.58489319246111e+003	(-6.35678372680027e-003dB,1.69212259435292e+002°)
1.62181009735892e+003	(-6.63056629146247e-003dB,1.68961221219203e+002°)
1.65958690743755e+003	(-6.91632562214390e-003dB,1.68704352112351e+002°)
1.69824365246174e+003	(-7.21453805642088e-003dB,1.68441517398595e+002°)
1.73780082874937e+003	(-7.52569406354454e-003dB,1.68172579293046e+002°)
1.77827941003892e+003	(-7.85029813479456e-003dB,1.67897396874380e+002°)
1.81970085860998e+003	(-8.18886859773062e-003dB,1.67615826015703e+002°)
1.86208713666286e+003	(-8.54193734448126e-003dB,1.67327719313932e+002°)
