#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-11-11 16:42:07.681
#Start: 40000 Hz
#Stop: 70000 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
40000.00000000001,0.0103912362126193,-16.75229915223026,-98.13207670367574
40149.5095964705,0.004350786533892299,-16.66257077158726,-98.21472348277247
40299.57802092693,-0.002858246318107198,-16.56075062197213,-98.29226176449342
40450.20736212294,0.008005941840016118,-16.45423451389613,-98.41365544223578
40601.39971661942,0.01140364553048728,-16.35738667813379,-98.47456903375206
40753.15718881365,0.01449699808077618,-16.25413981875755,-98.59306117367942
40905.48189096861,0.01645429430185459,-16.14820526110748,-98.66481263463857
41058.37594324237,0.01453247393127038,-16.04246114642863,-98.78954863664939
41211.84147371758,0.01449128645174109,-15.93534342571062,-98.88867214054088
41365.88061843113,0.01396360380958027,-15.8330313673009,-98.95572303351287
41520.49552140384,0.01461142773605411,-15.7199901351614,-99.07015403949023
41675.68833467035,0.01519039607152057,-15.61527139937078,-99.19386284294745
41831.46121830903,0.01436625180878589,-15.5063262239257,-99.34051148135858
41987.81634047205,0.01615458439129827,-15.38644003582691,-99.44240565838896
42144.75587741559,0.01662482144568212,-15.27641834845674,-99.55213870790828
42302.28201353009,0.01325782185035762,-15.16178963850093,-99.67132017434736
42460.3969413707,0.0124295009218509,-15.04906226998742,-99.80827921661643
42619.10286168774,0.006943564842680635,-14.93112378901355,-99.92518760732435
42778.40198345739,0.002020781859664978,-14.80939874473511,-100.0499515827773
42938.29652391238,0.008318534150145291,-14.68788390974075,-100.1853575666519
43098.7887085729,0.01504759093042402,-14.56735864413791,-100.3493342394572
43259.88077127756,0.017530570169318,-14.4455247083103,-100.4961709586875
43421.57495421446,0.0179671565456031,-14.31902037997906,-100.5990750943899
43583.87350795241,0.01651468411047475,-14.19318953467979,-100.7714162355559
43746.7786914723,0.01683702565814491,-14.0661767098812,-100.9524835701533
43910.29277219846,0.01674396800594048,-13.93677103192243,-101.0564131768673
44074.41802603028,0.01942370195379738,-13.80480314021319,-101.2607945168531
