#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-11-11 16:41:04.415
#Start: 40000 Hz
#Stop: 70000 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
40000.00000000001,0.009558315694308601,-36.05861547825599,166.1020829072172
40149.5095964705,0.00317226821416373,-35.85473207524635,165.9739397130505
40299.57802092693,-0.003230529230516288,-35.65541309596212,166.0631956703011
40450.20736212294,0.002875656083547258,-35.43969680904519,166.0308698543575
40601.39971661942,0.007577761043895006,-35.24668704152096,165.7123648311632
40753.15718881365,0.01340482453543416,-35.11940520730518,165.4917704402933
40905.48189096861,0.01253788019681754,-34.92342234681501,165.0498060461148
41058.37594324237,0.01410323100111048,-34.77271790888817,165.3224225490454
41211.84147371758,0.01376159030725719,-34.5488625988942,165.1451081225728
41365.88061843113,0.01243349418264176,-34.32993589510264,165.3521960177951
41520.49552140384,0.0131503206914919,-34.1872657532594,164.6824207932607
41675.68833467035,0.01331756630582194,-34.02527321541686,164.7532057512686
41831.46121830903,0.01248998185386272,-33.81678707652929,164.4046097445192
41987.81634047205,0.01475352271964031,-33.58012828819256,164.1761990895504
42144.75587741559,0.01362396024240406,-33.46347245772221,164.0612821614694
42302.28201353009,0.01092006899312945,-33.2164975393392,163.8304306456346
42460.3969413707,0.01080535137006221,-33.00280803962083,163.3525710288475
42619.10286168774,0.006459665912128299,-32.76741685615897,163.4660117358364
42778.40198345739,0.0007934186100950104,-32.60988971257603,163.298599797612
42938.29652391238,0.01050565533349995,-32.39679443570188,162.814229405537
43098.7887085729,0.01545046951449652,-32.20227479213699,162.8534323654433
43259.88077127756,0.01621982549050632,-31.92134557976362,162.7235085397247
43421.57495421446,0.01401084130445561,-31.7765167058373,162.409264849499
43583.87350795241,0.01681545121107607,-31.51166636045588,162.0521329852702
43746.7786914723,0.01364331364996657,-31.32412393210057,161.8050100662403
43910.29277219846,0.01522219125245814,-31.12740586264956,161.6671052723103
44074.41802603028,0.01700897034753935,-30.88122891669065,161.3669856923477
