Frequency (Hz);Channel 2 Magnitude (dB);Channel 2 Phase (*)
40000;-36.05861548;166.1020829
40149.5096;-35.85473208;165.9739397
40299.57802;-35.6554131;166.0631957
40450.20736;-35.43969681;166.0308699
40601.39972;-35.24668704;165.7123648
40753.15719;-35.11940521;165.4917704
40905.48189;-34.92342235;165.049806
41058.37594;-34.77271791;165.3224225
41211.84147;-34.5488626;165.1451081
41365.88062;-34.3299359;165.352196
41520.49552;-34.18726575;164.6824208
41675.68833;-34.02527322;164.7532058
41831.46122;-33.81678708;164.4046097
41987.81634;-33.58012829;164.1761991
42144.75588;-33.46347246;164.0612822
42302.28201;-33.21649754;163.8304306
42460.39694;-33.00280804;163.352571
42619.10286;-32.76741686;163.4660117
42778.40198;-32.60988971;163.2985998
42938.29652;-32.39679444;162.8142294
43098.78871;-32.20227479;162.8534324
43259.88077;-31.92134558;162.7235085
43421.57495;-31.77651671;162.4092648
43583.87351;-31.51166636;162.052133
43746.77869;-31.32412393;161.8050101
43910.29277;-31.12740586;161.6671053
44074.41803;-30.88122892;161.3669857
44239.15674;-30.63883587;161.1626596
44404.5112;-30.4123069;161.0281596
44570.48371;-30.2042021;160.7434315
44737.07659;-29.94885255;160.4636883
44904.29215;-29.6961147;160.1009812
45072.13271;-29.45543396;159.80878
45240.60062;-29.22967158;159.5383525
45409.69822;-28.98825411;159.1168658
45579.42786;-28.72481572;158.877469
45749.79191;-28.4766773;158.5259612
45920.79273;-28.214282;158.2839591
46092.43271;-27.95454174;157.7629184
46264.71423;-27.69639831;157.6315694
46437.6397;-27.41398779;157.2163123
46611.21152;-27.13152698;156.7691371
46785.43211;-26.83610381;156.36885
46960.30389;-26.5773311;155.9540171
47135.82929;-26.26688279;155.5758928
47312.01076;-26.00337993;155.0915517
47488.85075;-25.67806316;154.5967941
47666.35172;-25.39970506;154.1946177
47844.51615;-25.0815898;153.5610902
48023.3465;-24.77353486;153.1614014
48202.84528;-24.45799152;152.631388
48383.01498;-24.13901743;152.033398
48563.85811;-23.79839218;151.4962053
48745.37718;-23.46187693;150.8287017
48927.57472;-23.12159365;150.3165911
49110.45327;-22.77977401;149.6078211
49294.01537;-22.43843347;148.8031489
49478.26358;-22.07442427;148.2096208
49663.20046;-21.70297452;147.4242824
49848.82859;-21.32306241;146.6166297
50035.15054;-20.94369472;145.7882475
50222.16892;-20.55318637;144.8673163
50409.88633;-20.14923649;143.9449858
