#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2019-11-11 16:50:07.959
#Trace: Trace
#Start: 10000 Hz
#Stop: 100000 Hz
#Steps: 151
#Order: W1-C1-R-C2-DUT-GND
#Resistor: 100000 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Attenuation: 1 X

Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
10000,3.194523602448248,79106.11056894604
10154.6899243308,3.244898068907912,79082.6218579774
10311.77274593055,3.284067813252719,79081.06708017744
10471.285480509,3.327314488300367,79078.45233750163
10633.26571637161,3.377078055447305,79058.59373841557
10797.7516232771,3.413215656121365,79068.64795710133
10964.78196143185,3.474049883547999,79047.43510821214
11134.39609062361,3.525790819420807,79028.7978388659
11306.63397949639,3.566975038541513,79013.9750055639
11481.53621496883,3.627230189459851,79002.69711960023
11659.14401179832,3.665945032061245,78979.57908770342
11839.49922229302,3.717530225613067,78976.93830849594
12022.64434617413,3.773266814185537,78956.72877362461
12208.62254059071,3.825346059520251,78917.18813480088
12397.47763028944,3.882354322264507,78920.87065061166
12589.25411794167,3.920721999499204,78908.30497905715
12783.99719463024,4.002780082658767,78908.72877923583
12981.75275049849,4.047789298188547,78866.54856667783
13182.56738556407,4.10896344726117,78830.18603010035
13386.48842069993,4.164721711368612,78834.33225471601
13593.56390878526,4.217223072548901,78806.88055727439
13803.84264602885,4.285395643793348,78789.87365593648
14017.3741834677,4.351201415538915,78775.44413511983
14234.20883864342,4.422417413125831,78734.48715659096
14454.39770745928,4.476080459484778,78708.75793455067
14677.99267622069,4.55084517003538,78659.18088456769
14905.04643386196,4.600744534430547,78657.66422622485
15135.61248436208,4.660222008588259,78619.3224829855
15369.74515935271,4.712108512799396,78613.02782465532
15607.49963092111,4.8066584626642,78545.54506564677
15848.93192461113,4.876882910741622,78534.65163846371
16094.09893262535,4.949731218651998,78517.40581284037
16343.05842723138,4.995748168782392,78490.5988796836
16595.86907437561,5.084722589989096,78461.23413766852
16852.59044750751,5.151578216477891,78400.73822487378
17113.28304161781,5.220358325578946,78362.79603803543
17378.00828749375,5.295321722457221,78327.32928547062
17646.828566195,5.38024809536624,78318.70125791666
17919.80722375334,5.453782020855532,78254.49722758579
18197.00858609984,5.540852650623592,78247.333767929
18478.49797422291,5.612214234589897,78174.73694580214
18764.34171956085,5.701611554131556,78131.16611305535
19054.60717963247,5.758139992800952,78107.63386188148
19349.36275390952,5.851281761582785,78049.39437279034
19648.67789993468,5.942101000974294,77994.45546550665
19952.6231496888,6.00854810905786,77949.00340938853
20261.27012621144,6.110643164396013,77936.73100929886
20574.69156047839,6.205437484860211,77865.86703128109
20892.9613085404,6.272525284102414,77784.01788975879
21216.15436892685,6.36646220781247,77769.18493787083
21544.34690031883,6.488955232292291,77713.99537539933
21877.61623949553,6.538350198262751,77661.80623788333
22216.04091955812,6.664479432372378,77605.65568828765
22559.70068843576,6.73833157190498,77511.16545931835
22908.67652767773,6.860634540593957,77457.18477745073
23263.05067153626,6.924905351443237,77419.46061331825
23622.90662634462,7.032634535170795,77350.2381167914
23988.32919019491,7.125499012773942,77268.58366963363
24359.40447292027,7.253569409842908,77188.57323442319
24736.21991638621,7.338746564162806,77143.19304517243
25118.8643150958,7.431553846805581,77083.25106023792
25507.4278371136,7.544490994382072,76994.43833460451
25902.00204531324,7.656190482818276,76917.29464167732
26302.67991895381,7.758023628267773,76833.3183416586
26709.55587558985,7.874096713029985,76757.5569194886
27122.72579332029,7.962377558570455,76692.61761701613
27542.28703338166,8.08564367860448,76600.82452265962
27968.33846309077,8.17818082674904,76496.52675161646
28400.98047914215,8.304561385223913,76444.2533878212
28840.31503126605,8.405552611723451,76326.53524594753
29286.44564625237,8.535560848990078,76264.11431379356
29739.47745234606,8.646536553314142,76169.30222896337
30199.51720402016,8.774188103435153,76076.60289005673
30666.67330713183,8.921247163169278,75955.44536500302
31141.0558444676,8.995372565815277,75880.91709472692
31622.7766016838,9.118282631589661,75753.83932447547
32111.94909364823,9.247418899916362,75669.62104751794
32608.68859118933,9.33120123899757,75595.88060600676
33113.11214825911,9.465686409079575,75442.69623411034
33625.33862951626,9.573317884772671,75380.93649821919
34145.48873833602,9.709446935930666,75239.23571669469
34673.68504525317,9.817035865424366,75199.93459435164
35210.05201684519,9.966696074766121,75018.27181919845
35754.71604506214,10.04609029999157,74895.76136660764
36307.80547701014,10.17658351017849,74837.51064219084
36869.45064519575,10.26901750668663,74707.47549265898
37439.78389823811,10.38416990560959,74627.25792980232
38018.93963205611,10.530349387571,74524.27677127573
