Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
40000.00000000001,10.8097035358807,74149.74412004648
40149.5095964705,10.83527652856862,74139.1044769521
40299.57802092693,10.81196567998691,74115.65256209197
40450.20736212294,10.90177153544224,74064.12670640819
40601.39971661942,10.8865393612795,73971.12505783078
40753.15718881365,10.94182892754259,73974.93880861015
40905.48189096861,10.99034221080088,74019.46668872953
41058.37594324237,10.99430993034141,73976.41141406979
41211.84147371758,10.98197709737782,73943.63533765866
41365.88061843113,11.02080903705453,73893.10191469268
41520.49552140384,11.05963961425845,73951.97380359257
41675.68833467035,11.00611925686459,73872.95971682844
41831.46121830903,11.0456455771143,73926.02471994056
41987.81634047205,11.07773858312387,73773.76344673522
42144.75587741559,11.05068221589395,73849.7259081946
42302.28201353009,11.10781701381915,73776.93206039441
42460.3969413707,11.16879107750388,73730.75095700362
42619.10286168774,11.09621531879164,73835.30561737345
42778.40198345739,11.1919997505708,73680.6439768579
42938.29652391238,11.1458932945553,73774.24439326917
43098.7887085729,11.1928665076932,73750.82109637299
43259.88077127756,11.16336974654985,73617.76645571827
43421.57495421446,11.1980111315567,73708.8423704961
43583.87350795241,11.2048817172272,73623.2852565436
43746.7786914723,11.22295295699476,73617.76935633428
43910.29277219846,11.15618985454385,73627.45646142139
44074.41802603028,11.2562706738545,73613.42965093591
44239.15673737389,11.2483066155847,73562.05889506901
44404.51119917389,11.24871076680626,73616.21648819328
44570.48371294535,11.1586005577481,73478.25346545356
44737.07658880579,11.16743190405966,73474.82772050577
44904.29214550735,11.28228697404052,73515.40655443248
45072.13271046906,11.27263534881841,73527.07709165172
45240.60061980924,11.19185162071836,73522.20650202844
45409.69821837801,11.17115763960645,73504.75372023563
45579.42785978994,11.17174178288309,73409.79185940756
45749.79190645678,11.18428776471829,73496.41417391399
45920.79272962037,11.21922974991804,73464.15820106867
46092.43270938566,11.07201400105302,73516.7234304383
46264.71423475374,11.12048687888279,73538.15023649165
46437.63970365527,11.13741630169876,73467.48747388762
46611.21152298368,11.02210686993029,73339.52215402157
