Freq.	V(vout)
4.00000000000000e+004	(-1.52246144569929e+001dB,-9.57490451811011e+001°)
4.00922095231160e+004	(-1.51517715465075e+001dB,-9.57959554852507e+001°)
4.01846316111358e+004	(-1.50783643971158e+001dB,-9.58436238572815e+001°)
4.02772667540722e+004	(-1.50043835752465e+001dB,-9.58920691679672e+001°)
4.03701154430674e+004	(-1.49298194173267e+001dB,-9.59413109188517e+001°)
4.04631781703959e+004	(-1.48546620223375e+001dB,-9.59913692687512e+001°)
4.05564554294672e+004	(-1.47789012440705e+001dB,-9.60422650615668e+001°)
4.06499477148278e+004	(-1.47025266830701e+001dB,-9.60940198555320e+001°)
4.07436555221647e+004	(-1.46255276782460e+001dB,-9.61466559539757e+001°)
4.08375793483072e+004	(-1.45478932981418e+001dB,-9.62001964376628e+001°)
4.09317196912301e+004	(-1.44696123318405e+001dB,-9.62546651988431e+001°)
4.10260770500563e+004	(-1.43906732794899e+001dB,-9.63100869770824e+001°)
4.11206519250589e+004	(-1.43110643424308e+001dB,-9.63664873970196e+001°)
4.12154448176646e+004	(-1.42307734129036e+001dB,-9.64238930081482e+001°)
4.13104562304559e+004	(-1.41497880633181e+001dB,-9.64823313267337e+001°)
4.14056866671737e+004	(-1.40680955350589e+001dB,-9.65418308800500e+001°)
4.15011366327205e+004	(-1.39856827268056e+001dB,-9.66024212530405e+001°)
4.15968066331623e+004	(-1.39025361823424e+001dB,-9.66641331375780e+001°)
4.16926971757321e+004	(-1.38186420778297e+001dB,-9.67269983844940e+001°)
4.17888087688320e+004	(-1.37339862085111e+001dB,-9.67910500585550e+001°)
4.18851419220359e+004	(-1.36485539748240e+001dB,-9.68563224965809e+001°)
4.19816971460928e+004	(-1.35623303678843e+001dB,-9.69228513689265e+001°)
4.20784749529289e+004	(-1.34752999543110e+001dB,-9.69906737445263e+001°)
4.21754758556503e+004	(-1.33874468603535e+001dB,-9.70598281597967e+001°)
4.22727003685463e+004	(-1.32987547552873e+001dB,-9.71303546915976e+001°)
4.23701490070915e+004	(-1.32092068340353e+001dB,-9.72022950345873e+001°)
4.24678222879489e+004	(-1.31187857989726e+001dB,-9.72756925832589e+001°)
4.25657207289726e+004	(-1.30274738408708e+001dB,-9.73505925189823e+001°)
4.26638448492102e+004	(-1.29352526189332e+001dB,-9.74270419024281e+001°)
4.27621951689062e+004	(-1.28421032398685e+001dB,-9.75050897717587e+001°)
4.28607722095042e+004	(-1.27480062359518e+001dB,-9.75847872469857e+001°)
4.29595764936497e+004	(-1.26529415420111e+001dB,-9.76661876409874e+001°)
4.30586085451933e+004	(-1.25568884712814e+001dB,-9.77493465776518e+001°)
4.31578688891931e+004	(-1.24598256900594e+001dB,-9.78343221176838e+001°)
4.32573580519174e+004	(-1.23617311910877e+001dB,-9.79211748926945e+001°)
4.33570765608481e+004	(-1.22625822655972e+001dB,-9.80099682481479e+001°)
4.34570249446825e+004	(-1.21623554739261e+001dB,-9.81007683959232e+001°)
4.35572037333373e+004	(-1.20610266146328e+001dB,-9.81936445771683e+001°)
4.36576134579502e+004	(-1.19585706920110e+001dB,-9.82886692363520e+001°)
4.37582546508837e+004	(-1.18549618819121e+001dB,-9.83859182073394e+001°)
4.38591278457273e+004	(-1.17501734957737e+001dB,-9.84854709124871e+001°)
4.39602335773007e+004	(-1.16441779427431e+001dB,-9.85874105758435e+001°)
4.40615723816565e+004	(-1.15369466897813e+001dB,-9.86918244516008e+001°)
4.41631447960828e+004	(-1.14284502196210e+001dB,-9.87988040690849e+001°)
4.42649513591065e+004	(-1.13186579864488e+001dB,-9.89084454956951e+001°)
4.43669926104959e+004	(-1.12075383691694e+001dB,-9.90208496192875e+001°)
4.44692690912635e+004	(-1.10950586221000e+001dB,-9.91361224517759e+001°)
4.45717813436691e+004	(-1.09811848229347e+001dB,-9.92543754556870e+001°)
4.46745299112223e+004	(-1.08658818178095e+001dB,-9.93757258958523e+001°)
4.47775153386860e+004	(-1.07491131632823e+001dB,-9.95002972183339e+001°)
4.48807381720784e+004	(-1.06308410650343e+001dB,-9.96282194592027e+001°)
4.49841989586769e+004	(-1.05110263130860e+001dB,-9.97596296858102e+001°)
4.50878982470203e+004	(-1.03896282133065e+001dB,-9.98946724736441e+001°)
4.51918365869118e+004	(-1.02666045149823e+001dB,-1.00033500422056e+002°)
4.52960145294222e+004	(-1.01419113341949e+001dB,-1.00176274712628e+002°)
4.54004326268925e+004	(-1.00155030727438e+001dB,-1.00323165714261e+002°)
4.55050914329371e+004	(-9.88733233233472e+000dB,-1.00474353639534e+002°)
4.56099915024466e+004	(-9.75734982373672e+000dB,-1.00630029257460e+002°)
4.57151333915907e+004	(-9.62550427059642e+000dB,-1.00790394668225e+002°)
4.58205176578213e+004	(-9.49174230757772e+000dB,-1.00955664146281e+002°)
4.59261448598752e+004	(-9.35600837248742e+000dB,-1.01126065058706e+002°)
4.60320155577773e+004	(-9.21824459202220e+000dB,-1.01301838866822e+002°)
4.61381303128435e+004	(-9.07839066076336e+000dB,-1.01483242219704e+002°)
4.62444896876838e+004	(-8.93638371303599e+000dB,-1.01670548149522e+002°)
4.63510942462049e+004	(-8.79215818723291e+000dB,-1.01864047379665e+002°)
4.64579445536136e+004	(-8.64564568220334e+000dB,-1.02064049758107e+002°)
4.65650411764195e+004	(-8.49677480530193e+000dB,-1.02270885829852e+002°)
4.66723846824383e+004	(-8.34547101170366e+000dB,-1.02484908564241e+002°)
4.67799756407947e+004	(-8.19165643460011e+000dB,-1.02706495254758e+002°)
4.68878146219251e+004	(-8.03524970592463e+000dB,-1.02936049611308e+002°)
4.69959021975810e+004	(-7.87616576729440e+000dB,-1.03174004067615e+002°)
4.71042389408321e+004	(-7.71431567091546e+000dB,-1.03420822329292e+002°)
4.72128254260690e+004	(-7.54960637029421e+000dB,-1.03677002191621e+002°)
4.73216622290064e+004	(-7.38194050070759e+000dB,-1.03943078660025e+002°)
4.74307499266862e+004	(-7.21121614956008e+000dB,-1.04219627410691e+002°)
4.75400890974806e+004	(-7.03732661695356e+000dB,-1.04507268634118e+002°)
4.76496803210948e+004	(-6.86016016710403e+000dB,-1.04806671310161e+002°)
4.77595241785707e+004	(-6.67959977158177e+000dB,-1.05118557970316e+002°)
4.78696212522896e+004	(-6.49552284585640e+000dB,-1.05443710010651e+002°)
4.79799721259750e+004	(-6.30780098123057e+000dB,-1.05782973628244e+002°)
4.80905773846963e+004	(-6.11629967505252e+000dB,-1.06137266464424e+002°)
4.82014376148717e+004	(-5.92087806312082e+000dB,-1.06507585050293e+002°)
4.83125534042710e+004	(-5.72138865949819e+000dB,-1.06895013164357e+002°)
4.84239253420191e+004	(-5.51767711063762e+000dB,-1.07300731227989e+002°)
4.85355540185989e+004	(-5.30958197286383e+000dB,-1.07726026883511e+002°)
4.86474400258545e+004	(-5.09693452498544e+000dB,-1.08172306920855e+002°)
4.87595839569945e+004	(-4.87955863132494e+000dB,-1.08641110743529e+002°)
4.88719864065947e+004	(-4.65727067490981e+000dB,-1.09134125592590e+002°)
4.89846479706017e+004	(-4.42987958628725e+000dB,-1.09653203779118e+002°)
4.90975692463361e+004	(-4.19718700071840e+000dB,-1.10200382211173e+002°)
4.92107508324950e+004	(-3.95898758584951e+000dB,-1.10777904541077e+002°)
4.93241933291561e+004	(-3.71506959388769e+000dB,-1.11388246301869e+002°)
4.94378973377802e+004	(-3.46521570758431e+000dB,-1.12034143448056e+002°)
4.95518634612145e+004	(-3.20920426886497e+000dB,-1.12718624762770e+002°)
4.96660923036962e+004	(-2.94681100391680e+000dB,-1.13445048639507e+002°)
4.97805844708552e+004	(-2.67781139044898e+000dB,-1.14217144785514e+002°)
4.98953405697175e+004	(-2.40198385352505e+000dB,-1.15039061418788e+002°)
5.00103612087086e+004	(-2.11911402807980e+000dB,-1.15915418529682e+002°)
5.01256469976564e+004	(-1.82900039175979e+000dB,-1.16851367731419e+002°)
5.02411985477947e+004	(-1.53146165417555e+000dB,-1.17852659104536e+002°)
5.03570164717664e+004	(-1.22634639155800e+000dB,-1.18925715205641e+002°)
5.04731013836266e+004	(-9.13545542604318e-001dB,-1.20077711999697e+002°)
5.05894538988458e+004	(-5.93008534679974e-001dB,-1.21316665797548e+002°)
5.07060746343135e+004	(-2.64763990144141e-001dB,-1.22651524209379e+002°)
5.08229642083414e+004	(7.10538338204358e-002dB,-1.24092257483315e+002°)
5.09401232406662e+004	(4.14171504678870e-001dB,-1.25649944145764e+002°)
5.10575523524535e+004	(7.64134211273201e-001dB,-1.27336841285079e+002°)
5.11752521663007e+004	(1.12025321569338e+000dB,-1.29166424745177e+002°)
