Freq.	V(vout)
4.00000000000000e+004	-2.23532532786678e-002,4.14771313845779e-003
4.00922095231160e+004	-2.26835097832415e-002,4.24068322370465e-003
4.01846316111358e+004	-2.30208730789046e-002,4.33640308065466e-003
4.02772667540722e+004	-2.33655474429422e-002,4.43497513273766e-003
4.03701154430674e+004	-2.37177445046283e-002,4.53650642843367e-003
4.04631781703959e+004	-2.40776835625831e-002,4.64110888745355e-003
4.05564554294672e+004	-2.44455919180653e-002,4.74889956205905e-003
4.06499477148278e+004	-2.48217052250948e-002,4.86000091455237e-003
4.07436555221647e+004	-2.52062678583837e-002,4.97454111209210e-003
4.08375793483072e+004	-2.55995333000908e-002,5.09265434005916e-003
4.09317196912301e+004	-2.60017645464974e-002,5.21448113529553e-003
4.10260770500563e+004	-2.64132345357625e-002,5.34016874064576e-003
4.11206519250589e+004	-2.68342265979999e-002,5.46987148235433e-003
4.12154448176646e+004	-2.72650349289824e-002,5.60375117199303e-003
4.13104562304559e+004	-2.77059650888881e-002,5.74197753472901e-003
4.14056866671737e+004	-2.81573345275789e-002,5.88472866587525e-003
4.15011366327205e+004	-2.86194731379955e-002,6.03219151789082e-003
4.15968066331623e+004	-2.90927238393824e-002,6.18456242008840e-003
4.16926971757321e+004	-2.95774431921404e-002,6.34204763358142e-003
4.17888087688320e+004	-3.00740020462401e-002,6.50486394416200e-003
4.18851419220359e+004	-3.05827862252638e-002,6.67323929607617e-003
4.19816971460928e+004	-3.11041972482630e-002,6.84741346989132e-003
4.20784749529289e+004	-3.16386530917841e-002,7.02763880793120e-003
4.21754758556503e+004	-3.21865889945717e-002,7.21418099110406e-003
4.22727003685463e+004	-3.27484583076089e-002,7.40731987122983e-003
4.23701490070915e+004	-3.33247333923669e-002,7.60735036338478e-003
4.24678222879489e+004	-3.39159065703077e-002,7.81458340318922e-003
4.25657207289726e+004	-3.45224911268969e-002,8.02934697440457e-003
4.26638448492102e+004	-3.51450223736074e-002,8.25198721270167e-003
4.27621951689062e+004	-3.57840587716428e-002,8.48286959203596e-003
4.28607722095042e+004	-3.64401831213452e-002,8.72238020063851e-003
4.29595764936497e+004	-3.71140038215321e-002,8.97092711432759e-003
4.30586085451933e+004	-3.78061562033105e-002,9.22894187558703e-003
4.31578688891931e+004	-3.85173039432044e-002,9.49688108763458e-003
4.32573580519174e+004	-3.92481405607777e-002,9.77522813369700e-003
4.33570765608481e+004	-3.99993910062697e-002,1.00644950326105e-002
4.34570249446825e+004	-4.07718133441696e-002,1.03652244430955e-002
4.35572037333373e+004	-4.15662005389952e-002,1.06779918301687e-002
4.36576134579502e+004	-4.23833823500286e-002,1.10034078086993e-002
4.37582546508837e+004	-4.32242273421382e-002,1.13421206804521e-002
4.38591278457273e+004	-4.40896450203497e-002,1.16948191828869e-002
4.39602335773007e+004	-4.49805880962686e-002,1.20622354697252e-002
4.40615723816565e+004	-4.58980548949999e-002,1.24451483455063e-002
4.41631447960828e+004	-4.68430919117461e-002,1.28443867787498e-002
4.42649513591065e+004	-4.78167965278076e-002,1.32608337209597e-002
4.43669926104959e+004	-4.88203198963040e-002,1.36954302617231e-002
4.44692690912635e+004	-4.98548700084968e-002,1.41491801535091e-002
4.45717813436691e+004	-5.09217149522170e-002,1.46231547435527e-002
4.46745299112223e+004	-5.20221863744447e-002,1.51184983543248e-002
4.47775153386860e+004	-5.31576831607220e-002,1.56364341590570e-002
4.48807381720784e+004	-5.43296753445750e-002,1.61782706038474e-002
4.49841989586769e+004	-5.55397082606788e-002,1.67454084342690e-002
4.50878982470203e+004	-5.67894069558756e-002,1.73393483908528e-002
4.51918365869118e+004	-5.80804808725819e-002,1.79616996457964e-002
4.52960145294222e+004	-5.94147288192251e-002,1.86141890618357e-002
4.54004326268925e+004	-6.07940442424841e-002,1.92986713640922e-002
4.55050914329371e+004	-6.22204208158264e-002,2.00171403269875e-002
4.56099915024466e+004	-6.36959583583378e-002,2.07717410909516e-002
4.57151333915907e+004	-6.52228690969339e-002,2.15647837380882e-002
4.58205176578213e+004	-6.68034842835776e-002,2.23987582726573e-002
4.59261448598752e+004	-6.84402611770482e-002,2.32763511706081e-002
4.60320155577773e+004	-7.01357903958644e-002,2.42004636841507e-002
4.61381303128435e+004	-7.18928036449486e-002,2.51742321117096e-002
4.62444896876838e+004	-7.37141818133068e-002,2.62010502714603e-002
4.63510942462049e+004	-7.56029634329648e-002,2.72845944488076e-002
4.64579445536136e+004	-7.75623534801876e-002,2.84288511250561e-002
4.65650411764195e+004	-7.95957324883444e-002,2.96381478361285e-002
4.66723846824383e+004	-8.17066659263844e-002,3.09171875592962e-002
4.67799756407947e+004	-8.38989137777719e-002,3.22710870810755e-002
4.68878146219251e+004	-8.61764402299133e-002,3.37054198636276e-002
4.69959021975810e+004	-8.85434233529795e-002,3.52262640008731e-002
4.71042389408321e+004	-9.10042646074720e-002,3.68402559406228e-002
4.72128254260690e+004	-9.35635979700174e-002,3.85546507468004e-002
4.73216622290064e+004	-9.62262984038484e-002,4.03773897894241e-002
4.74307499266862e+004	-9.89974893211136e-002,4.23171768801877e-002
4.75400890974806e+004	-1.01882548584109e-001,4.43835640221807e-002
4.76496803210948e+004	-1.04887112466500e-001,4.65870481160533e-002
4.77595241785707e+004	-1.08017076836815e-001,4.89391801646603e-002
4.78696212522896e+004	-1.11278594626226e-001,5.14526887487627e-002
4.79799721259750e+004	-1.14678068390199e-001,5.41416198101769e-002
4.80905773846963e+004	-1.18222136454808e-001,5.70214950818713e-002
4.82014376148717e+004	-1.21917650735984e-001,6.01094918488684e-002
4.83125534042710e+004	-1.25771643810801e-001,6.34246471162336e-002
4.84239253420191e+004	-1.29791282176038e-001,6.69880897004282e-002
4.85355540185989e+004	-1.33983801813000e-001,7.08233042527891e-002
4.86474400258545e+004	-1.38356421143390e-001,7.49564317647866e-002
4.87595839569945e+004	-1.42916225148196e-001,7.94166116882553e-002
4.88719864065947e+004	-1.47670012754867e-001,8.42363714167790e-002
4.89846479706017e+004	-1.52624097480385e-001,8.94520694884250e-002
4.90975692463361e+004	-1.57784048627041e-001,9.51043994409717e-002
4.92107508324950e+004	-1.63154356909427e-001,1.01238961705621e-001
4.93241933291561e+004	-1.68738004050804e-001,1.07906911146723e-001
4.94378973377802e+004	-1.74535910385754e-001,1.15165687666042e-001
4.95518634612145e+004	-1.80546227548454e-001,1.23079836418944e-001
4.96660923036962e+004	-1.86763434559470e-001,1.31721922232320e-001
4.97805844708552e+004	-1.93177184640025e-001,1.41173539165781e-001
4.98953405697175e+004	-1.99770836426389e-001,1.51526409939243e-001
5.00103612087086e+004	-2.06519586471996e-001,1.62883559874528e-001
5.01256469976564e+004	-2.13388099630653e-001,1.75360534215739e-001
5.02411985477947e+004	-2.20327509969517e-001,1.89086603574076e-001
5.03570164717664e+004	-2.27271637647772e-001,2.04205866096704e-001
5.04731013836266e+004	-2.34132238135441e-001,2.20878101717761e-001
5.05894538988458e+004	-2.40793072525851e-001,2.39279156740409e-001
5.07060746343135e+004	-2.47102568054377e-001,2.59600527321633e-001
5.08229642083414e+004	-2.52864838180635e-001,2.82047657746553e-001
5.09401232406662e+004	-2.57828872180473e-001,3.06836262529031e-001
5.10575523524535e+004	-2.61675818481801e-001,3.34185711439024e-001
5.11752521663007e+004	-2.64004525633327e-001,3.64308183234762e-001
5.12932233062406e+004	-2.64315944922500e-001,3.97391917944609e-001
5.14114663977443e+004	-2.61997739159770e-001,4.33576542685043e-001
5.15299820677251e+004	-2.56311597287891e-001,4.72918253073487e-001
5.16487709445411e+004	-2.46387415688225e-001,5.15342865258007e-001
5.17678336579991e+004	-2.31230655510768e-001,5.60585844195868e-001
5.18871708393579e+004	-2.09751528291442e-001,6.08120965007096e-001
5.20067831213313e+004	-1.80826388808619e-001,6.57083926718701e-001
5.21266711380917e+004	-1.43401248415660e-001,7.06204326719089e-001
5.22468355252733e+004	-9.66423213513270e-002,7.53768142649639e-001
5.23672769199760e+004	-4.01265896253665e-002,7.97640371767270e-001
5.24879959607678e+004	2.59539944162557e-002,8.35378176402752e-001
5.26089932876892e+004	1.00623583888929e-001,8.64451821305706e-001
5.27302695422559e+004	1.82052484895309e-001,8.82560048497299e-001
5.28518253674627e+004	2.67642229939144e-001,8.87984308557287e-001
5.29736614077862e+004	3.54283160320747e-001,8.79891403486732e-001
5.30957783091892e+004	4.38741891730305e-001,8.58490810254158e-001
5.32181767191233e+004	5.18082950169912e-001,8.24992729983902e-001
5.33408572865326e+004	5.90013732545812e-001,7.81380609657514e-001
5.34638206618573e+004	6.53074341697613e-001,7.30072534555674e-001
5.35870674970370e+004	7.06653971449210e-001,6.73569548298559e-001
5.37105984455142e+004	7.50870295427690e-001,6.14170934775670e-001
5.38344141622376e+004	7.86375175485173e-001,5.53795463414038e-001
5.39585153036658e+004	8.14147276661901e-001,4.93907769566711e-001
5.40829025277707e+004	8.35312353149875e-001,4.35524854582020e-001
5.42075764940411e+004	8.51009315438329e-001,3.79270697949309e-001
5.43325378634858e+004	8.62303233161579e-001,3.25451306504966e-001
5.44577872986376e+004	8.70137289277410e-001,2.74131271415082e-001
5.45833254635566e+004	8.75312780702778e-001,2.25201417074312e-001
5.47091530238336e+004	8.78486960241490e-001,1.78433420531432e-001
5.48352706465937e+004	8.80180701287990e-001,1.33521125501946e-001
