Freq.	V(vout)
4.00000000000000e+004	(-3.28035375493403e+001dB,1.69692014850200e+002°)
4.00922095231160e+004	(-3.26736539394520e+001dB,1.69616161496554e+002°)
4.01846316111358e+004	(-3.25428761086802e+001dB,1.69539194637787e+002°)
4.02772667540722e+004	(-3.24111902491191e+001dB,1.69461088565720e+002°)
4.03701154430674e+004	(-3.22785822388320e+001dB,1.69381816762869e+002°)
4.04631781703959e+004	(-3.21450376322391e+001dB,1.69301351870043e+002°)
4.05564554294672e+004	(-3.20105416501337e+001dB,1.69219665652342e+002°)
4.06499477148278e+004	(-3.18750791693115e+001dB,1.69136728963503e+002°)
4.07436555221647e+004	(-3.17386347117929e+001dB,1.69052511708458e+002°)
4.08375793483072e+004	(-3.16011924336226e+001dB,1.68966982804024e+002°)
4.09317196912301e+004	(-3.14627361132205e+001dB,1.68880110137593e+002°)
4.10260770500563e+004	(-3.13232491392711e+001dB,1.68791860523759e+002°)
4.11206519250589e+004	(-3.11827144981200e+001dB,1.68702199658653e+002°)
4.12154448176646e+004	(-3.10411147606597e+001dB,1.68611092071962e+002°)
4.13104562304559e+004	(-3.08984320686788e+001dB,1.68518501076422e+002°)
4.14056866671737e+004	(-3.07546481206455e+001dB,1.68424388714624e+002°)
4.15011366327205e+004	(-3.06097441568996e+001dB,1.68328715703009e+002°)
4.15968066331623e+004	(-3.04637009442251e+001dB,1.68231441372853e+002°)
4.16926971757321e+004	(-3.03164987597672e+001dB,1.68132523608014e+002°)
4.17888087688320e+004	(-3.01681173742650e+001dB,1.68031918779313e+002°)
4.18851419220359e+004	(-3.00185360345633e+001dB,1.67929581675248e+002°)
4.19816971460928e+004	(-2.98677334453670e+001dB,1.67825465428862e+002°)
4.20784749529289e+004	(-2.97156877501959e+001dB,1.67719521440477e+002°)
4.21754758556503e+004	(-2.95623765115038e+001dB,1.67611699296017e+002°)
4.22727003685463e+004	(-2.94077766899124e+001dB,1.67501946680668e+002°)
4.23701490070915e+004	(-2.92518646225153e+001dB,1.67390209287484e+002°)
4.24678222879489e+004	(-2.90946160002025e+001dB,1.67276430720647e+002°)
4.25657207289726e+004	(-2.89360058439542e+001dB,1.67160552393015e+002°)
4.26638448492102e+004	(-2.87760084800431e+001dB,1.67042513417509e+002°)
4.27621951689062e+004	(-2.86145975140904e+001dB,1.66922250491925e+002°)
4.28607722095042e+004	(-2.84517458039105e+001dB,1.66799697776751e+002°)
4.29595764936497e+004	(-2.82874254310777e+001dB,1.66674786765388e+002°)
4.30586085451933e+004	(-2.81216076711409e+001dB,1.66547446146301e+002°)
4.31578688891931e+004	(-2.79542629624155e+001dB,1.66417601656469e+002°)
4.32573580519174e+004	(-2.77853608732650e+001dB,1.66285175925478e+002°)
4.33570765608481e+004	(-2.76148700677929e+001dB,1.66150088309586e+002°)
4.34570249446825e+004	(-2.74427582698476e+001dB,1.66012254714937e+002°)
4.35572037333373e+004	(-2.72689922252466e+001dB,1.65871587409172e+002°)
4.36576134579502e+004	(-2.70935376621137e+001dB,1.65727994820445e+002°)
4.37582546508837e+004	(-2.69163592492201e+001dB,1.65581381322904e+002°)
4.38591278457273e+004	(-2.67374205522102e+001dB,1.65431647007553e+002°)
4.39602335773007e+004	(-2.65566839875861e+001dB,1.65278687437299e+002°)
4.40615723816565e+004	(-2.63741107743185e+001dB,1.65122393384908e+002°)
4.41631447960828e+004	(-2.61896608829383e+001dB,1.64962650552463e+002°)
4.42649513591065e+004	(-2.60032929819597e+001dB,1.64799339270760e+002°)
4.43669926104959e+004	(-2.58149643814691e+001dB,1.64632334177001e+002°)
4.44692690912635e+004	(-2.56246309737072e+001dB,1.64461503868829e+002°)
4.45717813436691e+004	(-2.54322471704632e+001dB,1.64286710532796e+002°)
4.46745299112223e+004	(-2.52377658370764e+001dB,1.64107809544887e+002°)
4.47775153386860e+004	(-2.50411382228459e+001dB,1.63924649040777e+002°)
4.48807381720784e+004	(-2.48423138876114e+001dB,1.63737069452886e+002°)
4.49841989586769e+004	(-2.46412406242823e+001dB,1.63544903011520e+002°)
4.50878982470203e+004	(-2.44378643770473e+001dB,1.63347973206490e+002°)
4.51918365869118e+004	(-2.42321291550047e+001dB,1.63146094205744e+002°)
4.52960145294222e+004	(-2.40239769409255e+001dB,1.62939070226871e+002°)
4.54004326268925e+004	(-2.38133475948373e+001dB,1.62726694856943e+002°)
4.55050914329371e+004	(-2.36001787521228e+001dB,1.62508750315821e+002°)
4.56099915024466e+004	(-2.33844057157749e+001dB,1.62285006657217e+002°)
4.57151333915907e+004	(-2.31659613424610e+001dB,1.62055220901457e+002°)
4.58205176578213e+004	(-2.29447759220133e+001dB,1.61819136093030e+002°)
4.59261448598752e+004	(-2.27207770499476e+001dB,1.61576480275231e+002°)
4.60320155577773e+004	(-2.24938894925939e+001dB,1.61326965373323e+002°)
4.61381303128435e+004	(-2.22640350444083e+001dB,1.61070285976701e+002°)
4.62444896876838e+004	(-2.20311323770140e+001dB,1.60806118009190e+002°)
4.63510942462049e+004	(-2.17950968795138e+001dB,1.60534117275575e+002°)
4.64579445536136e+004	(-2.15558404896059e+001dB,1.60253917870791e+002°)
4.65650411764195e+004	(-2.13132715150206e+001dB,1.59965130436448e+002°)
4.66723846824383e+004	(-2.10672944448228e+001dB,1.59667340247778e+002°)
4.67799756407947e+004	(-2.08178097501153e+001dB,1.59360105111516e+002°)
4.68878146219251e+004	(-2.05647136737147e+001dB,1.59042953052883e+002°)
4.69959021975810e+004	(-2.03078980084257e+001dB,1.58715379767158e+002°)
4.71042389408321e+004	(-2.00472498635732e+001dB,1.58376845807605e+002°)
4.72128254260690e+004	(-1.97826514195848e+001dB,1.58026773478266e+002°)
4.73216622290064e+004	(-1.95139796705150e+001dB,1.57664543395434e+002°)
4.74307499266862e+004	(-1.92411061545825e+001dB,1.57289490676801e+002°)
4.75400890974806e+004	(-1.89638966730412e+001dB,1.56900900711623e+002°)
4.76496803210948e+004	(-1.86822109979909e+001dB,1.56498004458492e+002°)
4.77595241785707e+004	(-1.83959025701567e+001dB,1.56079973209883e+002°)
4.78696212522896e+004	(-1.81048181881797e+001dB,1.55645912753741e+002°)
4.79799721259750e+004	(-1.78087976916549e+001dB,1.55194856852469e+002°)
4.80905773846963e+004	(-1.75076736410157e+001dB,1.54725759947630e+002°)
4.82014376148717e+004	(-1.72012709985157e+001dB,1.54237488985681e+002°)
4.83125534042710e+004	(-1.68894068159984e+001dB,1.53728814244019e+002°)
4.84239253420191e+004	(-1.65718899370199e+001dB,1.53198399019096e+002°)
4.85355540185989e+004	(-1.62485207232759e+001dB,1.52644788017287e+002°)
4.86474400258545e+004	(-1.59190908183531e+001dB,1.52066394265794e+002°)
