Freq.	V(vin)/I(V1)
4.00000000000000e+004	(9.81645240769584e+001dB,1.77838659216973e+002°)
4.00922095231160e+004	(9.81674791805638e+001dB,1.77817503948840e+002°)
4.01846316111358e+004	(9.81704795739065e+001dB,1.77795952224525e+002°)
4.02772667540722e+004	(9.81735262360853e+001dB,1.77773992942535e+002°)
4.03701154430674e+004	(9.81766201729636e+001dB,1.77751614590858e+002°)
4.04631781703959e+004	(9.81797624180027e+001dB,1.77728805228143e+002°)
4.05564554294672e+004	(9.81829540331199e+001dB,1.77705552463846e+002°)
4.06499477148278e+004	(9.81861961095726e+001dB,1.77681843437298e+002°)
4.07436555221647e+004	(9.81894897688687e+001dB,1.77657664795593e+002°)
4.08375793483072e+004	(9.81928361637017e+001dB,1.77633002670252e+002°)
4.09317196912301e+004	(9.81962364789139e+001dB,1.77607842652563e+002°)
4.10260770500563e+004	(9.81996919324845e+001dB,1.77582169767516e+002°)
4.11206519250589e+004	(9.82032037765441e+001dB,1.77555968446245e+002°)
4.12154448176646e+004	(9.82067732984156e+001dB,1.77529222496874e+002°)
4.13104562304559e+004	(9.82104018216800e+001dB,1.77501915073655e+002°)
4.14056866671737e+004	(9.82140907072670e+001dB,1.77474028644297e+002°)
4.15011366327205e+004	(9.82178413545701e+001dB,1.77445544955345e+002°)
4.15968066331623e+004	(9.82216552025836e+001dB,1.77416444995485e+002°)
4.16926971757321e+004	(9.82255337310620e+001dB,1.77386708956637e+002°)
4.17888087688320e+004	(9.82294784616980e+001dB,1.77356316192667e+002°)
4.18851419220359e+004	(9.82334909593181e+001dB,1.77325245175555e+002°)
4.19816971460928e+004	(9.82375728330934e+001dB,1.77293473448854e+002°)
4.20784749529289e+004	(9.82417257377610e+001dB,1.77260977578213e+002°)
4.21754758556503e+004	(9.82459513748530e+001dB,1.77227733098793e+002°)
4.22727003685463e+004	(9.82502514939292e+001dB,1.77193714459303e+002°)
4.23701490070915e+004	(9.82546278938062e+001dB,1.77158894962457e+002°)
4.24678222879489e+004	(9.82590824237786e+001dB,1.77123246701537e+002°)
4.25657207289726e+004	(9.82636169848232e+001dB,1.77086740492813e+002°)
4.26638448492102e+004	(9.82682335307787e+001dB,1.77049345803475e+002°)
4.27621951689062e+004	(9.82729340694904e+001dB,1.77011030674756e+002°)
4.28607722095042e+004	(9.82777206639076e+001dB,1.76971761639862e+002°)
4.29595764936497e+004	(9.82825954331210e+001dB,1.76931503636320e+002°)
