Freq.	V(vo)
Step Information: Run=1  (Run: 1/20)
1.00000000000000e+001	(-4.41765883809433e+001dB,-1.53964600066427e-002°)
1.02329299228075e+001	(-4.41765896498598e+001dB,-1.57550885522608e-002°)
1.04712854805090e+001	(-4.41765909786037e+001dB,-1.61220705529305e-002°)
1.07151930523761e+001	(-4.41765923700153e+001dB,-1.64976005803247e-002°)
1.09647819614319e+001	(-4.41765938267963e+001dB,-1.68818777351882e-002°)
1.12201845430196e+001	(-4.41765953523437e+001dB,-1.72751057609858e-002°)
1.14815362149688e+001	(-4.41765969498492e+001dB,-1.76774931430908e-002°)
1.17489755493953e+001	(-4.41765986226796e+001dB,-1.80892532228428e-002°)
1.20226443461741e+001	(-4.41766003742327e+001dB,-1.85106043090051e-002°)
1.23026877081238e+001	(-4.41766022084686e+001dB,-1.89417697991390e-002°)
1.25892541179417e+001	(-4.41766041290105e+001dB,-1.93829782881476e-002°)
1.28824955169313e+001	(-4.41766061400553e+001dB,-1.98344636992937e-002°)
1.31825673855641e+001	(-4.41766082460021e+001dB,-2.02964654041850e-002°)
1.34896288259165e+001	(-4.41766104510050e+001dB,-2.07692283439858e-002°)
1.38038426460288e+001	(-4.41766127601122e+001dB,-2.12530031728081e-002°)
1.41253754462275e+001	(-4.41766151779886e+001dB,-2.17480463749771e-002°)
1.44543977074593e+001	(-4.41766177099044e+001dB,-2.22546204128991e-002°)
1.47910838816821e+001	(-4.41766203609870e+001dB,-2.27729938565289e-002°)
1.51356124843621e+001	(-4.41766231370598e+001dB,-2.33034415364401e-002°)
1.54881661891248e+001	(-4.41766260438939e+001dB,-2.38462446794121e-002°)
1.58489319246111e+001	(-4.41766290878971e+001dB,-2.44016910667825e-002°)
1.62181009735893e+001	(-4.41766322752907e+001dB,-2.49700751750180e-002°)
1.65958690743756e+001	(-4.41766356130256e+001dB,-2.55516983446954e-002°)
1.69824365246174e+001	(-4.41766391078854e+001dB,-2.61468689267196e-002°)
1.73780082874937e+001	(-4.41766427674021e+001dB,-2.67559024590739e-002°)
1.77827941003892e+001	(-4.41766465994893e+001dB,-2.73791218285479e-002°)
1.81970085860998e+001	(-4.41766506121508e+001dB,-2.80168574367088e-002°)
1.86208713666287e+001	(-4.41766548140209e+001dB,-2.86694473833230e-002°)
1.90546071796325e+001	(-4.41766592137714e+001dB,-2.93372376352267e-002°)
1.94984459975804e+001	(-4.41766638209558e+001dB,-3.00205822235944e-002°)
1.99526231496888e+001	(-4.41766686453420e+001dB,-3.07198434197962e-002°)
2.04173794466953e+001	(-4.41766736970015e+001dB,-3.14353919281611e-002°)
2.08929613085404e+001	(-4.41766789867774e+001dB,-3.21676070903403e-002°)
2.13796208950223e+001	(-4.41766845258455e+001dB,-3.29168770779454e-002°)
2.18776162394955e+001	(-4.41766903259572e+001dB,-3.36835991019501e-002°)
2.23872113856834e+001	(-4.41766963993799e+001dB,-3.44681796214626e-002°)
2.29086765276777e+001	(-4.41767027591414e+001dB,-3.52710345633365e-002°)
2.34422881531992e+001	(-4.41767094185943e+001dB,-3.60925895329192e-002°)
2.39883291901949e+001	(-4.41767163918124e+001dB,-3.69332800467651e-002°)
2.45470891568503e+001	(-4.41767236939133e+001dB,-3.77935517698158e-002°)
2.51188643150958e+001	(-4.41767313398697e+001dB,-3.86738607243634e-002°)
2.57039578276886e+001	(-4.41767393464201e+001dB,-3.95746735732031e-002°)
2.63026799189538e+001	(-4.41767477301273e+001dB,-4.04964678219891e-002°)
2.69153480392691e+001	(-4.41767565089882e+001dB,-4.14397321078493e-002°)
2.75422870333816e+001	(-4.41767657016284e+001dB,-4.24049664386526e-002°)
2.81838293126445e+001	(-4.41767753274788e+001dB,-4.33926824603317e-002°)
2.88403150312660e+001	(-4.41767854069541e+001dB,-4.44034037310389e-002°)
2.95120922666638e+001	(-4.41767959615569e+001dB,-4.54376659997702e-002°)
3.01995172040201e+001	(-4.41768070136059e+001dB,-4.64960174814943e-002°)
3.09029543251359e+001	(-4.41768185864929e+001dB,-4.75790191522483e-002°)
3.16227766016838e+001	(-4.41768307048678e+001dB,-4.86872450496858e-002°)
3.23593656929628e+001	(-4.41768433943700e+001dB,-4.98212825677111e-002°)
3.31131121482591e+001	(-4.41768566818160e+001dB,-5.09817327702699e-002°)
3.38844156139202e+001	(-4.41768705955385e+001dB,-5.21692107177074e-002°)
3.46736850452531e+001	(-4.41768851649737e+001dB,-5.33843457776667e-002°)
3.54813389233575e+001	(-4.41769004211549e+001dB,-5.46277819707527e-002°)
3.63078054770101e+001	(-4.41769163963785e+001dB,-5.59001782982954e-002°)
3.71535229097172e+001	(-4.41769331244760e+001dB,-5.72022090965823e-002°)
3.80189396320561e+001	(-4.41769506409368e+001dB,-5.85345643946481e-002°)
3.89045144994280e+001	(-4.41769689831090e+001dB,-5.98979502834425e-002°)
3.98107170553497e+001	(-4.41769881894962e+001dB,-6.12930892607471e-002°)
4.07380277804112e+001	(-4.41770083012471e+001dB,-6.27207206623624e-002°)
4.16869383470335e+001	(-4.41770293609282e+001dB,-6.41816010056975e-002°)
