Freq.	V(vo)
1.00000000000000e+001	(-4.39141094092505e+001dB,-1.34404597973919e-002°)
1.02329299228075e+001	(-4.39141106534264e+001dB,-1.37535272528251e-002°)
1.04712854805090e+001	(-4.39141119561240e+001dB,-1.40738869084473e-002°)
1.07151930523761e+001	(-4.39141133203030e+001dB,-1.44017086177236e-002°)
1.09647819614319e+001	(-4.39141147486436e+001dB,-1.47371661863511e-002°)
1.12201845430196e+001	(-4.39141162443582e+001dB,-1.50804374717557e-002°)
1.14815362149688e+001	(-4.39141178106085e+001dB,-1.54317044719624e-002°)
1.17489755493953e+001	(-4.39141194507301e+001dB,-1.57911534240232e-002°)
1.20226443461741e+001	(-4.39141211679436e+001dB,-1.61589748996764e-002°)
1.23026877081238e+001	(-4.39141229661674e+001dB,-1.65353639145895e-002°)
1.25892541179417e+001	(-4.39141248492882e+001dB,-1.69205200243403e-002°)
1.28824955169313e+001	(-4.39141268210205e+001dB,-1.73146474281963e-002°)
1.31825673855641e+001	(-4.39141288857920e+001dB,-1.77179550869992e-002°)
1.34896288259165e+001	(-4.39141310477233e+001dB,-1.81306568224383e-002°)
1.38038426460288e+001	(-4.39141333115870e+001dB,-1.85529714411041e-002°)
1.41253754462275e+001	(-4.39141356822280e+001dB,-1.89851228438123e-002°)
1.44543977074593e+001	(-4.39141381644967e+001dB,-1.94273401430355e-002°)
1.47910838816821e+001	(-4.39141407637696e+001dB,-1.98798577905980e-002°)
1.51356124843621e+001	(-4.39141434855905e+001dB,-2.03429156973895e-002°)
1.54881661891248e+001	(-4.39141463356777e+001dB,-2.08167593602963e-002°)
1.58489319246111e+001	(-4.39141493200794e+001dB,-2.13016399941881e-002°)
1.62181009735893e+001	(-4.39141524451090e+001dB,-2.17978146638620e-002°)
1.65958690743756e+001	(-4.39141557174273e+001dB,-2.23055464212989e-002°)
1.69824365246174e+001	(-4.39141591439051e+001dB,-2.28251044428114e-002°)
1.73780082874937e+001	(-4.39141627320004e+001dB,-2.33567641769058e-002°)
