Freq.	V(vo)
Step Information: Rb_1=900 Rb_2=900  (Run: 1/25)
1.00000000000000e+001	(-4.37669932962732e+001dB,-1.12309611092746e-002°)
1.02329299228075e+001	(-4.37669944287046e+001dB,-1.14925618179961e-002°)
1.04712854805090e+001	(-4.37669956144034e+001dB,-1.17602558474449e-002°)
1.07151930523761e+001	(-4.37669968560604e+001dB,-1.20341851205729e-002°)
1.09647819614319e+001	(-4.37669981561184e+001dB,-1.23144948624175e-002°)
1.12201845430196e+001	(-4.37669995174985e+001dB,-1.26013336829020e-002°)
1.14815362149688e+001	(-4.37670009430785e+001dB,-1.28948536512706e-002°)
1.17489755493953e+001	(-4.37670024358942e+001dB,-1.31952103782048e-002°)
1.20226443461741e+001	(-4.37670039988812e+001dB,-1.35025630958337e-002°)
1.23026877081238e+001	(-4.37670056356013e+001dB,-1.38170747486191e-002°)
1.25892541179417e+001	(-4.37670073495914e+001dB,-1.41389120738135e-002°)
1.28824955169313e+001	(-4.37670091442364e+001dB,-1.44682456881703e-002°)
1.31825673855641e+001	(-4.37670110235627e+001dB,-1.48052501860199e-002°)
1.34896288259165e+001	(-4.37670129913247e+001dB,-1.51501042225859e-002°)
1.38038426460288e+001	(-4.37670150518635e+001dB,-1.55029906171491e-002°)
1.41253754462275e+001	(-4.37670172095883e+001dB,-1.58640964445810e-002°)
1.44543977074593e+001	(-4.37670194689164e+001dB,-1.62336131334172e-002°)
1.47910838816821e+001	(-4.37670218347400e+001dB,-1.66117365722304e-002°)
1.51356124843621e+001	(-4.37670243121042e+001dB,-1.69986672097236e-002°)
1.54881661891248e+001	(-4.37670269062148e+001dB,-1.73946101606980e-002°)
1.58489319246111e+001	(-4.37670296225765e+001dB,-1.77997753161522e-002°)
1.62181009735893e+001	(-4.37670324669361e+001dB,-1.82143774534426e-002°)
1.65958690743756e+001	(-4.37670354453555e+001dB,-1.86386363508090e-002°)
1.69824365246174e+001	(-4.37670385640895e+001dB,-1.90727769019091e-002°)
1.73780082874937e+001	(-4.37670418299236e+001dB,-1.95170292390103e-002°)
1.77827941003892e+001	(-4.37670452495915e+001dB,-1.99716288469339e-002°)
1.81970085860998e+001	(-4.37670488304429e+001dB,-2.04368166962079e-002°)
1.86208713666287e+001	(-4.37670525801245e+001dB,-2.09128393662104e-002°)
1.90546071796325e+001	(-4.37670565063291e+001dB,-2.13999491714996e-002°)
1.94984459975804e+001	(-4.37670606177263e+001dB,-2.18984043085638e-002°)
1.99526231496888e+001	(-4.37670649229890e+001dB,-2.24084689780017e-002°)
2.04173794466953e+001	(-4.37670694309372e+001dB,-2.29304135255803e-002°)
2.08929613085404e+001	(-4.37670741514717e+001dB,-2.34645145993213e-002°)
2.13796208950223e+001	(-4.37670790944043e+001dB,-2.40110552773502e-002°)
2.18776162394955e+001	(-4.37670842703267e+001dB,-2.45703252307085e-002°)
2.23872113856834e+001	(-4.37670896901658e+001dB,-2.51426208689567e-002°)
2.29086765276777e+001	(-4.37670953655281e+001dB,-2.57282455021038e-002°)
2.34422881531992e+001	(-4.37671013082559e+001dB,-2.63275094926507e-002°)
2.39883291901949e+001	(-4.37671075311018e+001dB,-2.69407304309331e-002°)
2.45470891568503e+001	(-4.37671140472214e+001dB,-2.75682332933055e-002°)
2.51188643150958e+001	(-4.37671208704552e+001dB,-2.82103506182188e-002°)
2.57039578276886e+001	(-4.37671280152166e+001dB,-2.88674226790916e-002°)
2.63026799189538e+001	(-4.37671354967758e+001dB,-2.95397976687992e-002°)
2.69153480392691e+001	(-4.37671433308875e+001dB,-3.02278318752644e-002°)
2.75422870333816e+001	(-4.37671515341423e+001dB,-3.09318898756975e-002°)
2.81838293126445e+001	(-4.37671601241215e+001dB,-3.16523447315144e-002°)
2.88403150312660e+001	(-4.37671691189631e+001dB,-3.23895781750933e-002°)
2.95120922666638e+001	(-4.37671785376497e+001dB,-3.31439808158528e-002°)
3.01995172040201e+001	(-4.37671884002341e+001dB,-3.39159523504247e-002°)
3.09029543251359e+001	(-4.37671987276706e+001dB,-3.47059017684476e-002°)
3.16227766016838e+001	(-4.37672095418448e+001dB,-3.55142475674513e-002°)
3.23593656929628e+001	(-4.37672208655398e+001dB,-3.63414179710291e-002°)
3.31131121482591e+001	(-4.37672327231260e+001dB,-3.71878511700355e-002°)
3.38844156139202e+001	(-4.37672451394789e+001dB,-3.80539955249140e-002°)
3.46736850452531e+001	(-4.37672581410009e+001dB,-3.89403098254729e-002°)
3.54813389233575e+001	(-4.37672717553303e+001dB,-3.98472635234847e-002°)
3.63078054770101e+001	(-4.37672860112503e+001dB,-4.07753369750902e-002°)
3.71535229097172e+001	(-4.37673009390581e+001dB,-4.17250217013727e-002°)
3.80189396320561e+001	(-4.37673165704125e+001dB,-4.26968206403334e-002°)
3.89045144994280e+001	(-4.37673329383784e+001dB,-4.36912484099825e-002°)
3.98107170553497e+001	(-4.37673500780010e+001dB,-4.47088315931708e-002°)
4.07380277804112e+001	(-4.37673680251066e+001dB,-4.57501089750195e-002°)
4.16869383470335e+001	(-4.37673868183271e+001dB,-4.68156318847411e-002°)
4.26579518801592e+001	(-4.37674064971827e+001dB,-4.79059644222719e-002°)
4.36515832240165e+001	(-4.37674271035197e+001dB,-4.90216837956198e-002°)
4.46683592150962e+001	(-4.37674486810449e+001dB,-5.01633806053021e-002°)
4.57088189614874e+001	(-4.37674712755197e+001dB,-5.13316591557191e-002°)
4.67735141287197e+001	(-4.37674949348263e+001dB,-5.25271377698218e-002°)
4.78630092322638e+001	(-4.37675197092338e+001dB,-5.37504491173201e-002°)
4.89778819368445e+001	(-4.37675456514046e+001dB,-5.50022405412302e-002°)
5.01187233627271e+001	(-4.37675728161419e+001dB,-5.62831743811576e-002°)
5.12861383991364e+001	(-4.37676012612573e+001dB,-5.75939283461185e-002°)
5.24807460249772e+001	(-4.37676310469966e+001dB,-5.89351958403911e-002°)
5.37031796370252e+001	(-4.37676622365215e+001dB,-6.03076863372682e-002°)
5.49540873857624e+001	(-4.37676948961311e+001dB,-6.17121257510888e-002°)
5.62341325190348e+001	(-4.37677290949644e+001dB,-6.31492567951625e-002°)
5.75439937337156e+001	(-4.37677649056903e+001dB,-6.46198393893332e-002°)
5.88843655355588e+001	(-4.37678024042185e+001dB,-6.61246510339740e-002°)
6.02559586074357e+001	(-4.37678416701377e+001dB,-6.76644872235975e-002°)
6.16595001861481e+001	(-4.37678827867640e+001dB,-6.92401618522373e-002°)
6.30957344480192e+001	(-4.37679258413276e+001dB,-7.08525076330191e-002°)
6.45654229034654e+001	(-4.37679709251634e+001dB,-7.25023765268280e-002°)
6.60693448007595e+001	(-4.37680181339091e+001dB,-7.41906401801973e-002°)
6.76082975391980e+001	(-4.37680675678400e+001dB,-7.59181903795674e-002°)
6.91830970918935e+001	(-4.37681193316193e+001dB,-7.76859394837837e-002°)
7.07945784384136e+001	(-4.37681735351726e+001dB,-7.94948209244555e-002°)
7.24435960074988e+001	(-4.37682302937800e+001dB,-8.13457896765361e-002°)
7.41310241300916e+001	(-4.37682897274540e+001dB,-8.32398226962764e-002°)
7.58577575029182e+001	(-4.37683519623620e+001dB,-8.51779194821339e-002°)
7.76247116628690e+001	(-4.37684171308767e+001dB,-8.71611025720340e-002°)
7.94328234724279e+001	(-4.37684853710440e+001dB,-8.91904180130923e-002°)
8.12830516164097e+001	(-4.37685568276370e+001dB,-9.12669359341784e-002°)
8.31763771102669e+001	(-4.37686316523654e+001dB,-9.33917510805864e-002°)
8.51138038202374e+001	(-4.37687100040286e+001dB,-9.55659833540272e-002°)
8.70963589956078e+001	(-4.37687920488768e+001dB,-9.77907783759760e-002°)
8.91250938133743e+001	(-4.37688779611141e+001dB,-1.00067308070255e-001°)
9.12010839355907e+001	(-4.37689679228221e+001dB,-1.02396771217266e-001°)
9.33254300796988e+001	(-4.37690621250112e+001dB,-1.04780394095491e-001°)
9.54992586021433e+001	(-4.37691607677668e+001dB,-1.07219431072616e-001°)
9.77237220955808e+001	(-4.37692640603401e+001dB,-1.09715165200963e-001°)
9.99999999999997e+001	(-4.37693722218464e+001dB,-1.12268908866555e-001°)
1.02329299228075e+002	(-4.37694854820422e+001dB,-1.14882004457131e-001°)
1.04712854805090e+002	(-4.37696040811319e+001dB,-1.17555824966052e-001°)
1.07151930523760e+002	(-4.37697282709706e+001dB,-1.20291774714079e-001°)
1.09647819614318e+002	(-4.37698583151663e+001dB,-1.23091289996208e-001°)
1.12201845430196e+002	(-4.37699944897903e+001dB,-1.25955839786363e-001°)
1.14815362149688e+002	(-4.37701370837123e+001dB,-1.28886926420778e-001°)
1.17489755493953e+002	(-4.37702863999399e+001dB,-1.31886086378956e-001°)
1.20226443461741e+002	(-4.37704427552691e+001dB,-1.34954890926947e-001°)
1.23026877081238e+002	(-4.37706064817310e+001dB,-1.38094946927914e-001°)
1.25892541179416e+002	(-4.37707779268765e+001dB,-1.41307897559163e-001°)
1.28824955169313e+002	(-4.37709574546111e+001dB,-1.44595423087124e-001°)
1.31825673855640e+002	(-4.37711454464460e+001dB,-1.47959241694932e-001°)
1.34896288259165e+002	(-4.37713423013312e+001dB,-1.51401110176493e-001°)
1.38038426460288e+002	(-4.37715484372220e+001dB,-1.54922824810079e-001°)
1.41253754462275e+002	(-4.37717642920824e+001dB,-1.58526222187890e-001°)
1.44543977074592e+002	(-4.37719903242606e+001dB,-1.62213179983559e-001°)
1.47910838816820e+002	(-4.37722270137491e+001dB,-1.65985617819258e-001°)
1.51356124843620e+002	(-4.37724748632800e+001dB,-1.69845498122509e-001°)
1.54881661891248e+002	(-4.37727343994536e+001dB,-1.73794826993661e-001°)
1.58489319246111e+002	(-4.37730061735081e+001dB,-1.77835655033865e-001°)
1.62181009735892e+002	(-4.37732907627836e+001dB,-1.81970078256966e-001°)
1.65958690743755e+002	(-4.37735887718957e+001dB,-1.86200238971647e-001°)
1.69824365246174e+002	(-4.37739008340821e+001dB,-1.90528326685025e-001°)
1.73780082874937e+002	(-4.37742276125912e+001dB,-1.94956579013204e-001°)
