Freq.	V(vo)
Step Information: Rb_1=900  (Run: 1/11)
1.00000000000000e+001	(-4.38084767313113e+001dB,-1.16722682340114e-002°)
1.02329299228075e+001	(-4.38084778657764e+001dB,-1.19441483331123e-002°)
1.04712854805090e+001	(-4.38084790537120e+001dB,-1.22223611935097e-002°)
1.07151930523761e+001	(-4.38084802976380e+001dB,-1.25070543141591e-002°)
1.09647819614319e+001	(-4.38084816001781e+001dB,-1.27983786288516e-002°)
1.12201845430196e+001	(-4.38084829641080e+001dB,-1.30964885865897e-002°)
1.14815362149688e+001	(-4.38084843923072e+001dB,-1.34015422328580e-002°)
1.17489755493953e+001	(-4.38084858879558e+001dB,-1.37137012951569e-002°)
1.20226443461741e+001	(-4.38084874539596e+001dB,-1.40331312633448e-002°)
1.23026877081238e+001	(-4.38084890937569e+001dB,-1.43600014844590e-002°)
1.25892541179417e+001	(-4.38084908108439e+001dB,-1.46944852482562e-002°)
1.28824955169313e+001	(-4.38084926088592e+001dB,-1.50367598794971e-002°)
1.31825673855641e+001	(-4.38084944917374e+001dB,-1.53870068334010e-002°)
1.34896288259165e+001	(-4.38084964632233e+001dB,-1.57454117867523e-002°)
1.38038426460288e+001	(-4.38084985276115e+001dB,-1.61121647434993e-002°)
1.41253754462275e+001	(-4.38085006893659e+001dB,-1.64874601316865e-002°)
1.44543977074593e+001	(-4.38085029529272e+001dB,-1.68714969039437e-002°)
1.47910838816821e+001	(-4.38085053232246e+001dB,-1.72644786483858e-002°)
1.51356124843621e+001	(-4.38085078051723e+001dB,-1.76666136907372e-002°)
1.54881661891248e+001	(-4.38085104041682e+001dB,-1.80781152100726e-002°)
1.58489319246111e+001	(-4.38085131255725e+001dB,-1.84992013454330e-002°)
1.62181009735893e+001	(-4.38085159752976e+001dB,-1.89300953182778e-002°)
1.65958690743756e+001	(-4.38085189593176e+001dB,-1.93710255444429e-002°)
1.69824365246174e+001	(-4.38085220839131e+001dB,-1.98222257579154e-002°)
1.73780082874937e+001	(-4.38085253557510e+001dB,-2.02839351351744e-002°)
1.77827941003892e+001	(-4.38085287819267e+001dB,-2.07563984225865e-002°)
1.81970085860998e+001	(-4.38085323694516e+001dB,-2.12398660584329e-002°)
1.86208713666287e+001	(-4.38085361261024e+001dB,-2.17345943166857e-002°)
1.90546071796325e+001	(-4.38085400597289e+001dB,-2.22408454330195e-002°)
1.94984459975804e+001	(-4.38085441788904e+001dB,-2.27588877523072e-002°)
1.99526231496888e+001	(-4.38085484920953e+001dB,-2.32889958588397e-002°)
2.04173794466953e+001	(-4.38085530085257e+001dB,-2.38314507323056e-002°)
2.08929613085404e+001	(-4.38085577378630e+001dB,-2.43865398932375e-002°)
2.13796208950223e+001	(-4.38085626900864e+001dB,-2.49545575517676e-002°)
2.18776162394955e+001	(-4.38085678757065e+001dB,-2.55358047663382e-002°)
2.23872113856834e+001	(-4.38085733057009e+001dB,-2.61305896012267e-002°)
2.29086765276777e+001	(-4.38085789915978e+001dB,-2.67392272906211e-002°)
2.34422881531992e+001	(-4.38085849455668e+001dB,-2.73620404063509e-002°)
2.39883291901949e+001	(-4.38085911800558e+001dB,-2.79993590208674e-002°)
2.45470891568503e+001	(-4.38085977084131e+001dB,-2.86515208926901e-002°)
2.51188643150958e+001	(-4.38086045443825e+001dB,-2.93188716350037e-002°)
2.57039578276886e+001	(-4.38086117025351e+001dB,-3.00017649053773e-002°)
2.63026799189538e+001	(-4.38086191981205e+001dB,-3.07005625892454e-002°)
2.69153480392691e+001	(-4.38086270468596e+001dB,-3.14156349857054e-002°)
2.75422870333816e+001	(-4.38086352655825e+001dB,-3.21473610156255e-002°)
2.81838293126445e+001	(-4.38086438716277e+001dB,-3.28961284079051e-002°)
2.88403150312660e+001	(-4.38086528832802e+001dB,-3.36623339126372e-002°)
2.95120922666638e+001	(-4.38086623195807e+001dB,-3.44463835050403e-002°)
3.01995172040201e+001	(-4.38086722007230e+001dB,-3.52486926073761e-002°)
3.09029543251359e+001	(-4.38086825474921e+001dB,-3.60696862944815e-002°)
3.16227766016838e+001	(-4.38086933818872e+001dB,-3.69097995302978e-002°)
3.23593656929628e+001	(-4.38087047269048e+001dB,-3.77694773913399e-002°)
3.31131121482591e+001	(-4.38087166066484e+001dB,-3.86491753020065e-002°)
3.38844156139202e+001	(-4.38087290461743e+001dB,-3.95493592694907e-002°)
3.46736850452531e+001	(-4.38087420721493e+001dB,-4.04705061436130e-002°)
3.54813389233575e+001	(-4.38087557119259e+001dB,-4.14131038426055e-002°)
3.63078054770101e+001	(-4.38087699945246e+001dB,-4.23776516340953e-002°)
3.71535229097172e+001	(-4.38087849502774e+001dB,-4.33646603850060e-002°)
3.80189396320561e+001	(-4.38088006109500e+001dB,-4.43746528330189e-002°)
3.89045144994280e+001	(-4.38088170096604e+001dB,-4.54081638556891e-002°)
3.98107170553497e+001	(-4.38088341812662e+001dB,-4.64657407599131e-002°)
4.07380277804112e+001	(-4.38088521621180e+001dB,-4.75479435605148e-002°)
4.16869383470335e+001	(-4.38088709904572e+001dB,-4.86553452822820e-002°)
4.26579518801592e+001	(-4.38088907061952e+001dB,-4.97885322518448e-002°)
4.36515832240165e+001	(-4.38089113510971e+001dB,-5.09481044062837e-002°)
4.46683592150962e+001	(-4.38089329690911e+001dB,-5.21346756160013e-002°)
4.57088189614874e+001	(-4.38089556059101e+001dB,-5.33488739887035e-002°)
4.67735141287197e+001	(-4.38089793095475e+001dB,-5.45913422110238e-002°)
4.78630092322638e+001	(-4.38090041303231e+001dB,-5.58627378819527e-002°)
4.89778819368445e+001	(-4.38090301210600e+001dB,-5.71637338597841e-002°)
5.01187233627271e+001	(-4.38090573367567e+001dB,-5.84950185955917e-002°)
5.12861383991364e+001	(-4.38090858351340e+001dB,-5.98572965078182e-002°)
5.24807460249772e+001	(-4.38091156766389e+001dB,-6.12512883445672e-002°)
5.37031796370252e+001	(-4.38091469246875e+001dB,-6.26777315636783e-002°)
5.49540873857624e+001	(-4.38091796453887e+001dB,-6.41373806976181e-002°)
5.62341325190348e+001	(-4.38092139082713e+001dB,-6.56310077707704e-002°)
5.75439937337156e+001	(-4.38092497861769e+001dB,-6.71594026882317e-002°)
5.88843655355588e+001	(-4.38092873549333e+001dB,-6.87233736245420e-002°)
6.02559586074357e+001	(-4.38093266944610e+001dB,-7.03237474828421e-002°)
6.16595001861481e+001	(-4.38093678880702e+001dB,-7.19613702822396e-002°)
6.30957344480192e+001	(-4.38094110232940e+001dB,-7.36371076267461e-002°)
6.45654229034654e+001	(-4.38094561915602e+001dB,-7.53518451250508e-002°)
6.60693448007595e+001	(-4.38095034887863e+001dB,-7.71064888669340e-002°)
6.76082975391980e+001	(-4.38095530152197e+001dB,-7.89019658696972e-002°)
6.91830970918935e+001	(-4.38096048760291e+001dB,-8.07392245742995e-002°)
7.07945784384136e+001	(-4.38096591811312e+001dB,-8.26192353100205e-002°)
7.24435960074988e+001	(-4.38097160459337e+001dB,-8.45429908177994e-002°)
7.41310241300916e+001	(-4.38097755910083e+001dB,-8.65115067265276e-002°)
7.58577575029182e+001	(-4.38098379425607e+001dB,-8.85258220816518e-002°)
7.76247116628690e+001	(-4.38099032330860e+001dB,-9.05869998971553e-002°)
7.94328234724279e+001	(-4.38099716011301e+001dB,-9.26961276635091e-002°)
8.12830516164097e+001	(-4.38100431915854e+001dB,-9.48543178996258e-002°)
8.31763771102669e+001	(-4.38101181564905e+001dB,-9.70627087443054e-002°)
8.51138038202374e+001	(-4.38101966549403e+001dB,-9.93224645057901e-002°)
8.70963589956078e+001	(-4.38102788534867e+001dB,-1.01634776250200e-001°)
8.91250938133743e+001	(-4.38103649265188e+001dB,-1.04000862401623e-001°)
9.12010839355907e+001	(-4.38104550567584e+001dB,-1.06421969359869e-001°)
9.33254300796988e+001	(-4.38105494354757e+001dB,-1.08899372110689e-001°)
9.54992586021433e+001	(-4.38106482630236e+001dB,-1.11434374869481e-001°)
9.77237220955808e+001	(-4.38107517490248e+001dB,-1.14028311710455e-001°)
9.99999999999997e+001	(-4.38108601132497e+001dB,-1.16682547258084e-001°)
1.02329299228075e+002	(-4.38109735855441e+001dB,-1.19398477318341e-001°)
1.04712854805090e+002	(-4.38110924067392e+001dB,-1.22177529595744e-001°)
1.07151930523760e+002	(-4.38112168292300e+001dB,-1.25021164399377e-001°)
1.09647819614318e+002	(-4.38113471170179e+001dB,-1.27930875310362e-001°)
1.12201845430196e+002	(-4.38114835466872e+001dB,-1.30908189944699e-001°)
1.14815362149688e+002	(-4.38116264078672e+001dB,-1.33954670675813e-001°)
1.17489755493953e+002	(-4.38117760036471e+001dB,-1.37071915369709e-001°)
1.20226443461741e+002	(-4.38119326518403e+001dB,-1.40261558202731e-001°)
1.23026877081238e+002	(-4.38120966849785e+001dB,-1.43525270380130e-001°)
1.25892541179416e+002	(-4.38122684512294e+001dB,-1.46864760941949e-001°)
1.28824955169313e+002	(-4.38124483153161e+001dB,-1.50281777585580e-001°)
1.31825673855640e+002	(-4.38126366592392e+001dB,-1.53778107476262e-001°)
1.34896288259165e+002	(-4.38128338827945e+001dB,-1.57355578048649e-001°)
1.38038426460288e+002	(-4.38130404048703e+001dB,-1.61016057893837e-001°)
1.41253754462275e+002	(-4.38132566639893e+001dB,-1.64761457577524e-001°)
1.44543977074592e+002	(-4.38134831195013e+001dB,-1.68593730539164e-001°)
1.47910838816820e+002	(-4.38137202523676e+001dB,-1.72514873945891e-001°)
1.51356124843620e+002	(-4.38139685661461e+001dB,-1.76526929584243e-001°)
1.54881661891248e+002	(-4.38142285884118e+001dB,-1.80631984801234e-001°)
1.58489319246111e+002	(-4.38145008714983e+001dB,-1.84832173376405e-001°)
1.62181009735892e+002	(-4.38147859937411e+001dB,-1.89129676455302e-001°)
1.65958690743755e+002	(-4.38150845611301e+001dB,-1.93526723536187e-001°)
1.69824365246174e+002	(-4.38153972077789e+001dB,-1.98025593314716e-001°)
1.73780082874937e+002	(-4.38157245982162e+001dB,-2.02628614757426e-001°)
1.77827941003892e+002	(-4.38160674281426e+001dB,-2.07338167982400e-001°)
1.81970085860998e+002	(-4.38164264261308e+001dB,-2.12156685254915e-001°)
1.86208713666286e+002	(-4.38168023552355e+001dB,-2.17086651973684e-001°)
1.90546071796324e+002	(-4.38171960144684e+001dB,-2.22130607636590e-001°)
1.94984459975804e+002	(-4.38176082408970e+001dB,-2.27291146881323e-001°)
1.99526231496887e+002	(-4.38180399108417e+001dB,-2.32570920391390e-001°)
2.04173794466952e+002	(-4.38184919422249e+001dB,-2.37972635962882e-001°)
2.08929613085403e+002	(-4.38189652963345e+001dB,-2.43499059463773e-001°)
2.13796208950222e+002	(-4.38194609798188e+001dB,-2.49153015821759e-001°)
2.18776162394954e+002	(-4.38199800472336e+001dB,-2.54937390074353e-001°)
2.23872113856833e+002	(-4.38205236027637e+001dB,-2.60855128268909e-001°)
2.29086765276776e+002	(-4.38210928028483e+001dB,-2.66909238481229e-001°)
2.34422881531991e+002	(-4.38216888589150e+001dB,-2.73102791830394e-001°)
2.39883291901948e+002	(-4.38223130394779e+001dB,-2.79438923351328e-001°)
2.45470891568502e+002	(-4.38229666731670e+001dB,-2.85920832984693e-001°)
2.51188643150957e+002	(-4.38236511516925e+001dB,-2.92551786527532e-001°)
2.57039578276885e+002	(-4.38243679325781e+001dB,-2.99335116489371e-001°)
2.63026799189537e+002	(-4.38251185424371e+001dB,-3.06274222997684e-001°)
2.69153480392690e+002	(-4.38259045801594e+001dB,-3.13372574625048e-001°)
2.75422870333816e+002	(-4.38267277205443e+001dB,-3.20633709248538e-001°)
2.81838293126444e+002	(-4.38275897177258e+001dB,-3.28061234793667e-001°)
2.88403150312659e+002	(-4.38284924091925e+001dB,-3.35658830017891e-001°)
2.95120922666637e+002	(-4.38294377194403e+001dB,-3.43430245134219e-001°)
3.01995172040200e+002	(-4.38304276644403e+001dB,-3.51379302514547e-001°)
3.09029543251358e+002	(-4.38314643558813e+001dB,-3.59509897239156e-001°)
3.16227766016837e+002	(-4.38325500056873e+001dB,-3.67825997591409e-001°)
3.23593656929627e+002	(-4.38336869308968e+001dB,-3.76331645511124e-001°)
3.31131121482590e+002	(-4.38348775587874e+001dB,-3.85030956969497e-001°)
3.38844156139201e+002	(-4.38361244319788e+001dB,-3.93928122181223e-001°)
3.46736850452530e+002	(-4.38374302139004e+001dB,-4.03027405746571e-001°)
3.54813389233574e+002	(-4.38387976951625e+001dB,-4.12333146846091e-001°)
3.63078054770100e+002	(-4.38402297989190e+001dB,-4.21849758971916e-001°)
3.71535229097171e+002	(-4.38417295875707e+001dB,-4.31581729789257e-001°)
3.80189396320559e+002	(-4.38433002698885e+001dB,-4.41533620910397e-001°)
3.89045144994279e+002	(-4.38449452069414e+001dB,-4.51710067037080e-001°)
3.98107170553495e+002	(-4.38466679209021e+001dB,-4.62115775682099e-001°)
4.07380277804111e+002	(-4.38484721016955e+001dB,-4.72755525946851e-001°)
