Freq.	V(vo)
1.00000000000000e+001	(-4.50016649973470e+001dB,-2.43561901820373e-002°)
1.02329299228075e+001	(-4.50016664055345e+001dB,-2.49235190057760e-002°)
1.04712854805090e+001	(-4.50016678800764e+001dB,-2.55040626348990e-002°)
1.07151930523761e+001	(-4.50016694241196e+001dB,-2.60981288833528e-002°)
1.09647819614319e+001	(-4.50016710410161e+001dB,-2.67060327357680e-002°)
1.12201845430196e+001	(-4.50016727340196e+001dB,-2.73280965110019e-002°)
1.14815362149688e+001	(-4.50016745068183e+001dB,-2.79646500388262e-002°)
1.17489755493953e+001	(-4.50016763631717e+001dB,-2.86160308307762e-002°)
1.20226443461741e+001	(-4.50016783070053e+001dB,-2.92825842600444e-002°)
1.23026877081238e+001	(-4.50016803424382e+001dB,-2.99646637448088e-002°)
1.25892541179417e+001	(-4.50016824739839e+001dB,-3.06626309381340e-002°)
1.28824955169313e+001	(-4.50016847058085e+001dB,-3.13768559101891e-002°)
1.31825673855641e+001	(-4.50016870428882e+001dB,-3.21077173590461e-002°)
1.34896288259165e+001	(-4.50016894900536e+001dB,-3.28556027991133e-002°)
1.38038426460288e+001	(-4.50016920525066e+001dB,-3.36209087732345e-002°)
1.41253754462275e+001	(-4.50016947357543e+001dB,-3.44040410619583e-002°)
1.44543977074593e+001	(-4.50016975456305e+001dB,-3.52054148990408e-002°)
1.47910838816821e+001	(-4.50017004877530e+001dB,-3.60254551833981e-002°)
1.51356124843621e+001	(-4.50017035685963e+001dB,-3.68645967198649e-002°)
1.54881661891248e+001	(-4.50017067945785e+001dB,-3.77232844361760e-002°)
1.58489319246111e+001	(-4.50017101726548e+001dB,-3.86019736276704e-002°)
1.62181009735893e+001	(-4.50017137099486e+001dB,-3.95011301927568e-002°)
1.65958690743756e+001	(-4.50017174138741e+001dB,-4.04212308815049e-002°)
1.69824365246174e+001	(-4.50017212924256e+001dB,-4.13627635531684e-002°)
1.73780082874937e+001	(-4.50017253537793e+001dB,-4.23262274278411e-002°)
1.77827941003892e+001	(-4.50017296064316e+001dB,-4.33121333531767e-002°)
1.81970085860998e+001	(-4.50017340595295e+001dB,-4.43210040807666e-002°)
1.86208713666287e+001	(-4.50017387226534e+001dB,-4.53533745395041e-002°)
1.90546071796325e+001	(-4.50017436054589e+001dB,-4.64097921118840e-002°)
1.94984459975804e+001	(-4.50017487184009e+001dB,-4.74908169374597e-002°)
1.99526231496888e+001	(-4.50017540722710e+001dB,-4.85970222007611e-002°)
2.04173794466953e+001	(-4.50017596784839e+001dB,-4.97289944403723e-002°)
2.08929613085404e+001	(-4.50017655488938e+001dB,-5.08873338559055e-002°)
2.13796208950223e+001	(-4.50017716959718e+001dB,-5.20726546292812e-002°)
2.18776162394955e+001	(-4.50017781328385e+001dB,-5.32855852508315e-002°)
2.23872113856834e+001	(-4.50017848729697e+001dB,-5.45267688453304e-002°)
2.29086765276777e+001	(-4.50017919306855e+001dB,-5.57968635231815e-002°)
2.34422881531992e+001	(-4.50017993212735e+001dB,-5.70965427321544e-002°)
2.39883291901949e+001	(-4.50018070599933e+001dB,-5.84264955903363e-002°)
2.45470891568503e+001	(-4.50018151633454e+001dB,-5.97874272803720e-002°)
2.51188643150958e+001	(-4.50018236488432e+001dB,-6.11800594181979e-002°)
2.57039578276886e+001	(-4.50018325341741e+001dB,-6.26051304135193e-002°)
2.63026799189538e+001	(-4.50018418381962e+001dB,-6.40633958853087e-002°)
2.69153480392691e+001	(-4.50018515807534e+001dB,-6.55556290573983e-002°)
2.75422870333816e+001	(-4.50018617824811e+001dB,-6.70826211620679e-002°)
2.81838293126445e+001	(-4.50018724649961e+001dB,-6.86451818637472e-002°)
2.88403150312660e+001	(-4.50018836509839e+001dB,-7.02441396894695e-002°)
2.95120922666638e+001	(-4.50018953641497e+001dB,-7.18803424658519e-002°)
3.01995172040201e+001	(-4.50019076293312e+001dB,-7.35546577702572e-002°)
3.09029543251359e+001	(-4.50019204726584e+001dB,-7.52679733946333e-002°)
3.16227766016838e+001	(-4.50019339212700e+001dB,-7.70211978058643e-002°)
3.23593656929628e+001	(-4.50019480035553e+001dB,-7.88152606330167e-002°)
3.31131121482591e+001	(-4.50019627496966e+001dB,-8.06511131765516e-002°)
3.38844156139202e+001	(-4.50019781908661e+001dB,-8.25297288848484e-002°)
3.46736850452531e+001	(-4.50019943596994e+001dB,-8.44521038832225e-002°)
3.54813389233575e+001	(-4.50020112905536e+001dB,-8.64192575093703e-002°)
3.63078054770101e+001	(-4.50020290193488e+001dB,-8.84322328461480e-002°)
3.71535229097172e+001	(-4.50020475837880e+001dB,-9.04920972802622e-002°)
3.80189396320561e+001	(-4.50020670230836e+001dB,-9.25999430552781e-002°)
3.89045144994280e+001	(-4.50020873786361e+001dB,-9.47568878735057e-002°)
3.98107170553497e+001	(-4.50021086935623e+001dB,-9.69640754679606e-002°)
4.07380277804112e+001	(-4.50021310130167e+001dB,-9.92226762177689e-002°)
4.16869383470335e+001	(-4.50021543845043e+001dB,-1.01533887778052e-001°)
4.26579518801592e+001	(-4.50021788572977e+001dB,-1.03898935687413e-001°)
4.36515832240165e+001	(-4.50022044837662e+001dB,-1.06319074069771e-001°)
4.46683592150962e+001	(-4.50022313178497e+001dB,-1.08795586229872e-001°)
4.57088189614874e+001	(-4.50022594168323e+001dB,-1.11329785406573e-001°)
4.67735141287197e+001	(-4.50022888401025e+001dB,-1.13923015409558e-001°)
4.78630092322638e+001	(-4.50023196500384e+001dB,-1.16576651366027e-001°)
4.89778819368445e+001	(-4.50023519121054e+001dB,-1.19292100450048e-001°)
5.01187233627271e+001	(-4.50023856949470e+001dB,-1.22070802627919e-001°)
5.12861383991364e+001	(-4.50024210698512e+001dB,-1.24914231387594e-001°)
5.24807460249772e+001	(-4.50024581120979e+001dB,-1.27823894581284e-001°)
5.37031796370252e+001	(-4.50024969002083e+001dB,-1.30801335180049e-001°)
5.49540873857624e+001	(-4.50025375164893e+001dB,-1.33848132112159e-001°)
5.62341325190348e+001	(-4.50025800471594e+001dB,-1.36965901099388e-001°)
5.75439937337156e+001	(-4.50026245824676e+001dB,-1.40156295511220e-001°)
5.88843655355588e+001	(-4.50026712167582e+001dB,-1.43421007234997e-001°)
6.02559586074357e+001	(-4.50027200492055e+001dB,-1.46761767606387e-001°)
6.16595001861481e+001	(-4.50027711830895e+001dB,-1.50180348272745e-001°)
6.30957344480192e+001	(-4.50028247273446e+001dB,-1.53678562215303e-001°)
6.45654229034654e+001	(-4.50028807952697e+001dB,-1.57258264618336e-001°)
6.60693448007595e+001	(-4.50029395058065e+001dB,-1.60921353918564e-001°)
6.76082975391980e+001	(-4.50030009837711e+001dB,-1.64669772814512e-001°)
6.91830970918935e+001	(-4.50030653593562e+001dB,-1.68505509247394e-001°)
7.07945784384136e+001	(-4.50031327693916e+001dB,-1.72430597524257e-001°)
7.24435960074988e+001	(-4.50032033567184e+001dB,-1.76447119335426e-001°)
7.41310241300916e+001	(-4.50032772713268e+001dB,-1.80557204920673e-001°)
