Freq.	V(n002)
1.00000000000000e+001	(-3.41523950088597e+001dB,-9.45080820242991e-003°)
1.02329299228075e+001	(-3.41523961117706e+001dB,-9.67094471743419e-003°)
1.04712854805090e+001	(-3.41523972666603e+001dB,-9.89620879280451e-003°)
1.07151930523761e+001	(-3.41523984759784e+001dB,-1.01267198592023e-002°)
1.09647819614319e+001	(-3.41523997422901e+001dB,-1.03626001287969e-002°)
1.12201845430196e+001	(-3.41524010682814e+001dB,-1.06039746599942e-002°)
1.14815362149688e+001	(-3.41524024567650e+001dB,-1.08509714237511e-002°)
1.17489755493953e+001	(-3.41524039108327e+001dB,-1.11037213728513e-002°)
1.20226443461741e+001	(-3.41524054332752e+001dB,-1.13623585053513e-002°)
1.23026877081238e+001	(-3.41524070274685e+001dB,-1.16270199444352e-002°)
1.25892541179417e+001	(-3.41524086967942e+001dB,-1.18978460052193e-002°)
1.28824955169313e+001	(-3.41524104447929e+001dB,-1.21749802705023e-002°)
1.31825673855641e+001	(-3.41524122753195e+001dB,-1.24585696685878e-002°)
1.34896288259165e+001	(-3.41524141919630e+001dB,-1.27487645443677e-002°)
1.38038426460288e+001	(-3.41524161989356e+001dB,-1.30457187489645e-002°)
1.41253754462275e+001	(-3.41524183005677e+001dB,-1.33495897155411e-002°)
1.44543977074593e+001	(-3.41524205011704e+001dB,-1.36605385407050e-002°)
1.47910838816821e+001	(-3.41524228055583e+001dB,-1.39787300761932e-002°)
1.51356124843621e+001	(-3.41524252184725e+001dB,-1.43043330088321e-002°)
1.54881661891248e+001	(-3.41524277451778e+001dB,-1.46375199573490e-002°)
1.58489319246111e+001	(-3.41524303908872e+001dB,-1.49784675562285e-002°)
1.62181009735893e+001	(-3.41524331613592e+001dB,-1.53273565569424e-002°)
1.65958690743756e+001	(-3.41524360623970e+001dB,-1.56843719168350e-002°)
1.69824365246174e+001	(-3.41524391000809e+001dB,-1.60497028999102e-002°)
1.73780082874937e+001	(-3.41524422809274e+001dB,-1.64235431792279e-002°)
1.77827941003892e+001	(-3.41524456118307e+001dB,-1.68060909386076e-002°)
1.81970085860998e+001	(-3.41524490995622e+001dB,-1.71975489695198e-002°)
1.86208713666287e+001	(-3.41524527517404e+001dB,-1.75981247931409e-002°)
1.90546071796325e+001	(-3.41524565759653e+001dB,-1.80080307564607e-002°)
1.94984459975804e+001	(-3.41524605805691e+001dB,-1.84274841565295e-002°)
1.99526231496888e+001	(-3.41524647738256e+001dB,-1.88567073420748e-002°)
2.04173794466953e+001	(-3.41524691646295e+001dB,-1.92959278421112e-002°)
2.08929613085404e+001	(-3.41524737624415e+001dB,-1.97453784853455e-002°)
2.13796208950223e+001	(-3.41524785769408e+001dB,-2.02052975169652e-002°)
2.18776162394955e+001	(-3.41524836183400e+001dB,-2.06759287297027e-002°)
2.23872113856834e+001	(-3.41524888973327e+001dB,-2.11575215915802e-002°)
2.29086765276777e+001	(-3.41524944251167e+001dB,-2.16503313778358e-002°)
2.34422881531992e+001	(-3.41525002134909e+001dB,-2.21546193074355e-002°)
2.39883291901949e+001	(-3.41525062745866e+001dB,-2.26706526752967e-002°)
2.45470891568503e+001	(-3.41525126214075e+001dB,-2.31987050040012e-002°)
2.51188643150958e+001	(-3.41525192672695e+001dB,-2.37390561762913e-002°)
2.57039578276886e+001	(-3.41525262263434e+001dB,-2.42919925938202e-002°)
2.63026799189538e+001	(-3.41525335134644e+001dB,-2.48578073240250e-002°)
2.69153480392691e+001	(-3.41525411439432e+001dB,-2.54368002497812e-002°)
2.75422870333816e+001	(-3.41525491341125e+001dB,-2.60292782396838e-002°)
2.81838293126445e+001	(-3.41525575008479e+001dB,-2.66355552982572e-002°)
2.88403150312660e+001	(-3.41525662618973e+001dB,-2.72559527386522e-002°)
2.95120922666638e+001	(-3.41525754357715e+001dB,-2.78907993486647e-002°)
3.01995172040201e+001	(-3.41525850421509e+001dB,-2.85404315738788e-002°)
3.09029543251359e+001	(-3.41525951011927e+001dB,-2.92051936763084e-002°)
3.16227766016838e+001	(-3.41526056343083e+001dB,-2.98854379349719e-002°)
3.23593656929628e+001	(-3.41526166638414e+001dB,-3.05815248224262e-002°)
3.31131121482591e+001	(-3.41526282132620e+001dB,-3.12938231987983e-002°)
3.38844156139202e+001	(-3.41526403068495e+001dB,-3.20227104958673e-002°)
3.46736850452531e+001	(-3.41526529706252e+001dB,-3.27685729415793e-002°)
3.54813389233575e+001	(-3.41526662311590e+001dB,-3.35318057271830e-002°)
3.63078054770101e+001	(-3.41526801165809e+001dB,-3.43128132433248e-002°)
3.71535229097172e+001	(-3.41526946564930e+001dB,-3.51120092893893e-002°)
3.80189396320561e+001	(-3.41527098817393e+001dB,-3.59298172822077e-002°)
3.89045144994280e+001	(-3.41527258244713e+001dB,-3.67666704786166e-002°)
3.98107170553497e+001	(-3.41527425186559e+001dB,-3.76230122179849e-002°)
4.07380277804112e+001	(-3.41527599995607e+001dB,-3.84992961359531e-002°)
4.16869383470335e+001	(-3.41527783044163e+001dB,-3.93959864231300e-002°)
