time	V(n004)	V(n007)
0.000000000000000e+000	-3.241156e-002	-5.000000e+000
5.000000000000000e-004	-3.241156e-002	-5.000000e+000
5.000002065883650e-004	-3.241156e-002	-4.979341e+000
5.000006197650951e-004	-3.241156e-002	-4.938024e+000
5.000009628539547e-004	-3.241156e-002	-4.903715e+000
5.000013215454097e-004	-3.241156e-002	-4.867846e+000
5.000020389283197e-004	-3.241156e-002	-4.796107e+000
5.000034736941396e-004	-3.241156e-002	-4.652631e+000
5.000052948944502e-004	-3.241156e-002	-4.470510e+000
5.000075328370029e-004	-3.241155e-002	-4.246716e+000
5.000098372543676e-004	-3.241152e-002	-4.016274e+000
5.000123043504943e-004	-3.241141e-002	-3.769565e+000
5.000157953892551e-004	-3.241047e-002	-3.420461e+000
5.000227774667769e-004	-3.240329e-002	-2.722253e+000
5.000292211452187e-004	-3.238337e-002	-2.077885e+000
5.000347275492007e-004	-3.233839e-002	-1.527245e+000
5.000408470594836e-004	-3.222343e-002	-9.152941e-001
5.000473382717036e-004	-3.197030e-002	-2.661728e-001
5.000538144661041e-004	-3.147329e-002	3.814466e-001
5.000609503600472e-004	-3.043266e-002	1.095036e+000
5.000692030823783e-004	-2.812761e-002	1.920308e+000
5.000800633533487e-004	-2.290052e-002	3.006335e+000
5.000882425007836e-004	-1.721458e-002	3.824250e+000
5.000897432602509e-004	-1.585307e-002	3.974326e+000
5.000927447791856e-004	-1.270513e-002	4.274478e+000
5.000939969621304e-004	-1.127521e-002	4.399696e+000
5.000965013280201e-004	-8.116673e-003	4.650133e+000
5.001000000000000e-004	-3.401565e-003	5.000000e+000
5.001010496015940e-004	-1.824142e-003	5.000000e+000
5.001024490703859e-004	3.746729e-004	5.000000e+000
5.001049089934951e-004	4.530945e-003	5.000000e+000
5.001098288397135e-004	1.397475e-002	5.000000e+000
5.001196685321505e-004	3.603320e-002	5.000000e+000
5.001293559551724e-004	6.144814e-002	5.000000e+000
5.001387920400487e-004	9.000584e-002	5.000000e+000
5.001491725986797e-004	1.252473e-001	5.000000e+000
5.001610660344273e-004	1.700892e-001	5.000000e+000
5.001781969939354e-004	2.420371e-001	5.000000e+000
5.001992226349591e-004	3.413128e-001	5.000000e+000
5.002235718064548e-004	4.712045e-001	5.000000e+000
5.002509189626813e-004	6.346167e-001	5.000000e+000
5.002881601976080e-004	8.768617e-001	5.000000e+000
5.003262001274661e-004	1.135986e+000	5.000000e+000
5.003823353173846e-004	1.523189e+000	5.000000e+000
5.004260543444270e-004	1.823190e+000	5.000000e+000
5.004765841266982e-004	2.169091e+000	5.000000e+000
5.005323330095893e-004	2.550750e+000	5.000000e+000
5.005908339187941e-004	2.949966e+000	5.000000e+000
5.006645597935519e-004	3.451608e+000	5.000000e+000
5.007630834204529e-004	4.120533e+000	5.000000e+000
5.008145186859628e-004	4.468540e+000	5.000000e+000
5.008451805624574e-004	4.675694e+000	5.000000e+000
5.008657407825389e-004	4.814628e+000	5.000000e+000
5.008923577589415e-004	4.994211e+000	5.000000e+000
5.009050582236856e-004	5.079688e+000	5.000000e+000
5.009164323525598e-004	5.156117e+000	5.000000e+000
5.009293651909879e-004	5.243018e+000	5.000000e+000
5.009427258381088e-004	5.332635e+000	5.000000e+000
5.009625016369644e-004	5.463440e+000	5.000000e+000
5.009808415974906e-004	5.577647e+000	5.000000e+000
5.010012304672124e-004	5.690335e+000	5.000000e+000
5.010116643913476e-004	5.737959e+000	5.000000e+000
5.010210076739953e-004	5.770465e+000	5.000000e+000
5.010343805491415e-004	5.804522e+000	5.000000e+000
5.010465620736660e-004	5.826337e+000	5.000000e+000
5.010536015374145e-004	5.834909e+000	5.000000e+000
5.010593386504494e-004	5.839802e+000	5.000000e+000
5.010653654224728e-004	5.843546e+000	5.000000e+000
5.010713143910947e-004	5.846062e+000	5.000000e+000
5.010775878166318e-004	5.847442e+000	5.000000e+000
5.010850738248590e-004	5.846987e+000	5.000000e+000
5.011000458413133e-004	5.840629e+000	5.000000e+000
5.011141991907638e-004	5.828417e+000	5.000000e+000
5.011288137280231e-004	5.809144e+000	5.000000e+000
5.011441958834336e-004	5.783660e+000	5.000000e+000
5.011626935365281e-004	5.749866e+000	5.000000e+000
5.011778027100982e-004	5.722143e+000	5.000000e+000
5.011964420404279e-004	5.689416e+000	5.000000e+000
5.012137861107529e-004	5.660726e+000	5.000000e+000
5.012344941199597e-004	5.628532e+000	5.000000e+000
5.012560900417208e-004	5.597161e+000	5.000000e+000
5.012742525119899e-004	5.572850e+000	5.000000e+000
5.012892016727556e-004	5.554447e+000	5.000000e+000
5.013063741871692e-004	5.534445e+000	5.000000e+000
5.013221177193357e-004	5.516137e+000	5.000000e+000
5.013450817403842e-004	5.488015e+000	5.000000e+000
5.013694640865061e-004	5.455157e+000	5.000000e+000
5.014011309739106e-004	5.407732e+000	5.000000e+000
5.014244185586475e-004	5.369340e+000	5.000000e+000
5.014431645702492e-004	5.335791e+000	5.000000e+000
5.014599929866191e-004	5.303840e+000	5.000000e+000
5.014751157440853e-004	5.273919e+000	5.000000e+000
5.014917187321870e-004	5.240210e+000	5.000000e+000
5.015077568181132e-004	5.207230e+000	5.000000e+000
5.015311747733676e-004	5.159026e+000	5.000000e+000
5.015623076693659e-004	5.095501e+000	5.000000e+000
5.015825574332620e-004	5.054893e+000	5.000000e+000
5.016026653191382e-004	5.015479e+000	5.000000e+000
5.016223884223017e-004	4.977694e+000	5.000000e+000
5.016408814490299e-004	4.942990e+000	5.000000e+000
5.016568015952661e-004	4.913583e+000	5.000000e+000
5.016725036437962e-004	4.884877e+000	5.000000e+000
5.016882307234160e-004	4.856284e+000	5.000000e+000
5.017070818852400e-004	4.822055e+000	5.000000e+000
5.017348594098611e-004	4.771453e+000	5.000000e+000
5.017600312902588e-004	4.725258e+000	5.000000e+000
5.017790150878171e-004	4.690065e+000	5.000000e+000
5.017972252615485e-004	4.655963e+000	5.000000e+000
5.018153759881386e-004	4.621686e+000	5.000000e+000
5.018315969719728e-004	4.590857e+000	5.000000e+000
5.018468069085828e-004	4.561821e+000	5.000000e+000
5.018641244960539e-004	4.528682e+000	5.000000e+000
5.018821594265476e-004	4.494158e+000	5.000000e+000
5.019081151139537e-004	4.444601e+000	5.000000e+000
5.019437544960460e-004	4.376900e+000	5.000000e+000
5.019643386959410e-004	4.338074e+000	5.000000e+000
5.019837875387483e-004	4.301661e+000	5.000000e+000
5.020036530197313e-004	4.264690e+000	5.000000e+000
5.020232034647239e-004	4.228496e+000	5.000000e+000
5.020455268059874e-004	4.187355e+000	5.000000e+000
5.020681398634312e-004	4.145829e+000	5.000000e+000
5.020955162438873e-004	4.095675e+000	5.000000e+000
5.021303049144627e-004	4.032004e+000	5.000000e+000
5.021503681187562e-004	3.995297e+000	5.000000e+000
5.021729821012979e-004	3.953931e+000	5.000000e+000
5.021988086354427e-004	3.906695e+000	5.000000e+000
5.022276301947626e-004	3.854024e+000	5.000000e+000
5.022568124548053e-004	3.800819e+000	5.000000e+000
5.022912291460423e-004	3.738316e+000	5.000000e+000
5.023375476049708e-004	3.654591e+000	5.000000e+000
5.023680886849066e-004	3.599682e+000	5.000000e+000
5.023990736143126e-004	3.544272e+000	5.000000e+000
5.024392964374819e-004	3.472671e+000	5.000000e+000
5.024784168512946e-004	3.403382e+000	5.000000e+000
5.025354945586383e-004	3.302743e+000	5.000000e+000
5.025728489368801e-004	3.237140e+000	5.000000e+000
5.026146865624303e-004	3.163990e+000	5.000000e+000
5.026679596190192e-004	3.071374e+000	5.000000e+000
5.027290946631796e-004	2.965845e+000	5.000000e+000
5.027847597107006e-004	2.870484e+000	5.000000e+000
5.028472856401909e-004	2.764249e+000	5.000000e+000
5.029185905875389e-004	2.644313e+000	5.000000e+000
5.030292199232641e-004	2.460326e+000	5.000000e+000
5.031288811508189e-004	2.296804e+000	5.000000e+000
5.032365747093851e-004	2.122840e+000	5.000000e+000
5.033501039909596e-004	1.942526e+000	5.000000e+000
5.034853285314671e-004	1.732005e+000	5.000000e+000
5.036476735746086e-004	1.485161e+000	5.000000e+000
5.038264559781066e-004	1.221819e+000	5.000000e+000
5.041036950466311e-004	8.295021e-001	5.000000e+000
5.043864145405565e-004	4.504150e-001	5.000000e+000
5.047788557315406e-004	-3.006093e-002	5.000000e+000
5.055637381135088e-004	-8.648699e-001	5.000000e+000
5.064702716291271e-004	-1.641754e+000	5.000000e+000
5.074897247790732e-004	-2.295208e+000	5.000000e+000
5.081280773366225e-004	-2.588238e+000	5.000000e+000
5.084706365770079e-004	-2.701225e+000	5.000000e+000
5.086376534095997e-004	-2.744751e+000	5.000000e+000
5.087123443865013e-004	-2.761552e+000	5.000000e+000
5.087545554279823e-004	-2.770392e+000	5.000000e+000
5.088068451496476e-004	-2.780807e+000	5.000000e+000
5.088300638537382e-004	-2.785144e+000	5.000000e+000
5.088575476980468e-004	-2.790140e+000	5.000000e+000
5.088852041736431e-004	-2.795148e+000	5.000000e+000
