Freq.	V(vo)
1.00000000000000e+001	(-4.00038222323604e+001dB,-1.72897389325130e-002°)
1.02329299228075e+001	(-4.00038229885826e+001dB,-1.76924688359401e-002°)
1.04712854805090e+001	(-4.00038237804445e+001dB,-1.81045795344793e-002°)
1.07151930523761e+001	(-4.00038246096258e+001dB,-1.85262895356746e-002°)
1.09647819614319e+001	(-4.00038254780057e+001dB,-1.89578224378019e-002°)
1.12201845430196e+001	(-4.00038263871851e+001dB,-1.93994070445211e-002°)
1.14815362149688e+001	(-4.00038273392129e+001dB,-1.98512774920231e-002°)
1.17489755493953e+001	(-4.00038283361085e+001dB,-2.03136733693133e-002°)
1.20226443461741e+001	(-4.00038293799864e+001dB,-2.07868398462235e-002°)
1.23026877081238e+001	(-4.00038304730608e+001dB,-2.12710278033820e-002°)
1.25892541179417e+001	(-4.00038316177107e+001dB,-2.17664939658406e-002°)
1.28824955169313e+001	(-4.00038328162432e+001dB,-2.22735010369257e-002°)
1.31825673855641e+001	(-4.00038340713213e+001dB,-2.27923178415064e-002°)
1.34896288259165e+001	(-4.00038353854865e+001dB,-2.33232194639467e-002°)
1.38038426460288e+001	(-4.00038367616468e+001dB,-2.38664873986294e-002°)
1.41253754462275e+001	(-4.00038382026006e+001dB,-2.44224096944825e-002°)
1.44543977074593e+001	(-4.00038397115250e+001dB,-2.49912811125453e-002°)
1.47910838816821e+001	(-4.00038412914999e+001dB,-2.55734032773378e-002°)
1.51356124843621e+001	(-4.00038429460575e+001dB,-2.61690848425230e-002°)
1.54881661891248e+001	(-4.00038446784662e+001dB,-2.67786416466822e-002°)
1.58489319246111e+001	(-4.00038464925211e+001dB,-2.74023968894742e-002°)
1.62181009735893e+001	(-4.00038483921303e+001dB,-2.80406812983435e-002°)
1.65958690743756e+001	(-4.00038503812027e+001dB,-2.86938333024198e-002°)
1.69824365246174e+001	(-4.00038524640778e+001dB,-2.93621992169789e-002°)
1.73780082874937e+001	(-4.00038546451736e+001dB,-3.00461334227748e-002°)
1.77827941003892e+001	(-4.00038569289358e+001dB,-3.07459985530188e-002°)
1.81970085860998e+001	(-4.00038593203289e+001dB,-3.14621656918568e-002°)
1.86208713666287e+001	(-4.00038618244856e+001dB,-3.21950145666669e-002°)
1.90546071796325e+001	(-4.00038644467177e+001dB,-3.29449337492722e-002°)
1.94984459975804e+001	(-4.00038671924065e+001dB,-3.37123208602313e-002°)
1.99526231496888e+001	(-4.00038700675565e+001dB,-3.44975827873182e-002°)
2.04173794466953e+001	(-4.00038730781460e+001dB,-3.53011358919625e-002°)
2.08929613085404e+001	(-4.00038762307416e+001dB,-3.61234062387548e-002°)
2.13796208950223e+001	(-4.00038795318497e+001dB,-3.69648298115388e-002°)
2.18776162394955e+001	(-4.00038829885927e+001dB,-3.78258527545956e-002°)
2.23872113856834e+001	(-4.00038866081824e+001dB,-3.87069316008654e-002°)
2.29086765276777e+001	(-4.00038903983566e+001dB,-3.96085335207101e-002°)
2.34422881531992e+001	(-4.00038943672152e+001dB,-4.05311365668797e-002°)
2.39883291901949e+001	(-4.00038985230561e+001dB,-4.14752299248715e-002°)
2.45470891568503e+001	(-4.00039028747547e+001dB,-4.24413141784928e-002°)
2.51188643150958e+001	(-4.00039074316020e+001dB,-4.34299015723567e-002°)
2.57039578276886e+001	(-4.00039122032033e+001dB,-4.44415162812934e-002°)
2.63026799189538e+001	(-4.00039171996801e+001dB,-4.54766946915888e-002°)
2.69153480392691e+001	(-4.00039224315704e+001dB,-4.65359856831253e-002°)
2.75422870333816e+001	(-4.00039279100924e+001dB,-4.76199509253422e-002°)
2.81838293126445e+001	(-4.00039336468066e+001dB,-4.87291651679225e-002°)
2.88403150312660e+001	(-4.00039396538816e+001dB,-4.98642165504143e-002°)
2.95120922666638e+001	(-4.00039459440596e+001dB,-5.10257069129027e-002°)
3.01995172040201e+001	(-4.00039525307433e+001dB,-5.22142521166586e-002°)
3.09029543251359e+001	(-4.00039594277838e+001dB,-5.34304823653496e-002°)
3.16227766016838e+001	(-4.00039666499313e+001dB,-5.46750425486945e-002°)
3.23593656929628e+001	(-4.00039742123849e+001dB,-5.59485925736992e-002°)
3.31131121482591e+001	(-4.00039821313067e+001dB,-5.72518077257204e-002°)
3.38844156139202e+001	(-4.00039904234339e+001dB,-5.85853790168290e-002°)
3.46736850452531e+001	(-4.00039991064160e+001dB,-5.99500135595268e-002°)
3.54813389233575e+001	(-4.00040081984908e+001dB,-6.13464349326964e-002°)
3.63078054770101e+001	(-4.00040177190650e+001dB,-6.27753835792648e-002°)
3.71535229097172e+001	(-4.00040276885145e+001dB,-6.42376171932850e-002°)
3.80189396320561e+001	(-4.00040381276857e+001dB,-6.57339111067905e-002°)
3.89045144994280e+001	(-4.00040490589032e+001dB,-6.72650587273684e-002°)
3.98107170553497e+001	(-4.00040605052945e+001dB,-6.88318719392498e-002°)
4.07380277804112e+001	(-4.00040724911403e+001dB,-7.04351815423660e-002°)
4.16869383470335e+001	(-4.00040850419256e+001dB,-7.20758376933096e-002°)
4.26579518801592e+001	(-4.00040981841537e+001dB,-7.37547103489688e-002°)
4.36515832240165e+001	(-4.00041119458230e+001dB,-7.54726897410187e-002°)
4.46683592150962e+001	(-4.00041263560659e+001dB,-7.72306868353723e-002°)
4.57088189614874e+001	(-4.00041414454505e+001dB,-7.90296338227294e-002°)
4.67735141287197e+001	(-4.00041572460461e+001dB,-8.08704846137195e-002°)
4.78630092322638e+001	(-4.00041737912503e+001dB,-8.27542153365971e-002°)
4.89778819368445e+001	(-4.00041911162810e+001dB,-8.46818248697901e-002°)
5.01187233627271e+001	(-4.00042092578905e+001dB,-8.66543353596582e-002°)
5.12861383991364e+001	(-4.00042282544426e+001dB,-8.86727927623865e-002°)
5.24807460249772e+001	(-4.00042481463562e+001dB,-9.07382674124886e-002°)
5.37031796370252e+001	(-4.00042689757691e+001dB,-9.28518545753880e-002°)
5.49540873857624e+001	(-4.00042907869285e+001dB,-9.50146750400343e-002°)
5.62341325190348e+001	(-4.00043136260441e+001dB,-9.72278757043047e-002°)
5.75439937337156e+001	(-4.00043375415670e+001dB,-9.94926301910722e-002°)
5.88843655355588e+001	(-4.00043625842921e+001dB,-1.01810139471356e-001°)
6.02559586074357e+001	(-4.00043888072857e+001dB,-1.04181632494132e-001°)
6.16595001861481e+001	(-4.00044162661787e+001dB,-1.06608366846558e-001°)
6.30957344480192e+001	(-4.00044450192842e+001dB,-1.09091629421864e-001°)
6.45654229034654e+001	(-4.00044751276018e+001dB,-1.11632737097225e-001°)
6.60693448007595e+001	(-4.00045066548255e+001dB,-1.14233037426810e-001°)
6.76082975391980e+001	(-4.00045396682026e+001dB,-1.16893909392659e-001°)
6.91830970918935e+001	(-4.00045742374713e+001dB,-1.19616764078269e-001°)
7.07945784384136e+001	(-4.00046104360325e+001dB,-1.22403045467952e-001°)
7.24435960074988e+001	(-4.00046483407450e+001dB,-1.25254231196612e-001°)
7.41310241300916e+001	(-4.00046880320279e+001dB,-1.28171833331276e-001°)
7.58577575029182e+001	(-4.00047295940914e+001dB,-1.31157399177539e-001°)
7.76247116628690e+001	(-4.00047731149959e+001dB,-1.34212512094690e-001°)
7.94328234724279e+001	(-4.00048186872597e+001dB,-1.37338792360916e-001°)
8.12830516164097e+001	(-4.00048664074538e+001dB,-1.40537898000249e-001°)
8.31763771102669e+001	(-4.00049163769489e+001dB,-1.43811525695069e-001°)
8.51138038202374e+001	(-4.00049687016484e+001dB,-1.47161411659122e-001°)
8.70963589956078e+001	(-4.00050234926358e+001dB,-1.50589332586275e-001°)
8.91250938133743e+001	(-4.00050808661687e+001dB,-1.54097106580081e-001°)
9.12010839355907e+001	(-4.00051409439868e+001dB,-1.57686594124364e-001°)
9.33254300796988e+001	(-4.00052038535701e+001dB,-1.61359699072670e-001°)
9.54992586021433e+001	(-4.00052697283497e+001dB,-1.65118369656442e-001°)
9.77237220955808e+001	(-4.00053387082320e+001dB,-1.68964599538404e-001°)
9.99999999999997e+001	(-4.00054109395347e+001dB,-1.72900428848075e-001°)
1.02329299228075e+002	(-4.00054865755385e+001dB,-1.76927945283829e-001°)
1.04712854805090e+002	(-4.00055657768131e+001dB,-1.81049285224760e-001°)
1.07151930523760e+002	(-4.00056487113773e+001dB,-1.85266634853901e-001°)
1.09647819614318e+002	(-4.00057355552373e+001dB,-1.89582231335787e-001°)
1.12201845430196e+002	(-4.00058264927004e+001dB,-1.93998364003252e-001°)
1.14815362149688e+002	(-4.00059217167668e+001dB,-1.98517375576837e-001°)
1.17489755493953e+002	(-4.00060214296603e+001dB,-2.03141663423094e-001°)
1.20226443461741e+002	(-4.00061258428972e+001dB,-2.07873680801265e-001°)
1.23026877081238e+002	(-4.00062351782176e+001dB,-2.12715938211984e-001°)
1.25892541179416e+002	(-4.00063496675148e+001dB,-2.17671004687777e-001°)
1.28824955169313e+002	(-4.00064695539318e+001dB,-2.22741509217037e-001°)
1.31825673855640e+002	(-4.00065950919557e+001dB,-2.27930142108504e-001°)
1.34896288259165e+002	(-4.00067265481409e+001dB,-2.33239656443116e-001°)
1.38038426460288e+002	(-4.00068642014951e+001dB,-2.38672869525575e-001°)
1.41253754462275e+002	(-4.00070083442535e+001dB,-2.44232664406018e-001°)
1.44543977074592e+002	(-4.00071592823812e+001dB,-2.49921991407090e-001°)
1.47910838816820e+002	(-4.00073173365254e+001dB,-2.55743869732429e-001°)
1.51356124843620e+002	(-4.00074828421560e+001dB,-2.61701389022115e-001°)
1.54881661891248e+002	(-4.00076561507618e+001dB,-2.67797711055907e-001°)
1.58489319246111e+002	(-4.00078376303588e+001dB,-2.74036071418197e-001°)
1.62181009735892e+002	(-4.00080276663341e+001dB,-2.80419781235250e-001°)
1.65958690743755e+002	(-4.00082266622673e+001dB,-2.86952228947753e-001°)
1.69824365246174e+002	(-4.00084350407908e+001dB,-2.93636882124753e-001°)
1.73780082874937e+002	(-4.00086532444909e+001dB,-3.00477289321347e-001°)
1.77827941003892e+002	(-4.00088817369118e+001dB,-3.07477081988696e-001°)
1.81970085860998e+002	(-4.00091210034241e+001dB,-3.14639976406122e-001°)
1.86208713666286e+002	(-4.00093715522600e+001dB,-3.21969775673319e-001°)
1.90546071796324e+002	(-4.00096339158995e+001dB,-3.29470371794439e-001°)
1.94984459975804e+002	(-4.00099086515446e+001dB,-3.37145747676206e-001°)
1.99526231496887e+002	(-4.00101963431523e+001dB,-3.44999979386208e-001°)
2.04173794466952e+002	(-4.00104976021404e+001dB,-3.53037238270552e-001°)
2.08929613085403e+002	(-4.00108130685727e+001dB,-3.61261793177528e-001°)
2.13796208950222e+002	(-4.00111434132512e+001dB,-3.69678012867025e-001°)
2.18776162394954e+002	(-4.00114893380049e+001dB,-3.78290368188350e-001°)
2.23872113856833e+002	(-4.00118515785777e+001dB,-3.87103434708432e-001°)
2.29086765276776e+002	(-4.00122309048771e+001dB,-3.96121894971274e-001°)
