time	V(n004)	V(n007)
0.000000000000000e+000	-3.178187e-002	-5.000000e+000
5.000000000000000e-004	-3.178187e-002	-5.000000e+000
5.000002065883650e-004	-3.178187e-002	-4.979341e+000
5.000006197650951e-004	-3.178187e-002	-4.938024e+000
5.000009628514983e-004	-3.178187e-002	-4.903715e+000
5.000013215384216e-004	-3.178187e-002	-4.867846e+000
5.000020389122681e-004	-3.178187e-002	-4.796109e+000
5.000034736599611e-004	-3.178187e-002	-4.652634e+000
5.000052948590571e-004	-3.178186e-002	-4.470514e+000
5.000075327915770e-004	-3.178185e-002	-4.246721e+000
5.000098372132926e-004	-3.178181e-002	-4.016279e+000
5.000123042972003e-004	-3.178172e-002	-3.769570e+000
5.000157953089257e-004	-3.178133e-002	-3.420469e+000
5.000227773323766e-004	-3.177866e-002	-2.722267e+000
5.000340823779350e-004	-3.176694e-002	-1.591762e+000
5.000445812938493e-004	-3.173990e-002	-5.418706e-001
5.000567421753792e-004	-3.167105e-002	6.742175e-001
5.000697614742666e-004	-3.154076e-002	1.976147e+000
5.000771071069509e-004	-3.142317e-002	2.710711e+000
5.000853087346311e-004	-3.121479e-002	3.530874e+000
5.001000000000000e-004	-3.072240e-002	5.000000e+000
5.001014691265369e-004	-3.065146e-002	5.000000e+000
5.001044073796106e-004	-3.049872e-002	5.000000e+000
5.001102838857582e-004	-3.013435e-002	5.000000e+000
5.001220368980534e-004	-2.910900e-002	5.000000e+000
5.001455429226436e-004	-2.592173e-002	5.000000e+000
5.001722175232425e-004	-1.997508e-002	5.000000e+000
5.002048772954295e-004	-8.460405e-003	5.000000e+000
5.002349201323401e-004	7.224977e-003	5.000000e+000
5.002660808257133e-004	3.011114e-002	5.000000e+000
5.003026932621617e-004	6.723745e-002	5.000000e+000
5.003604358568917e-004	1.467379e-001	5.000000e+000
5.004323149986080e-004	2.782097e-001	5.000000e+000
5.005267582246926e-004	4.990823e-001	5.000000e+000
5.006422039825335e-004	8.244637e-001	5.000000e+000
5.007680770579882e-004	1.224168e+000	5.000000e+000
5.008254821482715e-004	1.419247e+000	5.000000e+000
5.008607503392530e-004	1.543363e+000	5.000000e+000
5.008856544337607e-004	1.632174e+000	5.000000e+000
5.009040124127538e-004	1.698085e+000	5.000000e+000
5.009159343189366e-004	1.741047e+000	5.000000e+000
5.009283748089549e-004	1.785964e+000	5.000000e+000
5.009407910395386e-004	1.830810e+000	5.000000e+000
5.009585419444432e-004	1.894782e+000	5.000000e+000
5.009846011565668e-004	1.988057e+000	5.000000e+000
5.010099523842873e-004	2.077540e+000	5.000000e+000
5.010336034456153e-004	2.159124e+000	5.000000e+000
5.010563109566758e-004	2.235074e+000	5.000000e+000
5.010761055236344e-004	2.298903e+000	5.000000e+000
5.010927569964221e-004	2.350488e+000	5.000000e+000
5.011075203980280e-004	2.394289e+000	5.000000e+000
5.011239988194038e-004	2.440978e+000	5.000000e+000
5.011396316354884e-004	2.482835e+000	5.000000e+000
5.011626709993407e-004	2.539941e+000	5.000000e+000
5.011943778325898e-004	2.611973e+000	5.000000e+000
5.012140607111046e-004	2.652511e+000	5.000000e+000
5.012343470949942e-004	2.690322e+000	5.000000e+000
5.012541124249485e-004	2.724116e+000	5.000000e+000
5.012721443487775e-004	2.752516e+000	5.000000e+000
5.012874034678595e-004	2.774782e+000	5.000000e+000
5.013029128751721e-004	2.795867e+000	5.000000e+000
5.013184492645457e-004	2.815541e+000	5.000000e+000
5.013379737208273e-004	2.838294e+000	5.000000e+000
5.013656896161694e-004	2.867654e+000	5.000000e+000
5.013925707664824e-004	2.893347e+000	5.000000e+000
5.014123758435794e-004	2.910362e+000	5.000000e+000
5.014310511163727e-004	2.924850e+000	5.000000e+000
5.014496978959770e-004	2.937986e+000	5.000000e+000
5.014666393354562e-004	2.948804e+000	5.000000e+000
5.014820186901186e-004	2.957673e+000	5.000000e+000
5.014974828904956e-004	2.965682e+000	5.000000e+000
5.015138533792690e-004	2.973107e+000	5.000000e+000
5.015385830279714e-004	2.982385e+000	5.000000e+000
5.015733877956989e-004	2.992693e+000	5.000000e+000
5.015935676768202e-004	2.997132e+000	5.000000e+000
5.016119844109819e-004	2.999953e+000	5.000000e+000
5.016305524949602e-004	3.001876e+000	5.000000e+000
5.016479918693307e-004	3.002931e+000	5.000000e+000
5.016631861707984e-004	3.003258e+000	5.000000e+000
5.016799657399993e-004	3.003031e+000	5.000000e+000
5.016959446900716e-004	3.002252e+000	5.000000e+000
5.017193801545080e-004	3.000178e+000	5.000000e+000
5.017506449897295e-004	2.996215e+000	5.000000e+000
5.017702282834554e-004	2.993001e+000	5.000000e+000
5.017900930483512e-004	2.989070e+000	5.000000e+000
5.018095375556818e-004	2.984695e+000	5.000000e+000
5.018275146694794e-004	2.980206e+000	5.000000e+000
5.018426595244659e-004	2.976081e+000	5.000000e+000
5.018591017390809e-004	2.971253e+000	5.000000e+000
5.018764559635169e-004	2.965789e+000	5.000000e+000
5.018967864712798e-004	2.958889e+000	5.000000e+000
5.019263413398527e-004	2.948117e+000	5.000000e+000
5.019488916032962e-004	2.939345e+000	5.000000e+000
5.019692386448049e-004	2.930963e+000	5.000000e+000
5.019889176243680e-004	2.922485e+000	5.000000e+000
5.020080286261504e-004	2.913925e+000	5.000000e+000
5.020284219989877e-004	2.904461e+000	5.000000e+000
5.020502654270991e-004	2.893981e+000	5.000000e+000
5.020738904669227e-004	2.882269e+000	5.000000e+000
5.021014805944757e-004	2.868112e+000	5.000000e+000
5.021401926455664e-004	2.847612e+000	5.000000e+000
5.021645487106295e-004	2.834347e+000	5.000000e+000
5.021872992849583e-004	2.821640e+000	5.000000e+000
5.022135035779485e-004	2.806697e+000	5.000000e+000
5.022421654024856e-004	2.790017e+000	5.000000e+000
5.022734127225275e-004	2.771445e+000	5.000000e+000
5.023114710863167e-004	2.748365e+000	5.000000e+000
5.023444139395695e-004	2.728020e+000	5.000000e+000
5.023737056812496e-004	2.709630e+000	5.000000e+000
5.024070923878710e-004	2.688362e+000	5.000000e+000
5.024458944617698e-004	2.663306e+000	5.000000e+000
5.024880573889319e-004	2.635691e+000	5.000000e+000
5.025483141412366e-004	2.595705e+000	5.000000e+000
