Freq.	V(n002)	V(n004)/V(n002)
Step Information: Step=1  (Run: 1/100)
2.70000000000000e+004	(-2.27826875501119e+000dB,-1.24920541289994e+002°)	(-8.24125953800349e+000dB,-1.06558039310749e+002°)
2.70622414281033e+004	(-2.19309631050536e+000dB,-1.25309052476624e+002°)	(-8.18813647379711e+000dB,-1.06660211915386e+002°)
2.71246263375167e+004	(-2.10752039814970e+000dB,-1.25705111121160e+002°)	(-8.13475672097345e+000dB,-1.06763550953013e+002°)
2.71871550589987e+004	(-2.02154880428100e+000dB,-1.26108903327593e+002°)	(-8.08111769902151e+000dB,-1.06868076461037e+002°)
2.72498279240705e+004	(-1.93519014740662e+000dB,-1.26520619587682e+002°)	(-8.02721679763673e+000dB,-1.06973808924866e+002°)
2.73126452650173e+004	(-1.84845393038312e+000dB,-1.26940454794670e+002°)	(-7.97305137650114e+000dB,-1.07080769290020e+002°)
2.73756074148903e+004	(-1.76135059525794e+000dB,-1.27368608244928e+002°)	(-7.91861876507372e+000dB,-1.07188978974613e+002°)
2.74387147075088e+004	(-1.67389158085046e+000dB,-1.27805283626002e+002°)	(-7.86391626239188e+000dB,-1.07298459882233e+002°)
2.75019674774611e+004	(-1.58608938314146e+000dB,-1.28250688989435e+002°)	(-7.80894113688522e+000dB,-1.07409234415216e+002°)
2.75653660601073e+004	(-1.49795761853105e+000dB,-1.28705036706545e+002°)	(-7.75369062620276e+000dB,-1.07521325488340e+002°)
2.76289107915803e+004	(-1.40951109001387e+000dB,-1.29168543405234e+002°)	(-7.69816193705459e+000dB,-1.07634756542952e+002°)
2.76926020087880e+004	(-1.32076585630772e+000dB,-1.29641429885736e+002°)	(-7.64235224506972e+000dB,-1.07749551561539e+002°)
2.77564400494148e+004	(-1.23173930395463e+000dB,-1.30123921013022e+002°)	(-7.58625869467091e+000dB,-1.07865735082756e+002°)
2.78204252519236e+004	(-1.14245022239549e+000dB,-1.30616245583462e+002°)	(-7.52987839896855e+000dB,-1.07983332216938e+002°)
2.78845579555577e+004	(-1.05291888199587e+000dB,-1.31118636163125e+002°)	(-7.47320843967481e+000dB,-1.08102368662098e+002°)
2.79488385003423e+004	(-9.63167114975473e-001dB,-1.31631328894940e+002°)	(-7.41624586703975e+000dB,-1.08222870720442e+002°)
2.80132672270863e+004	(-8.73218399162906e-001dB,-1.32154563271763e+002°)	(-7.35898769981144e+000dB,-1.08344865315404e+002°)
2.80778444773846e+004	(-7.83097944463020e-001dB,-1.32688581872216e+002°)	(-7.30143092522178e+000dB,-1.08468380009238e+002°)
2.81425705936192e+004	(-6.92832781884509e-001dB,-1.33233630055969e+002°)	(-7.24357249900005e+000dB,-1.08593443021164e+002°)
2.82074459189616e+004	(-6.02451854930137e-001dB,-1.33789955615000e+002°)	(-7.18540934541665e+000dB,-1.08720083246103e+002°)
2.82724707973743e+004	(-5.11986113102000e-001dB,-1.34357808377160e+002°)	(-7.12693835735894e+000dB,-1.08848330274019e+002°)
2.83376455736127e+004	(-4.21468607216621e-001dB,-1.34937439758263e+002°)	(-7.06815639644202e+000dB,-1.08978214409881e+002°)
2.84029705932270e+004	(-3.30934586161658e-001dB,-1.35529102258775e+002°)	(-7.00906029315692e+000dB,-1.09109766694279e+002°)
2.84684462025640e+004	(-2.40421594655769e-001dB,-1.36133048901052e+002°)	(-6.94964684705899e+000dB,-1.09243018924702e+002°)
2.85340727487687e+004	(-1.49969571495316e-001dB,-1.36749532603031e+002°)	(-6.88991282699961e+000dB,-1.09378003677513e+002°)
2.85998505797868e+004	(-5.96209476871668e-002dB,-1.37378805484235e+002°)	(-6.82985497140429e+000dB,-1.09514754330638e+002°)
2.86657800443655e+004	(3.05792562259634e-002dB,-1.38021118099934e+002°)	(-6.76946998860069e+000dB,-1.09653305086997e+002°)
2.87318614920565e+004	(1.20583334440582e-001dB,-1.38676718599423e+002°)	(-6.70875455720003e+000dB,-1.09793690998701e+002°)
2.87980952732169e+004	(2.10340802668423e-001dB,-1.39345851804455e+002°)	(-6.64770532653597e+000dB,-1.09935947992036e+002°)
2.88644817390117e+004	(2.99798308427260e-001dB,-1.40028758204131e+002°)	(-6.58631891716482e+000dB,-1.10080112893277e+002°)
2.89310212414153e+004	(3.88899545981123e-001dB,-1.40725672862799e+002°)	(-6.52459192143179e+000dB,-1.10226223455335e+002°)
2.89977141332136e+004	(4.77585177189191e-001dB,-1.41436824237967e+002°)	(-6.46252090410760e+000dB,-1.10374318385292e+002°)
2.90645607680055e+004	(5.65792759652691e-001dB,-1.42162432905709e+002°)	(-6.40010240310076e+000dB,-1.10524437372831e+002°)
2.91315615002053e+004	(6.53456683679744e-001dB,-1.42902710191737e+002°)	(-6.33733293025061e+000dB,-1.10676621119605e+002°)
2.91987166850443e+004	(7.40508119720732e-001dB,-1.43657856707059e+002°)	(-6.27420897220677e+000dB,-1.10830911369575e+002°)
2.92660266785724e+004	(8.26874978055165e-001dB,-1.44428060788131e+002°)	(-6.21072699140133e+000dB,-1.10987350940341e+002°)
2.93334918376607e+004	(9.12481882635504e-001dB,-1.45213496842488e+002°)	(-6.14688342711968e+000dB,-1.11145983755506e+002°)
2.94011125200026e+004	(9.97250161107110e-001dB,-1.46014323602172e+002°)	(-6.08267469667736e+000dB,-1.11306854878106e+002°)
2.94688890841164e+004	(1.08109785312525e+000dB,-1.46830682288711e+002°)	(-6.01809719670973e+000dB,-1.11470010545135e+002°)
2.95368218893465e+004	(1.16393973917242e+000dB,-1.47662694695093e+002°)	(-5.95314730458256e+000dB,-1.11635498203211e+002°)
2.96049112958659e+004	(1.24568739213864e+000dB,-1.48510461192036e+002°)	(-5.88782137993167e+000dB,-1.11803366545407e+002°)
2.96731576646780e+004	(1.32624925395753e+000dB,-1.49374058667870e+002°)	(-5.82211576634031e+000dB,-1.11973665549288e+002°)
2.97415613576181e+004	(1.40553073958469e+000dB,-1.50253538413592e+002°)	(-5.75602679316385e+000dB,-1.12146446516200e+002°)
2.98101227373559e+004	(1.48343437055754e+000dB,-1.51148923966979e+002°)	(-5.68955077751156e+000dB,-1.12321762111833e+002°)
2.98788421673969e+004	(1.55985994027910e+000dB,-1.52060208932175e+002°)	(-5.62268402639626e+000dB,-1.12499666408114e+002°)
2.99477200120848e+004	(1.63470471301575e+000dB,-1.52987354793706e+002°)	(-5.55542283906302e+000dB,-1.12680214926453e+002°)
3.00167566366029e+004	(1.70786365838680e+000dB,-1.53930288746525e+002°)	(-5.48776350950902e+000dB,-1.12863464682398e+002°)
3.00859524069766e+004	(1.77922972284224e+000dB,-1.54888901566270e+002°)	(-5.41970232920727e+000dB,-1.13049474231725e+002°)
3.01553076900751e+004	(1.84869413927499e+000dB,-1.55863045546459e+002°)	(-5.35123559004811e+000dB,-1.13238303718009e+002°)
3.02248228536130e+004	(1.91614677548700e+000dB,-1.56852532531675e+002°)	(-5.28235958751263e+000dB,-1.13430014921721e+002°)
3.02944982661529e+004	(1.98147652172888e+000dB,-1.57857132077909e+002°)	(-5.21307062409376e+000dB,-1.13624671310887e+002°)
3.03643342971069e+004	(2.04457171695648e+000dB,-1.58876569772986e+002°)	(-5.14336501298143e+000dB,-1.13822338093344e+002°)
3.04343313167387e+004	(2.10532061280329e+000dB,-1.59910525751306e+002°)	(-5.07323908202908e+000dB,-1.14023082270642e+002°)
3.05044896961655e+004	(2.16361187355815e+000dB,-1.60958633437885e+002°)	(-5.00268917802047e+000dB,-1.14226972693631e+002°)
3.05748098073600e+004	(2.21933510967648e+000dB,-1.62020478556781e+002°)	(-4.93171167125650e+000dB,-1.14434080119763e+002°)
3.06452920231524e+004	(2.27238144155139e+000dB,-1.63095598438370e+002°)	(-4.86030296048280e+000dB,-1.14644477272151e+002°)
3.07159367172325e+004	(2.32264408944777e+000dB,-1.64183481658433e+002°)	(-4.78845947818113e+000dB,-1.14858238900428e+002°)
3.07867442641515e+004	(2.37001898467786e+000dB,-1.65283568039679e+002°)	(-4.71617769624776e+000dB,-1.15075441843425e+002°)
3.08577150393237e+004	(2.41440539629250e+000dB,-1.66395249043016e+002°)	(-4.64345413208470e+000dB,-1.15296165093710e+002°)
3.09288494190294e+004	(2.45570656680823e+000dB,-1.67517868571603e+002°)	(-4.57028535513026e+000dB,-1.15520489864020e+002°)
3.10001477804157e+004	(2.49383034980965e+000dB,-1.68650724205568e+002°)	(-4.49666799385809e+000dB,-1.15748499655605e+002°)
3.10716105014997e+004	(2.52868984168973e+000dB,-1.69793068879168e+002°)	(-4.42259874327441e+000dB,-1.15980280328500e+002°)
3.11432379611694e+004	(2.56020399934526e+000dB,-1.70944113005335e+002°)	(-4.34807437294642e+000dB,-1.16215920173765e+002°)
3.12150305391866e+004	(2.58829823535417e+000dB,-1.72103027045052e+002°)	(-4.27309173559565e+000dB,-1.16455509987679e+002°)
