Freq.	V(n004)
Step Information: Step=1  (Run: 1/100)
2.70000000000000e+004	(-1.05195282930147e+001dB,1.28521419399257e+002°)
2.70622414281033e+004	(-1.03812327843025e+001dB,1.28030735607990e+002°)
2.71246263375167e+004	(-1.02422771191231e+001dB,1.27531337925827e+002°)
2.71871550589987e+004	(-1.01026665033025e+001dB,1.27023020211371e+002°)
2.72498279240705e+004	(-9.96240694504334e+000dB,1.26505571487452e+002°)
2.73126452650173e+004	(-9.82150530688426e+000dB,1.25978775915310e+002°)
2.73756074148903e+004	(-9.67996936033166e+000dB,1.25442412780459e+002°)
2.74387147075088e+004	(-9.53780784324234e+000dB,1.24896256491764e+002°)
2.75019674774611e+004	(-9.39503052002669e+000dB,1.24340076595349e+002°)
2.75653660601073e+004	(-9.25164824473381e+000dB,1.23773637805116e+002°)
2.76289107915803e+004	(-9.10767302706846e+000dB,1.23196700051814e+002°)
2.76926020087880e+004	(-8.96311810137744e+000dB,1.22609018552725e+002°)
2.77564400494148e+004	(-8.81799799862554e+000dB,1.22010343904222e+002°)
2.78204252519236e+004	(-8.67232862136404e+000dB,1.21400422199600e+002°)
2.78845579555577e+004	(-8.52612732167068e+000dB,1.20778995174776e+002°)
2.79488385003423e+004	(-8.37941298201522e+000dB,1.20145800384619e+002°)
2.80132672270863e+004	(-8.23220609897435e+000dB,1.19500571412833e+002°)
2.80778444773846e+004	(-8.08452886968480e+000dB,1.18843038118546e+002°)
2.81425705936192e+004	(-7.93640528088456e+000dB,1.18172926922866e+002°)
2.82074459189616e+004	(-7.78786120034679e+000dB,1.17489961138896e+002°)
2.82724707973743e+004	(-7.63892447046094e+000dB,1.16793861348822e+002°)
2.83376455736127e+004	(-7.48962500365864e+000dB,1.16084345831856e+002°)
2.84029705932270e+004	(-7.33999487931858e+000dB,1.15361131046946e+002°)
2.84684462025640e+004	(-7.19006844171475e+000dB,1.14623932174246e+002°)
2.85340727487687e+004	(-7.03988239849492e+000dB,1.13872463719456e+002°)
2.85998505797868e+004	(-6.88947591909146e+000dB,1.13106440185127e+002°)
2.86657800443655e+004	(-6.73889073237473e+000dB,1.12325576813068e+002°)
2.87318614920565e+004	(-6.58817122275945e+000dB,1.11529590401877e+002°)
2.87980952732169e+004	(-6.43736452386754e+000dB,1.10718200203509e+002°)
2.88644817390117e+004	(-6.28652060873756e+000dB,1.09891128902592e+002°)
2.89310212414153e+004	(-6.13569237545067e+000dB,1.09048103681866e+002°)
2.89977141332136e+004	(-5.98493572691841e+000dB,1.08188857376741e+002°)
2.90645607680055e+004	(-5.83430964344808e+000dB,1.07313129721460e+002°)
2.91315615002053e+004	(-5.68387624657087e+000dB,1.06420668688658e+002°)
2.91987166850443e+004	(-5.53370085248604e+000dB,1.05511231923366e+002°)
2.92660266785724e+004	(-5.38385201334617e+000dB,1.04584588271528e+002°)
2.93334918376607e+004	(-5.23440154448418e+000dB,1.03640519402006e+002°)
2.94011125200026e+004	(-5.08542453557025e+000dB,1.02678821519722e+002°)
2.94688890841164e+004	(-4.93699934358448e+000dB,1.01699307166154e+002°)
2.95368218893465e+004	(-4.78920756541014e+000dB,1.00701807101695e+002°)
2.96049112958659e+004	(-4.64213398779303e+000dB,9.96861722625571e+001°)
2.96731576646780e+004	(-4.49586651238279e+000dB,9.86522757828415e+001°)
2.97415613576181e+004	(-4.35049605357916e+000dB,9.76000150702085e+001°)
2.98101227373559e+004	(-4.20611640695402e+000dB,9.65293139211883e+001°)
2.98788421673969e+004	(-4.06282408611716e+000dB,9.54401246597114e+001°)
2.99477200120848e+004	(-3.92071812604728e+000dB,9.43324302798405e+001°)
3.00167566366029e+004	(-3.77989985112222e+000dB,9.32062465710768e+001°)
3.00859524069766e+004	(-3.64047260636503e+000dB,9.20616242020055e+001°)
3.01553076900751e+004	(-3.50254145077312e+000dB,9.08986507355321e+001°)
3.02248228536130e+004	(-3.36621281202562e+000dB,8.97174525466032e+001°)
3.02944982661529e+004	(-3.23159410236488e+000dB,8.85181966112033e+001°)
3.03643342971069e+004	(-3.09879329602496e+000dB,8.73010921336706e+001°)
3.04343313167387e+004	(-2.96791846922579e+000dB,8.60663919780525e+001°)
3.05044896961655e+004	(-2.83907730446233e+000dB,8.48143938684844e+001°)
3.05748098073600e+004	(-2.71237656158001e+000dB,8.35454413234561e+001°)
3.06452920231524e+004	(-2.58792151893141e+000dB,8.22599242894783e+001°)
3.07159367172325e+004	(-2.46581538873336e+000dB,8.09582794411388e+001°)
3.07867442641515e+004	(-2.34615871156991e+000dB,7.96409901168960e+001°)
3.08577150393237e+004	(-2.22904873579220e+000dB,7.83085858632742e+001°)
3.09288494190294e+004	(-2.11457878832203e+000dB,7.69616415643762e+001°)
3.10001477804157e+004	(-2.00283764404845e+000dB,7.56007761388265e+001°)
3.10716105014997e+004	(-1.89390890158467e+000dB,7.42266507923320e+001°)
3.11432379611694e+004	(-1.78787037360116e+000dB,7.28399668208999e+001°)
3.12150305391866e+004	(-1.68479350024148e+000dB,7.14414629672694e+001°)
3.12869886161883e+004	(-1.58474279424284e+000dB,7.00319123410946e+001°)
3.13591125736891e+004	(-1.48777532630156e+000dB,6.86121189216890e+001°)
3.14314027940832e+004	(-1.39394025893653e+000dB,6.71829136704447e+001°)
3.15038596606459e+004	(-1.30327843660612e+000dB,6.57451502881411e+001°)
3.15764835575364e+004	(-1.21582203912977e+000dB,6.42997006599896e+001°)
3.16492748697994e+004	(-1.13159430456633e+000dB,6.28474500381730e+001°)
3.17222339833672e+004	(-1.05060932662689e+000dB,6.13892920175784e+001°)
3.17953612850617e+004	(-9.72871930478457e-001dB,5.99261233651902e+001°)
3.18686571625966e+004	(-8.98377629459506e-001dB,5.84588387670211e+001°)
3.19421220045793e+004	(-8.27112663818715e-001dB,5.69883255583926e+001°)
3.20157562005132e+004	(-7.59054121146773e-001dB,5.55154585037509e+001°)
3.20895601407994e+004	(-6.94170136741793e-001dB,5.40410946910193e+001°)
3.21635342167390e+004	(-6.32420170775088e-001dB,5.25660686027792e+001°)
3.22376788205352e+004	(-5.73755357846508e-001dB,5.10911874224457e+001°)
3.23119943452954e+004	(-5.18118923374843e-001dB,4.96172266282169e+001°)
3.23864811850331e+004	(-4.65446660287740e-001dB,4.81449259211262e+001°)
3.24611397346700e+004	(-4.15667458682058e-001dB,4.66749855262386e+001°)
3.25359703900384e+004	(-3.68703880533823e-001dB,4.52080628981659e+001°)
3.26109735478829e+004	(-3.24472771156633e-001dB,4.37447698538874e+001°)
3.26861496058629e+004	(-2.82885898933761e-001dB,4.22856701476035e+001°)
3.27614989625542e+004	(-2.43850614878673e-001dB,4.08312774942744e+001°)
3.28370220174518e+004	(-2.07270523793665e-001dB,3.93820540408108e+001°)
3.29127191709712e+004	(-1.73046159177554e-001dB,3.79384092767852e+001°)
3.29885908244514e+004	(-1.41075654557013e-001dB,3.65006993701673e+001°)
3.30646373801562e+004	(-1.11255404555924e-001dB,3.50692269080688e+001°)
3.31408592412768e+004	(-8.34807097432385e-002dB,3.36442410178892e+001°)
3.32172568119341e+004	(-5.76464000872751e-002dB,3.22259378406145e+001°)
3.32938304971804e+004	(-3.36474326633975e-002dB,3.08144613253335e+001°)
3.33705807030016e+004	(-1.13794600890406e-002dB,2.94099043122899e+001°)
3.34475078363198e+004	(9.26063302596461e-003dB,2.80123098708930e+001°)
3.35246123049949e+004	(2.83742275467331e-002dB,2.66216728590310e+001°)
3.36018945178272e+004	(4.60605023992167e-002dB,2.52379416706455e+001°)
3.36793548845593e+004	(6.24160028056798e-002dB,2.38610201397469e+001°)
3.37569938158783e+004	(7.75342440990027e-002dB,2.24907695707956e+001°)
3.38348117234181e+004	(9.15053505191324e-002dB,2.11270108674942e+001°)
