#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A29C8B
#Date Time: 2017-10-25 18:45:41.932

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
1000.0000000000011,0.012083257108003091,-79.278034825951551,-153.91249045921577
1006.9386314760281,0.011694201177841434,-77.511834450286358,-171.56896158620958
1013.9254075588154,0.011254384012863911,-78.831007744838388,-154.27564870252249
1020.9606623060474,0.012179974293643257,-81.196555100225908,-146.75954809322599
1028.0447320933108,0.011581307216370386,-81.20796761325272,-172.21823971416495
1035.1779556301774,0.011650040781365879,-75.751223510308293,-177.61070515800412
1042.3606739764023,0.011496542943517972,-76.935760806136358,-158.3461493654309
1049.5932305582276,0.011764489013624388,-80.594242625865959,-150.73361108848576
1056.8759711848049,0.01174608028140744,-77.10113402318801,-158.877378399794
1064.2092440647257,0.01233448162984473,-82.568798892982031,-154.16887611119216
1071.5933998226722,0.011781295612293588,-78.487581154590245,-153.13041682436719
1079.0287915161848,0.012145769199974881,-81.812151306734393,-148.98519752361332
1086.5157746525385,0.011661222617136504,-76.927594888833838,-159.93759378453802
1094.0547072057436,0.01188524110845676,-76.928587747834996,-152.77059042134272
1101.6459496336579,0.011491615953074841,-78.138223785123756,-160.50668342141569
1109.2898648952239,0.011613589581897598,-75.391582937923346,-171.12290012674194
1116.9868184678239,0.011937183996690016,-76.320365857258736,-158.39323073121039
1124.737178364752,0.012085116175813111,-77.343846620152135,-167.09658940857625
1132.5413151528126,0.012237666908192089,-77.751009419611307,-146.02954305697045
1140.3996019700342,0.01210745473955978,-78.951353944935022,-169.39608496233507
1148.3124145435122,0.011512474881748929,-77.866228066346281,-162.55835743764959
1156.2801312073766,0.011339782129169697,-76.793522028602283,-171.73786495351609
1164.3031329208768,0.011251730450174276,-78.266020775341303,-161.62602564609438
1172.3818032865997,0.01234736760078917,-74.873424522326033,-153.26345896874363
1180.5165285688067,0.012131639849369215,-75.444462033278867,-159.40400444592555
1188.7076977119045,0.012410257342247499,-78.656354097882414,-150.92712979369895
1196.9557023590439,0.011762702637689425,-74.108970195146597,-167.6886122462389
1205.2609368708424,0.011813765086007705,-76.03469377738692,-161.47137780050213
1213.6237983442418,0.011184485829984298,-76.053188333238296,-164.05293480478346
1222.0446866314901,0.01195825200919726,-76.653425968209433,-171.5321827938171
1230.524004359263,0.011590343854901255,-75.623362691895608,-161.83377965803288
1239.0621569479169,0.011945976544851643,-76.738769117412332,-163.99360828681478
1247.6595526308697,0.01201359195037781,-73.911774473033717,-162.23537426014062
1256.3166024741215,0.01201415687030544,-77.184001961309889,-160.47484989930797
1265.033720395905,0.012537572664739743,-75.844330688957498,-160.0626652590966
1273.81132318648,0.011729422544797979,-74.589542883039101,-163.50494057638679
1282.6498305280611,0.011914396645629453,-75.047025390087057,-171.47572188339149
1291.5496650148839,0.012505454467284311,-76.671738572196574,-153.83453549397927
1300.5112521734097,0.012524292732262878,-74.57607177263435,-160.85182858290671
1309.5350204826691,0.013388404309530604,-73.905187456281411,-163.97138489048027
1318.6214013947497,0.012546269537194203,-76.106027097560982,-159.58505373386808
1327.7708293554306,0.013032977037526769,-75.983920970164945,-160.33968408772674
1336.9837418249479,0.012595240628076907,-73.932346451254745,-171.48795712378862
1346.2605792989111,0.012331284311997655,-74.317456680092036,-168.86548087392114
1355.6017853293702,0.012662039969351717,-74.549747471792486,-174.39806884998364
1365.0078065460152,0.012392402447585982,-73.071546982776525,-168.68529949293901
