#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery
#Serial Number: SN:210244692301
#Date Time: 2017-10-25 18:18:39.923

Frequency (Hz),Trace ? (°),Trace |Z| (O)
200,-7.9230933726590411,3030.0923440280808
400,-8.2899118469647615,3027.3253339912621
600,-8.6728508374824766,3023.6478204034652
800,-9.0822843761929306,3019.7904901601032
1000,-9.4998863552564607,3015.9524728696401
1200,-9.9401805791612823,3011.4572268371571
1400,-10.399375591373714,3006.1958526268295
1600,-10.879990062560212,3001.5158367529057
1800,-11.377545710111727,2995.3680184755976
2000,-11.887460775340058,2989.327022600557
2200,-12.433511985070671,2982.4918380509321
2400,-13.00221088619317,2974.8262622794209
2600,-13.594340948764659,2966.9755104377382
2800,-14.208741025816348,2958.4269322202922
3000,-14.841006237374492,2949.1344540105188
3200,-15.509262174743196,2938.6936316216888
3400,-16.211138712911016,2927.1410826009005
3600,-16.927684527188084,2915.7852601922086
3800,-17.663268641724358,2902.3361722901459
4000,-18.429877354642617,2888.486893946425
4200,-19.237862015181577,2873.4908555659299
4400,-20.06425800028077,2857.466591694902
4600,-20.926419368174411,2839.8503434239328
4800,-21.806644789585647,2820.699276440329
5000,-22.723524525969331,2800.4585047330725
5200,-23.662607134029475,2779.0817249562551
5400,-24.637581241157598,2755.7800972270788
5600,-25.635707131537004,2731.2652682820562
5800,-26.666850744735068,2705.398776972258
6000,-27.717124654188119,2676.6120849356917
6200,-28.792540328533597,2647.2767929958145
6400,-29.89491009716286,2616.1378319215873
6600,-31.013316388564867,2582.7236623212148
6800,-32.171913507974509,2546.9676799243566
7000,-33.330493361472826,2510.5506187189385
7200,-34.509680371757554,2472.6131053250583
7400,-35.723235700123624,2432.0786282723811
7600,-36.923460047563125,2390.1441851945606
7800,-38.159211375093349,2346.1727114387263
8000,-39.387077628354866,2301.0041538927685
8200,-40.612125694812924,2254.3271771006225
8400,-41.840026650451307,2206.1507488474535
8600,-43.085755170789838,2157.2185850623746
8800,-44.309614606720061,2106.4133319413227
9000,-45.526336858200338,2054.4956078422142
9200,-46.743407409166743,2003.118070713457
9400,-47.948726423167713,1950.4584164389969
9600,-49.140099009742052,1896.5746057108479
9800,-50.312998970049513,1843.2956252732947
10000,-51.444980092338234,1789.2581226623847
10200,-52.583484137233029,1734.9576050259036
10400,-53.698513140291396,1680.5604725525916
10600,-54.768438338181866,1627.0676167514437
10800,-55.802459386817397,1572.9208486656341
11000,-56.829740478017598,1520.2794669846357
11200,-57.803742250736065,1467.689510207174
11400,-58.755405038548332,1416.3260630277562
11600,-59.667225345460928,1365.5159659721853
11800,-60.554114641216955,1316.1300314090163
12000,-61.366217496479244,1266.9410316319738
12200,-62.198065997479674,1219.0205996665754
12400,-62.94933637741908,1172.0819340350824
12600,-63.687548544573964,1126.5827423613989
12800,-64.336070369659183,1081.4730666372966
13000,-65.007484600173171,1038.8277685127468
13200,-65.603697226592487,996.94536352818977
13400,-66.173145560120375,956.91123765660632
13600,-66.674906696834938,917.14082763188719
13800,-67.156047322182559,879.23789466106359
14000,-67.588448739400178,842.71591845374928
14200,-68.003042582945909,807.79312883520129
14400,-68.33003027969491,773.31004613689436
14600,-68.659291959522008,740.55436461508486
14800,-68.961721763308589,708.23896325626447
15000,-69.145608220346546,677.94315961906432
15200,-69.334457309726616,648.31288647871838
15400,-69.524190331884881,620.51517950337313
15600,-69.666942443057252,593.02941099476732
15800,-69.692133487878792,566.95507630649649
16000,-69.718726135376883,542.7692407219613
16200,-69.659525296539755,518.84109591443985
16400,-69.51988580190185,495.51694713105462
16600,-69.409191799336426,473.60877599251569
16800,-69.183591934257919,452.78454854954435
17000,-69.027973293161651,432.2609978334628
17200,-68.645629732262393,413.77735430933114
17400,-68.363709530826569,395.10592632719829
17600,-67.868006459855465,377.22227187056518
17800,-67.431322093142327,360.45268351248325
18000,-67.022499085139472,344.38336956506396
18200,-66.311183247786161,329.27161947261533
18400,-65.739952482592358,314.91247941125766
18600,-64.91584687653301,301.34317899142411
18800,-64.142650459295524,287.98388707151582
19000,-63.124681274957311,275.45688799906145
19200,-62.184098615538446,263.94723926547914
19400,-61.186499287409021,252.02132778883967
19600,-59.911752855032432,242.06304786332677
19800,-58.69154908358496,232.37043645394547
20000,-57.314300403238562,222.71425152827777
