Freq.	V(n007)
1.00000000000000e+002	(-4.08825942726633e-003dB,-6.12766776561812e+000°)
1.00230523807790e+002	(-4.10202983985716e-003dB,-6.14179504542629e+000°)
1.00461579027840e+002	(-4.11586385129293e-003dB,-6.15595490270196e+000°)
1.00693166885180e+002	(-4.12976175548791e-003dB,-6.17014741261834e+000°)
1.00925288607668e+002	(-4.14372384763323e-003dB,-6.18437265052235e+000°)
1.01157945425990e+002	(-4.15775042442546e-003dB,-6.19863069193528e+000°)
1.01391138573668e+002	(-4.17184178387186e-003dB,-6.21292161255294e+000°)
1.01624869287070e+002	(-4.18599822534241e-003dB,-6.22724548824614e+000°)
1.01859138805412e+002	(-4.20022004958924e-003dB,-6.24160239506117e+000°)
1.02093948370768e+002	(-4.21450755877840e-003dB,-6.25599240922016e+000°)
1.02329299228075e+002	(-4.22886105648324e-003dB,-6.27041560712147e+000°)
1.02565192625141e+002	(-4.24328084762744e-003dB,-6.28487206534011e+000°)
1.02801629812647e+002	(-4.25776723867613e-003dB,-6.29936186062818e+000°)
1.03038612044162e+002	(-4.27232053732040e-003dB,-6.31388506991527e+000°)
1.03276140576140e+002	(-4.28694105285653e-003dB,-6.32844177030880e+000°)
1.03514216667934e+002	(-4.30162909585410e-003dB,-6.34303203909456e+000°)
1.03752841581801e+002	(-4.31638497845033e-003dB,-6.35765595373705e+000°)
1.03992016582906e+002	(-4.33120901413302e-003dB,-6.37231359187991e+000°)
1.04231742939330e+002	(-4.34610151791230e-003dB,-6.38700503134632e+000°)
1.04472021922080e+002	(-4.36106280624641e-003dB,-6.40173035013944e+000°)
1.04712854805090e+002	(-4.37609319701182e-003dB,-6.41648962644286e+000°)
1.04954242865232e+002	(-4.39119300954280e-003dB,-6.43128293862086e+000°)
1.05196187382322e+002	(-4.40636256473571e-003dB,-6.44611036521912e+000°)
1.05438689639126e+002	(-4.42160218491486e-003dB,-6.46097198496489e+000°)
1.05681750921366e+002	(-4.43691219393005e-003dB,-6.47586787676744e+000°)
1.05925372517729e+002	(-4.45229291704661e-003dB,-6.49079811971864e+000°)
