Freq.,Vout
1.00000000000000e+003,-1.76272303787808e-002,1.74533363762513e+002
1.00230523807790e+003,-1.76200311319675e-002,1.74520756156294e+002
1.00461579027840e+003,-1.76127988330850e-002,1.74508119446981e+002
1.00693166885180e+003,-1.76055333312918e-002,1.74495453567211e+002
1.00925288607668e+003,-1.75982344749398e-002,1.74482758449464e+002
1.01157945425990e+003,-1.75909021117689e-002,1.74470034026060e+002
1.01391138573668e+003,-1.75835360888300e-002,1.74457280229164e+002
1.01624869287070e+003,-1.75761362524476e-002,1.74444496990781e+002
1.01859138805412e+003,-1.75687024482674e-002,1.74431684242757e+002
1.02093948370768e+003,-1.75612345212860e-002,1.74418841916780e+002
1.02329299228075e+003,-1.75537323157549e-002,1.74405969944379e+002
1.02565192625141e+003,-1.75461956751921e-002,1.74393068256920e+002
1.02801629812647e+003,-1.75386244424760e-002,1.74380136785613e+002
1.03038612044162e+003,-1.75310184597275e-002,1.74367175461505e+002
1.03276140576140e+003,-1.75233775683947e-002,1.74354184215482e+002
1.03514216667934e+003,-1.75157016091801e-002,1.74341162978270e+002
1.03752841581801e+003,-1.75079904220621e-002,1.74328111680431e+002
1.03992016582906e+003,-1.75002438463616e-002,1.74315030252366e+002
1.04231742939330e+003,-1.74924617205767e-002,1.74301918624316e+002
1.04472021922080e+003,-1.74846438825758e-002,1.74288776726354e+002
1.04712854805090e+003,-1.74767901693849e-002,1.74275604488394e+002
1.04954242865232e+003,-1.74689004174501e-002,1.74262401840184e+002
1.05196187382322e+003,-1.74609744623093e-002,1.74249168711309e+002
1.05438689639126e+003,-1.74530121388841e-002,1.74235905031188e+002
1.05681750921366e+003,-1.74450132812980e-002,1.74222610729078e+002
1.05925372517729e+003,-1.74369777229557e-002,1.74209285734069e+002
1.06169555719872e+003,-1.74289052964533e-002,1.74195929975083e+002
1.06414301822431e+003,-1.74207958337425e-002,1.74182543380880e+002
1.06659612123026e+003,-1.74126491658909e-002,1.74169125880051e+002
1.06905487922266e+003,-1.74044651232862e-002,1.74155677401022e+002
1.07151930523761e+003,-1.73962435355237e-002,1.74142197872049e+002
1.07398941234124e+003,-1.73879842314600e-002,1.74128687221223e+002
1.07646521362983e+003,-1.73796870391571e-002,1.74115145376466e+002
1.07894672222983e+003,-1.73713517858979e-002,1.74101572265530e+002
1.08143395129794e+003,-1.73629782981904e-002,1.74087967816001e+002
1.08392691402120e+003,-1.73545664018016e-002,1.74074331955293e+002
1.08642562361706e+003,-1.73461159216581e-002,1.74060664610653e+002
1.08893009333343e+003,-1.73376266819331e-002,1.74046965709155e+002
1.09144033644875e+003,-1.73290985059970e-002,1.74033235177704e+002
1.09395636627209e+003,-1.73205312164216e-002,1.74019472943035e+002
1.09647819614318e+003,-1.73119246350086e-002,1.74005678931710e+002
1.09900583943252e+003,-1.73032785827425e-002,1.73991853070120e+002
1.10153930954141e+003,-1.72945928797822e-002,1.73977995284483e+002
1.10407861990207e+003,-1.72858673454934e-002,1.73964105500846e+002
1.10662378397766e+003,-1.72771017984401e-002,1.73950183645083e+002
