Freq.,Vn005/Vn015
1.00000000000000e+003,-9.22489606919919e+000,-5.61625384359120e-001
1.00230523807790e+003,-9.22505916111377e+000,-5.62924176459890e-001
1.00461579027840e+003,-9.22522312903008e+000,-5.64226003025402e-001
1.00693166885180e+003,-9.22538778919377e+000,-5.65530852074050e-001
1.00925288607668e+003,-9.22555325868768e+000,-5.66838742417242e-001
1.01157945425990e+003,-9.22571946612952e+000,-5.68149673552939e-001
1.01391138573668e+003,-9.22588652943654e+000,-5.69463664493657e-001
1.01624869287070e+003,-9.22605430101985e+000,-5.70780706865172e-001
1.01859138805412e+003,-9.22622286093593e+000,-5.72100815808431e-001
1.02093948370768e+003,-9.22639213692873e+000,-5.73423990697084e-001
1.02329299228075e+003,-9.22656228615208e+000,-5.74750254787759e-001
1.02565192625141e+003,-9.22673319813713e+000,-5.76079603509423e-001
1.02801629812647e+003,-9.22690499253620e+000,-5.77412056323468e-001
1.03038612044162e+003,-9.22707744254685e+000,-5.78747596411435e-001
1.03276140576140e+003,-9.22725086113185e+000,-5.80086263603471e-001
1.03514216667934e+003,-9.22742494341004e+000,-5.81428032814675e-001
1.03752841581801e+003,-9.22759992605485e+000,-5.82772935987229e-001
1.03992016582906e+003,-9.22777565816234e+000,-5.84120964195000e-001
1.04231742939330e+003,-9.22795222180948e+000,-5.85472133148278e-001
1.04472021922080e+003,-9.22812962150645e+000,-5.86826450384821e-001
1.04712854805090e+003,-9.22830786178900e+000,-5.88183923462393e-001
1.04954242865232e+003,-9.22848694721841e+000,-5.89544559959149e-001
1.05196187382322e+003,-9.22866688238176e+000,-5.90908367473473e-001
1.05438689639126e+003,-9.22884759284830e+000,-5.92275345120115e-001
1.05681750921366e+003,-9.22902924116108e+000,-5.93645517506737e-001
1.05925372517729e+003,-9.22921159430278e+000,-5.95018866661232e-001
1.06169555719872e+003,-9.22939481504973e+000,-5.96395417271022e-001
1.06414301822431e+003,-9.22957890811735e+000,-5.97775177036092e-001
1.06659612123026e+003,-9.22976395821259e+000,-5.99158162381819e-001
1.06905487922266e+003,-9.22994989051047e+000,-6.00544372426611e-001
1.07151930523761e+003,-9.23013654913516e+000,-6.01933797360979e-001
1.07398941234124e+003,-9.23032409883800e+000,-6.03326462377276e-001
1.07646521362983e+003,-9.23051254446770e+000,-6.04722375279407e-001
1.07894672222983e+003,-9.23070189090037e+000,-6.06121543892514e-001
1.08143395129794e+003,-9.23089214303964e+000,-6.07523976062890e-001
1.08392691402120e+003,-9.23108322454390e+000,-6.08929670664627e-001
1.08642562361706e+003,-9.23127522126796e+000,-6.10338644496131e-001
1.08893009333343e+003,-9.23146805654705e+000,-6.11750896389454e-001
1.09144033644875e+003,-9.23166189850674e+000,-6.13166452389137e-001
1.09395636627209e+003,-9.23185658869775e+000,-6.14585302249659e-001
1.09647819614318e+003,-9.23205213161955e+000,-6.16007453817106e-001
1.09900583943252e+003,-9.23224869662014e+000,-6.17432933455801e-001
1.10153930954141e+003,-9.23244620679624e+000,-6.18861740020522e-001
1.10407861990207e+003,-9.23264450171490e+000,-6.20293862879580e-001
1.10662378397766e+003,-9.23284383436724e+000,-6.21729337970415e-001
1.10917481526240e+003,-9.23304396100506e+000,-6.23168145237568e-001
1.11173172728159e+003,-9.23324513582862e+000,-6.24610320923510e-001
1.11429453359173e+003,-9.23344728112171e+000,-6.26055863775848e-001
1.11686324778056e+003,-9.23365023466476e+000,-6.27504762831532e-001
1.11943788346715e+003,-9.23385425248377e+000,-6.28957054796295e-001
1.12201845430196e+003,-9.23405917222241e+000,-6.30412728706257e-001
1.12460497396692e+003,-9.23426508302802e+000,-6.31871802332929e-001
1.12719745617551e+003,-9.23447190577809e+000,-6.33334274178078e-001
1.12979591467279e+003,-9.23467973006898e+000,-6.34800162147640e-001
1.13240036323555e+003,-9.23488839151152e+000,-6.36269454869372e-001
1.13501081567231e+003,-9.23509823495419e+000,-6.37742199867747e-001
1.13762728582343e+003,-9.23530892580635e+000,-6.39218366068149e-001
1.14024978756117e+003,-9.23552063950351e+000,-6.40697981476622e-001
1.14287833478977e+003,-9.23573329592008e+000,-6.42181044454044e-001
1.14551294144553e+003,-9.23594698601463e+000,-6.43667573316804e-001
1.14815362149688e+003,-9.23616171544885e+000,-6.45157576484607e-001
1.15080038894443e+003,-9.23637740359251e+000,-6.46651052246539e-001
1.15345325782109e+003,-9.23659414209440e+000,-6.48148019128487e-001
1.15611224219210e+003,-9.23681184998582e+000,-6.49648475370570e-001
1.15877735615512e+003,-9.23703053245160e+000,-6.51152429342159e-001
1.16144861384034e+003,-9.23725019470645e+000,-6.52659889435147e-001
1.16412602941049e+003,-9.23747101665762e+000,-6.54170884852615e-001
1.16680961706096e+003,-9.23769291726313e+000,-6.55685413880664e-001
1.16949939101987e+003,-9.23791563922845e+000,-6.57203453650956e-001
1.17219536554813e+003,-9.23813953843613e+000,-6.58725054517802e-001
1.17489755493953e+003,-9.23836453333425e+000,-6.60250214692954e-001
1.17760597352080e+003,-9.23859036488724e+000,-6.61778910934858e-001
1.18032063565173e+003,-9.23881748007658e+000,-6.63311204948775e-001
1.18304155572516e+003,-9.23904561993190e+000,-6.64847073540912e-001
1.18576874816716e+003,-9.23927487891928e+000,-6.66386536102798e-001
1.18850222743701e+003,-9.23950499566497e+000,-6.67929568886858e-001
1.19124200802737e+003,-9.23973633201602e+000,-6.69476223804785e-001
1.19398810446427e+003,-9.23996853645261e+000,-6.71026466061120e-001
1.19674053130724e+003,-9.24020215213941e+000,-6.72580370009587e-001
1.19949930314937e+003,-9.24043673720503e+000,-6.74137889757010e-001
1.20226443461741e+003,-9.24067229671687e+000,-6.75699033892238e-001
1.20503594037179e+003,-9.24090910704835e+000,-6.77263844475892e-001
1.20781383510678e+003,-9.24114699394714e+000,-6.78832308208181e-001
1.21059813355048e+003,-9.24138596320702e+000,-6.80404433905183e-001
1.21338885046497e+003,-9.24162602065503e+000,-6.81980230407065e-001
1.21618600064636e+003,-9.24186735469008e+000,-6.83559729299271e-001
1.21898959892486e+003,-9.24210969803544e+000,-6.85142905548819e-001
1.22179966016487e+003,-9.24235314767821e+000,-6.86729779376995e-001
1.22461619926504e+003,-9.24259780148930e+000,-6.88320371243324e-001
1.22743923115840e+003,-9.24284357398680e+000,-6.89914678697609e-001
1.23026877081238e+003,-9.24309047120462e+000,-6.91512710728110e-001
1.23310483322890e+003,-9.24333849921135e+000,-6.93114476347973e-001
1.23594743344450e+003,-9.24358775687551e+000,-6.94719996334088e-001
1.23879658653036e+003,-9.24383815800197e+000,-6.96329268120636e-001
1.24165230759241e+003,-9.24408961556905e+000,-6.97942288946773e-001
1.24451461177138e+003,-9.24434241537860e+000,-6.99559103474920e-001
1.24738351424294e+003,-9.24459628408600e+000,-7.01179685295742e-001
1.25025903021771e+003,-9.24485150886822e+000,-7.02804079457675e-001
1.25314117494141e+003,-9.24510772108510e+000,-7.04432247194633e-001
1.25602996369487e+003,-9.24536520863930e+000,-7.06064233774657e-001
1.25892541179416e+003,-9.24562388407483e+000,-7.07700036422380e-001
1.26182753459066e+003,-9.24588384854627e+000,-7.09339676650170e-001
1.26473634747115e+003,-9.24614491929030e+000,-7.10983139320015e-001
1.26765186585784e+003,-9.24640738764835e+000,-7.12630470658426e-001
1.27057410520854e+003,-9.24667097532670e+000,-7.14281643105676e-001
1.27350308101666e+003,-9.24693578385084e+000,-7.15936678336382e-001
1.27643880881134e+003,-9.24720172400655e+000,-7.17595573214526e-001
1.27938130415752e+003,-9.24746908994613e+000,-7.19258374770145e-001
1.28233058265601e+003,-9.24773760086731e+000,-7.20925054850112e-001
1.28528665994361e+003,-9.24800764884287e+000,-7.22595673605429e-001
1.28824955169313e+003,-9.24827856557446e+000,-7.24270151672627e-001
1.29121927361353e+003,-9.24855083993755e+000,-7.25948562027444e-001
1.29419584144998e+003,-9.24882447945672e+000,-7.27630914408740e-001
1.29717927098395e+003,-9.24909949169914e+000,-7.29317218584059e-001
1.30016957803328e+003,-9.24937559138206e+000,-7.31007445307270e-001
1.30316677845229e+003,-9.24965307768761e+000,-7.32701643079228e-001
1.30617088813183e+003,-9.24993186022125e+000,-7.34399808615034e-001
1.30918192299940e+003,-9.25021194603288e+000,-7.36101951610468e-001
1.31219989901920e+003,-9.25049314512657e+000,-7.37808055267382e-001
1.31522483219223e+003,-9.25077605589234e+000,-7.39518208901240e-001
1.31825673855640e+003,-9.25105999524084e+000,-7.41232329340698e-001
1.32129563418657e+003,-9.25134546447925e+000,-7.42950493071562e-001
1.32434153519466e+003,-9.25163217385467e+000,-7.44672669771011e-001
1.32739445772973e+003,-9.25192022966601e+000,-7.46398882687889e-001
1.33045441797808e+003,-9.25220963925156e+000,-7.48129141713391e-001
1.33352143216332e+003,-9.25250030983121e+000,-7.49863443063286e-001
1.33659551654643e+003,-9.25279244891569e+000,-7.51601824028743e-001
1.33967668742593e+003,-9.25308596404261e+000,-7.53344280946877e-001
1.34276496113786e+003,-9.25338076185834e+000,-7.55090809924856e-001
1.34586035405594e+003,-9.25367695030657e+000,-7.56841434764314e-001
1.34896288259165e+003,-9.25397473964534e+000,-7.58596193586395e-001
1.35207256319427e+003,-9.25427373265391e+000,-7.60355040496877e-001
1.35518941235103e+003,-9.25457413920689e+000,-7.62118013543767e-001
1.35831344658715e+003,-9.25487596702911e+000,-7.63885122876942e-001
1.36144468246594e+003,-9.25517932616983e+000,-7.65656392971480e-001
1.36458313658892e+003,-9.25548402012127e+000,-7.67431805512395e-001
1.36772882559584e+003,-9.25579005602735e+000,-7.69211370536179e-001
1.37088176616484e+003,-9.25609754407027e+000,-7.70995112606133e-001
1.37404197501251e+003,-9.25640659543430e+000,-7.72783056586748e-001
1.37720946889394e+003,-9.25671690840301e+000,-7.74575169104485e-001
1.38038426460288e+003,-9.25702890444374e+000,-7.76371518922756e-001
1.38356637897177e+003,-9.25734238517053e+000,-7.78172087296754e-001
1.38675582887188e+003,-9.25765715031247e+000,-7.79976854958612e-001
1.38995263121334e+003,-9.25797341548307e+000,-7.81785861765938e-001
1.39315680294529e+003,-9.25829118890636e+000,-7.83599118197538e-001
1.39636836105593e+003,-9.25861058378623e+000,-7.85416649817799e-001
1.39958732257261e+003,-9.25893129364348e+000,-7.87238422003497e-001
1.40281370456195e+003,-9.25925343079779e+000,-7.89064460096563e-001
1.40604752412990e+003,-9.25957731992957e+000,-7.90894820289740e-001
1.40928879842186e+003,-9.25990265323272e+000,-7.92729467625708e-001
1.41253754462274e+003,-9.26022943847814e+000,-7.94568412553369e-001
1.41579377995707e+003,-9.26055789630040e+000,-7.96411696522637e-001
1.41905752168908e+003,-9.26088782273572e+000,-7.98259299362466e-001
1.42232878712281e+003,-9.26121933260157e+000,-8.00111247245214e-001
1.42560759360218e+003,-9.26155232744831e+000,-8.01967535256165e-001
1.42889395851109e+003,-9.26188681528189e+000,-8.03828173996538e-001
1.43218789927353e+003,-9.26222291181084e+000,-8.05693189952443e-001
1.43548943335364e+003,-9.26256073379511e+000,-8.07562609939546e-001
1.43879857825583e+003,-9.26290018273535e+000,-8.09436429097862e-001
1.44211535152486e+003,-9.26324105076695e+000,-8.11314626219336e-001
1.44543977074592e+003,-9.26358356270860e+000,-8.13197244146605e-001
1.44877185354475e+003,-9.26392761869984e+000,-8.15084277663709e-001
1.45211161758773e+003,-9.26427344543007e+000,-8.16975770208926e-001
1.45545908058195e+003,-9.26462072454460e+000,-8.18871683936413e-001
1.45881426027534e+003,-9.26496990245141e+000,-8.20772095353379e-001
1.46217717445671e+003,-9.26532055019990e+000,-8.22676949908348e-001
1.46554784095590e+003,-9.26567289595915e+000,-8.24586291555912e-001
1.46892627764385e+003,-9.26602683864835e+000,-8.26500114813562e-001
1.47231250243271e+003,-9.26638238691852e+000,-8.28418430694353e-001
1.47570653327588e+003,-9.26673966043852e+000,-8.30341267100001e-001
1.47910838816819e+003,-9.26709855751143e+000,-8.32268618410508e-001
1.48251808514594e+003,-9.26745942140067e+000,-8.34200546785470e-001
1.48593564228699e+003,-9.26782170457409e+000,-8.36136978607911e-001
1.48936107771090e+003,-9.26818575040210e+000,-8.38077976104806e-001
1.49279440957898e+003,-9.26855145636311e+000,-8.40023533470313e-001
1.49623565609442e+003,-9.26891894400482e+000,-8.41973679288273e-001
1.49968483550236e+003,-9.26928833597857e+000,-8.43928442503801e-001
1.50314196609001e+003,-9.26965919076137e+000,-8.45887764901737e-001
1.50660706618673e+003,-9.27003196923457e+000,-8.47851727683094e-001
1.51008015416413e+003,-9.27040645504626e+000,-8.49820307382177e-001
1.51356124843619e+003,-9.27078254363474e+000,-8.51793497657439e-001
1.51705036745932e+003,-9.27116058589635e+000,-8.53771363220303e-001
1.52054752973248e+003,-9.27154047844324e+000,-8.55753898133742e-001
1.52405275379728e+003,-9.27192188758017e+000,-8.57741060143891e-001
1.52756605823806e+003,-9.27230539580462e+000,-8.59732950757918e-001
1.53108746168201e+003,-9.27269043916218e+000,-8.61729491434498e-001
1.53461698279928e+003,-9.27307748748810e+000,-8.63730766339684e-001
1.53815464030302e+003,-9.27346620490156e+000,-8.65736732590915e-001
1.54170045294954e+003,-9.27385683232243e+000,-8.67747438495825e-001
1.54525443953840e+003,-9.27424949662490e+000,-8.69762914567356e-001
1.54881661891247e+003,-9.27464374313585e+000,-8.71783098637574e-001
1.55238700995807e+003,-9.27503993056969e+000,-8.73808058082519e-001
1.55596563160506e+003,-9.27543771846058e+000,-8.75837748627755e-001
1.55955250282694e+003,-9.27583781934406e+000,-8.77872294886168e-001
1.56314764264094e+003,-9.27623977606567e+000,-8.79911633956689e-001
1.56675107010813e+003,-9.27664336296074e+000,-8.81955739663449e-001
1.57036280433354e+003,-9.27704917950089e+000,-8.84004719191939e-001
1.57398286446620e+003,-9.27745664614105e+000,-8.86058489169219e-001
1.57761126969933e+003,-9.27786600902380e+000,-8.88117099764617e-001
1.58124803927037e+003,-9.27827739755127e+000,-8.90180582488734e-001
1.58489319246110e+003,-9.27869058442233e+000,-8.92248910710482e-001
1.58854674859776e+003,-9.27910593802627e+000,-8.94322155138955e-001
1.59220872705115e+003,-9.27952311105926e+000,-8.96400269426285e-001
1.59587914723672e+003,-9.27994235358055e+000,-8.98483305119630e-001
1.59955802861465e+003,-9.28036343630591e+000,-9.00571234996974e-001
1.60324539069002e+003,-9.28078673123503e+000,-9.02664131038008e-001
