Freq.,Vn015/Vn006
1.00000000000000e+003,4.08561481796331e+001,2.30095618709128e+000
1.00230523807790e+003,4.08573434093179e+001,2.30623906580113e+000
1.00461579027840e+003,4.08585444051221e+001,2.31153397943066e+000
1.00693166885180e+003,4.08597510070593e+001,2.31684093538679e+000
1.00925288607668e+003,4.08609633561017e+001,2.32215997190377e+000
1.01157945425990e+003,4.08621814048783e+001,2.32749110793651e+000
1.01391138573668e+003,4.08634052954400e+001,2.33283438198877e+000
1.01624869287070e+003,4.08646349044549e+001,2.33818980521176e+000
1.01859138805412e+003,4.08658703363605e+001,2.34355741230608e+000
1.02093948370768e+003,4.08671115434062e+001,2.34893722223921e+000
1.02329299228075e+003,4.08683587073767e+001,2.35432927789579e+000
1.02565192625141e+003,4.08696117425601e+001,2.35973359436703e+000
1.02801629812647e+003,4.08708707934922e+001,2.36515021081066e+000
1.03038612044162e+003,4.08721356583816e+001,2.37057913013875e+000
1.03276140576140e+003,4.08734066753304e+001,2.37602041194616e+000
1.03514216667934e+003,4.08746835647251e+001,2.38147405094667e+000
1.03752841581801e+003,4.08759665886368e+001,2.38694009891542e+000
1.03992016582906e+003,4.08772556216896e+001,2.39241856679326e+000
1.04231742939330e+003,4.08785507716190e+001,2.39790949019151e+000
1.04472021922080e+003,4.08798520687261e+001,2.40341289658306e+000
1.04712854805090e+003,4.08811595434698e+001,2.40892881349489e+000
1.04954242865232e+003,4.08824732264674e+001,2.41445726850815e+000
1.05196187382322e+003,4.08837931484967e+001,2.41999828925854e+000
1.05438689639126e+003,4.08851192614519e+001,2.42555189493194e+000
1.05681750921366e+003,4.08864517543367e+001,2.43111813024114e+000
1.05925372517729e+003,4.08877904207306e+001,2.43669699735300e+000
1.06169555719872e+003,4.08891354501439e+001,2.44228854112789e+000
1.06414301822431e+003,4.08904868741637e+001,2.44789278947267e+000
1.06659612123026e+003,4.08918448045072e+001,2.45350977905330e+000
1.06905487922266e+003,4.08932091934992e+001,2.45913952926279e+000
