Freq.	V(n006)/V(n015)
1.00000000000000e+003	(-4.08655218259948e+001dB,-2.31328585713639e+000°)
1.00230523807790e+003	(-4.08667614819025e+001dB,-2.31859501186042e+000°)
1.00461579027840e+003	(-4.08680070487286e+001dB,-2.32391623872616e+000°)
1.00693166885180e+003	(-4.08692584762643e+001dB,-2.32924955633111e+000°)
1.00925288607668e+003	(-4.08705158731285e+001dB,-2.33459499936276e+000°)
1.01157945425990e+003	(-4.08717791091629e+001dB,-2.33995257831835e+000°)
1.01391138573668e+003	(-4.08730484932845e+001dB,-2.34532234837336e+000°)
1.01624869287070e+003	(-4.08743238154781e+001dB,-2.35070431193700e+000°)
1.01859138805412e+003	(-4.08756051452093e+001dB,-2.35609849988179e+000°)
1.02093948370768e+003	(-4.08768925121564e+001dB,-2.36150493905576e+000°)
1.02329299228075e+003	(-4.08781860269708e+001dB,-2.36692366469295e+000°)
1.02565192625141e+003	(-4.08794856796971e+001dB,-2.37235469968736e+000°)
1.02801629812647e+003	(-4.08807914195734e+001dB,-2.37779806270237e+000°)
1.03038612044162e+003	(-4.08821035207638e+001dB,-2.38325380606898e+000°)
1.03276140576140e+003	(-4.08834217704335e+001dB,-2.38872193175616e+000°)
1.03514216667934e+003	(-4.08847461171656e+001dB,-2.39420245835123e+000°)
1.03752841581801e+003	(-4.08860769186893e+001dB,-2.39969544713624e+000°)
1.03992016582906e+003	(-4.08874138788118e+001dB,-2.40520089128453e+000°)
1.04231742939330e+003	(-4.08887571924455e+001dB,-2.41071883521988e+000°)
1.04472021922080e+003	(-4.08901069736682e+001dB,-2.41624931506391e+000°)
1.04712854805090e+003	(-4.08914630893484e+001dB,-2.42179234098541e+000°)
1.04954242865232e+003	(-4.08928257366086e+001dB,-2.42734795793042e+000°)
1.05196187382322e+003	(-4.08941946987921e+001dB,-2.43291616721045e+000°)
1.05438689639126e+003	(-4.08955701735410e+001dB,-2.43849701392112e+000°)
1.05681750921366e+003	(-4.08969522767291e+001dB,-2.44409053464754e+000°)
1.05925372517729e+003	(-4.08983408741449e+001dB,-2.44969673941687e+000°)
1.06169555719872e+003	(-4.08997360818085e+001dB,-2.45531566488252e+000°)
1.06414301822431e+003	(-4.09011379326202e+001dB,-2.46094733891070e+000°)
1.06659612123026e+003	(-4.09025462911368e+001dB,-2.46659177130805e+000°)
1.06905487922266e+003	(-4.09039614428007e+001dB,-2.47224901707991e+000°)
1.07151930523761e+003	(-4.09053833369696e+001dB,-2.47791909523113e+000°)
1.07398941234124e+003	(-4.09068120072410e+001dB,-2.48360203384495e+000°)
