#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2018-10-27 17:52:35.824
#Start: 3000 Hz
#Stop: 300000 Hz
#Steps: 100
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
3000,-2.5550752942652064,0.099819097875455953,177.15233654848134
3142.8472583689941,-2.5861416915356865,0.095048348470367097,177.01059704199201
3292.4962964791684,-2.5876542685574657,0.094350332629693862,176.86396635606718
3449.2709861932067,-2.6058864643502,0.093400435461647363,176.71621294060432
3613.510620776347,-2.6062889214612426,0.087639032980792397,176.55285123853409
3785.5706491980613,-2.6340797394222037,0.084439655622352866,176.37728163666881
3965.8234453980863,-2.6235483173148095,0.084220820988225698,176.20002679268762
4154.6591141816198,-2.7065478602181532,0.07876728972274688,176.0048577129175
4352.486335487818,-2.6478678886994618,0.076473293871311326,175.81544683427393
4559.7332488588017,-2.6556859210436716,0.073808993950918084,175.60307576992085
4776.8483800232761,-2.6214432962530454,0.064404450218385409,175.38060974547781
5004.3016116001772,-2.6894497180529013,0.059643785777671141,175.14792630559984
5242.5852000230516,-2.684269564530676,0.053553376486380089,174.91170080051143
5492.214840886104,-2.6856214228137483,0.050231393397993894,174.65265990578155
5753.7307850174657,-2.6807737112986429,0.0389314740205986,174.38115641829563
6027.6990076951406,-2.71261665515906,0.030969396390855306,174.09201606758793
6314.7124335360631,-2.7079743470091167,0.021486849416890531,173.7918544681832
6615.392219709137,-2.7229901857461574,0.01332849264237914,173.47177847983437
6930.389100249482,-2.733225543025636,0.0023308439568327653,173.13570075148164
7260.3847943831461,-2.7215620438740933,-0.013752577925852338,172.77656143902115
7606.093481910334,-2.7536326898312464,-0.028612116884536701,172.39810044694397
7968.2633488400597,-2.7413674558996153,-0.042893179415966175,171.99936451455252
8347.6782066213727,-2.7427174515984731,-0.062526314130630894,171.58040842271643
8745.1591884755271,-2.7516245781214836,-0.084426806545737629,171.12388539784126
9161.5665265002463,-2.7560934905386709,-0.10883618683126524,170.64539823824265
9597.8014133921533,-2.7550567241991604,-0.13322114908470861,170.1339587272864
10054.807952816527,-2.7531947338627432,-0.16372676457751481,169.58941253189852
10533.575202645392,-2.7388447053695524,-0.19749822808480114,169.00819107434364
11035.139315485902,-2.7318195703025077,-0.23502023167126235,168.38136573734801
11560.585781131587,-2.7222348874536446,-0.27762972835750432,167.71458574583014
12111.051775789661,-2.7194507038627593,-0.32500864990048783,166.99303097799785
12687.728623168496,-2.7107803851532477,-0.38116123420511711,166.22031499442937
13291.864372751648,-2.6990953713847725,-0.44506035978984859,165.37279825627053
13924.766500838332,-2.6829068387933881,-0.51766180811374252,164.44846488523274
14587.804740196059,-2.6649619741659731,-0.60272887903718242,163.43700215294376
15282.41404444914,-2.6443450465941365,-0.70125735744519291,162.33908890273321
16010.097693618929,-2.6246823882044756,-0.81650060250273082,161.09572110339047
16772.430547536667,-2.6063212186658289,-0.95478437332039534,159.72901689210732
17571.062454170002,-2.5552667050187994,-1.1190017372781285,158.18333624700662
18407.72182023952,-2.5302308774418965,-1.3183299266167663,156.43288152036226
19284.219351852957,-2.4553837544901906,-1.5668133222340888,154.39582102858554
20202.451973252464,-2.4299443938428009,-1.8728081371412304,152.03218907076771
21164.406932155936,-2.3335798971383075,-2.2686457766265935,149.20956140174584
22172.166100577339,-2.218526373874373,-2.7919320984155882,145.80395276596417
23227.910480433809,-2.0995486664432876,-3.5143307478599151,141.55460674562806
24333.924923690618,-1.9438870707430855,-4.5515223352226215,136.0787676551744
25492.603077259326,-1.7241527662486282,-6.175757643459705,128.76217450228341
26706.452563351148,-1.4992336102809412,-9.0004368775089603,118.78515494310561
27978.1004064966,-1.2579336960965088,-14.829877134686347,105.84311934369231
29310.29871897677,-1.2152164878965255,-31.873832689935817,114.18020852265551
30705.930656970791,-1.1606525284556726,-29.806156466122129,46.24460394865163
32168.016660309695,0.99235253053858707,0.75466948030865311,-18.241221941275569
33699.720989340829,-1.2227416173477759,5.3627689874536379,-77.871630554203222
35304.358573049954,-3.0184862634280316,5.9008307468150436,-112.04019111298126
36985.402183261976,-3.6126563722646687,5.6011454993825813,-132.65005749538
38746.489950446514,-3.7914244652767888,5.1752374212252175,-145.88063886118081
40591.433237394209,-3.8318038148515514,4.7853143682150732,-155.01047310246207
42524.224887804172,-3.8168154522795152,4.4548067759865315,-161.74853944038946
44549.047867633948,-3.7733684460541932,4.1801012648118245,-166.98004625185919
46670.284317914142,-3.7383477481493954,3.9596887072275817,-171.20935310628755
48892.525038619329,-3.6938053656145948,3.7783573401466759,-174.78914446269926
51220.579424120711,-3.657883348303046,3.6261988705963093,-177.89393925751662
53659.485871723053,-3.6338393114546013,3.4987454315373361,179.35137094202065
56214.52268581152,-3.608658629872143,3.3931101315508676,176.85843653829525
58891.219501208143,-3.550771809280302,3.3009709648392516,174.51664955771417
61695.369250459538,-3.5220573058241063,3.2294459064511347,172.33297397298008
64633.040700956502,-3.4887056191324843,3.1653586260310957,170.24148024920208
67710.591589017611,-3.5261514173069801,3.1115613943186204,168.25122897792676
70934.682379362217,-3.5044154885952268,3.0648413854031697,166.2689811668335
74312.290679751342,-3.428130233812233,3.0316582687503302,164.34765392789507
77850.726341992078,-3.4034372022718316,3.0008357872347786,162.40675770007138
