Freq.	V(vo)
1.50000000000000e+002	(-3.40900818403306e-001dB,1.44566288057844e+002°)
1.53493948842113e+002	(-3.50252967453030e-001dB,1.43741778124115e+002°)
1.57069282207635e+002	(-3.60047261366580e-001dB,1.42898123041017e+002°)
1.60727895785641e+002	(-3.70304677045588e-001dB,1.42034881109141e+002°)
1.64471729421478e+002	(-3.81047194211821e-001dB,1.41151600637878e+002°)
1.68302768145294e+002	(-3.92297844161208e-001dB,1.40247819733167e+002°)
1.72223043224532e+002	(-4.04080760979528e-001dB,1.39323066081672e+002°)
1.76234633240929e+002	(-4.16421235354123e-001dB,1.38376856731397e+002°)
1.80339665192612e+002	(-4.29345771125864e-001dB,1.37408697868738e+002°)
1.84540315621857e+002	(-4.42882144734212e-001dB,1.36418084592000e+002°)
1.88838811769125e+002	(-4.57059467719158e-001dB,1.35404500681393e+002°)
1.93237432753970e+002	(-4.71908252454450e-001dB,1.34367418365550e+002°)
1.97738510783461e+002	(-4.87460481299316e-001dB,1.33306298084587e+002°)
2.02344432388748e+002	(-5.03749679368654e-001dB,1.32220588249774e+002°)
2.07057639690433e+002	(-5.20810991136793e-001dB,1.31109724999858e+002°)
2.11880631693413e+002	(-5.38681261105500e-001dB,1.29973131954117e+002°)
2.16815965611889e+002	(-5.57399118785259e-001dB,1.28810219962224e+002°)
2.21866258225231e+002	(-5.77005068257482e-001dB,1.27620386851013e+002°)
2.27034187265431e+002	(-5.97541582607533e-001dB,1.26403017168280e+002°)
2.32322492836872e+002	(-6.19053203542293e-001dB,1.25157481923727e+002°)
2.37733978869167e+002	(-6.41586646532071e-001dB,1.23883138327229e+002°)
2.43271514603839e+002	(-6.65190911846671e-001dB,1.22579329524605e+002°)
2.48938036115634e+002	(-6.89917401888409e-001dB,1.21245384331108e+002°)
2.54736547869261e+002	(-7.15820045261415e-001dB,1.19880616962906e+002°)
2.60670124312406e+002	(-7.42955428057967e-001dB,1.18484326766865e+002°)
2.66741911505838e+002	(-7.71382932889322e-001dB,1.17055797949002e+002°)
2.72955128791497e+002	(-8.01164886239996e-001dB,1.15594299302065e+002°)
2.79313070499430e+002	(-8.32366714783430e-001dB,1.14099083932793e+002°)
2.85819107694487e+002	(-8.65057111363158e-001dB,1.12569388989496e+002°)
2.92476689963707e+002	(-8.99308211417392e-001dB,1.11004435390788e+002°)
2.99289347245332e+002	(-9.35195780709994e-001dB,1.09403427556439e+002°)
3.06260691700429e+002	(-9.72799415324585e-001dB,1.07765553141573e+002°)
3.13394419628106e+002	(-1.01220275498605e+000dB,1.06089982775702e+002°)
3.20694313425334e+002	(-1.05349371089445e+000dB,1.04375869808437e+002°)
3.28164243592433e+002	(-1.09676470939131e+000dB,1.02622350064163e+002°)
3.35808170785251e+002	(-1.14211295293184e+000dB,1.00828541608503e+002°)
3.43630147915166e+002	(-1.18964070000692e+000dB,9.89935445300741e+001°)
3.51634322297988e+002	(-1.23945556585054e+000dB,9.71164407418771e+001°)
3.59824937852923e+002	(-1.29167084598064e+000dB,9.51962938077147e+001°)
3.68206337352754e+002	(-1.34640586485768e+000dB,9.32321488003108e+001°)
3.76782964726436e+002	(-1.40378635220389e+000dB,9.12230321994060e+001°)
3.85559367415329e+002	(-1.46394484980970e+000dB,8.91679518400624e+001°)
3.94540198784307e+002	(-1.52702115195913e+000dB,8.70658969238162e+001°)
4.03730220589037e+002	(-1.59316278293118e+000dB,8.49158381082677e+001°)
4.13134305500724e+002	(-1.66252551537644e+000dB,8.27167276942808e+001°)
4.22757439689667e+002	(-1.73527393371614e+000dB,8.04674999343291e+001°)
4.32604725468990e+002	(-1.81158204705766e+000dB,7.81670714907911e+001°)
4.42681383999957e+002	(-1.89163395644749e+000dB,7.58143420793353e+001°)
4.52992758060302e+002	(-1.97562458156780e+000dB,7.34081953401205e+001°)
4.63544314877038e+002	(-2.06376045219764e+000dB,7.09474999885496e+001°)
4.74341649025256e+002	(-2.15626056986044e+000dB,6.84311113079652e+001°)
4.85390485394441e+002	(-2.25335734501924e+000dB,6.58578730591512e+001°)
4.96696682223886e+002	(-2.35529761488565e+000dB,6.32266198959909e+001°)
5.08266234208803e+002	(-2.46234374630001e+000dB,6.05361803932816e+001°)
5.20105275678796e+002	(-2.57477482710823e+000dB,5.77853808115993e+001°)
5.32220083850362e+002	(-2.69288794788032e+000dB,5.49730497452349e+001°)
5.44617082155151e+002	(-2.81699957353284e+000dB,5.20980238224242e+001°)
5.57302843645758e+002	(-2.94744700125267e+000dB,4.91591546519767e+001°)
5.70284094480841e+002	(-3.08458989687148e+000dB,4.61553172363132e+001°)
5.83567717491420e+002	(-3.22881189628378e+000dB,4.30854200967600e+001°)
5.97160755830245e+002	(-3.38052225140293e+000dB,3.99484173811516e+001°)
6.11070416706168e+002	(-3.54015749127844e+000dB,3.67433232441378e+001°)
6.25304075205502e+002	(-3.70818305815183e+000dB,3.34692288041007e+001°)
6.39869278202387e+002	(-3.88509486526669e+000dB,3.01253219834021e+001°)
6.54773748360247e+002	(-4.07142070814198e+000dB,2.67109105259790e+001°)
6.70025388226443e+002	(-4.26772144390556e+000dB,2.32254484522982e+001°)
6.85632284422311e+002	(-4.47459183455654e+000dB,1.96685661497301e+001°)
7.01602711930795e+002	(-4.69266093039876e+000dB,1.60401041992910e+001°)
7.17945138483956e+002	(-4.92259185051274e+000dB,1.23401509002009e+001°)
7.34668229052667e+002	(-5.16508079966154e+000dB,8.56908326538818e+000°)
7.51780850440906e+002	(-5.42085514767940e+000dB,4.72761101958546e+000°)
7.69292075987045e+002	(-5.69067039095742e+000dB,8.16822836233687e-001°)
7.87211190374657e+002	(-5.97530581938629e+000dB,-3.16176629514525e+000°)
8.05547694555377e+002	(-6.27555872958197e+000dB,-7.20616806080180e+000°)
8.24311310786434e+002	(-6.59223705984850e+000dB,-1.13138760599349e+001°)
8.43511987785521e+002	(-6.92615037692695e+000dB,-1.54818255524211e+001°)
8.63159906005733e+002	(-7.27809922062077e+000dB,-1.97063603014379e+001°)
8.83265483033381e+002	(-7.64886290923951e+000dB,-2.39832093032743e+001°)
9.03839379111534e+002	(-8.03918602297991e+000dB,-2.83074762384373e+001°)
9.24892502792220e+002	(-8.44976390700362e+000dB,-3.26736443022341e+001°)
9.46436016720287e+002	(-8.88122766075051e+000dB,-3.70755986404945e+001°)
9.68481343551980e+002	(-9.33412919171751e+000dB,-4.15066679113310e+001°)
9.91040172011391e+002	(-9.80892699571679e+000dB,-4.59596855337206e+001°)
1.01412446308797e+003	(-1.03059733671140e+001dB,-5.04270700234312e+001°)
1.03774645637840e+003	(-1.08255037302829e+001dB,-5.49009225496682e+001°)
1.06191867657620e+003	(-1.13676287114379e+001dB,-5.93731385951236e+001°)
1.08665394011248e+003	(-1.19323294393962e+001dB,-6.38355295057541e+001°)
1.11196536195137e+003	(-1.25194563840024e+001dB,-6.82799489061563e+001°)
1.13786636254377e+003	(-1.31287318285916e+001dB,-7.26984185346976e+001°)
1.16437067494303e+003	(-1.37597558497141e+001dB,-7.70832480752262e+001°)
1.19149235208642e+003	(-1.44120154668843e+001dB,-8.14271440270419e+001°)
1.21924577424614e+003	(-1.50848964488476e+001dB,-8.57233035023560e+001°)
1.24764565665400e+003	(-1.57776971369965e+001dB,-8.99654899648732e+001°)
1.27670705730356e+003	(-1.64896435799005e+001dB,-9.41480891913668e+001°)
1.30644538493412e+003	(-1.72199052661398e+001dB,-9.82661450122718e+001°)
1.33687640720061e+003	(-1.79676107892335e+001dB,-1.02315375545298e+002°)
1.36801625903386e+003	(-1.87318628666243e+001dB,-1.06292171586717e+002°)
1.39988145119548e+003	(-1.95117522498705e+001dB,-1.10193579515521e+002°)
1.43248887903215e+003	(-2.03063701905500e+001dB,-1.14017271481518e+002°)
1.46585583143371e+003	(-2.11148192527578e+001dB,-1.17761505807211e+002°)
1.49999999999999e+003	(-2.19362223783086e+001dB,-1.21425080475146e+002°)
1.53493948842113e+003	(-2.27697302081430e+001dB,-1.25007282349724e+002°)
1.57069282207634e+003	(-2.36145267396531e+001dB,-1.28507834450490e+002°)
1.60727895785640e+003	(-2.44698334541969e+001dB,-1.31926843203723e+002°)
1.64471729421477e+003	(-2.53349120835165e+001dB,-1.35264747193217e+002°)
1.68302768145294e+003	(-2.62090662009896e+001dB,-1.38522268541597e+002°)
1.72223043224532e+003	(-2.70916418270860e+001dB,-1.41700367701575e+002°)
1.76234633240929e+003	(-2.79820272316244e+001dB,-1.44800202134600e+002°)
1.80339665192611e+003	(-2.88796521017002e+001dB,-1.47823089106807e+002°)
1.84540315621856e+003	(-2.97839862262493e+001dB,-1.50770472638353e+002°)
1.88838811769124e+003	(-3.06945378283664e+001dB,-1.53643894497679e+002°)
1.93237432753969e+003	(-3.16108516563340e+001dB,-1.56444969030595e+002°)
1.97738510783460e+003	(-3.25325069250177e+001dB,-1.59175361548193e+002°)
2.02344432388747e+003	(-3.34591151815525e+001dB,-1.61836769960165e+002°)
2.07057639690432e+003	(-3.43903181534975e+001dB,-1.64430909324722e+002°)
2.11880631693412e+003	(-3.53257856240148e+001dB,-1.66959498986965e+002°)
2.16815965611888e+003	(-3.62652133671300e+001dB,-1.69424251989645e+002°)
2.21866258225230e+003	(-3.72083211666123e+001dB,-1.71826866459701e+002°)
2.27034187265430e+003	(-3.81548509343034e+001dB,-1.74169018697898e+002°)
2.32322492836871e+003	(-3.91045649375829e+001dB,-1.76452357724878e+002°)
2.37733978869166e+003	(-4.00572441408784e+001dB,-1.78678501063518e+002°)
2.43271514603838e+003	(-4.10126866624758e+001dB,1.79150968436662e+002°)
2.48938036115633e+003	(-4.19707063451743e+001dB,1.77034504902817e+002°)
2.54736547869260e+003	(-4.29311314373722e+001dB,1.74970601016972e+002°)
2.60670124312405e+003	(-4.38938033798176e+001dB,1.72957788995671e+002°)
2.66741911505837e+003	(-4.48585756923805e+001dB,1.70994641079313e+002°)
2.72955128791496e+003	(-4.58253129546909e+001dB,1.69079769623077e+002°)
2.79313070499429e+003	(-4.67938898742528e+001dB,1.67211826867108e+002°)
2.85819107694486e+003	(-4.77641904356177e+001dB,1.65389504451215e+002°)
2.92476689963705e+003	(-4.87361071243195e+001dB,1.63611532728640e+002°)
2.99289347245330e+003	(-4.97095402195026e+001dB,1.61876679924245e+002°)
