Freq.	V(vo)
Step Information: Run=1  (Run: 1/100)
1.50000000000000e+002	(-3.13550708396180e-001dB,1.43698564761708e+002°)
1.53493948842113e+002	(-3.23577357098861e-001dB,1.42853927916813e+002°)
1.57069282207635e+002	(-3.34079300698665e-001dB,1.41989685851896e+002°)
1.60727895785641e+002	(-3.45079199396303e-001dB,1.41105387093975e+002°)
1.64471729421478e+002	(-3.56600805688648e-001dB,1.40200570055896e+002°)
1.68302768145294e+002	(-3.68669018095388e-001dB,1.39274762832989e+002°)
1.72223043224532e+002	(-3.81309937621825e-001dB,1.38327482997671e+002°)
1.76234633240929e+002	(-3.94550927105131e-001dB,1.37358237392196e+002°)
1.80339665192612e+002	(-4.08420673599988e-001dB,1.36366521919742e+002°)
1.84540315621857e+002	(-4.22949253968679e-001dB,1.35351821334088e+002°)
1.88838811769125e+002	(-4.38168203849981e-001dB,1.34313609028129e+002°)
1.93237432753970e+002	(-4.54110590193068e-001dB,1.33251346821542e+002°)
1.97738510783461e+002	(-4.70811087552098e-001dB,1.32164484747930e+002°)
2.02344432388748e+002	(-4.88306058350496e-001dB,1.31052460841805e+002°)
2.07057639690433e+002	(-5.06633637336347e-001dB,1.29914700925844e+002°)
2.11880631693413e+002	(-5.25833820464207e-001dB,1.28750618398853e+002°)
2.16815965611889e+002	(-5.45948558453731e-001dB,1.27559614024965e+002°)
2.21866258225231e+002	(-5.67021855291959e-001dB,1.26341075724627e+002°)
2.27034187265431e+002	(-5.89099871962947e-001dB,1.25094378368001e+002°)
2.32322492836872e+002	(-6.12231035708707e-001dB,1.23818883571463e+002°)
2.37733978869167e+002	(-6.36466155144998e-001dB,1.22513939497967e+002°)
2.43271514603839e+002	(-6.61858541579179e-001dB,1.21178880662108e+002°)
2.48938036115634e+002	(-6.88464136901975e-001dB,1.19813027740799e+002°)
2.54736547869261e+002	(-7.16341648452564e-001dB,1.18415687390609e+002°)
2.60670124312406e+002	(-7.45552691286836e-001dB,1.16986152072852e+002°)
2.66741911505838e+002	(-7.76161938312330e-001dB,1.15523699887713e+002°)
2.72955128791497e+002	(-8.08237278790901e-001dB,1.14027594418748e+002°)
2.79313070499430e+002	(-8.41849985752003e-001dB,1.12497084589325e+002°)
2.85819107694487e+002	(-8.77074892906442e-001dB,1.10931404532673e+002°)
2.92476689963707e+002	(-9.13990581702789e-001dB,1.09329773477462e+002°)
2.99289347245332e+002	(-9.52679579228093e-001dB,1.07691395651008e+002°)
3.06260691700429e+002	(-9.93228567721404e-001dB,1.06015460202508e+002°)
3.13394419628106e+002	(-1.03572860654365e+000dB,1.04301141148980e+002°)
3.20694313425334e+002	(-1.08027536753289e+000dB,1.02547597346977e+002°)
3.28164243592433e+002	(-1.12696938477047e+000dB,1.00753972493541e+002°)
3.35808170785251e+002	(-1.17591631989180e+000dB,9.89193951604357e+001°)
3.43630147915166e+002	(-1.22722724419912e+000dB,9.70429788662480e+001°)
3.51634322297988e+002	(-1.28101893897105e+000dB,9.51238221917802e+001°)
3.59824937852923e+002	(-1.33741421551829e+000dB,9.31610089450137e+001°)
3.68206337352754e+002	(-1.39654225670856e+000dB,9.11536083830723e+001°)
3.76782964726436e+002	(-1.45853898187349e+000dB,8.91006754999702e+001°)
3.85559367415329e+002	(-1.52354743722145e+000dB,8.70012513905877e+001°)
3.94540198784307e+002	(-1.59171821410744e+000dB,8.48543637033575e+001°)
4.03730220589037e+002	(-1.66320989775564e+000dB,8.26590271966132e+001°)
4.13134305500724e+002	(-1.73818954928583e+000dB,8.04142444165708e+001°)
4.22757439689667e+002	(-1.81683322415784e+000dB,7.81190065185704e+001°)
4.32604725468990e+002	(-1.89932653040538e+000dB,7.57722942576298e+001°)
4.42681383999957e+002	(-1.98586523027183e+000dB,7.33730791796908e+001°)
4.52992758060302e+002	(-2.07665588906359e+000dB,7.09203250513269e+001°)
4.63544314877038e+002	(-2.17191657517578e+000dB,6.84129895732816e+001°)
4.74341649025256e+002	(-2.27187761528497e+000dB,6.58500264322016e+001°)
4.85390485394441e+002	(-2.37678240859740e+000dB,6.32303877554763e+001°)
4.96696682223886e+002	(-2.48688830373068e+000dB,6.05530270463485e+001°)
5.08266234208803e+002	(-2.60246754121486e+000dB,5.78169026905401e+001°)
5.20105275678796e+002	(-2.72380826363730e+000dB,5.50209821415930e+001°)
5.32220083850362e+002	(-2.85121559400719e+000dB,5.21642469099369e+001°)
5.44617082155151e+002	(-2.98501278085326e+000dB,4.92456985001654e+001°)
5.57302843645758e+002	(-3.12554240573355e+000dB,4.62643654617865e+001°)
5.70284094480841e+002	(-3.27316764505849e+000dB,4.32193117401525e+001°)
5.83567717491420e+002	(-3.42827357322065e+000dB,4.01096465354002e+001°)
5.97160755830245e+002	(-3.59126848779085e+000dB,3.69345358966089e+001°)
6.11070416706168e+002	(-3.76258522979832e+000dB,3.36932162940386e+001°)
