Freq.	V(va)/I(R1a_3)
1.50000000000000e+002	(1.22518938512003e+002dB,1.02609235177394e+002°)
1.53493948842113e+002	(1.22320688631862e+002dB,1.02561515286203e+002°)
1.57069282207635e+002	(1.22122229793676e+002dB,1.02520810707074e+002°)
1.60727895785641e+002	(1.21923567630335e+002dB,1.02487145243606e+002°)
1.64471729421478e+002	(1.21724707612330e+002dB,1.02460547702635e+002°)
1.68302768145294e+002	(1.21525655077249e+002dB,1.02441052050933e+002°)
1.72223043224532e+002	(1.21326415260767e+002dB,1.02428697573358e+002°)
1.76234633240929e+002	(1.21126993329286e+002dB,1.02423529032275e+002°)
1.80339665192612e+002	(1.20927394414381e+002dB,1.02425596828014e+002°)
1.84540315621857e+002	(1.20727623649219e+002dB,1.02434957159980e+002°)
1.88838811769125e+002	(1.20527686207119e+002dB,1.02451672187996e+002°)
1.93237432753970e+002	(1.20327587342431e+002dB,1.02475810193292e+002°)
1.97738510783461e+002	(1.20127332433930e+002dB,1.02507445738455e+002°)
2.02344432388748e+002	(1.19926927030903e+002dB,1.02546659825523e+002°)
2.07057639690433e+002	(1.19726376902131e+002dB,1.02593540051240e+002°)
2.11880631693413e+002	(1.19525688087966e+002dB,1.02648180758351e+002°)
2.16815965611889e+002	(1.19324866955698e+002dB,1.02710683181621e+002°)
2.21866258225231e+002	(1.19123920258426e+002dB,1.02781155587104e+002°)
2.27034187265431e+002	(1.18922855197609e+002dB,1.02859713402949e+002°)
2.32322492836872e+002	(1.18721679489524e+002dB,1.02946479339854e+002°)
2.37733978869167e+002	(1.18520401435788e+002dB,1.03041583499020e+002°)
2.43271514603839e+002	(1.18319029998143e+002dB,1.03145163465229e+002°)
2.48938036115634e+002	(1.18117574877661e+002dB,1.03257364382420e+002°)
2.54736547869261e+002	(1.17916046598520e+002dB,1.03378339008834e+002°)
2.60670124312406e+002	(1.17714456596461e+002dB,1.03508247748571e+002°)
2.66741911505838e+002	(1.17512817312050e+002dB,1.03647258656056e+002°)
2.72955128791497e+002	(1.17311142288772e+002dB,1.03795547409671e+002°)
2.79313070499430e+002	(1.17109446276017e+002dB,1.03953297250450e+002°)
2.85819107694487e+002	(1.16907745336904e+002dB,1.04120698881481e+002°)
2.92476689963707e+002	(1.16706056960880e+002dB,1.04297950323336e+002°)
2.99289347245332e+002	(1.16504400180952e+002dB,1.04485256720559e+002°)
3.06260691700429e+002	(1.16302795695331e+002dB,1.04682830093993e+002°)
3.13394419628106e+002	(1.16101265993201e+002dB,1.04890889033432e+002°)
3.20694313425334e+002	(1.15899835484220e+002dB,1.05109658324912e+002°)
3.28164243592433e+002	(1.15698530631278e+002dB,1.05339368506735e+002°)
3.35808170785251e+002	(1.15497380085898e+002dB,1.05580255348219e+002°)
3.43630147915166e+002	(1.15296414825573e+002dB,1.05832559245073e+002°)
3.51634322297988e+002	(1.15095668292178e+002dB,1.06096524525327e+002°)
3.59824937852923e+002	(1.14895176530462e+002dB,1.06372398659837e+002°)
3.68206337352754e+002	(1.14694978325478e+002dB,1.06660431371584e+002°)
3.76782964726436e+002	(1.14495115337632e+002dB,1.06960873638305e+002°)
3.85559367415329e+002	(1.14295632233887e+002dB,1.07273976583486e+002°)
3.94540198784307e+002	(1.14096576813477e+002dB,1.07599990251310e+002°)
4.03730220589037e+002	(1.13898000126295e+002dB,1.07939162261988e+002°)
4.13134305500724e+002	(1.13699956581986e+002dB,1.08291736344847e+002°)
4.22757439689667e+002	(1.13502504047560e+002dB,1.08657950747730e+002°)
4.32604725468990e+002	(1.13305703931219e+002dB,1.09038036522640e+002°)
4.42681383999957e+002	(1.13109621249917e+002dB,1.09432215689199e+002°)
4.52992758060302e+002	(1.12914324678070e+002dB,1.09840699279297e+002°)
4.63544314877038e+002	(1.12719886574701e+002dB,1.10263685268398e+002°)
4.74341649025256e+002	(1.12526382986261e+002dB,1.10701356401268e+002°)
4.85390485394441e+002	(1.12333893622319e+002dB,1.11153877922379e+002°)
4.96696682223886e+002	(1.12142501801344e+002dB,1.11621395223954e+002°)
5.08266234208803e+002	(1.11952294363848e+002dB,1.12104031427476e+002°)
5.20105275678796e+002	(1.11763361550324e+002dB,1.12601884917460e+002°)
5.32220083850362e+002	(1.11575796841580e+002dB,1.13115026849319e+002°)
5.44617082155151e+002	(1.11389696759362e+002dB,1.13643498656228e+002°)
5.57302843645758e+002	(1.11205160625525e+002dB,1.14187309582844e+002°)
5.70284094480841e+002	(1.11022290278411e+002dB,1.14746434276546e+002°)
5.83567717491420e+002	(1.10841189745664e+002dB,1.15320810469455e+002°)
5.97160755830245e+002	(1.10661964873282e+002dB,1.15910336786633e+002°)
6.11070416706168e+002	(1.10484722911406e+002dB,1.16514870717622e+002°)
6.25304075205502e+002	(1.10309572058108e+002dB,1.17134226789609e+002°)
6.39869278202387e+002	(1.10136620963238e+002dB,1.17768174980929e+002°)
6.54773748360247e+002	(1.09965978195294e+002dB,1.18416439413265e+002°)
6.70025388226443e+002	(1.09797751675109e+002dB,1.19078697359679e+002°)
6.85632284422311e+002	(1.09632048081120e+002dB,1.19754578603359e+002°)
7.01602711930795e+002	(1.09468972231795e+002dB,1.20443665178787e+002°)
7.17945138483956e+002	(1.09308626451668e+002dB,1.21145491522791e+002°)
7.34668229052667e+002	(1.09151109928161e+002dB,1.21859545057712e+002°)
7.51780850440906e+002	(1.08996518067038e+002dB,1.22585267222727e+002°)
7.69292075987045e+002	(1.08844941854823e+002dB,1.23322054962372e+002°)
7.87211190374657e+002	(1.08696467236885e+002dB,1.24069262673578e+002°)
8.05547694555377e+002	(1.08551174520054e+002dB,1.24826204604288e+002°)
