Freq.	V(vo)
1.00000000000000e+004	(-2.61141503325968e-001dB,1.09476159268806e+002°)
1.02329299228075e+004	(-2.47975658121444e-001dB,1.07788510473923e+002°)
1.04712854805090e+004	(-2.33747343469435e-001dB,1.06053981793141e+002°)
1.07151930523761e+004	(-2.18414260686503e-001dB,1.04270568262716e+002°)
1.09647819614318e+004	(-2.01938752339519e-001dB,1.02436131021387e+002°)
1.12201845430196e+004	(-1.84289281847874e-001dB,1.00548388799246e+002°)
1.14815362149688e+004	(-1.65442151121976e-001dB,9.86049094788402e+001°)
1.17489755493953e+004	(-1.45383480324423e-001dB,9.66031019182938e+001°)
1.20226443461741e+004	(-1.24111472941661e-001dB,9.45402082764361e+001°)
1.23026877081238e+004	(-1.01638986978827e-001dB,9.24132971382372e+001°)
1.25892541179417e+004	(-7.79964286794165e-002dB,9.02192578051663e+001°)
1.28824955169313e+004	(-5.32349780343506e-002dB,8.79547961885827e+001°)
1.31825673855641e+004	(-2.74301446340283e-002dB,8.56164328228777e+001°)
1.34896288259165e+004	(-6.85637151467001e-004dB,8.32005035949618e+001°)
1.38038426460288e+004	(2.68624911865928e-002dB,8.07031638615493e+001°)
1.41253754462275e+004	(5.50414865399058e-002dB,7.81203966858105e+001°)
1.44543977074593e+004	(8.36374288859538e-002dB,7.54480259562377e+001°)
1.47910838816821e+004	(1.12390802459861e-001dB,7.26817351333659e+001°)
1.51356124843621e+004	(1.40992301169470e-001dB,6.98170922781301e+001°)
1.54881661891248e+004	(1.69079129643779e-001dB,6.68495818157744e+001°)
1.58489319246111e+004	(1.96232128104670e-001dB,6.37746431409963e+001°)
1.62181009735893e+004	(2.21974117833136e-001dB,6.05877156275884e+001°)
1.65958690743756e+004	(2.45769925581106e-001dB,5.72842888217384e+001°)
1.69824365246174e+004	(2.67028587674881e-001dB,5.38599555300015e+001°)
1.73780082874937e+004	(2.85108240771906e-001dB,5.03104641340502e+001°)
1.77827941003892e+004	(2.99324154270875e-001dB,4.66317647780697e+001°)
1.81970085860998e+004	(3.08960222883896e-001dB,4.28200421323429e+001°)
1.86208713666287e+004	(3.13283988026365e-001dB,3.88717253556856e+001°)
1.90546071796325e+004	(3.11564865393079e-001dB,3.47834638591771e+001°)
1.94984459975804e+004	(3.03094700518478e-001dB,3.05520558017456e+001°)
1.99526231496888e+004	(2.87209041461165e-001dB,2.61743152941340e+001°)
2.04173794466953e+004	(2.63306608887901e-001dB,2.16468644814718e+001°)
2.08929613085404e+004	(2.30863373829893e-001dB,1.69658384773360e+001°)
2.13796208950223e+004	(1.89436447159269e-001dB,1.21264950099869e+001°)
2.18776162394955e+004	(1.38651668406772e-001dB,7.12272713774688e+000°)
2.23872113856834e+004	(7.81673734632671e-002dB,1.94648719484047e+000°)
