Freq.	V(n006)/I(R1a_2)
1.00000000000000e+004	(1.09818892360975e+002dB,1.52609445930396e+002°)
1.02329299228075e+004	(1.09854783142769e+002dB,1.50687373042394e+002°)
1.04712854805090e+004	(1.09874984071912e+002dB,1.48644038563029e+002°)
1.07151930523761e+004	(1.09876459530604e+002dB,1.46482905453385e+002°)
1.09647819614318e+004	(1.09856026359984e+002dB,1.44211008081804e+002°)
1.12201845430196e+004	(1.09810464175748e+002dB,1.41839473105919e+002°)
1.14815362149688e+004	(1.09736658318760e+002dB,1.39383870628984e+002°)
1.17489755493953e+004	(1.09631768649102e+002dB,1.36864303511555e+002°)
1.20226443461741e+004	(1.09493410840888e+002dB,1.34305156162900e+002°)
1.23026877081238e+004	(1.09319831025093e+002dB,1.31734460104721e+002°)
1.25892541179417e+004	(1.09110051532495e+002dB,1.29182889599095e+002°)
1.28824955169313e+004	(1.08863966791797e+002dB,1.26682465924092e+002°)
1.31825673855641e+004	(1.08582374683385e+002dB,1.24265106402416e+002°)
1.34896288259165e+004	(1.08266938717022e+002dB,1.21961186510913e+002°)
1.38038426460288e+004	(1.07920087715462e+002dB,1.19798279722131e+002°)
1.41253754462275e+004	(1.07544869168749e+002dB,1.17800201379711e+002°)
1.44543977074593e+004	(1.07144777726638e+002dB,1.15986422364193e+002°)
1.47910838816821e+004	(1.06723580632537e+002dB,1.14371853603180e+002°)
1.51356124843621e+004	(1.06285158096398e+002dB,1.12966949823982e+002°)
1.54881661891248e+004	(1.05833370464943e+002dB,1.11778049512458e+002°)
1.58489319246111e+004	(1.05371957516219e+002dB,1.10807858856811e+002°)
1.62181009735893e+004	(1.04904469716001e+002dB,1.10055995638918e+002°)
1.65958690743756e+004	(1.04434227518034e+002dB,1.09519527301739e+002°)
1.69824365246174e+004	(1.03964302817698e+002dB,1.09193458993140e+002°)
1.73780082874937e+004	(1.03497516141618e+002dB,1.09071147516599e+002°)
1.77827941003892e+004	(1.03036443601199e+002dB,1.09144633332233e+002°)
1.81970085860998e+004	(1.02583428617877e+002dB,1.09404894349115e+002°)
1.86208713666287e+004	(1.02140594614830e+002dB,1.09842032599483e+002°)
1.90546071796325e+004	(1.01709856058501e+002dB,1.10445408807747e+002°)
1.94984459975804e+004	(1.01292926314529e+002dB,1.11203741235853e+002°)
1.99526231496888e+004	(1.00891321710764e+002dB,1.12105184732658e+002°)
2.04173794466953e+004	(1.00506361960994e+002dB,1.13137404176810e+002°)
2.08929613085404e+004	(1.00139167694524e+002dB,1.14287653858551e+002°)
2.13796208950223e+004	(9.97906562567590e+001dB,1.15542871081481e+002°)
2.18776162394955e+004	(9.94615371905258e+001dB,1.16889788639104e+002°)
2.23872113856834e+004	(9.91523088744603e+001dB,1.18315067109628e+002°)
2.29086765276777e+004	(9.88632576885336e+001dB,1.19805444423056e+002°)
2.34422881531992e+004	(9.85944608161638e+001dB,1.21347897205139e+002°)
2.39883291901949e+004	(9.83457934121956e+001dB,1.22929806277845e+002°)
2.45470891568503e+004	(9.81169404158796e+001dB,1.24539117593882e+002°)
2.51188643150958e+004	(9.79074128260807e+001dB,1.26164489872212e+002°)
2.57039578276886e+004	(9.77165678400496e+001dB,1.27795421202542e+002°)
2.63026799189538e+004	(9.75436319349380e+001dB,1.29422348685045e+002°)
2.69153480392691e+004	(9.73877257729489e+001dB,1.31036717459927e+002°)
2.75422870333816e+004	(9.72478897457203e+001dB,1.32631017920214e+002°)
2.81838293126445e+004	(9.71231090304716e+001dB,1.34198792177727e+002°)
2.88403150312660e+004	(9.70123371837990e+001dB,1.35734612728091e+002°)
2.95120922666638e+004	(9.69145175148801e+001dB,1.37234037594866e+002°)
3.01995172040201e+004	(9.68286017230030e+001dB,1.38693546983249e+002°)
3.09029543251359e+004	(9.67535655235800e+001dB,1.40110466680929e+002°)
3.16227766016837e+004	(9.66884211984170e+001dB,1.41482883207913e+002°)
3.23593656929628e+004	(9.66322271757700e+001dB,1.42809555172098e+002°)
3.31131121482591e+004	(9.65840948692860e+001dB,1.44089824568331e+002°)
3.38844156139202e+004	(9.65431930853410e+001dB,1.45323530973650e+002°)
3.46736850452531e+004	(9.65087503514031e+001dB,1.46510930812620e+002°)
3.54813389233575e+004	(9.64800555298469e+001dB,1.47652623144528e+002°)
3.63078054770101e+004	(9.64564570686952e+001dB,1.48749482798580e+002°)
3.71535229097172e+004	(9.64373612108407e+001dB,1.49802601178285e+002°)
3.80189396320560e+004	(9.64222294440403e+001dB,1.50813234675158e+002°)
3.89045144994280e+004	(9.64105754313488e+001dB,1.51782760362147e+002°)
3.98107170553496e+004	(9.64019616195599e+001dB,1.52712638459801e+002°)
4.07380277804112e+004	(9.63959956839879e+001dB,1.53604380964188e+002°)
4.16869383470335e+004	(9.63923269328234e+001dB,1.54459525777768e+002°)
4.26579518801592e+004	(9.63906427639392e+001dB,1.55279615677971e+002°)
4.36515832240165e+004	(9.63906652415023e+001dB,1.56066181480751e+002°)
4.46683592150962e+004	(9.63921478388522e+001dB,1.56820728797671e+002°)
4.57088189614874e+004	(9.63948723774045e+001dB,1.57544727837383e+002°)
4.67735141287197e+004	(9.63986461783115e+001dB,1.58239605759696e+002°)
4.78630092322637e+004	(9.64032994336935e+001dB,1.58906741148767e+002°)
4.89778819368445e+004	(9.64086827969173e+001dB,1.59547460228316e+002°)
5.01187233627271e+004	(9.64146651861416e+001dB,1.60163034494569e+002°)
5.12861383991363e+004	(9.64211317917481e+001dB,1.60754679490698e+002°)
5.24807460249771e+004	(9.64279822759590e+001dB,1.61323554489591e+002°)
5.37031796370251e+004	(9.64351291516074e+001dB,1.61870762889675e+002°)
5.49540873857623e+004	(9.64424963264202e+001dB,1.62397353161466e+002°)
5.62341325190347e+004	(9.64500177991037e+001dB,1.62904320210914e+002°)
5.75439937337155e+004	(9.64576364938261e+001dB,1.63392607049774e+002°)
