Freq.	V(vo)
2.00000000000000e+004	(-4.12546468786320e+001dB,1.73705597889954e+002°)
2.00461047615580e+004	(-4.11777576076684e+001dB,1.73679299290472e+002°)
2.00923158055679e+004	(-4.11006175550475e+001dB,1.73652805514574e+002°)
2.01386333770361e+004	(-4.10232244577693e+001dB,1.73626114202100e+002°)
2.01850577215337e+004	(-4.09455760246689e+001dB,1.73599222953480e+002°)
2.02315890851980e+004	(-4.08676699359494e+001dB,1.73572129328901e+002°)
2.02782277147336e+004	(-4.07895038427052e+001dB,1.73544830847457e+002°)
2.03249738574139e+004	(-4.07110753664344e+001dB,1.73517324986264e+002°)
2.03718277610823e+004	(-4.06323820985417e+001dB,1.73489609179569e+002°)
2.04187896741536e+004	(-4.05534215998304e+001dB,1.73461680817819e+002°)
2.04658598456151e+004	(-4.04741913999839e+001dB,1.73433537246719e+002°)
2.05130385250281e+004	(-4.03946889970356e+001dB,1.73405175766258e+002°)
2.05603259625295e+004	(-4.03149118568277e+001dB,1.73376593629712e+002°)
2.06077224088323e+004	(-4.02348574124587e+001dB,1.73347788042618e+002°)
2.06552281152279e+004	(-4.01545230637178e+001dB,1.73318756161726e+002°)
2.07028433335869e+004	(-4.00739061765086e+001dB,1.73289495093916e+002°)
2.07505683163602e+004	(-3.99930040822583e+001dB,1.73260001895094e+002°)
2.07984033165812e+004	(-3.99118140773160e+001dB,1.73230273569047e+002°)
2.08463485878661e+004	(-3.98303334223357e+001dB,1.73200307066282e+002°)
2.08944043844160e+004	(-3.97485593416472e+001dB,1.73170099282818e+002°)
2.09425709610180e+004	(-3.96664890226119e+001dB,1.73139647058959e+002°)
2.09908485730464e+004	(-3.95841196149650e+001dB,1.73108947178019e+002°)
2.10392374764644e+004	(-3.95014482301425e+001dB,1.73077996365024e+002°)
2.10877379278252e+004	(-3.94184719405927e+001dB,1.73046791285373e+002°)
2.11363501842731e+004	(-3.93351877790730e+001dB,1.73015328543461e+002°)
2.11850745035457e+004	(-3.92515927379295e+001dB,1.72983604681263e+002°)
2.12339111439745e+004	(-3.91676837683612e+001dB,1.72951616176882e+002°)
2.12828603644863e+004	(-3.90834577796668e+001dB,1.72919359443053e+002°)
2.13319224246051e+004	(-3.89989116384737e+001dB,1.72886830825602e+002°)
2.13810975844531e+004	(-3.89140421679495e+001dB,1.72854026601867e+002°)
2.14303861047521e+004	(-3.88288461469958e+001dB,1.72820942979069e+002°)
2.14797882468249e+004	(-3.87433203094213e+001dB,1.72787576092639e+002°)
2.15293042725967e+004	(-3.86574613430974e+001dB,1.72753922004494e+002°)
2.15789344445965e+004	(-3.85712658890924e+001dB,1.72719976701262e+002°)
2.16286790259587e+004	(-3.84847305407857e+001dB,1.72685736092461e+002°)
2.16785382804240e+004	(-3.83978518429612e+001dB,1.72651196008615e+002°)
2.17285124723413e+004	(-3.83106262908775e+001dB,1.72616352199325e+002°)
2.17786018666686e+004	(-3.82230503293176e+001dB,1.72581200331272e+002°)
2.18288067289751e+004	(-3.81351203516141e+001dB,1.72545735986168e+002°)
2.18791273254418e+004	(-3.80468326986512e+001dB,1.72509954658643e+002°)
2.19295639228637e+004	(-3.79581836578419e+001dB,1.72473851754067e+002°)
2.19801167886504e+004	(-3.78691694620808e+001dB,1.72437422586307e+002°)
2.20307861908283e+004	(-3.77797862886701e+001dB,1.72400662375415e+002°)
2.20815723980414e+004	(-3.76900302582192e+001dB,1.72363566245246e+002°)
2.21324756795533e+004	(-3.75998974335171e+001dB,1.72326129221001e+002°)
2.21834963052480e+004	(-3.75093838183757e+001dB,1.72288346226696e+002°)
2.22346345456318e+004	(-3.74184853564452e+001dB,1.72250212082549e+002°)
2.22858906718345e+004	(-3.73271979299978e+001dB,1.72211721502287e+002°)
2.23372649556112e+004	(-3.72355173586815e+001dB,1.72172869090371e+002°)
2.23887576693430e+004	(-3.71434393982419e+001dB,1.72133649339124e+002°)
2.24403690860392e+004	(-3.70509597392100e+001dB,1.72094056625778e+002°)
2.24920994793385e+004	(-3.69580740055576e+001dB,1.72054085209420e+002°)
2.25439491235101e+004	(-3.68647777533161e+001dB,1.72013729227840e+002°)
2.25959182934559e+004	(-3.67710664691600e+001dB,1.71972982694281e+002°)
2.26480072647111e+004	(-3.66769355689530e+001dB,1.71931839494076e+002°)
2.27002163134462e+004	(-3.65823803962555e+001dB,1.71890293381182e+002°)
2.27525457164686e+004	(-3.64873962207921e+001dB,1.71848337974595e+002°)
2.28049957512233e+004	(-3.63919782368783e+001dB,1.71805966754648e+002°)
2.28575666957954e+004	(-3.62961215618053e+001dB,1.71763173059184e+002°)
2.29102588289106e+004	(-3.61998212341801e+001dB,1.71719950079603e+002°)
2.29630724299376e+004	(-3.61030722122213e+001dB,1.71676290856773e+002°)
2.30160077788886e+004	(-3.60058693720079e+001dB,1.71632188276805e+002°)
2.30690651564218e+004	(-3.59082075056798e+001dB,1.71587635066680e+002°)
2.31222448438419e+004	(-3.58100813195886e+001dB,1.71542623789729e+002°)
2.31755471231024e+004	(-3.57114854323974e+001dB,1.71497146840956e+002°)
2.32289722768068e+004	(-3.56124143731262e+001dB,1.71451196442198e+002°)
2.32825205882097e+004	(-3.55128625791440e+001dB,1.71404764637115e+002°)
2.33361923412192e+004	(-3.54128243941024e+001dB,1.71357843286003e+002°)
2.33899878203973e+004	(-3.53122940658115e+001dB,1.71310424060431e+002°)
2.34439073109625e+004	(-3.52112657440542e+001dB,1.71262498437672e+002°)
2.34979510987905e+004	(-3.51097334783384e+001dB,1.71214057694950e+002°)
2.35521194704161e+004	(-3.50076912155830e+001dB,1.71165092903467e+002°)
2.36064127130345e+004	(-3.49051327977375e+001dB,1.71115594922225e+002°)
2.36608311145032e+004	(-3.48020519593310e+001dB,1.71065554391609e+002°)
2.37153749633431e+004	(-3.46984423249494e+001dB,1.71014961726746e+002°)
2.37700445487403e+004	(-3.45942974066377e+001dB,1.70963807110612e+002°)
2.38248401605474e+004	(-3.44896106012244e+001dB,1.70912080486882e+002°)
2.38797620892854e+004	(-3.43843751875661e+001dB,1.70859771552515e+002°)
