Freq.	V(vo)
Step Information: Run=1  (Run: 1/100)
2.00000000000000e+004	(-4.04738778144426e+001dB,1.70910303603598e+002°)
2.00461047615580e+004	(-4.03959726129950e+001dB,1.70870139252060e+002°)
2.00923158055679e+004	(-4.03178082860787e+001dB,1.70829657225187e+002°)
2.01386333770361e+004	(-4.02393824814932e+001dB,1.70788853492841e+002°)
2.01850577215337e+004	(-4.01606928176971e+001dB,1.70747723955007e+002°)
2.02315890851980e+004	(-4.00817368833239e+001dB,1.70706264440258e+002°)
2.02782277147336e+004	(-4.00025122366874e+001dB,1.70664470704194e+002°)
2.03249738574139e+004	(-3.99230164052773e+001dB,1.70622338427830e+002°)
2.03718277610823e+004	(-3.98432468852442e+001dB,1.70579863215946e+002°)
2.04187896741536e+004	(-3.97632011408736e+001dB,1.70537040595385e+002°)
2.04658598456151e+004	(-3.96828766040491e+001dB,1.70493866013320e+002°)
2.05130385250281e+004	(-3.96022706737045e+001dB,1.70450334835455e+002°)
2.05603259625295e+004	(-3.95213807152636e+001dB,1.70406442344198e+002°)
2.06077224088323e+004	(-3.94402040600693e+001dB,1.70362183736763e+002°)
2.06552281152279e+004	(-3.93587380047993e+001dB,1.70317554123239e+002°)
2.07028433335869e+004	(-3.92769798108698e+001dB,1.70272548524596e+002°)
2.07505683163602e+004	(-3.91949267038269e+001dB,1.70227161870632e+002°)
2.07984033165812e+004	(-3.91125758727240e+001dB,1.70181388997876e+002°)
2.08463485878661e+004	(-3.90299244694866e+001dB,1.70135224647423e+002°)
2.08944043844160e+004	(-3.89469696082621e+001dB,1.70088663462706e+002°)
2.09425709610180e+004	(-3.88637083647571e+001dB,1.70041699987217e+002°)
2.09908485730464e+004	(-3.87801377755583e+001dB,1.69994328662151e+002°)
2.10392374764644e+004	(-3.86962548374400e+001dB,1.69946543823992e+002°)
2.10877379278252e+004	(-3.86120565066555e+001dB,1.69898339702023e+002°)
2.11363501842731e+004	(-3.85275396982131e+001dB,1.69849710415773e+002°)
2.11850745035457e+004	(-3.84427012851353e+001dB,1.69800649972382e+002°)
2.12339111439745e+004	(-3.83575380977027e+001dB,1.69751152263895e+002°)
2.12828603644863e+004	(-3.82720469226797e+001dB,1.69701211064474e+002°)
2.13319224246051e+004	(-3.81862245025234e+001dB,1.69650820027534e+002°)
2.13810975844531e+004	(-3.81000675345743e+001dB,1.69599972682787e+002°)
2.14303861047521e+004	(-3.80135726702287e+001dB,1.69548662433204e+002°)
2.14797882468249e+004	(-3.79267365140922e+001dB,1.69496882551886e+002°)
2.15293042725967e+004	(-3.78395556231139e+001dB,1.69444626178844e+002°)
2.15789344445965e+004	(-3.77520265057001e+001dB,1.69391886317674e+002°)
2.16286790259587e+004	(-3.76641456208086e+001dB,1.69338655832144e+002°)
2.16785382804240e+004	(-3.75759093770207e+001dB,1.69284927442665e+002°)
2.17285124723413e+004	(-3.74873141315922e+001dB,1.69230693722669e+002°)
2.17786018666686e+004	(-3.73983561894825e+001dB,1.69175947094861e+002°)
2.18288067289751e+004	(-3.73090318023600e+001dB,1.69120679827368e+002°)
2.18791273254418e+004	(-3.72193371675848e+001dB,1.69064884029762e+002°)
2.19295639228637e+004	(-3.71292684271668e+001dB,1.69008551648961e+002°)
2.19801167886504e+004	(-3.70388216666988e+001dB,1.68951674465007e+002°)
2.20307861908283e+004	(-3.69479929142651e+001dB,1.68894244086703e+002°)
2.20815723980414e+004	(-3.68567781393223e+001dB,1.68836251947118e+002°)
2.21324756795533e+004	(-3.67651732515545e+001dB,1.68777689298949e+002°)
2.21834963052480e+004	(-3.66731740997000e+001dB,1.68718547209737e+002°)
2.22346345456318e+004	(-3.65807764703496e+001dB,1.68658816556920e+002°)
2.22858906718345e+004	(-3.64879760867153e+001dB,1.68598488022743e+002°)
2.23372649556112e+004	(-3.63947686073695e+001dB,1.68537552088986e+002°)
2.23887576693430e+004	(-3.63011496249523e+001dB,1.68475999031534e+002°)
2.24403690860392e+004	(-3.62071146648468e+001dB,1.68413818914761e+002°)
2.24920994793385e+004	(-3.61126591838224e+001dB,1.68351001585732e+002°)
2.25439491235101e+004	(-3.60177785686430e+001dB,1.68287536668217e+002°)
2.25959182934559e+004	(-3.59224681346410e+001dB,1.68223413556493e+002°)
2.26480072647111e+004	(-3.58267231242552e+001dB,1.68158621408958e+002°)
2.27002163134462e+004	(-3.57305387055319e+001dB,1.68093149141511e+002°)
2.27525457164686e+004	(-3.56339099705871e+001dB,1.68026985420722e+002°)
2.28049957512233e+004	(-3.55368319340307e+001dB,1.67960118656761e+002°)
2.28575666957954e+004	(-3.54392995313492e+001dB,1.67892536996093e+002°)
2.29102588289106e+004	(-3.53413076172476e+001dB,1.67824228313911e+002°)
2.29630724299376e+004	(-3.52428509639476e+001dB,1.67755180206317e+002°)
2.30160077788886e+004	(-3.51439242594423e+001dB,1.67685379982226e+002°)
2.30690651564218e+004	(-3.50445221057051e+001dB,1.67614814654988e+002°)
2.31222448438419e+004	(-3.49446390168516e+001dB,1.67543470933715e+002°)
2.31755471231024e+004	(-3.48442694172533e+001dB,1.67471335214300e+002°)
2.32289722768068e+004	(-3.47434076396016e+001dB,1.67398393570118e+002°)
2.32825205882097e+004	(-3.46420479229201e+001dB,1.67324631742391e+002°)
2.33361923412192e+004	(-3.45401844105240e+001dB,1.67250035130210e+002°)
2.33899878203973e+004	(-3.44378111479256e+001dB,1.67174588780188e+002°)
2.34439073109625e+004	(-3.43349220806820e+001dB,1.67098277375746e+002°)
2.34979510987905e+004	(-3.42315110521868e+001dB,1.67021085226000e+002°)
2.35521194704161e+004	(-3.41275718013998e+001dB,1.66942996254232e+002°)
2.36064127130345e+004	(-3.40230979605170e+001dB,1.66863993985947e+002°)
2.36608311145032e+004	(-3.39180830525751e+001dB,1.66784061536471e+002°)
2.37153749633431e+004	(-3.38125204889918e+001dB,1.66703181598090e+002°)
2.37700445487403e+004	(-3.37064035670374e+001dB,1.66621336426702e+002°)
2.38248401605474e+004	(-3.35997254672369e+001dB,1.66538507827956e+002°)
2.38797620892854e+004	(-3.34924792506998e+001dB,1.66454677142868e+002°)
2.39348106261448e+004	(-3.33846578563757e+001dB,1.66369825232873e+002°)
2.39899860629875e+004	(-3.32762540982328e+001dB,1.66283932464314e+002°)
2.40452886923482e+004	(-3.31672606623574e+001dB,1.66196978692302e+002°)
2.41007188074359e+004	(-3.30576701039718e+001dB,1.66108943243967e+002°)
2.41562767021355e+004	(-3.29474748443668e+001dB,1.66019804901029e+002°)
2.42119626710095e+004	(-3.28366671677485e+001dB,1.65929541881685e+002°)
2.42677770092994e+004	(-3.27252392179938e+001dB,1.65838131821770e+002°)
2.43237200129273e+004	(-3.26131829953143e+001dB,1.65745551755156e+002°)
2.43797919784972e+004	(-3.25004903528229e+001dB,1.65651778093359e+002°)
2.44359932032973e+004	(-3.23871529930032e+001dB,1.65556786604312e+002°)
2.44923239853009e+004	(-3.22731624640751e+001dB,1.65460552390273e+002°)
2.45487846231680e+004	(-3.21585101562560e+001dB,1.65363049864804e+002°)
2.46053754162475e+004	(-3.20431872979128e+001dB,1.65264252728809e+002°)
2.46620966645781e+004	(-3.19271849516014e+001dB,1.65164133945558e+002°)
2.47189486688901e+004	(-3.18104940099905e+001dB,1.65062665714659e+002°)
2.47759317306073e+004	(-3.16931051916652e+001dB,1.64959819444926e+002°)
2.48330461518481e+004	(-3.15750090368071e+001dB,1.64855565726086e+002°)
2.48902922354276e+004	(-3.14561959027471e+001dB,1.64749874299269e+002°)
2.49476702848587e+004	(-3.13366559593858e+001dB,1.64642714026216e+002°)
2.50051806043543e+004	(-3.12163791844785e+001dB,1.64534052857148e+002°)
2.50628234988282e+004	(-3.10953553587793e+001dB,1.64423857797215e+002°)
2.51205992738974e+004	(-3.09735740610408e+001dB,1.64312094871471e+002°)
2.51785082358832e+004	(-3.08510246628642e+001dB,1.64198729088279e+002°)
2.52365506918133e+004	(-3.07276963233950e+001dB,1.64083724401076e+002°)
2.52947269494229e+004	(-3.06035779838598e+001dB,1.63967043668415e+002°)
2.53530373171568e+004	(-3.04786583619392e+001dB,1.63848648612179e+002°)
2.54114821041707e+004	(-3.03529259459710e+001dB,1.63728499773889e+002°)
2.54700616203331e+004	(-3.02263689889797e+001dB,1.63606556468987e+002°)
2.55287761762267e+004	(-3.00989755025256e+001dB,1.63482776738999e+002°)
2.55876260831503e+004	(-2.99707332503690e+001dB,1.63357117301453e+002°)
2.56466116531203e+004	(-2.98416297419435e+001dB,1.63229533497436e+002°)
2.57057331988722e+004	(-2.97116522256333e+001dB,1.63099979236658e+002°)
2.57649910338625e+004	(-2.95807876818472e+001dB,1.62968406939887e+002°)
2.58243854722705e+004	(-2.94490228158859e+001dB,1.62834767478604e+002°)
2.58839168289996e+004	(-2.93163440505947e+001dB,1.62699010111736e+002°)
2.59435854196790e+004	(-2.91827375187961e+001dB,1.62561082419275e+002°)
2.60033915606656e+004	(-2.90481890554974e+001dB,1.62420930232644e+002°)
2.60633355690458e+004	(-2.89126841898660e+001dB,1.62278497561587e+002°)
2.61234177626367e+004	(-2.87762081369671e+001dB,1.62133726517405e+002°)
2.61836384599880e+004	(-2.86387457892583e+001dB,1.61986557232328e+002°)
2.62439979803839e+004	(-2.85002817078341e+001dB,1.61836927774775e+002°)
2.63044966438446e+004	(-2.83608001134163e+001dB,1.61684774060289e+002°)
2.63651347711280e+004	(-2.82202848770838e+001dB,1.61530029757866e+002°)
2.64259126837313e+004	(-2.80787195107361e+001dB,1.61372626191423e+002°)
2.64868307038931e+004	(-2.79360871572875e+001dB,1.61212492236097e+002°)
2.65478891545946e+004	(-2.77923705805852e+001dB,1.61049554209075e+002°)
2.66090883595616e+004	(-2.76475521550487e+001dB,1.60883735754611e+002°)
2.66704286432663e+004	(-2.75016138550271e+001dB,1.60714957722884e+002°)
2.67319103309287e+004	(-2.73545372438699e+001dB,1.60543138042306e+002°)
2.67935337485185e+004	(-2.72063034627111e+001dB,1.60368191584883e+002°)
2.68552992227571e+004	(-2.70568932189644e+001dB,1.60190030024187e+002°)
2.69172070811188e+004	(-2.69062867745295e+001dB,1.60008561685467e+002°)
2.69792576518329e+004	(-2.67544639337117e+001dB,1.59823691387422e+002°)
2.70414512638854e+004	(-2.66014040308561e+001dB,1.59635320275075e+002°)
2.71037882470205e+004	(-2.64470859177020e+001dB,1.59443345643192e+002°)
2.71662689317429e+004	(-2.62914879504637e+001dB,1.59247660749632e+002°)
2.72288936493188e+004	(-2.61345879766456e+001dB,1.59048154617969e+002°)
2.72916627317783e+004	(-2.59763633216054e+001dB,1.58844711828668e+002°)
2.73545765119168e+004	(-2.58167907748764e+001dB,1.58637212298091e+002°)
2.74176353232969e+004	(-2.56558465762703e+001dB,1.58425531044485e+002°)
2.74808395002501e+004	(-2.54935064017801e+001dB,1.58209537940106e+002°)
2.75441893778787e+004	(-2.53297453493112e+001dB,1.57989097448537e+002°)
2.76076852920575e+004	(-2.51645379242712e+001dB,1.57764068346193e+002°)
2.76713275794354e+004	(-2.49978580250584e+001dB,1.57534303426942e+002°)
2.77351165774376e+004	(-2.48296789284908e+001dB,1.57299649188673e+002°)
2.77990526242669e+004	(-2.46599732752310e+001dB,1.57059945500576e+002°)
2.78631360589058e+004	(-2.44887130552669e+001dB,1.56815025249792e+002°)
2.79273672211185e+004	(-2.43158695935201e+001dB,1.56564713965996e+002°)
2.79917464514521e+004	(-2.41414135356657e+001dB,1.56308829422361e+002°)
2.80562740912389e+004	(-2.39653148342604e+001dB,1.56047181211251e+002°)
2.81209504825981e+004	(-2.37875427352886e+001dB,1.55779570292842e+002°)
2.81857759684373e+004	(-2.36080657652583e+001dB,1.55505788514772e+002°)
2.82507508924549e+004	(-2.34268517189919e+001dB,1.55225618100724e+002°)
2.83158755991414e+004	(-2.32438676482852e+001dB,1.54938831105750e+002°)
2.83811504337816e+004	(-2.30590798516286e+001dB,1.54645188835940e+002°)
2.84465757424562e+004	(-2.28724538652158e+001dB,1.54344441229875e+002°)
2.85121518720435e+004	(-2.26839544554982e+001dB,1.54036326199110e+002°)
2.85778791702218e+004	(-2.24935456135787e+001dB,1.53720568924755e+002°)
2.86437579854706e+004	(-2.23011905517835e+001dB,1.53396881106962e+002°)
2.87097886670729e+004	(-2.21068517027972e+001dB,1.53064960163967e+002°)
2.87759715651167e+004	(-2.19104907218024e+001dB,1.52724488377020e+002°)
2.88423070304971e+004	(-2.17120684921279e+001dB,1.52375131977368e+002°)
2.89087954149183e+004	(-2.15115451349809e+001dB,1.52016540171125e+002°)
2.89754370708950e+004	(-2.13088800239205e+001dB,1.51648344097646e+002°)
2.90422323517546e+004	(-2.11040318048210e+001dB,1.51270155716705e+002°)
2.91091816116391e+004	(-2.08969584221818e+001dB,1.50881566619534e+002°)
2.91762852055067e+004	(-2.06876171527585e+001dB,1.50482146758457e+002°)
2.92435434891341e+004	(-2.04759646476278e+001dB,1.50071443089604e+002°)
2.93109568191180e+004	(-2.02619569839542e+001dB,1.49648978122919e+002°)
2.93785255528771e+004	(-2.00455497279042e+001dB,1.49214248373405e+002°)
2.94462500486541e+004	(-1.98266980103530e+001dB,1.48766722707366e+002°)
2.95141306655176e+004	(-1.96053566172619e+001dB,1.48305840577204e+002°)
2.95821677633639e+004	(-1.93814800968592e+001dB,1.47831010138246e+002°)
2.96503617029188e+004	(-1.91550228860566e+001dB,1.47341606241030e+002°)
2.97187128457399e+004	(-1.89259394588653e+001dB,1.46836968292589e+002°)
2.97872215542180e+004	(-1.86941844999539e+001dB,1.46316397980499e+002°)
2.98558881915796e+004	(-1.84597131069206e+001dB,1.45779156853908e+002°)
2.99247131218884e+004	(-1.82224810253297e+001dB,1.45224463756429e+002°)
2.99936967100472e+004	(-1.79824449211104e+001dB,1.44651492106791e+002°)
3.00628393218002e+004	(-1.77395626955203e+001dB,1.44059367024533e+002°)
3.01321413237346e+004	(-1.74937938485580e+001dB,1.43447162299913e+002°)
3.02016030832827e+004	(-1.72450998974694e+001dB,1.42813897209743e+002°)
3.02712249687239e+004	(-1.69934448578276e+001dB,1.42158533184100e+002°)
3.03410073491864e+004	(-1.67387957955934e+001dB,1.41479970333148e+002°)
3.04109505946496e+004	(-1.64811234595731e+001dB,1.40777043848644e+002°)
3.04810550759455e+004	(-1.62204030047785e+001dB,1.40048520301578e+002°)
3.05513211647612e+004	(-1.59566148183647e+001dB,1.39293093865881e+002°)
3.06217492336403e+004	(-1.56897454610433e+001dB,1.38509382508799e+002°)
3.06923396559856e+004	(-1.54197887381300e+001dB,1.37695924201660e+002°)
3.07630928060604e+004	(-1.51467469156428e+001dB,1.36851173220857e+002°)
3.08340090589909e+004	(-1.48706320980645e+001dB,1.35973496628523e+002°)
3.09050887907680e+004	(-1.45914677854408e+001dB,1.35061171046180e+002°)
3.09763323782493e+004	(-1.43092906283033e+001dB,1.34112379863181e+002°)
3.10477401991613e+004	(-1.40241523993222e+001dB,1.33125211055856e+002°)
3.11193126321012e+004	(-1.37361222004302e+001dB,1.32097655833473e+002°)
3.11910500565388e+004	(-1.34452889231450e+001dB,1.31027608374112e+002°)
3.12629528528188e+004	(-1.31517639776504e+001dB,1.29912866967775e+002°)
3.13350214021627e+004	(-1.28556843024395e+001dB,1.28751136945609e+002°)
3.14072560866707e+004	(-1.25572156605073e+001dB,1.27540035842813e+002°)
3.14796572893241e+004	(-1.22565562195737e+001dB,1.26277101317476e+002°)
3.15522253939866e+004	(-1.19539404019371e+001dB,1.24959802426233e+002°)
3.16249607854073e+004	(-1.16496429735015e+001dB,1.23585554936640e+002°)
3.16978638492219e+004	(-1.13439833204443e+001dB,1.22151741430076e+002°)
3.17709349719552e+004	(-1.10373298350688e+001dB,1.20655737009642e+002°)
3.18441745410231e+004	(-1.07301042988906e+001dB,1.19094941463806e+002°)
3.19175829447343e+004	(-1.04227861105200e+001dB,1.17466818733561e+002°)
3.19911605722930e+004	(-1.01159161584912e+001dB,1.15768944469759e+002°)
3.20649078138005e+004	(-9.81010008577081e+000dB,1.13999062325317e+002°)
3.21388250602572e+004	(-9.50601063534270e+000dB,1.12155149378518e+002°)
3.22129127035651e+004	(-9.20438870875478e+000dB,1.10235490701758e+002°)
3.22871711365294e+004	(-8.90604271758049e+000dB,1.08238762550738e+002°)
3.23616007528610e+004	(-8.61184576948792e+000dB,1.06164122935830e+002°)
3.24362019471782e+004	(-8.32273021645523e+000dB,1.04011307449333e+002°)
3.25109751150093e+004	(-8.03967911493589e+000dB,1.01780727182899e+002°)
3.25859206527941e+004	(-7.76371421949552e+000dB,9.94735644360465e+001°)
3.26610389578863e+004	(-7.49588026434365e+000dB,9.70918607880240e+001°)
3.27363304285558e+004	(-7.23722548875856e+000dB,9.46385911247666e+001°)
3.28117954639904e+004	(-6.98877863235107e+000dB,9.21177165613039e+001°)
3.28874344642983e+004	(-6.75152295274893e+000dB,8.95342090785538e+001°)
3.29632478305098e+004	(-6.52636817600117e+000dB,8.68940412890972e+001°)
3.30392359645799e+004	(-6.31412163901281e+000dB,8.42041361887800e+001°)
3.31153992693902e+004	(-6.11546017294664e+000dB,8.14722740628639e+001°)
3.31917381487508e+004	(-5.93090445246443e+000dB,7.87069567741706e+001°)
3.32682530074030e+004	(-5.76079755067452e+000dB,7.59172331825632e+001°)
3.33449442510209e+004	(-5.60528926539635e+000dB,7.31124930077661e+001°)
3.34218122862138e+004	(-5.46432741933881e+000dB,7.03022395534436e+001°)
3.34988575205283e+004	(-5.33765681866492e+000dB,6.74958538816809e+001°)
3.35760803624508e+004	(-5.22482594451519e+000dB,6.47023639090203e+001°)
3.36534812214089e+004	(-5.12520083215735e+000dB,6.19302313392903e+001°)
3.37310605077744e+004	(-5.03798504634169e+000dB,5.91871674476800e+001°)
3.38088186328649e+004	(-4.96224425809569e+000dB,5.64799857971297e+001°)
3.38867560089462e+004	(-4.89693370881729e+000dB,5.38144964600393e+001°)
3.39648730492345e+004	(-4.84092682027763e+000dB,5.11954427376609e+001°)
3.40431701678986e+004	(-4.79304335175036e+000dB,4.86264781633692e+001°)
3.41216477800620e+004	(-4.75207577410684e+000dB,4.61101790639006e+001°)
3.42003063018053e+004	(-4.71681287169666e+000dB,4.36480862949032e+001°)
3.42791461501681e+004	(-4.68605994388933e+000dB,4.12407689718155e+001°)
3.43581677431513e+004	(-4.65865531655904e+000dB,3.88879029753798e+001°)
3.44373714997197e+004	(-4.63348316061278e+000dB,3.65883575448991e+001°)
3.45167578398036e+004	(-4.60948283519741e+000dB,3.43402841806775e+001°)
3.45963271843016e+004	(-4.58565512492506e+000dB,3.21412031720034e+001°)
3.46760799550823e+004	(-4.56106582947026e+000dB,2.99880841955496e+001°)
3.47560165749871e+004	(-4.53484720142439e+000dB,2.78774184821458e+001°)
3.48361374678318e+004	(-4.50619772750385e+000dB,2.58052809613790e+001°)
3.49164430584096e+004	(-4.47438072198534e+000dB,2.37673815335230e+001°)
