Freq.	V(va)/I(R3)
2.00000000000000e+004	(1.00417154965572e+002dB,1.78824486476287e+002°)
2.00461047615580e+004	(1.00418087236869e+002dB,1.78818373801860e+002°)
2.00923158055679e+004	(1.00419028038165e+002dB,1.78812204103656e+002°)
2.01386333770361e+004	(1.00419977476064e+002dB,1.78805976565751e+002°)
2.01850577215337e+004	(1.00420935658917e+002dB,1.78799690356661e+002°)
2.02315890851980e+004	(1.00421902696856e+002dB,1.78793344628970e+002°)
2.02782277147336e+004	(1.00422878701832e+002dB,1.78786938518947e+002°)
2.03249738574139e+004	(1.00423863787650e+002dB,1.78780471146160e+002°)
2.03718277610823e+004	(1.00424858070011e+002dB,1.78773941613073e+002°)
2.04187896741536e+004	(1.00425861666546e+002dB,1.78767349004630e+002°)
2.04658598456151e+004	(1.00426874696859e+002dB,1.78760692387830e+002°)
2.05130385250281e+004	(1.00427897282567e+002dB,1.78753970811291e+002°)
2.05603259625295e+004	(1.00428929547343e+002dB,1.78747183304796e+002°)
2.06077224088323e+004	(1.00429971616955e+002dB,1.78740328878832e+002°)
2.06552281152279e+004	(1.00431023619315e+002dB,1.78733406524111e+002°)
2.07028433335869e+004	(1.00432085684523e+002dB,1.78726415211079e+002°)
2.07505683163602e+004	(1.00433157944908e+002dB,1.78719353889408e+002°)
2.07984033165812e+004	(1.00434240535082e+002dB,1.78712221487474e+002°)
2.08463485878661e+004	(1.00435333591985e+002dB,1.78705016911822e+002°)
2.08944043844160e+004	(1.00436437254935e+002dB,1.78697739046611e+002°)
2.09425709610180e+004	(1.00437551665680e+002dB,1.78690386753046e+002°)
2.09908485730464e+004	(1.00438676968449e+002dB,1.78682958868785e+002°)
2.10392374764644e+004	(1.00439813310005e+002dB,1.78675454207340e+002°)
2.10877379278252e+004	(1.00440960839702e+002dB,1.78667871557447e+002°)
2.11363501842731e+004	(1.00442119709540e+002dB,1.78660209682426e+002°)
2.11850745035457e+004	(1.00443290074222e+002dB,1.78652467319518e+002°)
2.12339111439745e+004	(1.00444472091214e+002dB,1.78644643179196e+002°)
2.12828603644863e+004	(1.00445665920808e+002dB,1.78636735944464e+002°)
2.13319224246051e+004	(1.00446871726178e+002dB,1.78628744270127e+002°)
2.13810975844531e+004	(1.00448089673450e+002dB,1.78620666782042e+002°)
2.14303861047521e+004	(1.00449319931767e+002dB,1.78612502076338e+002°)
2.14797882468249e+004	(1.00450562673350e+002dB,1.78604248718622e+002°)
2.15293042725967e+004	(1.00451818073576e+002dB,1.78595905243150e+002°)
2.15789344445965e+004	(1.00453086311042e+002dB,1.78587470151977e+002°)
2.16286790259587e+004	(1.00454367567641e+002dB,1.78578941914073e+002°)
2.16785382804240e+004	(1.00455662028633e+002dB,1.78570318964421e+002°)
2.17285124723413e+004	(1.00456969882728e+002dB,1.78561599703072e+002°)
2.17786018666686e+004	(1.00458291322158e+002dB,1.78552782494179e+002°)
2.18288067289751e+004	(1.00459626542761e+002dB,1.78543865664997e+002°)
2.18791273254418e+004	(1.00460975744062e+002dB,1.78534847504841e+002°)
2.19295639228637e+004	(1.00462339129359e+002dB,1.78525726264027e+002°)
2.19801167886504e+004	(1.00463716905813e+002dB,1.78516500152755e+002°)
2.20307861908283e+004	(1.00465109284530e+002dB,1.78507167339974e+002°)
2.20815723980414e+004	(1.00466516480663e+002dB,1.78497725952198e+002°)
2.21324756795533e+004	(1.00467938713498e+002dB,1.78488174072280e+002°)
2.21834963052480e+004	(1.00469376206556e+002dB,1.78478509738151e+002°)
2.22346345456318e+004	(1.00470829187689e+002dB,1.78468730941511e+002°)
2.22858906718345e+004	(1.00472297889187e+002dB,1.78458835626474e+002°)
2.23372649556112e+004	(1.00473782547879e+002dB,1.78448821688166e+002°)
2.23887576693430e+004	(1.00475283405246e+002dB,1.78438686971277e+002°)
2.24403690860392e+004	(1.00476800707524e+002dB,1.78428429268557e+002°)
2.24920994793385e+004	(1.00478334705827e+002dB,1.78418046319260e+002°)
2.25439491235101e+004	(1.00479885656259e+002dB,1.78407535807537e+002°)
