Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (°)
1000.0000000000011,-45.231061349364694,-2.2999991906476396
1012.5320000084379,-45.246911772700365,-2.268426489607009
1025.2210510410862,-45.273752683944736,-2.3984854440214463
1038.069121261384,-45.252246603114671,-2.4492044326978757
1051.0782034977897,-45.275129505412337,-2.2609795545165694
1064.2503155528916,-45.267165548213995,-2.7382394979023417
1077.5875005163796,-45.297749647135738,-2.8196005341867476
1091.0918270819423,-45.322244005170127,-2.8196799113836164
1104.7653898681397,-45.32761179098906,-2.7306607546126997
1118.6103097432879,-45.381369585744622,-2.9005899276630158
1132.6287341544282,-45.317804943392943,-2.5551814168239986
1146.8228374604075,-45.330552524226448,-2.882804044593982
1161.1948212691382,-45.402431124287197,-2.8770548810880925
1175.7469147790796,-45.424499906161614,-3.1411951679583581
1190.4813751250106,-45.417914704590736,-3.0522723329253019
1205.4004877281213,-45.452070273026941,-2.8657398713694633
1220.5065666505,-45.457234000550784,-2.7262494235935577
1235.8019549540625,-45.424190612111069,-2.974128176245685
1251.289025063973,-45.531297557036922,-2.6482648393499773
1266.9701791366317,-45.524827721375459,-2.9953137137264605
1282.8478494322612,-45.5347161732955,-3.2080627776705555
1298.9244986921694,-45.562346043027986,-3.3379322140676209
1315.2026205207399,-45.549660398542244,-2.4726902628050595
1331.6847397722022,-45.624640471564362,-3.539045827936107
1348.3734129422626,-45.55453812216696,-2.853300045128293
1365.271228564631,-45.645733513619795,-3.3686425592011346
1382.3808076125215,-45.639626652225772,-3.0379818762270787
1399.7048039051845,-45.664329960233516,-3.0002088687631243
1417.2459045195349,-45.699741792031475,-3.2191263875182443
1435.0068302069294,-45.721475388124155,-3.4489882468522275
1452.990335815191,-45.798969949915495,-3.0988588883273849
1471.1992107158856,-45.74838145296134,-3.4844272655627577
1489.6362792369894,-45.768096287130298,-3.3639169165628573
1508.3044011009551,-45.773150770327511,-3.5134081895178753
1527.2064718682777,-45.826801970034381,-3.6114498991167068
1546.3454233866173,-45.860632743637268,-3.8495611793486404
1565.7242242455447,-45.877696116488465,-3.5202442929564057
1585.3458802369998,-45.880828452896402,-3.6008402833088979
1605.213434821505,-45.938893245323328,-3.9071398967742539
1625.3299696002327,-45.969676984840959,-3.9600222432803776
1645.6986047929756,-45.990927469103227,-3.504510336304449
1666.3224997221257,-45.968999074146062,-3.7492908778376264
1687.2048533027018,-46.008283536677112,-3.6902621999745406
1708.3489045385261,-46.131599705738253,-3.7696700222548145
1729.7579330246176,-46.06990808325623,-4.1455542934979093
1751.4352594558759,-46.223376748856992,-4.6710857096401526
1773.3842461421536,-46.132603405413811,-4.3150041055199111
1795.6082975297688,-46.168180840496674,-4.3189955330251593
1818.1108607295612,-46.317598926246966,-4.4177117137439978
1840.895426051565,-46.298659878047218,-4.0075905728433838
1863.9655275463747,-46.324458263929778,-4.4605975921530394
1887.3247435533117,-46.377678124690618,-5.0429307022397438
1910.9766972554451,-46.470870658593022,-4.132129087809318
1934.9250572415729,-46.446853441385016,-4.3202567796195126
1959.1735380752509,-46.505093937712743,-4.5356525953386608
1983.7259008709391,-46.596214232283288,-4.4006312601681827
2008.58595387739,-46.663576430624254,-4.7380338949925545
2033.757553068328,-46.677270983856438,-4.8968684972957703
2059.2446027405408,-46.692893238982748,-4.8959059686849216
2085.0510561194587,-46.804899213381674,-5.2187910569321829
2111.1809159723389,-46.860467368746924,-4.9046462741163666
2137.6382352291162,-46.88108765470885,-4.8505040044629766
2164.4271176110424,-46.992726395453481,-5.0446146370329146
2191.551718267207,-46.979985952547032,-5.1989610913813493
2219.0162444190214,-47.06334468529861,-5.5613837804386606
2246.824956012802,-47.182763977656123,-4.8624293203571938
2274.982166380511,-47.156339038816583,-5.748745190461932
2303.4922429087851,-47.26327242448501,-5.3591033510048049
2332.3596077163547,-47.368628849648857,-5.8676918079214175
2361.588738339934,-47.380821811198302,-5.420645050695847
2391.1841684287342,-47.492095927651306,-5.1814728286313798
2421.1504884476572,-47.532684454673849,-5.8165332555509792
2451.4923463893101,-47.759415570345425,-5.503141124816409
2482.2144484949463,-47.739202153139345,-6.2641249751903274
2513.321559984427,-47.817042826916435,-6.237801198709704
2544.8185057953565,-47.882080034222653,-6.4325804314539141
2576.7101713314541,-47.959495394721159,-6.0195982703440336
2609.0015032203219,-48.058185097149575,-5.9598249388981088
2641.6975100806881,-48.24444532403804,-6.0849964060262778
2674.8032632993095,-48.259571866386551,-6.5479943536422809
2708.3238978175409,-48.450540971647136,-6.3848949396913639
2742.2646129278423,-48.529679352728643,-6.428711776029516
2776.6306730801903,-48.557402896103781,-6.5340667405389894
2811.4274086986602,-48.750561386774962,-7.0632452692959475
2846.6602170081883,-48.835951342783815,-7.4179897166286466
2882.3345628717548,-48.810666470307112,-6.3880658802656001
2918.4559796379813,-49.082004670503032,-6.5139122343532279
2955.0300699994305,-49.257170505363433,-7.2035650627742456
2992.0625068615909,-49.480780245678844,-7.4758559332472991
3029.5590342228274,-49.512403483075801,-7.0977686785762728
3067.5254680652679,-49.640665948556936,-7.7457353970176257
3105.9676972569423,-49.808135463394258,-7.6852471420397421
3144.8916844651708,-50.048372460986826,-7.0727846457082926
3184.3034670814213,-50.149622207850335,-8.0966466780565867
3224.2091581577506,-50.404780584914199,-7.3863702451054536
3264.6149473549895,-50.473345036891466,-7.9563289652981908
3305.527101902785,-50.82377351114306,-8.1645941000741615
3346.9519675717193,-50.923664144270361,-8.1064247872375219
3388.8959696575657,-51.183981624080779,-7.8377903581201025
3431.3656139779059,-51.33888596476374,-7.3861388775281469
3474.3674878812308,-51.614776042620818,-8.8850854819615819
3517.9082612686707,-51.940055446455744,-8.7557331116162302
3561.9946876285699,-52.086743430479729,-8.289349327999652
3606.6336050839832,-52.447416309085526,-8.4019678197669094
3651.831937453328,-52.728477455939085,-8.2052145477608178
3697.5966953243028,-52.894627730052207,-9.8903548827197767
