#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2018-10-27 22:06:56.900
#Start: 150000 Hz
#Stop: 160000 Hz
#Steps: 100
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
150000,0.019084388658976735,-3.0295976075945759,-44.918011287745642
150097.81751845122,0.019182762339909142,-3.034200822651095,-44.929406377212381
150195.69882534855,0.021234575455072138,-3.0351320422957913,-44.946321243796149
150293.6439622895,0.019752827626004332,-3.0359570135802421,-44.970789406025006
150391.65297089872,0.023562880649009812,-3.0421529201251691,-44.992938370209323
150489.72589282799,0.023783308349540511,-3.042396973349184,-45.012223326797653
150587.86276975626,0.024521092806811324,-3.0483561191031887,-45.019909448039726
150686.06364338967,0.024259773276773079,-3.049503451576717,-45.036331679145164
150784.32855546151,0.026316698596096956,-3.0517902019019187,-45.068040627308818
150882.65754773238,0.025008211974225633,-3.0537425652038368,-45.080883244477846
150981.05066199001,0.026174012458685843,-3.0590568479861187,-45.098137726030089
151079.50794004943,0.025288700023754301,-3.0607606754054366,-45.11754501732068
151178.02942375295,0.023241795130731241,-3.0627845857196889,-45.141173190606281
151276.61515497015,0.025204267563655576,-3.0670306536365595,-45.154036924472052
151375.26517559786,0.027326555289031988,-3.0705264929172986,-45.173589500050625
151473.97952756035,0.024895422779235073,-3.0698111447695524,-45.194333839656053
151572.75825280914,0.026907832003639377,-3.0751378574863648,-45.208055173556623
151671.60139332313,0.025401155428293756,-3.0783731620477628,-45.221919592609225
151770.50899110857,0.026278285514393811,-3.0827940901421491,-45.252404990158723
151869.48108819916,0.024361019464275813,-3.0842773935061234,-45.265634431855148
151968.51772665599,0.02688644447400651,-3.0866627995617697,-45.285501332791569
152067.61894856751,0.024453312277905561,-3.0891595713679281,-45.30965670737848
152166.78479604973,0.025187750078189321,-3.0931129779247217,-45.327813756598815
152266.0153112461,0.025572923363272715,-3.0950641265864198,-45.34907613779724
152365.31053632745,0.025850240703485933,-3.0998594943591096,-45.3609748679457
152464.67051349219,0.02496267231579544,-3.1019596333836081,-45.385351153069863
152564.09528496629,0.025203582879930762,-3.1060268928797052,-45.393911407267254
152663.58489300314,0.023435824510529436,-3.1063638085581715,-45.419783827020659
152763.13937988383,0.025928731364937497,-3.1112567693271806,-45.433556702034139
152862.75878791689,0.023041367548894659,-3.11194901814509,-45.451517192268213
152962.4431594385,0.025348694298858842,-3.117205262515192,-45.471489637606183
153062.19253681245,0.024605745558515434,-3.1191444259173666,-45.484032605979209
153162.00696243014,0.025760315296154617,-3.1201654579865448,-45.505032464964792
153261.88647871063,0.024784589777510649,-3.1247573864528744,-45.524053844306124
153361.83112810063,0.024678036197107251,-3.1283327368972853,-45.552492883244625
153461.84095307454,0.024468160912445008,-3.1283667406771021,-45.564987784226538
153561.91599613446,0.025593055964645693,-3.1336517569936291,-45.581454621166827
153662.05629981015,0.023663026083675438,-3.1365406241122509,-45.59736704318702
153762.2619066592,0.024988107467573455,-3.1370211938927244,-45.62023692466714
153862.53285926691,0.025126518564554629,-3.1423060865216321,-45.637148641081197
153962.86920024635,0.024847639638372384,-3.145508273174042,-45.640310162169442
154063.27097223833,0.024923716402815495,-3.1465601799597911,-45.663488255835958
154163.73821791154,0.024997597947267136,-3.1524432068096968,-45.696154727749899
154264.27097996249,0.02369574179608808,-3.1535973043197814,-45.708379827352559
154364.86930111545,0.023366351002493978,-3.1570756891962839,-45.727529634138925
154465.53322412269,0.025043645908204695,-3.1600670487723184,-45.74643892969749
154566.26279176419,0.022599830286624992,-3.1615449491754917,-45.765981593681417
154667.05804684799,0.021898172190185763,-3.1654312752438738,-45.786090563878716
154767.91903220996,0.021928655055192058,-3.1687324821073592,-45.805028151619112
154868.84579071388,0.020973842881102281,-3.1711892787485634,-45.813754629260615
154969.83836525158,0.020277776069259366,-3.1717953796473557,-45.838641060968612
155070.89679874273,0.017528371315654556,-3.1778441232414067,-45.851557850580001
155172.02113413514,0.020477804247828385,-3.1804496725492051,-45.86970570631992
155273.21141440448,0.014382411466672646,-3.1832935410834011,-45.887486487488417
155374.46768255453,0.012185874158091676,-3.1859285251153873,-45.900766254537587
155475.7899816171,0.012390199181541771,-3.1890994543645772,-45.927281408669984
155577.17835465207,0.007198805498435005,-3.1908633807254856,-45.95964613915276
155678.63284474739,0.0075302859183944788,-3.1946363760406498,-45.971227685673597
155780.15349501904,0.010590754576587862,-3.196822930203171,-45.994060325564419
