#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2018-10-27 22:13:40.002
#Start: 145000 Hz
#Stop: 155000 Hz
#Steps: 1000
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
145000,0.027303696138315868,-2.869010927466531,-43.828037181869689
145009.68025234574,0.027891491748383214,-2.8694834937451552,-43.847721036239321
145019.36115094862,0.028286030054622706,-2.869283834988916,-43.836732292901438
145029.04269585176,0.029521790285905292,-2.8717297063679306,-43.842984861246514
145038.72488709836,0.027782180755219887,-2.8688745814255876,-43.846018117287613
145048.40772473151,0.028296807635294359,-2.8707626182811201,-43.84614382841292
145058.09120879442,0.027711894288164694,-2.8704797349785869,-43.864032241408808
145067.77533933023,0.028608117085069648,-2.8702997891977065,-43.849763874989662
145077.46011638208,0.028496746925614741,-2.8751205460995752,-43.869016942205775
145087.14553999313,0.027575370877348494,-2.8747782692239152,-43.87726652842295
145096.8316102066,0.028393750608197182,-2.8744312951866808,-43.873808280895517
145106.51832706557,0.027962229650904002,-2.874385050166941,-43.875124681549984
145116.20569061328,0.027078292358028336,-2.8758461093775098,-43.880095700881554
145125.89370089283,0.027232912111056638,-2.8753235596313913,-43.883653618397332
145135.58235794748,0.027779694960745772,-2.8764733973934127,-43.888966910715652
145145.27166182038,0.027718350752769544,-2.8784149363602647,-43.893104428376773
145154.9616125547,0.027393493865177254,-2.876560788428701,-43.875953988688408
145164.65221019363,0.028938502235579668,-2.8775722116601798,-43.907425758352332
145174.34345478035,0.02884929455525282,-2.8772713555136487,-43.902702719810094
145184.03534635805,0.028366445179118016,-2.8788641388422853,-43.888289733688573
145193.72788496994,0.028590162263554347,-2.8787697396685541,-43.886946356299916
145203.42107065921,0.02587223432781216,-2.879172740019321,-43.918648634249166
145213.11490346905,0.027527573866756083,-2.8802674409622453,-43.91420190529913
145222.80938344268,0.027372167520034886,-2.8800141681868792,-43.910257467845696
145232.50451062329,0.02769874790614035,-2.8785909898358346,-43.916511116953501
145242.20028505407,0.029101019008937381,-2.8809349762263015,-43.910340287168111
145251.89670677827,0.027298402541687812,-2.8804075001969771,-43.917189137254923
145261.59377583908,0.028570039705857184,-2.8823750545878273,-43.920580977915115
145271.29149227971,0.030333745455716179,-2.8817311962784475,-43.911899477513195
145280.98985614342,0.029330960299254374,-2.8814087197965152,-43.912666804404992
145290.68886747336,0.02769271947958955,-2.8814382788139783,-43.913521601807801
145300.38852631283,0.02680398220241597,-2.8828400053320546,-43.922804626212013
145310.08883270502,0.028125856031826928,-2.8827949118160157,-43.917312221698545
145319.78978669317,0.028637098358203893,-2.8843158772184063,-43.935956730017196
145329.49138832052,0.027286602908972203,-2.8817536304695599,-43.939381347081692
145339.19363763026,0.027382264979742596,-2.884337141858099,-43.933360498984463
145348.89653466569,0.028137931855631463,-2.8826233620563801,-43.932519766808326
145358.60007947002,0.026841028438803257,-2.8843074460426905,-43.939939479139277
145368.30427208651,0.028686943328383646,-2.8848557531076047,-43.943025573260698
145378.00911255841,0.027755051973384941,-2.8831639825746369,-43.939609746408564
145387.71460092894,0.026418383838546378,-2.8841203649871754,-43.948464703518894
145397.42073724142,0.027031686318940353,-2.8827203181218786,-43.942895696710877
145407.12752153902,0.028880831420655902,-2.8850021780355513,-43.948441890656127
145416.83495386507,0.030362264757959737,-2.8868010292124762,-43.954548356636067
145426.54303426281,0.026225236902330255,-2.8852356263496706,-43.93817730196163
145436.25176277547,0.026786405506355207,-2.8854511710137953,-43.941794888393758
145445.96113944639,0.027244061219521973,-2.8852654414037318,-43.948879497913182
145455.67116431877,0.027971187954938137,-2.885759222406965,-43.954001517958929
145465.38183743594,0.027609986580746305,-2.887584328146207,-43.957993869164568
145475.09315884113,0.028821816588537465,-2.8890563892807251,-43.96127975611067
145484.80512857766,0.029375208009319798,-2.8880511767956047,-43.965795945153189
145494.51774668877,0.027954846050779972,-2.8867866870955776,-43.943237246423422
145504.2310132178,0.026812514943036402,-2.8887102968809697,-43.960537324080448
145513.94492820802,0.027033939938065889,-2.888838937057689,-43.965844589709576
145523.65949170268,0.028430672560783847,-2.8895866667212338,-43.971949822073654
145533.37470374512,0.027841916756198053,-2.8881966754567978,-43.962736528195443
145543.09056437862,0.028139856298264293,-2.8911281599143468,-43.97320243503286
145552.80707364649,0.027187777616270555,-2.8910441033127943,-43.972196352586465
145562.52423159202,0.025883351329069691,-2.8886813430835065,-43.976541517358612
145572.24203825853,0.027240911375604606,-2.890010339606027,-43.958706510907767
145581.96049368932,0.028351536935218628,-2.8882562469009434,-43.974515746262377
145591.67959792769,0.027535121744041869,-2.8905601973281176,-43.972995138300448
145601.39935101697,0.028654402168619864,-2.8911084437341779,-43.975321066639907
145611.11975300047,0.028408675289053963,-2.8908181545207281,-43.992508716209869
145620.84080392154,0.027243638399288742,-2.8926169380170643,-43.969118308854441
145630.56250382346,0.027457958482084936,-2.8928483518198851,-43.977859800219157
145640.28485274958,0.028642212809286229,-2.8925586725277737,-43.993213679940155
145650.00785074325,0.025568200214920369,-2.8910725332996101,-43.990214521196592
145659.73149784774,0.029405357024100787,-2.8930900640811181,-43.993625436825909
145669.45579410641,0.027060382553655213,-2.8936015120556986,-43.987585226883198
145679.18073956264,0.02572062336757687,-2.8929713889172062,-43.991933723436944
145688.90633425975,0.027257063967124635,-2.893638163821322,-43.996190929048964
145698.63257824103,0.028765253427847047,-2.8951050231245206,-44.008604148533891
145708.35947154989,0.028141671358968869,-2.893564950805108,-44.001125099210192
145718.08701422968,0.029163387344324155,-2.8967344409391633,-44.004603722671625
145727.81520632369,0.026654742960395113,-2.8921689842505209,-44.012746682209283
145737.54404787536,0.025195362403893813,-2.8925178181032574,-44.012877916623928
145747.27353892798,0.026966193856976545,-2.8940043718150332,-44.008601255126649
145757.00367952493,0.026545799976239841,-2.8966210832799422,-44.021279181966122
145766.7344697096,0.0258324205417533,-2.8949523452154406,-44.015261811344658
145776.46590952532,0.027885995233289124,-2.8958648098104707,-44.00932788149585
145786.19799901545,0.02708346698184429,-2.8954970326949208,-44.006656574802491
145795.93073822343,0.028425787858829772,-2.8975100041956603,-44.017173155689477
145805.66412719258,0.030030880215182531,-2.8977646359742684,-44.020655063064396
145815.39816596627,0.02588114005410445,-2.8973282985545983,-44.029170989070963
145825.13285458792,0.027309197218703472,-2.8960723121649563,-44.031170303430862
145834.86819310091,0.027016086144565462,-2.898887537222044,-44.027102113953291
145844.60418154861,0.028074490692922949,-2.8978426587585249,-44.022398907422932
145854.3408199744,0.02863068401161855,-2.8963797767095647,-44.033855140616488
145864.07810842167,0.0276130464969606,-2.8990268921807756,-44.027495056395082
145873.81604693388,0.027037574643887504,-2.8993543410701061,-44.026414159895879
145883.55463555435,0.026356673430310673,-2.9002767356226937,-44.03117302812403
145893.29387432651,0.02798169082367899,-2.898896463114145,-44.029150876501902
145903.03376329379,0.026595363300009472,-2.8984891650169056,-44.050665828022957
145912.77430249954,0.026329726368241411,-2.8976370773164302,-44.03843292979731
145922.51549198723,0.028272692433276642,-2.8997187024154654,-44.042207403404177
145932.25733180024,0.026652817819027719,-2.8999081796642505,-44.035266226625794
145941.999821982,0.027296513533527238,-2.9004965407253436,-44.041163835731638
145951.7429625759,0.026719180714760281,-2.8993501339433365,-44.060876540486802
145961.48675362539,0.026507383969677643,-2.8995973551968817,-44.056584242802714
145971.2311951739,0.028169029786566553,-2.9007530068394245,-44.049366503744096
145980.97628726481,0.027674175581368244,-2.9023146977859375,-44.055647348564491
145990.72202994162,0.027358820961766454,-2.9006972275933469,-44.052740424869675
146000.46842324774,0.026004408200951235,-2.9014621806661278,-44.062872743354774
146010.21546722658,0.029441136839292479,-2.9019664000857444,-44.056429319579429
146019.96316192159,0.026713252190858773,-2.901393864165827,-44.058873556712101
146029.7115073762,0.027097564115837115,-2.9025761237785992,-44.064217500014436
146039.46050363392,0.028194642562871627,-2.9023748571981707,-44.059061196436573
146049.2101507381,0.026060943283161692,-2.902574415225343,-44.055866941659843
146058.96044873228,0.028166938007750095,-2.902284136247788,-44.07617821972687
146068.71139765985,0.027693422580845825,-2.9041972416371582,-44.059110944474298
146078.46299756429,0.027612078182063689,-2.9043598455120607,-44.077243574422241
146088.21524848908,0.030731992106914834,-2.9060240936339299,-44.073391854685383
146097.96815047765,0.027791683735818272,-2.9048338350327434,-44.074842717135965
146107.72170357345,0.025454067700834939,-2.9033401111916439,-44.069408983755352
146117.47590782001,0.02852394750350561,-2.9063733651058365,-44.070549137235147
146127.23076326077,0.025578142918908219,-2.9047072797472948,-44.098954604594326
146136.9862699392,0.028146453449535962,-2.9064108099978352,-44.09006277472853
146146.74242789877,0.028519414602522979,-2.9055727088802579,-44.077911128050204
146156.49923718296,0.029028200534425948,-2.9070272791034086,-44.084010681816629
146166.25669783526,0.02709358962587274,-2.9051581533754405,-44.088356539456449
146176.01480989918,0.025930825327331358,-2.9062597678603819,-44.086131548227101
146185.77357341815,0.028029409915121879,-2.9074098905442787,-44.078499050150356
146195.53298843571,0.027947367244008644,-2.9071547610822184,-44.090190728423913
146205.29305499533,0.027025601336652525,-2.907369945790248,-44.098547223523141
146215.05377314053,0.027233857334509008,-2.9086029880955149,-44.097041182691271
146224.8151429148,0.02817395310558983,-2.9082462621869687,-44.097022705288396
146234.57716436163,0.028063883106617692,-2.908766696239955,-44.095982137428564
146244.33983752455,0.027672383791007088,-2.9064241721358623,-44.102063663197441
146254.10316244705,0.027623538853530125,-2.9092448643360651,-44.102041849297137
146263.86713917262,0.027212938856080254,-2.9087876702145143,-44.10720828132051
146273.63176774484,0.028380225499163438,-2.9104123185982522,-44.097503935780836
146283.39704820717,0.027837862475101782,-2.9086147028614286,-44.109928369122031
146293.16298060314,0.025586844800773709,-2.908990669062681,-44.10896053277218
146302.92956497631,0.025727343635141231,-2.9092371029759763,-44.109999762734589
146312.69680137016,0.027771384175577181,-2.909638854518187,-44.111141746387275
146322.46468982822,0.025802707059270194,-2.9086195792076079,-44.096295194621
146332.23323039408,0.025746211289761029,-2.9108400130665402,-44.105449735572492
146342.0024231112,0.026106820521630995,-2.9103154475460471,-44.118280809863919
146351.77226802314,0.027538377132446282,-2.9106537264325216,-44.114816959096743
146361.54276517351,0.026182808641813108,-2.9114213161564706,-44.109757715014489
146371.31391460574,0.027548619817439616,-2.9112448123666863,-44.124974034645859
