#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2018-10-27 22:31:10.449
#Start: 490000 Hz
#Stop: 505000 Hz
#Steps: 500
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
490000.00000000006,0.0091033508378815693,-2.9363494445673721,-43.842346406567813
490029.61009041336,0.0092032784342599826,-2.9366880367930142,-43.849319375100038
490059.22197012755,0.0090373304395373003,-2.9373061779257794,-43.847728638459941
490088.83563925081,0.008668804735482212,-2.9385791083647943,-43.854418921311549
490118.45109789126,0.0087022430257966358,-2.9381826882151247,-43.849915789129398
490148.06834615703,0.0094265121472763922,-2.9381500622745764,-43.852013328067045
490177.68738415628,0.009206418729859854,-2.9377083613520725,-43.848451472027662
490207.30821199721,0.0096397221600872333,-2.9377796006026036,-43.862987299749548
490236.9308297878,0.0081031673097138966,-2.9395578106976639,-43.848091925937013
490266.55523763644,0.0076414849960708218,-2.9378986675250571,-43.85001677978039
490296.18143565109,0.009033538327092824,-2.9380113424143062,-43.851920784290328
490325.80942394014,0.0079035965912648935,-2.9389731587958243,-43.859356740097269
490355.43920261157,0.0095923213846034194,-2.9402425312243681,-43.865648546977283
490385.0707717737,0.0089648703818014271,-2.9403842317519633,-43.866629170246796
490414.70413153461,0.0087041195346236645,-2.941134351925192,-43.874394070871972
490444.33928200271,0.010912259492788687,-2.9415723000692124,-43.874035863124647
490473.97622328601,0.010524942814214396,-2.9408086468616017,-43.87402783845323
490503.61495549284,0.010102824139431119,-2.9408463307480552,-43.87802649499838
490533.25547873141,0.010137138688699832,-2.9428447145631784,-43.873969740693987
490562.89779310982,0.0089557561097464277,-2.9412006564837907,-43.874830409699342
490592.54189873656,0.00846364706909398,-2.9417517689064399,-43.874310720802548
490622.1877957196,0.0096877255918744673,-2.942683313709697,-43.876614702271837
490651.83548416739,0.0093695580780445084,-2.9434203215508314,-43.871372784269099
490681.48496418801,0.0096453131013502658,-2.9430051244382822,-43.885035505428959
490711.13623588992,0.0090453704370017721,-2.9433750474615046,-43.888550977898205
490740.78929938126,0.0092167073145908562,-2.9433579333355735,-43.881248837696006
490770.44415477029,0.0098177472704724898,-2.9448024420855665,-43.890993214358851
490800.1008021654,0.0075342013639333278,-2.9427424968726656,-43.895883197115708
490829.75924167485,0.010526204991490613,-2.9444951881098858,-43.894553325003486
490859.4194734068,0.0094866228526252171,-2.9432342143196495,-43.894820132577372
490889.08149746968,0.0078621636458023319,-2.9444137181977204,-43.899580420805762
490918.74531397183,0.0091912551058939695,-2.9448727347462884,-43.903139451283778
490948.4109230215,0.0085354866931017133,-2.9446976015920172,-43.893172787350522
490978.07832472702,0.0093098070409560005,-2.9472829025806764,-43.902077060113683
491007.74751919665,0.0095065186378235755,-2.9452300911440248,-43.901629271742387
491037.4185065389,0.0086810409477365777,-2.9447808578766099,-43.908745335968092
491067.09128686192,0.010163847776459022,-2.9468069427057864,-43.907716249830784
491096.76586027414,0.010304129580588619,-2.9458824261254573,-43.916713349789333
491126.4422268839,0.0093914451085002244,-2.9452907336782297,-43.909341747944922
491156.12038679962,0.0097265501942741979,-2.9469749469054296,-43.91025664561343
