#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2018-10-27 23:40:22.254
#Start: 145000 Hz
#Stop: 155000 Hz
#Steps: 500
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
145000,-0.09902808759155457,-2.8480286075486139,-43.633472237440841
145019.38055219589,-0.10100190156306003,-2.8510524844050265,-43.622734933108603
145038.76369477663,-0.099184116519764137,-2.8501193939163674,-43.629571437374118
145058.14942808842,-0.10173996386994136,-2.8488287012927582,-43.617130757655858
145077.5377524776,-0.099855341567151742,-2.8491872860947161,-43.647472297033147
145096.92866829043,-0.1000753829454533,-2.8521722007095733,-43.640213843164325
145116.3221758733,-0.10010565462215057,-2.8489340674262231,-43.654743933512577
145135.71827557267,-0.10313776069887647,-2.8516385747040869,-43.657393283964652
145155.11696773491,-0.10013104330899343,-2.8538299637326774,-43.651193823687187
145174.51825270656,-0.098858072165568633,-2.8525197364294499,-43.643386387393136
145193.92213083422,-0.10077986359764365,-2.8548118839746635,-43.657868960203366
145213.32860246443,-0.099720107999551597,-2.8553940204671662,-43.668935772188661
145232.73766794387,-0.10038348915755786,-2.8554142059562997,-43.675936514230955
145252.1493276192,-0.10153380003893564,-2.8554573079722219,-43.665554082656335
145271.5635818372,-0.10167882896958026,-2.8537902186159014,-43.678909452636006
145290.98043094459,-0.10032580527907903,-2.855550538593179,-43.691650438616087
145310.39987528828,-0.10097380172792865,-2.8548346129409747,-43.678735647993292
145329.82191521509,-0.1010209623275628,-2.8579004408136348,-43.694445484798791
145349.24655107196,-0.10217741438293901,-2.8569157614324681,-43.694814897996849
145368.67378320586,-0.10148785455137138,-2.8583742625049968,-43.684283638912916
145388.1036119638,-0.10047301020518638,-2.8569694730920721,-43.693077782618175
145407.53603769283,-0.10025440088569107,-2.8602295985770985,-43.703915021929383
145426.97106074009,-0.098557662292428405,-2.8610037440222085,-43.709478412047076
145446.40868145271,-0.10161074700366801,-2.8597319259531915,-43.707263133397646
145465.84890017792,-0.1002618702451403,-2.8621844221329003,-43.723132136335622
145485.29171726294,-0.10115477692946517,-2.8629787540451215,-43.708917247416139
145504.73713305508,-0.10070988236039355,-2.8624298415885754,-43.71075955321497
145524.18514790168,-0.10021580584532612,-2.8616817369896168,-43.712700194801869
