#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2018-10-28 00:19:02.117
#Start: 370000 Hz
#Stop: 400000 Hz
#Steps: 1000
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
370000,-0.00659730664918853,-2.7908720879589604,-42.94880249248142
370028.87577170064,-0.0058921676976359735,-2.7920612551777229,-42.960475594847892
370057.75379694242,-0.0042897695055259602,-2.7927850201821891,-42.969027329373048
370086.63407590106,-0.0067003336317172004,-2.7921661371893824,-42.965761565432175
370115.5166087526,-0.0053180008957014269,-2.793335415324858,-42.967099120327774
370144.40139567276,-0.0052211776119353345,-2.7931935133623731,-42.970176250178767
370173.28843683761,-0.0058193595375702189,-2.7932592837433483,-42.968517489465199
370202.17773242301,-0.0073089224572998887,-2.7923887126049523,-42.978771765238371
370231.06928260491,-0.011283523027389964,-2.791523096067468,-42.96698107133151
370259.96308755927,-0.0059686123650657666,-2.7932121580158613,-42.970496744002332
370288.859147462,-0.0087534226929603335,-2.7936341552814374,-42.974271568500683
370317.75746248919,-0.0092958135610991133,-2.7932656015795629,-42.982937522000881
370346.65803281672,-0.0071612636106107245,-2.7937965220258452,-42.983031715523083
370375.56085862074,-0.0066387226210022528,-2.7945623322430841,-42.976039125379138
370404.46594007715,-0.0080008434658084843,-2.7946554125877574,-42.990321256652422
370433.37327736203,-0.0063008536895160158,-2.7941116915495194,-42.980124630965292
370462.2828706514,-0.0073186815807523148,-2.7974355162986972,-42.979267687777636
370491.19472012133,-0.0075824345794432858,-2.795488952867915,-42.976193850552193
370520.10882594797,-0.0070676635649468775,-2.7969944394554287,-42.988685141908832
370549.02518830739,-0.0087525873487832289,-2.7972951564850215,-42.983366727660496
370577.94380737562,-0.010329036510213644,-2.7963047399048637,-43.000239396017051
370606.86468332884,-0.0082647218605773603,-2.7985758116851129,-43.003440710744655
370635.78781634319,-0.0080093375459706333,-2.7970469734135288,-43.001081456024863
370664.71320659475,-0.0073480149023450007,-2.7992559119912674,-42.998933020691737
370693.64085425978,-0.0087834415055724115,-2.7981020886443222,-43.009989135682602
370722.5707595144,-0.0081100943400857425,-2.7977394520912675,-43.011510939416056
370751.50292253477,-0.0088818803625387854,-2.7976470921420682,-43.010886120900068
370780.43734349718,-0.0077885842869428474,-2.7995368479094358,-43.008935894153979
370809.37402257771,-0.0089943444511109156,-2.7975726466507855,-42.999558926998773
370838.31295995275,-0.0091064246385103229,-2.7983860793470896,-43.002759902795859
370867.25415579841,-0.0090530674961897348,-2.7995384237727583,-43.014287961913851
370896.19761029107,-0.010096415718004882,-2.7999991861712621,-43.015708121432112
370925.14332360687,-0.0077459292711981676,-2.8010546897675725,-43.025190903553181
370954.09129592218,-0.0095106376112202816,-2.7998165884029325,-43.008234871864289
370983.04152741324,-0.0089028396948728807,-2.8014128329169004,-43.011215812553701
371011.99401825637,-0.0094983638774250624,-2.7999999946778749,-43.01284312240314
371040.94876862795,-0.011346719229388798,-2.8019186228795157,-43.03095670331011
371069.90577870433,-0.0096062645815620899,-2.8008687110968644,-43.023058192105879
371098.86504866177,-0.01117339841071156,-2.800411181928089,-43.012371281617881
371127.82657867676,-0.010767654146089118,-2.8012013793315265,-43.019111474478962
371156.79036892555,-0.01071502003232375,-2.8018239203672142,-43.02656903178729
371185.75641958462,-0.010469984441642993,-2.8014013250992424,-43.020377359688766
371214.72473083035,-0.010931338916735428,-2.8015141911238088,-43.033921501471667
371243.69530283916,-0.012502854292426027,-2.8025613056640371,-43.038331135078323
371272.66813578748,-0.01204076269471291,-2.8036360246838692,-43.028996765424473
371301.64322985179,-0.01190026184114144,-2.8041109830914257,-43.031318892074694
371330.62058520853,-0.013156551059839296,-2.8032830348197217,-43.033171994881599
371359.60020203423,-0.012939459640007788,-2.8037193901237063,-43.04423089519706
371388.58208050526,-0.011770168370884723,-2.8038317800188994,-43.041429207825729
371417.56622079824,-0.011643999596656355,-2.8052344514589,-43.051688948905827
371446.55262308969,-0.012513245266536851,-2.8056717943898235,-43.047279992156632
371475.541287556,-0.012444077718570479,-2.8031853395004402,-43.046734652141254
371504.53221437387,-0.014077757629944138,-2.8039374268576682,-43.054361064662558
371533.5254037198,-0.013640990114799138,-2.8040229583823262,-43.051736163187336
371562.52085577039,-0.014996288157088993,-2.8057391850150926,-43.053797935481278
371591.51857070217,-0.012929946128379204,-2.8065116012232534,-43.063934696557482
371620.51854869176,-0.016153777261382826,-2.8063776193795729,-43.044852810903649
371649.52078991587,-0.016495337546973889,-2.8057308482367214,-43.066934304503313
371678.52529455099,-0.01614274525459487,-2.8071612654369478,-43.061413582510625
371707.53206277383,-0.015620702971795963,-2.8067355617974861,-43.063217369636902
371736.54109476105,-0.016041264104268087,-2.8071046044329306,-43.057052513320556
371765.55239068932,-0.017721322457317668,-2.8079317889344453,-43.073160381381058
371794.5659507353,-0.014859664099148129,-2.8095867248606488,-43.078584677281327
371823.58177507576,-0.018936703449215012,-2.8079504378375253,-43.077787939180951
371852.59986388724,-0.01841973520758455,-2.8103018037426759,-43.083255775751255
371881.6202173467,-0.01758484474291485,-2.8091411776985842,-43.086452587705821
371910.64283563063,-0.015617438178941328,-2.8106230629775117,-43.08956755842523
371939.66771891603,-0.017965285098922479,-2.8076053144047108,-43.077860342749538
371968.6948673795,-0.019021345961854091,-2.8107782105303669,-43.080410453727779
371997.72428119782,-0.016606824181785964,-2.8109737295014439,-43.083634129451667
