#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2018-10-28 00:42:55.356
#Start: 400000 Hz
#Stop: 500000 Hz
#Steps: 1000
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
400000,-0.18158341361844074,-2.3142994558842496,-39.386117950048629
400089.35674659204,-0.18245426740152915,-2.3178371869245913,-39.423770281364
400178.7334547544,-0.18121038393026656,-2.3187259079571763,-39.42945583227457
400268.1301289465,-0.17964093781688384,-2.3181157225178168,-39.424108162614175
400357.54677362851,-0.18230432963030505,-2.3192326627288202,-39.442915139291927
400446.98339326162,-0.18204782706417338,-2.3198033400665636,-39.43827616929795
400536.43999230809,-0.18024255968734165,-2.3214553574042487,-39.458097674770755
400625.9165752313,-0.18152023003164872,-2.3210284128596701,-39.447216454809379
400715.4131464953,-0.18313467474862205,-2.3213772439933344,-39.449994411198617
400804.92971056543,-0.18351430477510994,-2.3229485852181817,-39.460601300211202
400894.46627190785,-0.18154784318700967,-2.3238204033866854,-39.470804813934649
400984.02283498977,-0.18237611175100932,-2.3214246298137904,-39.452265952278822
401073.59940427961,-0.18303369054361979,-2.3236641939040363,-39.476044485983351
401163.19598424638,-0.18230672186999769,-2.3261027448967813,-39.477474499182406
401252.81257936038,-0.18236310864469973,-2.3236907232833617,-39.476237347679877
401342.44919409283,-0.18177790752102774,-2.3267884834116828,-39.478905626766647
401432.10583291599,-0.18342700965755737,-2.3263379290214572,-39.489240894239096
401521.782500303,-0.18311714907756987,-2.3271015991711814,-39.499770569339688
401611.47920072812,-0.18379183692132675,-2.3282832047879038,-39.507162570997949
401701.19593866658,-0.18541052690356241,-2.3286687138277462,-39.510558555487556
401790.93271859462,-0.18251873559010356,-2.3307341257172185,-39.503976674024557
401880.68954498932,-0.18219961073330415,-2.3294871368675869,-39.512468319681446
401970.46642232907,-0.18210161224086258,-2.3315231978341986,-39.522921824595571
402060.26335509302,-0.18413312993614095,-2.331768385856607,-39.536809057049346
402150.0803477614,-0.18320152872337681,-2.3319750094072638,-39.535935361527379
402239.91740481532,-0.18536535914516314,-2.332010997654991,-39.542318048919839
402329.77453073714,-0.18428161290165185,-2.3342873295765778,-39.54803994784627
402419.65173001011,-0.18391376386689867,-2.3367340453355299,-39.560005443506654
402509.54900711827,-0.1836204445227595,-2.3343954455186164,-39.561748800168658
402599.46636654704,-0.18382117950025639,-2.3366507706566413,-39.577180341333033
402689.40381278249,-0.18564809638563537,-2.3356848388445668,-39.576716369466965
402779.36135031196,-0.18541036809912465,-2.3370710700524362,-39.583012432726989
402869.33898362366,-0.18467426328181422,-2.3390550773164138,-39.594859162083424
402959.33671720681,-0.18496359764242193,-2.3401205035821264,-39.594899493618911
403049.3545555516,-0.18347937408475418,-2.3413110454457278,-39.613465042436651
403139.39250314934,-0.18439082708715371,-2.3416207471804835,-39.600143632104945
403229.4505644922,-0.1849560161506518,-2.343120403733062,-39.629142402102914
403319.52874407358,-0.1846962565219992,-2.3422031615964616,-39.625532926056536
403409.62704638753,-0.18419355007246452,-2.3429282616426201,-39.612407476391354
403499.74547592941,-0.18438878763934627,-2.3435726638784624,-39.623366371236337
403589.88403719553,-0.18496755538852935,-2.3436319073075742,-39.620971869389663
403680.04273468303,-0.18415432359430045,-2.3484253575764487,-39.64324190252637
403770.2215728903,-0.18412892020608296,-2.349904402247573,-39.659394555745507
403860.4205563165,-0.18514969401477385,-2.3490783411318921,-39.667169007077575
403950.63968946197,-0.18571496623195521,-2.3485458654060958,-39.658975809270629
404040.87897682801,-0.18440898121984822,-2.3485496544332269,-39.655998805417013
404131.13842291688,-0.18407599191302898,-2.3494099991649184,-39.673969759792726
404221.41803223186,-0.18497005038173053,-2.3509789807995287,-39.678297488064274
404311.7178092773,-0.1858858859310496,-2.3502851385582026,-39.679596121532413
404402.03775855841,-0.18542801224817396,-2.3519022098466831,-39.689511480896044
404492.37788458163,-0.18649652151342264,-2.3534626704832089,-39.698285540917567
404582.73819185427,-0.18474784439103467,-2.3539492947002456,-39.699795640600087
404673.11868488451,-0.18721819619425933,-2.3547085818838744,-39.711209556764111
404763.51936818182,-0.18464153496589392,-2.3569073271732681,-39.732415392836131
404853.94024625653,-0.18607017656536984,-2.3560036080777973,-39.732449247068935
404944.38132361992,-0.18542522618809609,-2.3579528121181448,-39.735976833666399
405034.84260478441,-0.18445451327172652,-2.3590761718352353,-39.733415866016884
405125.32409426331,-0.18607234017206623,-2.3602834412555311,-39.75579676221912
405215.82579657104,-0.18557682295620115,-2.3607188436688258,-39.757918746756623
405306.34771622304,-0.18491603395531517,-2.3604632385473465,-39.755392489233131
405396.88985773554,-0.18564074617119949,-2.3611041612973747,-39.756684530543311
405487.45222562604,-0.18708927459871161,-2.3633784974757504,-39.759133164499531
405578.03482441296,-0.18546221436884666,-2.3640176068132011,-39.781361118126483
405668.63765861571,-0.18638256904130029,-2.3642489722203166,-39.790365142384239
405759.26073275466,-0.18737599479144568,-2.365142254256511,-39.801629956656143
405849.9040513513,-0.18646929243235094,-2.3646635555375237,-39.79516971885495
405940.56761892803,-0.18675970106587297,-2.3674903644022747,-39.801297207768044
406031.25144000846,-0.18554365667109901,-2.3689387189300497,-39.81484110241999
406121.95551911683,-0.18756841313357139,-2.3690111824374864,-39.815507863121454
406212.67986077874,-0.18594731540787496,-2.3681366805046711,-39.814952582508077
406303.42446952075,-0.18697776034924846,-2.3722420801430273,-39.834775569836452
406394.1893498702,-0.18676127469572149,-2.3713739835793333,-39.837568745221375
406484.97450635571,-0.18897618179205991,-2.37021360415185,-39.839780631638064
406575.77994350676,-0.18837973214231959,-2.370795051118419,-39.842516023371175
406666.60566585389,-0.18499796995721057,-2.373313050041105,-39.849289136916994
406757.45167792868,-0.18901119602135907,-2.3736139268899419,-39.856312942737418
406848.3179842637,-0.18779059123939931,-2.3757829083573654,-39.870969865587796
406939.20458939247,-0.18872576566008462,-2.3753673384548111,-39.87954205725849
407030.11149784958,-0.18762159956645011,-2.3776666876447097,-39.889904273621767
407121.03871417063,-0.18764451895358689,-2.3795685251735508,-39.886759853106078
407211.98624289228,-0.1907034192499017,-2.3774370628741299,-39.886231973162012
407302.95408855216,-0.19070153860470296,-2.3789092937414114,-39.902602632236736
407393.94225568883,-0.19132216924545847,-2.3795816963058809,-39.900480919491528
407484.95074884192,-0.19071494288355637,-2.3803772678749797,-39.906579790556748
407575.97957255226,-0.19338376634644067,-2.3810288463656173,-39.910381060916237
407667.02873136138,-0.19334111550952998,-2.3814504337165276,-39.92108326148724
407758.09822981205,-0.19209085785842697,-2.3835675590473984,-39.931904968636957
407849.18807244796,-0.1931473110688087,-2.3836804286115654,-39.927293616319943
407940.29826381383,-0.19534931323930765,-2.3835659609569415,-39.929100533987423
408031.42880845541,-0.19421116244484388,-2.3854526553549857,-39.937628443934145
408122.57971091947,-0.19455368929020395,-2.3868648448926364,-39.956480684820136
408213.75097575376,-0.19641027022238813,-2.3869468063493704,-39.968135071177116
408304.94260750699,-0.19586940789853619,-2.389364324370356,-39.958082000956367
408396.15461072908,-0.19780731352571673,-2.3893055641037471,-39.968191580392983
408487.38698997081,-0.19937066345062593,-2.3900991490770189,-39.987500771262482
408578.63974978408,-0.20162221975694242,-2.3893487555210977,-39.981696286441831
408669.91289472173,-0.20075832284554584,-2.3913027162098546,-39.989322199873186
408761.20642933744,-0.20257728155704077,-2.3920125860195491,-39.985071292029403
408852.52035818633,-0.20422888154458865,-2.3928553057724806,-40.011001017921956
408943.85468582425,-0.20353240916480014,-2.3942248855174482,-40.017146654836367
409035.20941680798,-0.202938972728822,-2.3953571471826014,-40.012307971218689
409126.58455569565,-0.20187467875511256,-2.3953391261672916,-40.008672266281991
409217.9801070462,-0.20036613004212941,-2.3972877648607001,-40.03889294404803
409309.3960754195,-0.20020317015350761,-2.3970164577249156,-40.027632129762871
409400.83246537659,-0.19952672203218436,-2.3992615084146491,-40.056003234113945
409492.28928147949,-0.19683083431592541,-2.401213450201015,-40.059615336946621
409583.76652829128,-0.19761804941073655,-2.4007812198614791,-40.058624606900551
409675.2642103759,-0.19760506644760925,-2.4017763273548529,-40.070655683693644
409766.78233229858,-0.19524216148953449,-2.4037432002982735,-40.080711314170458
409858.32089862536,-0.19506512689784739,-2.403768905511515,-40.07387126464954
409949.87991392321,-0.19496462374397344,-2.4032731490665507,-40.084060886670592
410041.45938276051,-0.19545079136864729,-2.4050659859838905,-40.089606382112947
410133.05930970615,-0.1955084887570234,-2.4071372556558388,-40.105630722555617
410224.67969933053,-0.19187821912104691,-2.4097649221894768,-40.112906404134797
410316.32055620477,-0.19229357154383817,-2.4081095934305266,-40.10563039471959
410407.981884901,-0.19313932493481895,-2.4087044477346935,-40.111051517539281
