#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2018-10-28 01:02:20.753
#Start: 200000 Hz
#Stop: 300000 Hz
#Steps: 1000
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
200000,-0.01360777800285422,-2.1147750906138922,-37.748184445712923
200081.1906711715,-0.018281990857247878,-2.1151014837762809,-37.757248461865288
200162.41430196841,-0.018406308562130332,-2.1198496880315703,-37.752475996082012
200243.67090577085,-0.0184705150347876,-2.1192404963759404,-37.775927608597357
200324.96049596427,-0.017398560179194032,-2.1229766838116984,-37.781205871719436
200406.28308593962,-0.018017760229486195,-2.1228517654788641,-37.806619033800615
200487.63868909329,-0.017657833117564005,-2.1255385084849729,-37.806737338331388
200569.02731882705,-0.018776743986200987,-2.1257023973364926,-37.814987523805456
200650.44898854822,-0.019651872269107543,-2.1262996861437324,-37.816951700716075
200731.90371166941,-0.02337578938354035,-2.1279171549608513,-37.835049506535384
200813.39150160886,-0.020696919443845951,-2.1310858766112921,-37.842709094586965
200894.91237179004,-0.023310200095437626,-2.1319957203703424,-37.867342169350664
200976.46633564206,-0.02788508091768024,-2.1331086030618787,-37.877422771817635
201058.05340659941,-0.025880452160216748,-2.1339292749687568,-37.892382362845041
201139.67359810197,-0.027650520255165876,-2.1351405597650621,-37.904867087239865
201221.32692359522,-0.025689852637637713,-2.1369151364052725,-37.906829972107118
201303.01339652995,-0.027011741705876745,-2.1403393703599467,-37.920692770021887
201384.73303036246,-0.026975764010643655,-2.1414583320360228,-37.936217923092954
201466.48583855462,-0.028381523006950526,-2.1407919984981145,-37.943926768797169
201548.27183457359,-0.028553411118208437,-2.1430920454828635,-37.965008170892325
201630.09103189214,-0.027863801242974814,-2.1429941114269675,-37.957797532638537
201711.94344398836,-0.026927707185942711,-2.1443696159404144,-37.981549776006176
201793.82908434598,-0.026128343669575317,-2.1456924184244039,-37.976873950977108
201875.74796645413,-0.024810067861203919,-2.1476800497353858,-37.994535482808232
201957.70010380735,-0.022440851562690423,-2.1496614907743727,-38.001899770806602
202039.68550990574,-0.022622008126461438,-2.1515751818257303,-38.028021329101136
202121.70419825488,-0.02155847315196659,-2.1513801303208728,-38.035224409392001
202203.75618236579,-0.022087622465698644,-2.1536338299127373,-38.052653931509731
202285.84147575501,-0.020623794964928166,-2.1560275636697797,-38.050668399074368
202367.96009194455,-0.019372381725621387,-2.159094371983957,-38.07589669608759
202450.11204446189,-0.019347245017238481,-2.1591439082857002,-38.081573021915148
202532.29734684006,-0.018099383848178843,-2.1589675075153498,-38.082831399652882
202614.51601261756,-0.018879774087248974,-2.1629726842519434,-38.09820871047404
202696.76805533833,-0.020637069787627985,-2.1606079008906671,-38.096019698966934
202779.05348855187,-0.017289572714076957,-2.1656098768243153,-38.119066264056812
202861.37232581314,-0.01870247785087131,-2.1645928869855253,-38.125936291186996
