#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2018-10-28 01:11:07.569
#Start: 200000 Hz
#Stop: 300000 Hz
#Steps: 1000
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
200000,-0.062535862940698128,-2.053501754058118,-37.38975120813069
200081.1906711715,-0.060816511005977028,-2.0579152124301698,-37.391338595151524
200162.41430196841,-0.063428076202518571,-2.0577562741547863,-37.387385959051443
200243.67090577085,-0.063449676365805188,-2.0587615348260697,-37.416706589723333
200324.96049596427,-0.063412830979447513,-2.0615900515357986,-37.421459782964661
200406.28308593962,-0.063097077865625892,-2.0610560504891788,-37.453715793463196
200487.63868909329,-0.064264443041703395,-2.0632612412078473,-37.440811746210805
200569.02731882705,-0.068729280007040164,-2.0649917674750609,-37.460124232496639
200650.44898854822,-0.06680240376190115,-2.0615405973505769,-37.46163952665929
200731.90371166941,-0.066230949646116616,-2.064540577695678,-37.482594032824366
200813.39150160886,-0.068627527078951492,-2.0680697365338823,-37.486536917227433
200894.91237179004,-0.071604641815902648,-2.067948498407282,-37.49451970001828
200976.46633564206,-0.068867199175487573,-2.0676319854977061,-37.5048222172842
201058.05340659941,-0.068671471831088765,-2.072527909729645,-37.518810429016845
201139.67359810197,-0.073051189639969941,-2.0726763479343395,-37.534251806669232
201221.32692359522,-0.071297371774986157,-2.0732268731317882,-37.533498675537018
201303.01339652995,-0.072252238032447652,-2.0745593098592061,-37.577151522406169
201384.73303036246,-0.074037439507317393,-2.0743441846247834,-37.570630422839187
201466.48583855462,-0.074572318016774206,-2.0788371343722325,-37.565968325643254
201548.27183457359,-0.072313595689154506,-2.0793358530283585,-37.58742780069268
201630.09103189214,-0.072255419788657557,-2.0788122237412368,-37.594838815498804
201711.94344398836,-0.075501991999699661,-2.080013141739065,-37.604970964965098
201793.82908434598,-0.071075609682662536,-2.0837033686716881,-37.619919636499503
201875.74796645413,-0.070502614222611351,-2.0833980856579135,-37.61666901614106
201957.70010380735,-0.070362228299044816,-2.0838791510041768,-37.647491327085319
202039.68550990574,-0.067974841966757724,-2.0859107006564419,-37.653920115928123
202121.70419825488,-0.06909647979341571,-2.0906536243046627,-37.664618817636224
202203.75618236579,-0.067975612662983922,-2.0896821404948138,-37.664604048551297
202285.84147575501,-0.069072488946250926,-2.0889857141907573,-37.661306720942193
202367.96009194455,-0.065801893108078158,-2.0927139109090325,-37.686117825853614
202450.11204446189,-0.064478656190792585,-2.0942370409788285,-37.676400356482759
202532.29734684006,-0.064048943108862777,-2.0961283772679673,-37.718746365931096
202614.51601261756,-0.06488656179871212,-2.0956267305646947,-37.727071906439164
202696.76805533833,-0.06326977897472412,-2.097498339361298,-37.735283785757744
202779.05348855187,-0.064909603071018354,-2.0992184478302676,-37.744852082444709
202861.37232581314,-0.065038449653031266,-2.100611370563906,-37.757471641744829
202943.72458068264,-0.065895131742959009,-2.1010848381471754,-37.751246839562896
203026.11026672641,-0.063205672756320788,-2.1023435612383836,-37.78235777609035
203108.5293975159,-0.065099928200148788,-2.1042980242927909,-37.791539853425896
203190.98198662809,-0.065257623293704214,-2.1059245207518362,-37.808241879772083
203273.46804764553,-0.062246837010220546,-2.1095159497816764,-37.807917258130786
203355.98759415623,-0.063420156323715102,-2.1083008768052078,-37.82500608459145
203438.54063975383,-0.062577799903494852,-2.1083698841583471,-37.831029702369037
203521.12719803728,-0.061966239213640521,-2.1115774746129699,-37.839716701270333
203603.74728261121,-0.062651134542843878,-2.1117375814402575,-37.862279303657772
203686.40090708574,-0.062215960477589524,-2.1133132718422356,-37.866814338038537
203769.08808507651,-0.063671781585299764,-2.1160689324604469,-37.870479377535155
203851.80883020468,-0.062328633676803906,-2.1164461165449824,-37.894140643675335
203934.56315609691,-0.060285347986107199,-2.1186208626837781,-37.894411823965278
204017.35107638544,-0.059208339789844536,-2.1189660546350049,-37.904944930357047
204100.17260470806,-0.061176602310898415,-2.1207830055520831,-37.92411035148811
204183.02775470805,-0.061458606357880849,-2.1226041931021182,-37.940787051131593
204265.91654003423,-0.060659630198398116,-2.1227409021082022,-37.93283510935067
204348.83897434096,-0.058839318853373505,-2.124890956701273,-37.95133714461295
204431.79507128816,-0.06132441881235938,-2.1270247905153368,-37.970829703362824
204514.78484454131,-0.060445730669587278,-2.1272153936350424,-37.978336627946859
204597.80830777145,-0.061157783966132515,-2.1256326730450152,-37.978265162694186
204680.86547465509,-0.061954753329088313,-2.1289315724265139,-37.98209164595427
204763.9563588743,-0.059478626562133693,-2.1307463094352204,-38.001466599392103
204847.08097411683,-0.061584869189655347,-2.1316158621718175,-38.013569440272477
204930.23933407592,-0.058877761216404853,-2.1342866963820013,-38.016876839534689
205013.43145245026,-0.058519794215000281,-2.1361021146446957,-38.039552543309256
205096.65734294424,-0.062892341433928509,-2.1367477674511508,-38.034821552966349
205179.91701926777,-0.062290373761446638,-2.1380535564916201,-38.059369307131632
205263.21049513627,-0.05979578312568358,-2.1388836493178935,-38.068227824651864
205346.53778427085,-0.061957540696086333,-2.1408376714351669,-38.071710000060747
205429.89890039811,-0.063404457360338992,-2.1412985249044953,-38.090957346695596
205513.29385725019,-0.059639288126692711,-2.1435359279112278,-38.098828386092478
205596.72266856488,-0.061694551092927707,-2.1448383610599828,-38.138278973140523
205680.18534808548,-0.064744852619551208,-2.1457598260895199,-38.128023084061553
205763.68190956092,-0.061860409070297467,-2.1470652050775074,-38.136351134891413
205847.21236674569,-0.060170541805866853,-2.1485579292242489,-38.138701434969377
205930.77673339989,-0.063290922609705605,-2.1495785321646141,-38.159273505099605
206014.37502328915,-0.06152068003357232,-2.1531868620455596,-38.176643880563205
206098.00725018472,-0.062449101848143056,-2.1522995877249675,-38.176295389445059
206181.67342786348,-0.060845761505633138,-2.1546910955684679,-38.18559785766233
206265.37357010785,-0.063622502967596195,-2.1559076358826132,-38.197546902832329
206349.10769070583,-0.06450771709944815,-2.1552757538139646,-38.212552796582429
206432.87580345105,-0.061850640491545143,-2.1577454824986124,-38.230179668315103
206516.67792214279,-0.060640767605684466,-2.1602577234910818,-38.210538580829898
206600.51406058582,-0.061575245599252253,-2.1582354593237465,-38.232526640070162
206684.38423259062,-0.06270440012427117,-2.1609989366842877,-38.249427847814275
206768.28845197317,-0.06010223897090422,-2.1632560370397833,-38.26086117695813
206852.22673255514,-0.063185611891220309,-2.1645627424267349,-38.260369492103109
206936.19908816382,-0.063385118967599602,-2.1657972104336571,-38.278426147634462
207020.20553263207,-0.062319654039142913,-2.1675176692802069,-38.294479676293832
207104.24607979835,-0.062063109584387245,-2.1706006550172434,-38.29495081712642
207188.32074350677,-0.065144917286743778,-2.1693110265246105,-38.303422008358581
207272.42953760709,-0.062395259706754455,-2.1707998246431055,-38.333376642716289
207356.5724759546,-0.064785350522592489,-2.1721594571056619,-38.329471053549995
207440.74957241031,-0.065635106161089182,-2.1711478172990462,-38.366286366473219
207524.96084084085,-0.061552884672062484,-2.1768792190085611,-38.346201904631783
207609.20629511838,-0.063712565446500849,-2.1760860387935019,-38.355796800243525
207693.48594912078,-0.063366137760938662,-2.1788279258359875,-38.371721509514103
207777.79981673157,-0.064906085704881378,-2.1780640533391971,-38.382216485170659
207862.14791183986,-0.062911129609846225,-2.1804246554159334,-38.402590075298704
207946.53024834042,-0.063021687019949327,-2.1817281187523658,-38.407745021905924
208030.94684013363,-0.06485281835036269,-2.1810805741148056,-38.418462191332274
208115.39770112559,-0.064133566979662382,-2.182853342547693,-38.440148960303816
208199.88284522796,-0.065762020535145738,-2.1863737228011013,-38.450782524770077
208284.40228635812,-0.063282240502604017,-2.1867811502836361,-38.453062546558144
208368.95603843906,-0.062729599846473916,-2.1882826198817447,-38.466813628131568
208453.54411539939,-0.062728806865266926,-2.1904379905877018,-38.482860183284814
208538.16653117343,-0.063349691350157181,-2.1916698622383137,-38.491328281261076
208622.82329970109,-0.063564540749661294,-2.1926662764274054,-38.498498226957459
208707.5144349281,-0.064895567470348053,-2.1964008250870828,-38.499046105938177
208792.23995080561,-0.060997433748013877,-2.1960923612850558,-38.519548479694663
208876.99986129065,-0.06520524950197211,-2.1958074912602616,-38.517238764918375
208961.79418034581,-0.064702557437482211,-2.1991675259049761,-38.539104971178091
209046.6229219393,-0.064812212545584419,-2.1981783466885578,-38.546350943973678
209131.48610004515,-0.061884638886091373,-2.2013955188240861,-38.558134992930384
209216.38372864292,-0.065164622097336977,-2.203522713964865,-38.578749607432741
209301.3158217179,-0.059723389536563566,-2.2058042918782066,-38.583937880114377
209386.28239326115,-0.064559515707002621,-2.202534212828172,-38.590902252012341
209471.28345726922,-0.062393704164467455,-2.2062107533919737,-38.615534267138969
209556.31902774447,-0.066147072360756717,-2.2055749843179551,-38.609646083370471
209641.38911869493,-0.064066046770448637,-2.2108689799350572,-38.62633711306546
209726.49374413426,-0.063624794326052517,-2.2114015128069049,-38.646405703956958
209811.63291808192,-0.063026945264534978,-2.2127238771709874,-38.645119690345737
209896.80665456297,-0.064220498410898469,-2.2149341473669071,-38.652846657244481
209982.01496760815,-0.062432711724985789,-2.214948795088763,-38.676722579122583
210067.25787125397,-0.065988843216435805,-2.2154542022907351,-38.690242767052709
210152.53537954259,-0.064607457537672247,-2.2173988912809159,-38.690884821202161
210237.84750652188,-0.065508360387780101,-2.2181556328178957,-38.709181711313505
210323.19426624544,-0.065203556900041357,-2.2180994951614692,-38.699926256992399
210408.57567277245,-0.064347576393086831,-2.2237836919208496,-38.719604334099927
210493.99174016801,-0.062992432509903468,-2.2218369482276907,-38.725068556076067
210579.44248250275,-0.062969160961843212,-2.2255787249836976,-38.739800245499836
210664.92791385317,-0.064763253230245441,-2.2242649464659072,-38.752065790179529
210750.44804830127,-0.062413581937645936,-2.229011210149447,-38.769744085633818
210836.00289993492,-0.067083446727135954,-2.2272726389321122,-38.77357043947552
210921.59248284774,-0.066825500519272066,-2.2278479500648256,-38.776543130834483
211007.21681113893,-0.064726766118481757,-2.2339818311754209,-38.817810849015807
211092.87589891357,-0.065410862853431076,-2.2315205360199015,-38.817095242045539
211178.56976028238,-0.067709014363007608,-2.2326443459938257,-38.826601473688889
211264.29840936174,-0.065380724289209852,-2.2353510878699394,-38.823279161965104
211350.06186027388,-0.066819325900174933,-2.2388394629955242,-38.853031490304019
211435.86012714676,-0.065287823411258203,-2.2385786108045718,-38.868094885297836
211521.69322411396,-0.069173665302390344,-2.2366321322038218,-38.862548397926389
211607.56116531498,-0.067519380851836452,-2.239420133588133,-38.862024138223049
211693.46396489485,-0.071005703845712392,-2.2415407804640628,-38.890931965101089
211779.40163700448,-0.068450873491676834,-2.2434058008978757,-38.89636901895156
211865.37419580051,-0.067359772553313477,-2.244239090429279,-38.900483134598375
211951.38165544532,-0.067367708113614921,-2.2472676013843214,-38.916568740262548
212037.42403010698,-0.069651104242688638,-2.2477867216827074,-38.919441974156257
212123.50133395934,-0.071324998694408795,-2.2497676094421628,-38.96148695754475
212209.61358118214,-0.069971515691013064,-2.2516203077378636,-38.948352744939996
212295.76078596062,-0.070101052139181316,-2.2504831626203146,-38.962216767055054
212381.94296248603,-0.069889988130317923,-2.2510788469749548,-38.98354825237525
212468.16012495517,-0.069951122740349064,-2.2558480017342304,-38.979986870351837
212554.41228757074,-0.073175390681264357,-2.2556486648605309,-38.996803951381629
212640.69946454122,-0.073760359456168212,-2.2547378761368413,-39.020322822189769
212727.02167008072,-0.074065455895745133,-2.2587094271072963,-39.031035807276112
212813.37891840929,-0.07414449187517845,-2.2601525781711915,-39.027755612038113
212899.77122375256,-0.075286435505828128,-2.2601093625806286,-39.034455251117627
212986.19860034215,-0.076848492475464422,-2.2634418942625429,-39.054234577878482
213072.66106241528,-0.077723697083930565,-2.2649736255228419,-39.049892098651242
213159.15862421505,-0.076441840854920604,-2.2655346559740659,-39.076217320280364
213245.69129999031,-0.076880509542408257,-2.2666932200693739,-39.08731939532737
213332.25910399569,-0.080453440704554374,-2.2656066208647037,-39.096161047033561
213418.86205049162,-0.078135929703474771,-2.2697841858657912,-39.080130448236616
213505.50015374427,-0.080610523999915307,-2.2711021207644317,-39.118593420889511
213592.17342802574,-0.082337798006987414,-2.2721979154659593,-39.119491353170446
213678.88188761374,-0.083917263594516595,-2.271349104908011,-39.145765351750612
213765.62554679191,-0.080944710376938317,-2.2757314997021973,-39.136849293251061
213852.4044198496,-0.081989197083316576,-2.2754832383643424,-39.15166618731223
213939.21852108202,-0.081573153356322162,-2.2787196897875992,-39.167176784058
214026.06786479018,-0.077991469656793558,-2.2820559894874783,-39.183632864306233
214112.95246528086,-0.076671652446377317,-2.2805064405917648,-39.196939525617239
214199.87233686668,-0.075909344795144829,-2.2823077704777575,-39.187352172770147
214286.82749386612,-0.075912796406918226,-2.2812504675805436,-39.200850990826069
214373.81795060332,-0.076575281995484495,-2.2857457139967017,-39.215302175269244
214460.84372140834,-0.076230469892079114,-2.2825980476512071,-39.229654873391404
214547.90482061706,-0.073998034704663887,-2.2868385823099633,-39.236757333952198
214635.0012625712,-0.072283800850601307,-2.29054379404577,-39.264602892146208
214722.13306161819,-0.072668764378037751,-2.2932361181913188,-39.261407634045227
214809.30023211145,-0.073927329285859697,-2.2894535430537828,-39.264706188500412
214896.50278841006,-0.072165967529915664,-2.2916559870208917,-39.289227951667733
214983.74074487906,-0.073558514450323104,-2.2942229487676014,-39.304767554258206
215071.01411588924,-0.069985735297656962,-2.2961617328172932,-39.308126543469243
215158.32291581726,-0.071738187498911518,-2.2951474387586388,-39.316182240306361
215245.66715904561,-0.069936955820014121,-2.2977252487500106,-39.320970419306931
215333.0468599626,-0.069867636249828252,-2.2989987397955334,-39.350329364415387
215420.46203296242,-0.071013435541185541,-2.2993700543254487,-39.34486868525596
215507.91269244507,-0.070368493119412304,-2.3030388634923642,-39.364393070926901
215595.3988528164,-0.067670184581617804,-2.3058857465291891,-39.372416990621744
215682.92052848815,-0.069851265171222754,-2.3034169768132826,-39.380800711297823
215770.47773387784,-0.069359802451269104,-2.3032133996742319,-39.395570618452282
215858.07048340887,-0.071494914343450566,-2.3085979343400838,-39.416805616314377
215945.69879151054,-0.068282171489343707,-2.3082381272318813,-39.419241262838867
216033.36267261792,-0.068317213382380254,-2.3117877554433548,-39.417862501969758
216121.06214117206,-0.066276691782163027,-2.313574344037991,-39.43889018229612
216208.79721161973,-0.071794808368235027,-2.3125367588020045,-39.458264660594637
216296.56789841372,-0.069857028266212984,-2.316070751021452,-39.465084574610444
216384.37421601254,-0.069629878031915546,-2.317513625748421,-39.458027590769177
216472.21617888066,-0.068260170849860344,-2.3195911520531585,-39.474679459886403
216560.09380148837,-0.069615632479108236,-2.3196306348975724,-39.493422453882282
216648.00709831191,-0.069522069526721283,-2.3213549056342537,-39.496660284751819
216735.95608383333,-0.069310255498894344,-2.3231710591909644,-39.519577544091405
216823.94077254052,-0.067800743839588742,-2.3222160725646215,-39.528003864479395
216911.96117892739,-0.06662677811645841,-2.3256694293716205,-39.544215536179486
217000.01731749359,-0.070618593848174607,-2.3267321523160529,-39.531895555791408
217088.10920274473,-0.069685691299279928,-2.3272488053558251,-39.564464206391492
217176.23684919236,-0.070183587333559103,-2.3272974364049128,-39.566812012945547
217264.40027135381,-0.068970230018240042,-2.3307873938243806,-39.575718374156409
217352.59948375233,-0.069900155432610397,-2.332346210048216,-39.604018249902325
217440.83450091709,-0.07001082904644608,-2.331462182429219,-39.602964822720992
217529.1053373832,-0.06479646673078765,-2.3356251742013781,-39.618899517328046
217617.4120076916,-0.06817121935107083,-2.3367022404401419,-39.61348182690142
217705.75452638915,-0.071514348098017558,-2.3388276142321875,-39.632525582918447
217794.13290802861,-0.069694918868264552,-2.3386509340594097,-39.649861554990984
217882.54716716867,-0.071561777938850601,-2.3417220662591887,-39.658671551417171
217970.99731837396,-0.070041679914281063,-2.3429357730153648,-39.658518826113827
218059.48337621498,-0.069153491916338697,-2.3440142407459028,-39.673741248575411
218148.00535526811,-0.069980532165864487,-2.3440022616671281,-39.687780942907864
218236.5632701157,-0.070115441743419313,-2.3453670289215363,-39.698662465894813
218325.157135346,-0.070880867395288039,-2.3464859811711265,-39.690713715860497
218413.78696555321,-0.072391123422684472,-2.3485674184450858,-39.714820689380872
218502.45277533741,-0.071457006571974763,-2.3505668493541259,-39.725159944919525
218591.15457930468,-0.073073370580443317,-2.3492950972718165,-39.734018131571901
218679.89239206689,-0.069656412178621077,-2.355736234886483,-39.727364566057531
218768.66622824199,-0.070413425482511602,-2.3539665101899221,-39.748044309741658
218857.47610245383,-0.071126476508847736,-2.3583036311857701,-39.774028065713424
218946.32202933211,-0.073462704157593345,-2.3565494534843485,-39.773157014446411
219035.20402351258,-0.073222305324152859,-2.3600219103899036,-39.793280556365062
219124.12209963685,-0.073397101387893238,-2.3578007057164849,-39.798055901590949
219213.07627235251,-0.0738878902355041,-2.3629834369197154,-39.797019030702586
219302.0665563131,-0.073527237468683851,-2.3617942452208598,-39.8364797783303
219391.09296617814,-0.073340625289319672,-2.3621537795951788,-39.849516155935589
219480.15551661298,-0.074322511174622671,-2.3644680276805703,-39.845710025131481
219569.25422228911,-0.072907815331772763,-2.3667625740262839,-39.86486237045812
219658.38909788374,-0.072591534471399113,-2.3689749770759718,-39.859203034429058
219747.56015808028,-0.074017138117864187,-2.3691586618530627,-39.865169947616693
219836.76741756796,-0.073041508353249407,-2.3735678786694874,-39.883233052355919
219926.01089104201,-0.073927256616058007,-2.3737669823887022,-39.901475465136777
220015.29059320354,-0.071982529159287073,-2.374224904257431,-39.905819159718583
220104.60653875981,-0.073532976760291885,-2.3747052203984755,-39.922684626189486
220193.95874242394,-0.073407018083564785,-2.3762646635664737,-39.932302806505859
220283.34721891495,-0.073647801530997953,-2.3770745478163717,-39.935301851543535
220372.77198295802,-0.07396898466690853,-2.3804422021081324,-39.96424117217498
220462.23304928408,-0.074457365749359947,-2.381805709651343,-39.963147367155784
220551.73043263028,-0.075309037281730773,-2.3827520413087599,-39.977668120549922
220641.2641477396,-0.075711841696649448,-2.3852361303226033,-39.992241269718988
220730.834209361,-0.072819866461115518,-2.3858289690141157,-40.006474814051572
220820.44063224952,-0.073442068143337452,-2.3898069989427166,-39.997911924474124
