#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2018-10-28 01:34:47.677
#Start: 195000 Hz
#Stop: 230000 Hz
#Steps: 1000
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
195000,-0.720328125258901,-2.7834859528727045,-41.904543595050995
195032.22543656692,-0.71548326757637881,-2.7867521047370776,-41.918760152183367
195064.45619866592,-0.71748175379462431,-2.7877036418313499,-41.932213053642116
195096.69228717717,-0.71594955855169018,-2.7912248149856067,-41.960284702095791
195128.93370298087,-0.71555417904115637,-2.7932219827338027,-41.965144197994206
195161.18044695733,-0.71780908626012596,-2.7906409357270263,-41.946347964263687
195193.43251998717,-0.7158043137632657,-2.793415624043583,-41.974228764134907
195225.68992295102,-0.71525714000451801,-2.7922044748450565,-41.983077505125152
195257.95265672973,-0.71607450188290156,-2.794211689892709,-41.983685488462456
195290.22072220422,-0.71598587461961682,-2.795271256270123,-41.990669070765307
195322.49412025561,-0.71677900842429287,-2.7981970934282465,-42.002924510040486
195354.77285176516,-0.71336147750596779,-2.7981096914133015,-42.000411136308486
195387.05691761427,-0.71457791890535494,-2.797508498959747,-41.995601339595595
195419.34631868449,-0.71519443306282016,-2.7994752964400766,-42.005864949193764
195451.64105585753,-0.7166968582309956,-2.7992696206558558,-42.016825048117987
195483.94113001521,-0.71739530304843235,-2.8010567971041018,-42.013510769752571
195516.2465420395,-0.71427759415746028,-2.8010857192896617,-42.02360578355318
195548.5572928125,-0.71870082015572934,-2.8005348122990936,-42.031270103509485
195580.87338321659,-0.7143281969240074,-2.8038999022652256,-42.028226745285437
195613.1948141341,-0.71640424479168874,-2.8037419039398142,-42.021051247204056
195645.5215864476,-0.71686428754361831,-2.8039292375410612,-42.06551418476019
195677.85370103983,-0.71626089072278865,-2.8046482498133418,-42.051152594012876
195710.19115879363,-0.71647522071060954,-2.8064641295506436,-42.033260491034468
195742.53396059203,-0.71564910179814201,-2.8088600923639868,-42.077225376134571
195774.88210731818,-0.7163614965853925,-2.8069947121398342,-42.051047276083381
195807.23559985534,-0.7189409019283457,-2.8060385196900315,-42.062095368183819
195839.59443908694,-0.71869787237388527,-2.8076476698333082,-42.071618902826913
195871.9586258966,-0.7155588013905414,-2.8130623795014849,-42.089142383313572
195904.32816116809,-0.71865167005817365,-2.8163843366075758,-42.140910752504169
195936.70304578522,-0.71444390169804406,-2.8172038147510485,-42.15085604482897
195969.08328063204,-0.71482541539106403,-2.8214074803670899,-42.137271623831225
196001.46886659277,-0.71555656932295775,-2.8187781373267957,-42.138170945462107
196033.85980455164,-0.71682460894491495,-2.8205594163267129,-42.123956704587883
196066.25609539315,-0.71720417144382775,-2.8163953774068888,-42.133677875587672
196098.65774000197,-0.71455293381604712,-2.8197455737678463,-42.130011435261309
196131.06473926277,-0.71491832133378885,-2.8200577900745833,-42.129255084424756
196163.47709406051,-0.71172963748126516,-2.8208632517871246,-42.147253126216789
196195.8948052802,-0.71261895356268012,-2.8199125467463353,-42.155340863875402
196228.31787380704,-0.7106006631220565,-2.8159704600987205,-42.111766431582659
196260.74630052643,-0.71554175684052224,-2.812333848091094,-42.094484669468372
196293.18008632376,-0.71525673307783477,-2.8128704943554927,-42.109076001666871
196325.61923208472,-0.71399847132713867,-2.8170481634967115,-42.137753859539828
196358.06373869511,-0.71357380365637335,-2.8170297355900282,-42.126817118353046
196390.51360704083,-0.71495614267937102,-2.8164699872344565,-42.144465105504409
196422.96883800795,-0.71351255632258637,-2.8189293996818305,-42.157559414907354
196455.42943248269,-0.71353454163788921,-2.8204536120603958,-42.142934122295173
196487.89539135143,-0.71110783844943282,-2.8203224328193066,-42.134561895325916
196520.36671550066,-0.71132529081354323,-2.8238048699991043,-42.160597932507216
196552.84340581705,-0.71358525551946617,-2.8235706984261295,-42.178044050437791
196585.32546318742,-0.70964157830183261,-2.8255290985755672,-42.188035202810582
196617.81288849868,-0.70870488608534754,-2.8270232045573191,-42.188153264386202
196650.30568263802,-0.70808507507724261,-2.8246523144325542,-42.184635691332701
196682.80384649258,-0.71220139979467911,-2.8276417360738586,-42.207527718884144
196715.30738094979,-0.71089606586733345,-2.8258287664865849,-42.19082476573854
196747.81628689723,-0.71030005329000279,-2.8261169124402423,-42.180886593938666
196780.33056522248,-0.7104264589077719,-2.8272169015598099,-42.203354005229698
196812.8502168135,-0.70728958150880694,-2.8304030304348231,-42.221528339082994
196845.37524255819,-0.7082995166545405,-2.8319870161042342,-42.228513783260738
196877.90564334471,-0.70832210987716082,-2.8308159919175626,-42.209373488861246
196910.44142006131,-0.70836757939058581,-2.8330814096928143,-42.236398386051079
196942.98257359641,-0.71008120115443674,-2.8299344562093127,-42.2189953323482
196975.52910483858,-0.70790571318694728,-2.8347100768211102,-42.229105595160917
197008.08101467657,-0.70579268902413383,-2.8342592303672749,-42.235609355454521
197040.63830399918,-0.70755190854001793,-2.8371754714482433,-42.232135606139437
197073.20097369544,-0.70819094980051345,-2.8336016147719372,-42.246786726620378
197105.76902465447,-0.70968362709185495,-2.8385580232807888,-42.263281655926875
197138.34245776566,-0.70769648080101333,-2.8356223364839819,-42.262726287005464
197170.92127391839,-0.70908358771252145,-2.8380853434589808,-42.277512031727987
197203.50547400222,-0.70937509342765903,-2.8375141366292778,-42.253318222143179
197236.095058907,-0.70925419263428857,-2.8378958729775001,-42.254311813726446
197268.69002952249,-0.70984105393957919,-2.8397267889769577,-42.276801629870022
197301.29038673884,-0.7106666441778452,-2.8357103725968544,-42.263447735730182
197333.89613144615,-0.70559086619970524,-2.8393106852288574,-42.284168785108463
197366.5072645348,-0.70911293430777056,-2.8418219963782687,-42.277510405128453
197399.12378689524,-0.71010157293442822,-2.84313249908076,-42.296390722379982
197431.74569941813,-0.70898935227849647,-2.8433101247175845,-42.297553454636393
197464.37300299419,-0.71150853595756036,-2.8434787724828881,-42.311523810826166
197497.00569851435,-0.71157788275667999,-2.8429129114878018,-42.298985149386702
197529.64378686971,-0.71149969802081725,-2.844358310389294,-42.300266562162754
197562.28726895145,-0.70841480001169388,-2.8452488467872956,-42.298353062955677
197594.93614565092,-0.7101048628481087,-2.8468324281101856,-42.317411345929713
197627.59041785967,-0.70991391532136561,-2.8443546570461962,-42.310466017460399
197660.25008646934,-0.70978746648867452,-2.8478392884645105,-42.304993438351339
197692.91515237172,-0.71350964947798712,-2.8452390711033755,-42.321211626594462
197725.58561645873,-0.71093327016677343,-2.8507302700828214,-42.334883237499071
197758.26147962254,-0.71167781718280598,-2.8484768390727586,-42.317740086997944
197790.94274275535,-0.70986455556880224,-2.8485747421260887,-42.332313950219316
197823.62940674953,-0.71410119744096412,-2.8484049666644902,-42.34656332378632
197856.32147249766,-0.71078198962810402,-2.8494420496540602,-42.352797567169318
197889.01894089239,-0.70912522866397498,-2.8522006062799483,-42.356327917574163
197921.72181282661,-0.70819626486203946,-2.8520849342722459,-42.35662713021722
197954.43008919322,-0.70962114929513931,-2.8536307735628341,-42.362271412774547
197987.14377088542,-0.71199423370251047,-2.8544417019440522,-42.3628248219024
198019.86285879646,-0.71573448842844689,-2.8525755093973664,-42.372518751012848
198052.58735381978,-0.71499478001664329,-2.8544601163061096,-42.371827232200744
198085.31725684894,-0.71510036183985759,-2.8558028378324178,-42.365799130315281
198118.05256877764,-0.71481640898549925,-2.8532528303288069,-42.362224269665305
198150.79329049977,-0.7160859514468052,-2.8567758610783267,-42.393593374519469
198183.53942290935,-0.71562475273742954,-2.8568892017025806,-42.387153860432051
198216.2909669005,-0.7136281100238141,-2.857927188161602,-42.395922885461083
198249.04792336762,-0.71634835029050126,-2.8562533006497413,-42.387639620813445
