#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2018-10-28 01:43:16.140
#Start: 200000 Hz
#Stop: 250000 Hz
#Steps: 1000
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
200000,0.033681126271169988,-2.3373077474784423,-38.965234183738275
200044.67837329602,0.032644299251257863,-2.3350394769422262,-38.978816436560543
200089.3667273772,0.031544937132131398,-2.3368115452316882,-38.983993943409885
200134.06506447325,0.029047338606507857,-2.3392044422623903,-38.982692362936625
200178.77338681425,0.03056014168470057,-2.3363763049852926,-38.993995115155187
200223.49169663081,0.028308467490111996,-2.3403033513200255,-38.991538100148574
200268.21999615405,0.029142550117191413,-2.3378210543878142,-38.998576151814234
200312.95828761565,0.031837451396929665,-2.339042891332733,-39.014621809536607
200357.70657324765,0.028499990549332197,-2.3394773162772085,-39.033713909148361
200402.46485528271,0.032974878192521852,-2.3419593324419128,-39.022276012707152
200447.23313595392,0.030140231951399869,-2.3414003760874662,-39.034076750166633
200492.01141749488,0.028221610423182702,-2.3400583562884911,-39.028104690289197
200536.7997021398,0.029487083115006776,-2.3381347735394136,-39.029005996913185
200581.59799212319,0.027941538460566635,-2.3410220418298939,-39.054186070837488
200626.40628968019,0.026713009915355201,-2.3426664461419042,-39.071302743864855
200671.22459704641,0.023795250900017405,-2.3418402574046753,-39.07069145921291
200716.05291645799,0.02475542743612372,-2.3435928574871485,-39.07199312081098
200760.8912501515,0.024743274834448294,-2.343866784004188,-39.092588173390318
200805.73960036406,0.025113356437334769,-2.3481135826250283,-39.084505906622432
200850.59796933329,0.024538959446020924,-2.3479733248259183,-39.0643348425982
200895.46635929731,0.024447880185017607,-2.3451241830279326,-39.083673865011804
200940.34477249466,0.024671283856135474,-2.3465959697260343,-39.09364462277361
200985.23321116454,0.023905032520466322,-2.350969680989921,-39.095196718656958
201030.13167754651,0.023361174638156391,-2.3483122778325942,-39.095545437073149
201075.0401738807,0.022794099680503388,-2.3483891681682532,-39.095111867937071
201119.95870240766,0.023701685552845676,-2.3542714343237439,-39.107894836453738
201164.88726536857,0.020918569941235352,-2.3515476157244759,-39.12948648241229
201209.82586500506,0.020499342129362053,-2.352360472314043,-39.150955089775152
201254.77450355914,0.02072536073997968,-2.3506602840070121,-39.139608263843321
201299.73318327352,0.020122558531068552,-2.3541298334016219,-39.145046704242986
201344.70190639124,0.018280799880481934,-2.3547334220048053,-39.149138860946323
201389.68067515598,0.015895916401833986,-2.3552869940617387,-39.123845715089217
201434.66949181183,0.020531668532211587,-2.3584361477620148,-39.153706199130909
201479.66835860341,0.021389924956237639,-2.357125981945253,-39.159363646869934
201524.6772777758,0.021288718544086482,-2.3598949821177655,-39.189461815966169
201569.69625157467,0.020908836555061809,-2.3573362491531173,-39.169405463379803
201614.7252822461,0.019914125616050486,-2.3584749283696644,-39.174275452161567
201659.76437203679,0.02108209469673283,-2.3603362894875035,-39.190989615762092
201704.81352319376,0.021420727139026451,-2.3613287168251782,-39.213342094928962
201749.8727379647,0.021316235136468364,-2.3575444783664423,-39.193342878391022
201794.94201859777,0.02198419707652334,-2.3642723184198506,-39.207905777276409
201840.02136734151,0.022592934668272616,-2.3634167035323963,-39.188500499212758
201885.11078644515,0.023178206624117986,-2.363404318873179,-39.225384540740329
201930.21027815825,0.024439396860786947,-2.3795448085374074,-39.129649206895593
201975.31984473098,0.022401314701592321,-2.3835644125315345,-39.130678960225922
202020.43948841401,0.027109273382019787,-2.3805905441610693,-39.164258651734514
202065.56921145844,0.025687774460326336,-2.3751153552247883,-39.181666089244018
202110.70901611593,0.025924198929456167,-2.3722291239690478,-39.226290628885877
202155.85890463865,0.024296209357758305,-2.3682214710797607,-39.223726697439318
202201.0188792792,0.029671095661443089,-2.3762336816351919,-39.262989048022661
202246.18894229081,0.026266297961101411,-2.3714016382151795,-39.249928884919058
202291.36909592713,0.026291053189375666,-2.3722945124668704,-39.274031672752017
202336.55934244226,0.027474396159868991,-2.3741703147022917,-39.276246935867377
202381.75968409091,0.028477546494355115,-2.3747650109812066,-39.263121066604256
202426.97012312827,0.025132416025848689,-2.3742958598650583,-39.278466045638794
202472.19066180996,0.029568113303173299,-2.3778899055179554,-39.284835247532428
202517.42130239221,0.027928635837674763,-2.376280116571396,-39.321167903431672
202562.66204713166,0.02977384746752965,-2.3775599505380622,-39.30130313522325
202607.91289828552,0.028996202999348623,-2.3756755017702256,-39.305962931285237
202653.17385811152,0.030611849074272085,-2.3787312652806945,-39.325953777295311
202698.44492886777,0.029938484101309396,-2.3792555507279181,-39.317050156529433
202743.72611281302,0.0276373865170991,-2.3772174725111168,-39.348175142057954
202789.01741220648,0.030337839213655182,-2.3813573600075251,-39.346298155303288
