#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A35FCC
#Date Time: 2018-10-28 00:06:16.006
#Start: 145000 Hz
#Stop: 155000 Hz
#Steps: 2000
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.42537 V
#Offset: 0.000183761 V
#Relative: no
#Channel: Channel 2
#Range: 5.47028 V
#Offset: -7.92091e-07 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
145000,-0.018007385144411123,-2.8032965268333392,-43.307612577486751
145004.83762411974,-0.019754461874256952,-2.8025032806522825,-43.310948329222583
145009.67540963672,-0.018134668878620554,-2.8061769158553007,-43.310296411237161
145014.51335655642,-0.018796728294849227,-2.8042531434730149,-43.301897514254733
145019.35146488415,-0.019904973066259407,-2.803998354896664,-43.323811268314685
145024.18973462534,-0.016691308560327522,-2.806142966408923,-43.311561609788086
145029.02816578536,-0.0190446777685001,-2.8062704185843161,-43.306133053594721
145033.86675836958,-0.020190130971515945,-2.8040973480024944,-43.328766987985659
145038.70551238343,-0.019277681636862696,-2.8049929415145414,-43.316539015848988
145043.54442783224,-0.018996508422626891,-2.8052128566255035,-43.332472316195052
145048.38350472145,-0.017760320017106104,-2.8075069010804921,-43.328003009556518
145053.22274305639,-0.019535629903124831,-2.8058237105818806,-43.337286796243021
145058.06214284248,-0.017598284923861441,-2.8072961391568665,-43.326611925809942
145062.90170408512,-0.017180540273489291,-2.8060866409653511,-43.32695423551543
145067.74142678967,-0.018309749457172137,-2.8075023679094251,-43.332508590026102
145072.58131096151,-0.01859431535692915,-2.8064404968641332,-43.327263144578112
145077.42135660606,-0.019759296283203245,-2.8048521713937467,-43.320154627614251
145082.26156372868,-0.018877233775949704,-2.8071736818308608,-43.342945908872935
145087.1019323348,-0.018209241551701609,-2.8076610820437233,-43.325646071626934
145091.94246242975,-0.019920735267933254,-2.8055044032201919,-43.331231362323742
145096.78315401892,-0.019780142962344014,-2.8067392178396089,-43.336537559536964
145101.62400710775,-0.019690099873328842,-2.8085836206466412,-43.336487533609102
145106.46502170159,-0.020542113487467907,-2.8064787728145868,-43.329389756007686
145111.30619780582,-0.020595075486510381,-2.8064149552078614,-43.342270109589592
145116.14753542587,-0.018408198612934627,-2.8078119801763624,-43.336933446432184
145120.98903456709,-0.019650193963396283,-2.8101715329165788,-43.34270362937815
145125.83069523491,-0.018827951834963608,-2.8084382680923614,-43.333643407682899
145130.67251743466,-0.021262100717861401,-2.8074511749901303,-43.337797324344663
