time,Vvout_highq
0.000000000000000e+000,1.024708e-003
1.000000000000000e-012,1.024708e-003
1.971542824300407e-011,1.024708e-003
3.843085648600813e-011,1.024708e-003
5.714628472901220e-011,1.024708e-003
7.586171297201626e-011,1.024708e-003
9.457714121502032e-011,1.024708e-003
1.132925694580244e-010,1.024708e-003
1.320079977010284e-010,1.024708e-003
2.630799954009337e-010,1.024708e-003
5.252239908007443e-010,1.024708e-003
1.049511981600366e-009,1.024708e-003
1.600961067225049e-009,1.024708e-003
2.084084041884015e-009,1.024708e-003
2.615896714139404e-009,1.024709e-003
3.135110156657851e-009,1.024709e-003
3.825346784995047e-009,1.024711e-003
4.771731146787508e-009,1.024715e-003
6.057182643980797e-009,1.024731e-003
7.779340048786888e-009,1.024790e-003
1.013891693775845e-008,1.025061e-003
1.347475747267033e-008,1.026176e-003
1.670078304264422e-008,1.028909e-003
1.967964824851021e-008,1.034865e-003
2.314661212230702e-008,1.049509e-003
2.659487663690641e-008,1.080416e-003
3.111582451778099e-008,1.159529e-003
3.517673097594875e-008,1.290318e-003
3.932969214371546e-008,1.520667e-003
4.343348498878842e-008,1.898348e-003
4.838347657903048e-008,2.659550e-003
5.480824809020468e-008,4.269823e-003
6.124444570364495e-008,6.893235e-003
6.913673554064263e-008,1.198312e-002
7.792035475931339e-008,2.077335e-002
8.941080159453830e-008,3.829193e-002
1.045296186745111e-007,7.136671e-002
1.205430210201167e-007,1.183648e-001
1.397158497895714e-007,1.876470e-001
1.571564784441735e-007,2.587374e-001
1.658893403167055e-007,2.966745e-001
1.720092506882942e-007,3.240553e-001
1.798730774421218e-007,3.596463e-001
1.838852356717441e-007,3.779204e-001
1.874981766068229e-007,3.944458e-001
1.911276430687141e-007,4.110853e-001
1.953681477440904e-007,4.305634e-001
2.018396700037906e-007,4.603370e-001
2.122254106526269e-007,5.081497e-001
2.237270739671628e-007,5.609246e-001
2.369549024578091e-007,6.206496e-001
2.503334596598605e-007,6.791589e-001
2.561516466103523e-007,7.033342e-001
2.607626645598224e-007,7.212886e-001
2.655303602164832e-007,7.383952e-001
2.723706676940966e-007,7.602325e-001
2.790937008071639e-007,7.777025e-001
2.895872402837902e-007,7.974122e-001
2.976136974392261e-007,8.066314e-001
3.040197889397776e-007,8.095327e-001
3.111780895607595e-007,8.091032e-001
3.171301188513535e-007,8.066077e-001
3.221090562904694e-007,8.032871e-001
3.271483312036743e-007,7.992238e-001
3.323926672475123e-007,7.946838e-001
3.380686051452484e-007,7.897887e-001
3.431815256457600e-007,7.857072e-001
3.495718812652799e-007,7.813516e-001
3.565332901537954e-007,7.776545e-001
3.629932013333437e-007,7.752681e-001
3.686447367932073e-007,7.740106e-001
3.743930925528270e-007,7.733808e-001
3.798554900042062e-007,7.731847e-001
3.849550416964745e-007,7.731891e-001
3.901274367961716e-007,7.731844e-001
3.962322806362272e-007,7.729465e-001
4.021412402035941e-007,7.722584e-001
4.092980948454997e-007,7.706363e-001
4.163127825242413e-007,7.680897e-001
4.248793583846128e-007,7.637442e-001
4.337751590179406e-007,7.581989e-001
4.398689417960353e-007,7.539461e-001
4.449209273959781e-007,7.502798e-001
4.505387054412961e-007,7.462683e-001
4.556827205175430e-007,7.428096e-001
4.613713002368365e-007,7.394019e-001
4.682907480714536e-007,7.360414e-001
4.776379264640332e-007,7.327858e-001
4.847853789715991e-007,7.313022e-001
4.904098665660459e-007,7.308637e-001
4.971908155451258e-007,7.309681e-001
5.027677243250883e-007,7.314018e-001
5.084307335036216e-007,7.320500e-001
5.136426398246547e-007,7.326889e-001
5.189726733343049e-007,7.332409e-001
5.263359863273005e-007,7.336735e-001
5.332746197098957e-007,7.336116e-001
5.398008938229448e-007,7.329900e-001
5.470592756870087e-007,7.316284e-001
5.549248265317991e-007,7.294732e-001
5.623464092619286e-007,7.269302e-001
5.677087280908221e-007,7.248532e-001
5.727886676588380e-007,7.227780e-001
5.779523827256966e-007,7.206632e-001
5.838407010629626e-007,7.183468e-001
5.906076372805083e-007,7.159166e-001
5.979458097997376e-007,7.136840e-001
6.072161828445398e-007,7.114852e-001
6.154453349616629e-007,7.100805e-001
6.223816448025704e-007,7.092810e-001
6.287362433574663e-007,7.087712e-001
6.339595063760184e-007,7.084405e-001
6.393057654746838e-007,7.081174e-001
6.445233519088462e-007,7.077420e-001
6.521624632165333e-007,7.069898e-001
6.606819261270464e-007,7.057829e-001
6.703332777836678e-007,7.038779e-001
6.801365690004118e-007,7.014158e-001
6.874066803442646e-007,6.992909e-001
6.926300239466928e-007,6.976354e-001
6.976984358118525e-007,6.959795e-001
7.032638402372088e-007,6.941639e-001
7.088027304397732e-007,6.924170e-001
7.167703010325200e-007,6.900836e-001
7.256590754359867e-007,6.877930e-001
7.359590087499960e-007,6.855844e-001
7.460908670667619e-007,6.838070e-001
7.525298221417961e-007,6.828578e-001
7.576315296587063e-007,6.821833e-001
7.632978055437159e-007,6.814574e-001
7.694911103769243e-007,6.806411e-001
7.761789697365170e-007,6.796764e-001
7.849138237809771e-007,6.782209e-001
7.954371682301465e-007,6.761376e-001
8.080282234236406e-007,6.732564e-001
8.149532528702250e-007,6.715094e-001
8.204318326149968e-007,6.700528e-001
8.266262663016199e-007,6.683865e-001
8.335571917244155e-007,6.665457e-001
