Freq.	V(vout_highq)
2.00000000000000e+003	(-4.65947339390028e+001dB,-5.31422874946918e+000°)
2.04658598456151e+003	(-4.66836076302750e+001dB,-5.43975094238924e+000°)
2.09425709610180e+003	(-4.67774926527047e+001dB,-5.56833980354164e+000°)
2.14303861047521e+003	(-4.68767220526526e+001dB,-5.70007986880005e+000°)
2.19295639228637e+003	(-4.69816571222546e+001dB,-5.83505907024274e+000°)
2.24403690860393e+003	(-4.70926905714630e+001dB,-5.97336901006460e+000°)
2.29630724299377e+003	(-4.72102501622155e+001dB,-6.11510527465254e+000°)
2.34979510987906e+003	(-4.73348028886469e+001dB,-6.26036779701409e+000°)
2.40452886923483e+003	(-4.74668598056574e+001dB,-6.40926127780778e+000°)
2.46053754162476e+003	(-4.76069816313196e+001dB,-6.56189567788574e+000°)
2.51785082358833e+003	(-4.77557852779823e+001dB,-6.71838679873534e+000°)
2.57649910338627e+003	(-4.79139515044431e+001dB,-6.87885697178517e+000°)
2.63651347711281e+003	(-4.80822339298594e+001dB,-7.04343588362328e+000°)
2.69792576518331e+003	(-4.82614697127509e+001dB,-7.21226157232596e+000°)
2.76076852920577e+003	(-4.84525922805369e+001dB,-7.38548164114894e+000°)
2.82507508924551e+003	(-4.86566466035909e+001dB,-7.56325475095492e+000°)
2.89087954149185e+003	(-4.88748076527526e+001dB,-7.74575247370819e+000°)
2.95821677633641e+003	(-4.91084028750176e+001dB,-7.93316161875975e+000°)
3.02712249687242e+003	(-4.93589397896451e+001dB,-8.12568718542546e+000°)
3.09763323782496e+003	(-4.96281401772539e+001dB,-8.32355615562381e+000°)
3.16978638492223e+003	(-4.99179828542805e+001dB,-8.52702242863434e+000°)
3.24362019471786e+003	(-5.02307577660112e+001dB,-8.73637333166408e+000°)
3.31917381487512e+003	(-5.05691352049505e+001dB,-8.95193833983042e+000°)
3.39648730492349e+003	(-5.09362555457836e+001dB,-9.17410094920877e+000°)
3.47560165749875e+003	(-5.13358472746041e+001dB,-9.40331513851665e+000°)
3.55655882007784e+003	(-5.17723847660912e+001dB,-9.64012865564077e+000°)
3.63940171721997e+003	(-5.22513030691514e+001dB,-9.88521670598510e+000°)
3.72417427332573e+003	(-5.27792963980785e+001dB,-1.01394319381899e+001°)
3.81092143592649e+003	(-5.33647428630234e+001dB,-1.04038807813168e+001°)
3.89968919951609e+003	(-5.40183255500678e+001dB,-1.06800439654183e+001°)
3.99052462993776e+003	(-5.47539701767379e+001dB,-1.09699743289693e+001°)
4.08347588933906e+003	(-5.55903153093559e+001dB,-1.12766367657284e+001°)
4.17859226170808e+003	(-5.65531253793008e+001dB,-1.16045258342222e+001°)
4.27592417900446e+003	(-5.76794804619447e+001dB,-1.19608675184902e+001°)
4.37552324789910e+003	(-5.90255885930076e+001dB,-1.23581706357044e+001°)
4.47744227713668e+003	(-6.06827808148779e+001dB,-1.28203037693390e+001°)
4.58173530553554e+003	(-6.28147685600564e+001dB,-1.33994814512988e+001°)
4.68845763063984e+003	(-6.57628045074676e+001dB,-1.42367535256654e+001°)
4.79766583803898e+003	(-7.04577724521161e+001dB,-1.58925614286023e+001°)
4.90941783137006e+003	(-8.20470786055179e+001dB,-2.53602203639661e+001°)
5.02377286301916e+003	(-7.62935365399934e+001dB,1.73080051428900e+002°)
5.14079156553772e+003	(-6.81976978525018e+001dB,1.68896261619635e+002°)
5.26053598379076e+003	(-6.39789831077603e+001dB,1.67600734488796e+002°)
5.38306960785383e+003	(-6.10831533484410e+001dB,1.66822251949194e+002°)
5.50845740667633e+003	(-5.88639132196296e+001dB,1.66222288555879e+002°)
5.63676586252890e+003	(-5.70579048555023e+001dB,1.65701230729255e+002°)
5.76806300625321e+003	(-5.55317733717413e+001dB,1.65219100487616e+002°)
5.90241845333276e+003	(-5.42087446841587e+001dB,1.64756637036587e+002°)
6.03990344080403e+003	(-5.30406984974761e+001dB,1.64303334415278e+002°)
6.18059086502717e+003	(-5.19956159682505e+001dB,1.63852908138890e+002°)
6.32455532033675e+003	(-5.10512502746239e+001dB,1.63401313976569e+002°)
6.47187313859256e+003	(-5.01916547173431e+001dB,1.62945787414377e+002°)
6.62262242965181e+003	(-4.94051529324032e+001dB,1.62484340076705e+002°)
6.77688312278404e+003	(-4.86830930606042e+001dB,1.62015479684166e+002°)
6.93473700905062e+003	(-4.80190551057363e+001dB,1.61538047765416e+002°)
7.09626778467150e+003	(-4.74083348084211e+001dB,1.61051123750813e+002°)
7.26156109540201e+003	(-4.68476051932508e+001dB,1.60553969264601e+002°)
7.43070458194344e+003	(-4.63346987965598e+001dB,1.60045999031209e+002°)
7.60378792641121e+003	(-4.58684775387427e+001dB,1.59526771700421e+002°)
7.78090289988560e+003	(-4.54487719945455e+001dB,1.58995998191033e+002°)
7.96214341106993e+003	(-4.50763819978558e+001dB,1.58453568452423e+002°)
8.14760555608224e+003	(-4.47531387832686e+001dB,1.57899600882739e+002°)
8.33738766940669e+003	(-4.44820371798995e+001dB,1.57334522999125e+002°)
8.53159037603184e+003	(-4.42674567148554e+001dB,1.56759198685546e+002°)
8.73031664480330e+003	(-4.41155056014353e+001dB,1.56175128824493e+002°)
8.93367184301925e+003	(-4.40345461716068e+001dB,1.55584773037876e+002°)
9.14176379229748e+003	(-4.40360033699250e+001dB,1.54992080581490e+002°)
9.35470282574395e+003	(-4.41356381644595e+001dB,1.54403400785142e+002°)
9.57260184645275e+003	(-4.43556268798661e+001dB,1.53829123096410e+002°)
9.79557638736890e+003	(-4.47281261642175e+001dB,1.53286820980210e+002°)
1.00237446725454e+004	(-4.53017879899163e+001dB,1.52807778133262e+002°)
1.02572276798273e+004	(-4.61547120275404e+001dB,1.52452032045755e+002°)
1.04961492049954e+004	(-4.74233255979770e+001dB,1.52348420327367e+002°)
1.07406359274050e+004	(-4.93783569358633e+001dB,1.52826351522558e+002°)
1.09908174771525e+004	(-5.26846731007015e+001dB,1.55032411400583e+002°)
1.12468265038070e+004	(-5.98462807483707e+001dB,1.67155197473524e+002°)
1.15087987467431e+004	(-6.16733225070841e+001dB,-6.55768016799908e+001°)
1.17768731071118e+004	(-5.11259827470925e+001dB,-4.61283420749157e+001°)
1.20511917214871e+004	(-4.56424356274715e+001dB,-4.34330131171817e+001°)
1.23319000372296e+004	(-4.17387640141692e+001dB,-4.30845443937460e+001°)
1.26191468896038e+004	(-3.85940393486929e+001dB,-4.35485637122838e+001°)
1.29130845806931e+004	(-3.58910787089341e+001dB,-4.44256238026585e+001°)
1.32138689601519e+004	(-3.34735622175276e+001dB,-4.55715524986485e+001°)
1.35216595078396e+004	(-3.12524109852265e+001dB,-4.69270642081030e+001°)
1.38366194183787e+004	(-2.91715752994579e+001dB,-4.84689556253019e+001°)
1.41589156876827e+004	(-2.71930756639394e+001dB,-5.01928010295501e+001°)
1.44887192014998e+004	(-2.52896073100193e+001dB,-5.21061522804701e+001°)
1.48262048260183e+004	(-2.34405460183937e+001dB,-5.42259960765097e+001°)
1.51715515005836e+004	(-2.16296536085686e+001dB,-5.65783132789924e+001°)
1.55249423325738e+004	(-1.98437200016746e+001dB,-5.91989589865114e+001°)
1.58865646944856e+004	(-1.80717875063497e+001dB,-6.21356236243194e+001°)
