Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
20000.000000000004,-1.2872579902011925,-5.2726941434614591,-145.02778379310431
20326.135661050164,-1.3652651329263101,-4.6396254808299568,-150.71641222308835
20657.589545570761,-1.4296504002480959,-4.0672530827431164,-156.40603728172255
20994.44837667813,-1.5463299785941187,-3.5805855833489781,-162.04936658221169
21336.800291663709,-1.6966240269755881,-3.1516283100758202,-167.65023758624403
21684.734865054557,-1.6521184108004994,-2.7759780500047384,-173.13882375632519
22038.343132050155,-1.7083681550792327,-2.4595157231782356,-178.50771882604965
22397.717612341236,-1.7475677556788061,-2.176621234954049,176.28782573082412
22762.952334317019,-1.7656335241693957,-1.9569148128613187,171.28990804342425
23134.142859667307,-1.7644327626283129,-1.7305808348752174,166.59078619928161
23511.386308385623,-1.7668847106597638,-1.5613677955864325,162.0421487504766
23894.781384180187,-1.7569899323899463,-1.4241456344612176,157.56445151356243
24284.428400299115,-1.7448895455900748,-1.2905043856666274,153.38283462459688
24680.429305776957,-1.7245436238560699,-1.1698305326545375,149.36032628831708
25082.887712109019,-1.6992550446597654,-1.077703965706122,145.56902080112607
25491.908920360798,-1.6963135335931319,-0.96648062979189464,141.7549539862552
25907.599948719428,-1.678517695202465,-0.87800328942591066,138.21467845129868
26330.069560494358,-1.6677588492710882,-0.79370781659684786,134.73177815160398
26759.428292574783,-1.6971350400351835,-0.71220580049353899,131.37625239523351
27195.788484350938,-1.6843898370847545,-0.64445880356977736,128.14303878855421
27639.264307107147,-1.7706278943904281,-0.57238083688709762,125.00007435868838
28089.971793894081,-1.7404954336181342,-0.5148652035527892,121.86361860635684
28548.028869888178,-1.6823668421830891,-0.45214718298657375,118.86049264754664
29013.555383246177,-1.6265776408935406,-0.39536925340147461,115.91528351717542
29486.673136462694,-1.5644720009959374,-0.34641664693414903,113.04052209528317
29967.505918239218,-1.5293519394135804,-0.29124567061735651,110.16531114057226
30456.179535872692,-1.4552060682003363,-0.25432821839125408,107.39821890290636
30952.8218481724,-1.4005948948115079,-0.21294486983627642,104.6530633572381
31457.56279891347,-1.3317061067379379,-0.1739513262058402,102.00947230456725
31970.534450836003,-1.2565825236694987,-0.15614772605142641,99.376633994770756
32491.87102019853,-1.2162627696148447,-0.124655691222086,96.839669538278955
33021.708911894973,-1.101889826582352,-0.099368286938206013,94.269659758966156
33560.186755144314,-1.0829936341618926,-0.083438131457515136,91.810673206342685
34107.445439762101,-1.0242153472791393,-0.084645920049313983,89.373111095558556
34663.628153023557,-0.9757170693267323,-0.072358608523574411,87.005088927929506
35228.88041712773,-0.83127228751815996,-0.069858793326899871,84.661434545480063
35803.350127272577,-0.79218851566645776,-0.064701176328650245,82.380391423456246
36387.187590351015,-0.69747913906267978,-0.079564239090800487,80.193033198595131
36980.545564277752,-0.68300212461409027,-0.094266360004175487,77.978994601656211
37583.579297957833,-0.60390369083926687,-0.10098043834337002,75.825698175198568
38196.446571906359,-0.56887920453714658,-0.11710497479135934,73.716204849677766
38819.307739531141,-0.4682029709910121,-0.15644595588607227,71.688038343304839
39452.325769088238,-0.44581383586121226,-0.16398100982228253,69.805167702995803
40095.666286321604,-0.40031742719875868,-0.19414449906209785,67.838641571061942
