Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
1000.0000000000011,-0.15502898257349912,-45.277134420525506,-2.6295382495992641
1031.7219334529959,-0.13114143872767531,-45.326843424731479,-2.9640903005868324
1064.4501479679866,-0.18564249840921757,-45.370425251203912,-2.947774753837912
1098.2165647258564,-0.087359390522559185,-45.354259716759493,-3.0993420403056149
1133.0541175090661,-0.087038870129837381,-45.393097216536084,-3.2457678221553152
1168.9967848233302,-0.11993221732395876,-45.462756473300828,-3.808594473513125
1206.0796230382596,-0.18676009827312817,-45.545847466151756,-3.4792325920571443
1244.338800579292,-0.12060292508707549,-45.520141192591687,-3.4475132670834583
1283.8116332042459,-0.25758530520009115,-45.603279166980187,-3.5156406278239789
1324.5366203989315,-0.24840472404204619,-45.65933625965657,-3.9176125818256224
1366.5534829272808,-0.26641037329525535,-45.672026351132935,-3.8232266190467659
1409.903201572658,-0.18131348863927835,-45.74325190564781,-3.7833681149795666
1454.6280571081097,-0.27649675951865937,-45.801941136218069,-4.443253617531937
1500.7716715345505,-0.24412688621192238,-45.945649147072018,-4.5638592060075638
1548.3790506271089,-0.2509184670166239,-45.933202755458581,-4.3907676160354896
1597.4966278311131,-0.25654674839859748,-46.013398639361959,-4.582936334225252
1648.1723095505531,-0.28068539998098213,-46.177405909818063,-4.6662270881701033
1700.4555218731844,-0.21458009146252874,-46.163925290553607,-5.0134217132722725
1754.397258777821,-0.29339781775310525,-46.259641584623878,-4.9018021394650759
1810.0501318708871,-0.36412627251412566,-46.442405749809303,-4.9710414496404809
1867.4684217006795,-0.25251300672714289,-46.489790286584267,-4.8958321582887621
1926.7081306994373,-0.28812457027625682,-46.558340247839155,-5.7250512096855175
1987.8270378048285,-0.32073640249679786,-46.810937231879123,-6.0879900150237063
2050.8847548141348,-0.32128766240814433,-46.864303740543043,-5.4037199555116899
2115.9427845261098,-0.33153692502048815,-46.985490925386337,-5.8862980567008094
2183.0645807271908,-0.35521002147498121,-47.285911952020328,-5.4312110163821785
2252.3156100806063,-0.36474297978477621,-47.451048102303034,-6.5782535559514486
2323.763415978724,-0.35178958989830367,-47.465606683017626,-5.8862255083604396
2397.4776844209023,-0.36580481391567454,-47.692991890013644,-6.6865037214815288
2473.5303119811415,-0.36800448073559089,-47.94758442672682,-6.8398888956933774
2551.9954759317725,-0.3795424906465199,-48.300347973497537,-6.9519339358569425
2632.9497065916235,-0.43539839134507036,-48.461332434186666,-7.3107359185718082
2716.4719619692046,-0.41420814140478684,-48.837615383318351,-7.7991816616720513
2802.6437047737145,-0.4218151925193761,-49.0722927173233,-7.924748138604798
2891.5489818690003,-0.43680847457422645,-49.424907216755429,-8.1249910645265828
2983.274506247923,-0.53533113073965566,-49.78536218870736,-8.8846082170105234
3077.9097416071322,-0.50312362938792954,-50.178724298090998,-8.6052935633288001
3175.5469896047171,-0.54431114044831286,-50.709565419756821,-10.028557769310765
