freq,vin,amp,pha,v1,v2,zin,zin_db,pha_zin,res
120,0.3,-2.3,180,0.3315,0.265,444.2581727,52.95270852,180,1000
131.8063759,0.3,-2.2,-178,0.3315,0.275,453.4897388,53.13134929,-178.9068332,1000
144.7743393,0.3,-2.2,182,0.328,0.2695,451.1140733,53.08572752,-178.9020822,1000
159.0181748,0.3,-2.2,178,0.319,0.276,463.9358368,53.32915842,178.9277238,1000
174.663411,0.3,-2.2,-177,0.3405,0.273,445.1384661,52.9699025,-178.3349261,1000
191.8479266,0.3,-2.1,185,0.3345,0.269,446.1528571,52.98967357,-177.2284958,1000
210.723166,0.3,-2.2,181,0.3345,0.2495,427.2419508,52.61347779,-179.4272242,1000
231.4554735,0.3,-2.2,-179,0.3345,0.2715,448.0366775,53.02627136,-179.4480185,1000
254.2275595,0.3,-2.2,-175,0.3315,0.2655,445.1421142,52.96997368,-177.2234447,1000
279.2401105,0.3,-2.1,-176,0.3345,0.268,445.0811054,52.96878316,-177.7791645,1000
306.713558,0.3,-2.1,180,0.3345,0.2635,440.6354515,52.88158871,180,1000
336.8900208,0.3,-2.1,184,0.3405,0.244,417.6983255,52.41725468,-177.6696727,1000
370.0354392,0.3,-2.2,184,0.3345,0.264,441.3678945,52.89601478,-177.7643166,1000
406.4419182,0.3,-2.1,-178,0.3375,0.26,435.2116131,52.77400951,-178.8702799,1000
446.4303019,0.3,-2.2,176,0.3375,0.262,437.2930199,52.8154509,177.7480227,1000
490.3530014,0.3,-2.2,175,0.3375,0.26,435.5540168,52.78084047,177.1755297,1000
538.5971,0.3,-2.1,178,0.328,0.268,449.7322317,53.05908028,178.8993187,1000
591.587765,0.3,-2.2,-175,0.325,0.248,433.2146482,52.73406266,-177.1638394,1000
649.7919942,0.3,-2.1,-174,0.3405,0.268,441.0231013,52.88922678,-176.6422413,1000
713.7227318,0.3,-2.1,-175,0.3345,0.274,450.7123281,53.07798875,-177.2512817,1000
783.9433886,0.3,-2.1,-173,0.344,0.28,449.547617,53.055514,-176.1405832,1000
861.0728078,0.3,-2.1,-175,0.3315,0.2685,447.9216197,53.0240405,-177.2373351,1000
945.7907178,0.3,-2.1,182,0.3345,0.265,442.1014584,52.91043895,-178.8840584,1000
1038.843724,0.3,-2.1,177,0.3315,0.268,447.1907209,53.00985567,178.3410817,1000
1141.051886,0.3,-2,-177,0.3375,0.27,444.5949148,52.95928982,-178.3332957,1000
1253.315948,0.3,-2,-176,0.322,0.271,457.2748121,53.2035456,-177.8279239,1000
1376.625274,0.3,-1.9,-176,0.3345,0.2515,429.4372393,52.65799404,-177.7166107,1000
1512.066569,0.3,-1.9,-175,0.325,0.2585,443.4328465,52.93655719,-177.2149028,1000
1660.833454,0.3,-1.9,-172,0.3345,0.2655,443.5661981,52.93916887,-175.5392611,1000
1824.236987,0.3,-1.9,-175,0.3345,0.2725,449.3523796,53.05174092,-177.2444853,1000
2003.717216,0.3,-1.8,-174,0.3345,0.2725,449.5388053,53.05534374,-176.6932976,1000
2200.855871,0.3,-1.8,-173,0.328,0.2765,458.2513339,53.22207476,-176.2014509,1000
2417.390301,0.3,-1.7,-174,0.328,0.262,444.6695698,52.9607482,-176.6641036,1000
2655.228789,0.3,-1.6,-168,0.325,0.264,450.659526,53.07697111,-173.376351,1000
2916.467364,0.3,-1.5,-172,0.322,0.268,455.3371639,53.16666196,-175.6333074,1000
3203.408279,0.3,-1.4,-171,0.3315,0.273,452.9962415,53.12189197,-175.0636269,1000
3518.580297,0.3,-1.3,-171,0.322,0.2865,472.280831,53.48400637,-175.2369299,1000
3864.760976,0.3,-1.1,-167,0.3315,0.275,456.3290806,53.18556292,-172.8918882,1000
4245.001149,0.3,-1,-169,0.3345,0.2735,451.8949717,53.10075018,-173.9465068,1000
4662.651807,0.3,-0.8,-168,0.328,0.2835,466.1541445,53.370591,-173.5617742,1000
5121.393638,0.3,-0.6,-167,0.3125,0.3185,508.0196858,54.11761083,-173.5620732,1000
5625.269457,0.3,-0.5,-171,0.328,0.3135,490.2087399,53.807621,-175.3980757,1000
6178.719835,0.3,-0.3,-166,0.3375,0.2985,472.8508786,53.49448401,-172.5686144,1000
6786.622241,0.3,0,-164,0.328,0.33,506.4484324,54.09070462,-172.0244754,1000
7454.334016,0.3,0.2,-172,0.325,0.321,498.1173671,53.94663368,-175.9751919,1000
8187.739592,0.3,0.4,-167,0.3345,0.3385,506.225745,54.08688456,-173.5387996,1000
8993.30235,0.3,0.6,-168,0.322,0.3385,515.3117024,54.2414001,-174.1504364,1000
9878.121581,0.3,0.8,-170,0.328,0.3505,518.5517647,54.29584233,-175.1662286,1000
10849.99505,0.3,1,-172,0.3315,0.364,524.6396879,54.39722282,-176.1872195,1000
11917.48771,0.3,1.2,-173,0.328,0.366,528.3600622,54.45859965,-176.6918807,1000
13090.0072,0.3,1.3,-169,0.322,0.3795,543.4687803,54.70349202,-174.9522001,1000
14377.88675,0.3,1.4,-174,0.322,0.387,546.5819816,54.75310622,-177.2752848,1000
15792.4762,0.3,1.6,-175,0.325,0.3965,550.0679484,54.8083268,-177.7479035,1000
17346.24212,0.3,1.8,-177,0.328,0.378,535.5933786,54.57670399,-178.6062564,1000
19052.87757,0.3,1.9,181,0.328,0.4,549.471267,54.79889974,-179.5494518,1000
20927.42285,0.3,2.1,179,0.325,0.399,551.1257383,54.82501387,179.5511063,1000
22986.39801,0.3,2.2,178,0.322,0.4145,562.8813901,55.00833781,179.1256066,1000
25247.94847,0.3,2.3,175,0.328,0.426,565.5158863,55.04889619,177.8251366,1000
27732.00488,0.3,2.5,175,0.322,0.4255,569.7626556,55.11387961,177.8463695,1000
30460.45882,0.3,2.6,169,0.3095,0.435,586.9098191,55.37142751,175.4299089,1000
33457.35569,0.3,2.9,166,0.322,0.445,584.4263159,55.33459527,174.1280284,1000
36749.10666,0.3,3.4,164,0.322,0.45,588.4703172,55.39449123,173.3348708,1000
40364.72138,0.3,4.4,155,0.319,0.53,638.4523196,56.10256938,170.6536519,1000
44336.06364,0.3,7.7,134,0.319,0.725,744.3436775,57.43547008,166.3734869,1000
48698.13224,0.3,1,-41,0.322,0.37,1501.143274,63.52844289,-121.0101827,1000
53489.36934,0.3,-26.9,33,0.319,0.01885,62.13640568,35.86692255,34.93936904,1000
58751.99933,0.3,2.5,-135,0.325,0.407,601.1750607,55.58001912,-160.1566744,1000
64532.40088,0.3,1.9,-167,0.319,0.3965,557.7007176,54.92802407,-174.2070533,1000
70881.51571,0.3,1.7,-178,0.322,0.386,545.2801102,54.73239313,-179.0904046,1000
77855.2975,0.3,1.6,183,0.322,0.38,541.4948312,54.67188631,-178.6239598,1000
85515.20504,0.3,1.6,169,0.322,0.369,536.4670184,54.59086054,174.8752435,1000
93928.74381,0.3,1.6,166,0.322,0.359,531.1130385,54.50373926,173.382221,1000
103170.0609,0.3,1.6,164,0.325,0.37,537.5837887,54.60892328,172.5213638,1000
113320.5985,0.3,1.6,161,0.325,0.366,537.0057524,54.59957876,171.0688801,1000
124469.8117,0.3,1.6,158,0.319,0.3945,563.1377029,55.0122921,170.1783292,1000
136715.9565,0.3,1.6,152,0.319,0.3755,557.1142288,54.91888501,167.1620113,1000
150166.9563,0.3,1.5,149,0.325,0.379,558.5445229,54.94115595,165.7186151,1000
164941.3523,0.3,1.5,144,0.322,0.379,568.281276,55.09126694,163.5134027,1000
181169.349,0.3,1.4,139,0.319,0.379,579.3913157,55.25943963,161.3408003,1000
198993.9609,0.3,1.3,132,0.3155,0.36,583.1231182,55.31520519,157.6800257,1000
218572.2733,0.3,1.3,130,0.319,0.373,594.3464755,55.48079383,157.0839691,1000
240076.8267,0.3,1.2,124,0.325,0.3695,602.2202664,55.59510733,153.9512675,1000
263697.1372,0.3,1.1,116,0.322,0.3625,624.0472242,55.90434911,150.1173647,1000
289641.3664,0.3,0.9,111,0.3155,0.3555,642.331433,56.1551835,147.8461274,1000
318138.1567,0.3,0.8,105,0.319,0.352,660.7610992,56.40088934,144.6611678,1000
349438.6455,0.3,0.6,97,0.319,0.338,686.6779225,56.73506169,139.9656307,1000
383818.6787,0.3,0.3,90,0.3155,0.3345,727.4653357,57.23624607,136.6743229,1000
421581.2419,0.3,0,81,0.3155,0.325,781.1857854,57.85508664,131.4949117,1000
463059.1301,0.3,-0.3,72,0.319,0.31,838.3167801,58.46816319,124.8717708,1000
508617.8812,0.3,-0.8,61,0.3095,0.295,960.7204893,59.65194106,118.1681213,1000
558658.9968,0.3,-1.2,49,0.3155,0.285,1137.428909,61.11848524,108.1405896,1000
613623.4809,0.3,-1.7,39,0.3155,0.265,1328.078267,62.4644734,95.69784743,1000
673995.7263,0.3,-2.2,25,0.3155,0.251,1820.978147,65.20609468,75.3160643,1000
740307.7836,0.3,-3,10,0.3155,0.2305,2373.057011,67.50616344,34.33537724,1000
813144.0497,0.3,-3.8,-8,0.3155,0.2115,1921.553302,65.67304872,-23.51130663,1000
893146.4187,0.3,-4.5,-22,0.3125,0.1965,1312.957988,62.36501659,-51.46177027,1000
981019.9379,0.3,-5.5,-37,0.319,0.1825,889.6817505,58.98469364,-69.37265999,1000
1077539.022,0.3,-6.6,-54,0.3155,0.152,590.4589637,55.4237944,-82.53472779,1000
1183554.278,0.3,-7.8,-76,0.3155,0.137,438.9857173,52.84900781,-101.2105546,1000
1300000,0.3,-9.1,-89,0.3125,0.116,349.99673,50.88127974,-109.4838547,1000
