freq,vin,amp,pha,v1,v2
10000,0.3,-0.6,-168,0.604,0.567
10235.31022,0.3,-0.5,-166,0.6015,0.57
10476.15753,0.3,-0.5,-168,0.6015,0.573
10722.67222,0.3,-0.4,-166,0.6025,0.5795
10974.98765,0.3,-0.4,-167,0.6025,0.5815
11233.24033,0.3,-0.3,-167,0.602,0.586
11497.56995,0.3,-0.3,-169,0.6025,0.588
11768.11952,0.3,-0.2,-169,0.6025,0.591
12045.0354,0.3,-0.2,-167,0.6025,0.595
12328.46739,0.3,-0.1,-168,0.603,0.597
12618.56883,0.3,0,-170,0.6015,0.601
12915.49665,0.3,0,-169,0.6015,0.607
13219.41148,0.3,0,-171,0.603,0.6085
13530.47775,0.3,0.1,-171,0.602,0.614
13848.86371,0.3,0.1,-171,0.6015,0.619
14174.74163,0.3,0.2,-171,0.6015,0.6175
14508.28778,0.3,0.2,-172,0.602,0.62
14849.68262,0.3,0.2,-171,0.6015,0.6245
15199.11083,0.3,0.3,-173,0.603,0.6255
15556.76144,0.3,0.3,-171,0.602,0.628
15922.82793,0.3,0.4,-173,0.603,0.6325
16297.50835,0.3,0.4,-174,0.602,0.6355
16681.00537,0.3,0.4,-174,0.602,0.637
17073.52647,0.3,0.5,-174,0.6015,0.6385
17475.284,0.3,0.5,-175,0.6015,0.6405
17886.49529,0.3,0.5,-175,0.602,0.645
18307.3828,0.3,0.6,-175,0.602,0.6485
18738.17423,0.3,0.6,-176,0.6025,0.65
19179.10262,0.3,0.6,-176,0.6025,0.653
19630.4065,0.3,0.6,-177,0.6025,0.6535
20092.33003,0.3,0.7,-177,0.604,0.6595
20565.12308,0.3,0.7,-178,0.6015,0.655
21049.04145,0.3,0.7,-178,0.6025,0.659
21544.3469,0.3,0.7,-178,0.6025,0.661
22051.3074,0.3,0.8,181,0.602,0.664
22570.1972,0.3,0.8,181,0.6025,0.6675
23101.297,0.3,0.8,179,0.6025,0.6655
23644.89413,0.3,0.8,179,0.603,0.668
24201.28265,0.3,0.9,179,0.6025,0.6675
24770.76356,0.3,0.9,178,0.603,0.673
25353.64494,0.3,0.9,178,0.6025,0.6785
25950.24211,0.3,0.9,178,0.6025,0.679
26560.87783,0.3,1,177,0.603,0.6745
27185.88243,0.3,1,176,0.6035,0.6815
27825.59402,0.3,1,176,0.602,0.68
28480.35868,0.3,1,175,0.6025,0.685
29150.53063,0.3,1.1,174,0.6035,0.689
29836.4724,0.3,1.1,173,0.6025,0.687
30538.55509,0.3,1.1,172,0.6025,0.697
31257.1585,0.3,1.1,171,0.604,0.693
31992.67138,0.3,1.2,170,0.603,0.697
32745.49163,0.3,1.2,170,0.603,0.697
33516.02651,0.3,1.3,169,0.603,0.702
34304.69286,0.3,1.3,168,0.6025,0.704
35111.91734,0.3,1.3,167,0.6025,0.707
35938.13664,0.3,1.4,166,0.6025,0.7135
36783.79772,0.3,1.5,164,0.603,0.724
37649.35807,0.3,1.6,164,0.603,0.7235
38535.28594,0.3,1.7,161,0.6035,0.733
39442.06059,0.3,1.8,160,0.6045,0.747
40370.17259,0.3,2,157,0.605,0.764
41320.124,0.3,2.3,155,0.604,0.7925
42292.42874,0.3,2.7,151,0.6025,0.824
43287.61281,0.3,3.3,146,0.604,0.879
44306.21458,0.3,4.3,139,0.604,0.9755
45348.78508,0.3,6,125,0.6035,1.204
46415.88834,0.3,8.7,89,0.6035,1.622
47508.10162,0.3,3.7,8,0.6035,0.9335
48626.0158,0.3,-6.1,-29,0.6035,0.3055
49770.23564,0.3,-15.9,-59,0.6055,0.10305
50941.38015,0.3,-27.9,-55,0.6045,0.03485
52140.08288,0.3,-16.3,8,0.604,0.10465
53366.99231,0.3,-6.3,-11,0.605,0.30025
54622.77218,0.3,1.5,-48,0.6035,0.7055
55908.10183,0.3,5.1,-90,0.604,1.0765
57223.67659,0.3,5.3,-120,0.604,1.11
58570.20818,0.3,4.8,-137,0.6035,1.041
59948.42503,0.3,4.2,-149,0.604,0.9705
61359.07273,0.3,3.7,-157,0.604,0.927
62802.91442,0.3,3.3,-162,0.605,0.884
64280.73117,0.3,3,-166,0.605,0.853
65793.32247,0.3,2.7,-170,0.606,0.8285
67341.50658,0.3,2.5,-171,0.6065,0.81
68926.12104,0.3,2.4,-175,0.6045,0.799
70548.02311,0.3,2.3,-176,0.6045,0.7845
72208.09018,0.3,2.1,182,0.605,0.7745
73907.22034,0.3,2,179,0.6045,0.7725
75646.33276,0.3,2,178,0.604,0.761
77426.36827,0.3,1.9,176,0.6055,0.762
79248.28984,0.3,1.9,176,0.6045,0.753
81113.08308,0.3,1.8,175,0.6055,0.76
83021.75681,0.3,1.8,174,0.607,0.743
84975.34359,0.3,1.7,173,0.6055,0.743
86974.90026,0.3,1.7,172,0.6065,0.7355
89021.50854,0.3,1.7,171,0.606,0.7385
91116.27561,0.3,1.6,169,0.6055,0.7495
93260.33469,0.3,1.6,169,0.606,0.7335
95454.84567,0.3,1.6,167,0.606,0.731
97700.99573,0.3,1.6,166,0.6055,0.729
100000,0.3,1.5,166,0.6055,0.729
