Freq.	V(vout)
1.00000000000000e+004	(-3.42132525172568e-001dB,1.75022455461317e+002°)
1.00230523807790e+004	(-3.42017560505145e-001dB,1.75010519316433e+002°)
1.00461579027840e+004	(-3.41902016710093e-001dB,1.74998552286871e+002°)
1.00693166885180e+004	(-3.41785890636431e-001dB,1.74986554276036e+002°)
1.00925288607668e+004	(-3.41669179113938e-001dB,1.74974525186910e+002°)
1.01157945425990e+004	(-3.41551878952686e-001dB,1.74962464922048e+002°)
1.01391138573668e+004	(-3.41433986943218e-001dB,1.74950373383576e+002°)
1.01624869287070e+004	(-3.41315499856147e-001dB,1.74938250473187e+002°)
1.01859138805412e+004	(-3.41196414442243e-001dB,1.74926096092139e+002°)
1.02093948370768e+004	(-3.41076727431970e-001dB,1.74913910141254e+002°)
1.02329299228075e+004	(-3.40956435535745e-001dB,1.74901692520912e+002°)
1.02565192625141e+004	(-3.40835535443442e-001dB,1.74889443131050e+002°)
1.02801629812647e+004	(-3.40714023824416e-001dB,1.74877161871159e+002°)
1.03038612044162e+004	(-3.40591897327336e-001dB,1.74864848640280e+002°)
1.03276140576140e+004	(-3.40469152579987e-001dB,1.74852503337005e+002°)
1.03514216667934e+004	(-3.40345786189116e-001dB,1.74840125859468e+002°)
1.03752841581801e+004	(-3.40221794740371e-001dB,1.74827716105346e+002°)
1.03992016582906e+004	(-3.40097174798011e-001dB,1.74815273971855e+002°)
1.04231742939330e+004	(-3.39971922904833e-001dB,1.74802799355749e+002°)
1.04472021922080e+004	(-3.39846035581990e-001dB,1.74790292153314e+002°)
1.04712854805090e+004	(-3.39719509328855e-001dB,1.74777752260365e+002°)
1.04954242865232e+004	(-3.39592340622801e-001dB,1.74765179572245e+002°)
1.05196187382322e+004	(-3.39464525919042e-001dB,1.74752573983821e+002°)
1.05438689639126e+004	(-3.39336061650638e-001dB,1.74739935389482e+002°)
1.05681750921366e+004	(-3.39206944228013e-001dB,1.74727263683132e+002°)
1.05925372517729e+004	(-3.39077170039084e-001dB,1.74714558758192e+002°)
1.06169555719872e+004	(-3.38946735448923e-001dB,1.74701820507593e+002°)
1.06414301822431e+004	(-3.38815636799671e-001dB,1.74689048823774e+002°)
1.06659612123026e+004	(-3.38683870410212e-001dB,1.74676243598679e+002°)
1.06905487922266e+004	(-3.38551432576318e-001dB,1.74663404723755e+002°)
1.07151930523760e+004	(-3.38418319570079e-001dB,1.74650532089943e+002°)
1.07398941234124e+004	(-3.38284527640029e-001dB,1.74637625587683e+002°)
1.07646521362983e+004	(-3.38150053010816e-001dB,1.74624685106906e+002°)
1.07894672222983e+004	(-3.38014891883040e-001dB,1.74611710537028e+002°)
1.08143395129794e+004	(-3.37879040433177e-001dB,1.74598701766952e+002°)
1.08392691402120e+004	(-3.37742494813219e-001dB,1.74585658685062e+002°)
1.08642562361706e+004	(-3.37605251150606e-001dB,1.74572581179219e+002°)
1.08893009333343e+004	(-3.37467305548054e-001dB,1.74559469136758e+002°)
1.09144033644875e+004	(-3.37328654083272e-001dB,1.74546322444486e+002°)
1.09395636627209e+004	(-3.37189292808880e-001dB,1.74533140988674e+002°)
1.09647819614318e+004	(-3.37049217752075e-001dB,1.74519924655060e+002°)
1.09900583943252e+004	(-3.36908424914661e-001dB,1.74506673328838e+002°)
1.10153930954141e+004	(-3.36766910272572e-001dB,1.74493386894661e+002°)
1.10407861990207e+004	(-3.36624669775907e-001dB,1.74480065236632e+002°)
